Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	11.758823	5.8586845	44.0	4.0	0.4234628	1.1903329	19.811348	0.034435093	11.758823	143.97968	0.035994917	0.0009123947	0.013749861	0.099961385	-0.0915445	-0.0012333732	0.026691873	0.19343932	-0.26395157	9.059906e-09	-0.016646028	-8.523465e-09	0.0002320481	83.48498	-16.815987	2.7102644	-0.5137274	0	0	5.0	0.9189385	0.016652416	4000	4.002095699310303
1	13.707904	7.283218	44.0	4.0	0.5022036	1.6585443	24.16467	0.021340452	13.707904	290.1571	0.03626964	1.2200193	0.321772	2.5794208	-0.4290576	0.48463073	0.35783207	2.3292882	-1.7808456	4.8160555e-08	-0.015776442	-2.384186e-10	0.009305777	95.38708	-43.290512	4.250695	-0.09570265	0	0	7.0	0.91720957	0.017934669	8000	7.591430902481079
2	17.047009	9.114299	51.0	5.0	0.77553546	3.3149872	37.66834	0.0076320786	17.047009	471.8903	0.03932419	5.1074634	0.26538712	6.080983	3.2031593	0.5800827	0.6529493	3.5069585	-4.08541	-1.1563301e-08	-0.015485311	-2.515316e-08	0.007028723	86.77462	-29.337791	18.00925	-3.7954817	0	0	8.0	0.9150572	0.014210806	12000	11.200998544692993
3	18.85849	9.358619	59.0	5.0	0.56873184	1.6791874	20.666197	0.009574397	18.85849	592.48895	0.03703056	9.51758	0.77561593	11.241426	5.9608545	1.1007628	0.5388744	3.7136998	-1.1180797	-2.4318695e-08	-0.01448262	4.887581e-09	0.009423941	64.495186	-3.2170982	3.735142	-0.280442	0	0	10.0	0.912667	0.014505443	16000	14.83286166191101
4	26.476822	13.372322	76.0	7.0	2.005112	5.484059	36.696404	0.015752928	26.476822	895.26605	0.044763304	11.195752	0.5772741	13.212924	7.906975	0.5223221	0.743417	4.014455	-2.8866038	7.152557e-09	-0.014775913	-8.9108944e-08	0.026927412	123.041374	-20.013939	32.71401	-8.493662	0	0	13.0	0.9095006	0.012768378	20000	18.526841402053833
5	34.982456	18.009249	104.0	12.0	6.7939515	13.549836	70.01034	0.028736943	34.982456	1669.8372	0.06957655	14.561183	2.1140985	18.345057	2.8501709	2.4480703	1.3321868	6.672827	-2.626578	-1.9490718e-08	-0.020049132	-7.724762e-08	0.03409251	184.39793	-26.22931	150.12744	-22.677223	0	0	9.0	0.9066217	0.014561033	24000	22.245415210723877
6	40.343433	19.415792	124.0	8.0	14.134337	18.718822	97.19662	0.09768371	40.343433	3069.2905	0.10961752	18.218367	2.8687682	21.34449	-2.6886322	7.2403045	1.7178826	11.45511	-0.7316748	2.861023e-09	-0.02328691	1.5258789e-07	-0.04172188	187.56876	-11.8680725	247.07637	-36.995728	0	0	8.0	0.90466017	0.01630523	28000	26.15847611427307
7	51.166668	20.571587	105.0	12.0	21.90511	30.642942	175.10045	0.08725872	51.166668	4777.9204	0.14931001	20.063366	4.005061	23.11911	-5.993253	12.985043	0.70399714	14.311795	9.095601	-1.7523766e-08	-0.014426111	8.058548e-08	-0.0665161	216.96228	-22.069748	473.16827	-14.214172	0	0	12.0	0.9025569	0.013628693	32000	29.325189113616943
8	58.82353	21.100557	128.0	30.0	18.095171	20.113638	131.85028	0.68317395	58.82353	6008.392	0.16689979	23.87264	2.6710668	25.685884	-3.5702984	16.2494	1.3426754	18.851957	8.753518	8.8214875e-09	-0.01465049	-1.01566314e-07	0.018483665	244.10431	-13.949448	221.08774	-17.817673	0	0	79.0	0.90020114	0.0047045127	36000	33.43048334121704
9	63.04762	25.2407	173.0	34.0	15.2155695	17.121445	85.82077	0.7337173	63.04762	6968.5615	0.17421404	25.498535	5.1710706	27.606695	-15.40558	12.098696	1.4738735	15.919615	1.0904701	-1.2159347e-08	-0.015631797	1.2683869e-07	0.063455686	287.53625	-9.979004	146.9922	-14.01416	0	0	79.0	0.896647	0.0044739256	40000	37.48161029815674
