Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	174.59279	87.967926	720.65295	59.931805	0.3515909	0.15260775	1.477337	0.062990524	7.9483104	176.85515	0.044213787	-0.0019381299	0.074571714	0.1544593	-0.15361959	0.0025771752	0.06582174	0.23848361	-0.23328558	-1.2159347e-08	-0.018379934	-3.963709e-09	-0.0022932715	18899.404	-265.73633	0.09672023	-0.074145935	0	0	4.0	0.9189385	0.022869008	4000	1.7955493927001953
1	212.11804	109.337715	711.06067	66.34842	0.341165	0.1857682	1.9863601	0.039549828	9.365339	322.5353	0.040316913	1.2183722	0.24550985	1.967095	-0.3011335	0.27087635	0.016402336	0.30895382	0.11975279	-4.2915346e-08	-0.017552875	2.0563602e-09	0.00013149783	27227.82	-1171.0996	0.035725806	-0.0011435673	0	0	5.0	0.91750515	0.021073941	8000	4.014377593994141
2	258.6134	141.50752	1025.6387	69.317474	0.43854958	1.4160303	23.860601	0.02238861	11.288136	477.81494	0.03981791	5.709996	0.71694803	7.17446	3.265734	0.25581706	0.047658723	0.53631365	-0.19861513	-1.3351441e-08	-0.02606924	-8.702278e-09	0.012237609	40877.688	-2145.711	4.0929275	-0.3507893	0	0	5.0	0.9158003	0.018492477	12000	6.184261322021484
3	299.37396	155.65524	1020.68164	81.3814	0.52902883	1.1914533	12.030379	0.035297893	12.941559	640.8547	0.040053416	12.697314	0.535214	14.733914	8.001363	0.52868706	0.43192765	4.2113705	-3.0841362	4.172325e-08	-0.021482859	9.536743e-09	0.0030675048	47128.152	-1805.2656	2.19844	-0.1844554	0	0	5.0	0.914322	0.017501418	16000	8.353511810302734
4	387.4103	211.74231	1234.9088	103.20025	1.3088856	5.4333696	57.83226	0.017300075	17.004255	948.565	0.04742825	18.11252	0.28790137	19.15008	15.42752	0.5838544	0.24093027	2.5298152	-1.6982592	-1.2087823e-07	-0.013027911	-7.086992e-08	0.029567895	75386.15	-1660.4922	45.582462	-4.8188934	0	0	7.0	0.9127824	0.017468521	20000	10.60692048072815
5	490.58765	270.01566	1905.8334	120.29514	1.065958	2.7158756	24.733774	0.02463334	21.360214	1149.9171	0.047913212	22.08061	0.11654178	22.407856	21.314259	1.9876108	1.2316732	7.0640173	-3.6834269	5.710125e-08	-0.015396364	4.6014787e-08	0.016606411	116396.16	-1710.375	10.334229	-2.240862	0	0	9.0	0.9104279	0.014656004	24000	12.806425333023071
6	668.7157	281.58133	1675.8771	151.8534	4.4368734	8.511076	48.962685	0.028630638	31.338583	1713.8204	0.061207872	25.335026	0.10927513	25.560047	24.425959	1.3745513	0.2053955	2.2438855	-0.05016717	2.6702882e-08	-0.010326891	-1.3834239e-07	0.06338326	143945.6	-1701.3125	59.432713	-10.529556	0	0	79.0	0.9080273	0.0060172053	28000	15.39035439491272
7	759.2565	448.87	3046.3838	153.4867	7.8651977	13.992826	90.05373	0.030058473	37.14151	2548.4216	0.079638176	28.168373	0.08606045	28.32472	27.2957	4.477279	0.6452419	7.0180974	2.3630564	-1.001358e-08	-0.012611639	2.0623206e-08	0.06656547	235708.45	-1994.8281	129.60904	-8.913246	0	0	79.0	0.91190505	0.0061741057	32000	17.99232769012451
8	817.64795	297.5255	1622.8011	205.04604	13.377678	12.603027	45.18913	0.014873351	43.184784	3779.3577	0.10498216	30.907297	0.113723576	31.07436	30.164764	7.1984005	1.1466901	10.129208	2.6321611	-7.688999e-08	-0.006264434	1.2326241e-07	0.045639794	162277.36	-1294.6719	98.49396	-16.370148	0	0	79.0	0.91102636	0.003155685	36000	20.74359965324402
9	1029.3696	475.94022	2461.9907	285.32977	15.696903	12.608088	57.85109	0.23412943	55.083332	4914.3467	0.122858666	33.027718	0.10368293	33.17695	32.34539	11.173792	0.57288283	12.428915	7.6133432	3.5405158e-08	-0.0044954163	3.683567e-08	0.053187683	272225.94	-1849.4062	78.9045	-1.3271713	0	0	79.0	0.89804745	0.0036440117	40000	23.43757438659668
