Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.5859375	9.624209	54.0	4.0	2.02556	10.910776	112.49119	0.022817114	15.5859375	518.7334	0.12968335	-0.0041300748	0.114769794	0.41993767	-0.515133	0.0020389252	0.15069102	0.4998544	-0.530469	1.3828277e-08	-0.02091446	-5.3405763e-08	0.06157428	168.65707	-21.670715	203.49213	-6.653702	0	0	5.0	0.9189385	0.019178247	4000	2.5165653228759766
1	20.931936	13.29845	109.0	6.0	6.162445	21.98004	117.67939	0.042256866	20.931936	1695.7635	0.21197045	1.096353	0.28228232	2.4888754	-0.5130531	0.77000374	0.8510417	4.402234	-3.0227578	2.4557114e-08	-0.015730513	4.0245055e-07	0.14872693	259.15128	-84.360275	648.605	-52.770752	0	0	7.0	0.91724247	0.015641779	8000	4.658988952636719
2	24.745342	15.079615	90.0	6.0	6.2437005	20.028461	106.70934	0.027467027	24.745342	2701.1543	0.2250962	5.1827374	0.32411975	6.2776136	3.3066206	4.4936795	0.8002987	7.0957427	1.5422052	5.2452087e-09	-0.014553442	1.3256073e-07	0.14235207	225.66675	-79.08293	421.2243	-17.050293	0	0	9.0	0.91497195	0.013976503	12000	6.836113214492798
3	36.495415	18.763435	105.0	10.0	20.24035	34.660435	135.83333	0.030329192	36.495415	4907.894	0.30674338	10.373994	1.3744007	13.420702	2.048223	7.264505	1.6098076	11.405628	0.48542923	-7.510185e-09	-0.0152785815	2.632141e-07	0.18822563	268.19452	-71.93587	1003.4694	-169.59229	0	0	15.0	0.9120173	0.012248001	16000	9.047279357910156
4	50.620255	22.253605	129.0	12.0	39.318825	38.205654	112.75653	0.03767069	50.620255	8014.099	0.40070495	15.01667	0.57010984	16.00455	10.83207	15.126466	1.0733594	17.652225	9.579213	-9.1552735e-08	-0.0136572765	-8.430481e-07	0.13457343	322.409	-61.786774	1010.056	-160.65039	0	0	79.0	0.9084964	0.005208798	20000	11.594367504119873
5	65.08197	27.699379	144.0	17.0	47.35879	38.46332	132.10056	0.11582766	65.08197	10904.407	0.4543503	18.907166	0.30721837	19.375748	17.128157	20.578058	0.51603246	21.580378	17.723425	1.4662743e-08	-0.010259416	-2.6702882e-08	0.07748534	420.55975	-76.19214	826.415	-50.16638	0	0	79.0	0.90132797	0.005058597	24000	13.989138841629028
6	82.1875	41.346935	202.0	7.0	65.44304	34.415417	145.6283	0.293469	82.1875	14049.842	0.5017801	21.200697	2.7710533	23.375973	-0.73350745	23.136736	0.45741203	23.798523	21.158607	-8.940697e-08	-0.008942839	-4.0626526e-07	0.0052597253	626.55707	-101.37341	806.5198	-69.99475	0	0	79.0	0.9040927	0.004162904	28000	16.456923484802246
7	101.35897	38.211617	187.0	23.0	64.01227	30.150625	144.29788	0.3915532	101.35897	16547.23	0.51710093	24.935873	3.2046854	26.381489	-9.836282	25.901672	0.27776408	26.316692	24.48351	7.390976e-09	-0.005471005	4.7683715e-09	-0.008655065	646.00024	-79.40442	473.8107	-20.796692	0	0	79.0	0.9023601	0.004320072	32000	18.903159618377686
8	113.28571	45.618652	241.0	57.0	59.569885	30.044819	150.83267	5.11882	113.28571	18632.604	0.51757234	27.855923	2.871551	28.901146	-12.610271	27.417936	0.15946798	27.69178	26.473146	-1.704693e-08	-0.005605415	9.536743e-09	0.060698513	721.16113	-69.263245	387.147	-2.7309265	0	0	79.0	0.8910641	0.003750454	36000	21.36042594909668
9	118.121216	46.209507	207.0	49.0	64.457535	23.707249	120.74815	33.352673	118.121216	20760.436	0.5190109	30.695719	1.8412483	31.181383	4.911396	27.938457	0.1089233	28.146488	27.211836	5.018711e-08	-0.0057817074	-5.3882598e-08	-0.02893161	705.923	-55.88611	327.56357	-3.6008606	0	0	79.0	0.8871897	0.0046398565	40000	23.80483603477478
10	123.78125	47.435966	263.0	47.0	60.042953	22.82071	121.00801	6.577558	123.78125	22683.41	0.5155321	32.620804	2.6167426	33.197998	-5.979927	28.549679	0.12147383	28.774109	27.568888	-5.2213668e-08	-0.0070135677	9.536743e-09	-0.00024998095	682.4201	-44.4245	196.86731	-0.5296478	0	0	79.0	0.918704	0.005360115	44000	26.38284134864807
11	199.6	77.83598	353.0	74.0	77.311295	37.405262	152.5486	31.17835	199.6	24229.686	0.5047851	34.626297	1.5575104	34.972416	6.6189575	28.758646	0.166724	29.03718	27.525728	-3.33786e-08	-0.0045115952	9.536743e-09	0.0094974805	1284.316	-139.3457	368.01877	-2.6399841	0	0	79.0	0.93570393	0.0039643752	48000	28.437209367752075
12	330.41666	238.13248	949.0	49.0	44.67542	26.920765	97.374084	9.591822	330.41666	24781.281	0.4765631	37.60071	0.55509794	37.8302	29.403833	28.260113	0.25938395	28.603033	26.118462	5.018711e-08	-0.009087121	-4.36306e-07	0.0401142	2099.9524	-256.63037	336.65045	-129.70184	0	0	79.0	0.9518612	0.0070162443	52000	30.948040008544922
13	486.2857	292.0884	1000.0	132.0	76.37528	53.92432	199.65646	33.519165	486.2857	25357.11	0.45280552	41.25926	0.03216708	41.28772	41.014977	23.444843	3.4893944	25.652842	-9.69895	1.66893e-08	-0.0051957197	1.5830993e-07	-0.04738152	2316.6306	-263.6543	397.42554	-66.442474	0	0	5.0	0.93792856	0.017221406	56000	33.14988088607788
14	963.0	64.08588	1000.0	852.0	40.61359	12.346965	51.493454	21.080315	963.0	25530.008	0.42550012	44.476734	0.039437167	44.526882	44.184772	19.564194	5.082265	23.693031	-14.601601	8.3684924e-08	-0.0028422957	2.670288e-07	-0.011791577	2505.027	-285.99	265.2462	-168.38696	0	0	79.0	0.93810576	0.0033203657	60000	35.642534017562866
15	1000.0	0.0	1000.0	1000.0	22.983519	6.2356286	33.398148	16.891487	1000.0	25621.941	0.40034282	47.576195	0.01251184	47.596146	47.503323	12.564516	4.481246	20.526535	-6.8098755	-7.054806e-07	-0.0047061904	1.5258789e-07	-0.0026282233	2339.5344	-247.0459	118.39558	-99.620605	0	0	79.0	0.91346455	0.005415925	64000	38.08459520339966
16	1000.0	0.0	1000.0	1000.0	13.746132	1.3975468	14.674278	11.335992	1000.0	25676.926	0.37760186	50.267673	0.009603583	50.282112	50.198505	5.55236	1.393828	9.276399	0.29776847	-1.2302398e-07	-0.0023928452	-5.3405763e-08	0.0025752662	2105.4336	-205.54626	19.327808	-15.510409	0	0	79.0	0.9032131	0.004748368	68000	40.53855013847351
17	1000.0	0.0	1000.0	1000.0	46.34192	31.357449	100.135704	21.926487	1000.0	25862.293	0.3591985	52.625305	0.00893904	52.637497	52.58613	3.3262866	1.3251641	6.611741	0.19581965	3.299713e-07	-0.002858913	-1.4185906e-08	-0.0037800788	1910.5183	-176.84778	25.802551	-0.76673126	0	0	79.0	0.9060329	0.0050386186	72000	43.01309323310852
18	1000.0	0.0	1000.0	1000.0	27.699188	14.051808	46.363728	10.659129	1000.0	25973.09	0.3417512	54.751247	0.0065319194	54.760662	54.685547	3.9520724	1.1422065	7.738672	-0.34866348	-2.6345253e-07	-0.0017718218	-2.8908254e-09	-0.015960071	1742.8856	-155.82764	7.7116084	-1.5332394	0	0	9.0	0.9386333	0.013452745	76000	45.225894927978516
19	1000.0	0.0	1000.0	1000.0	44.250393	20.453207	75.345024	18.986597	1000.0	26150.092	0.32687613	56.691174	0.018171085	56.714798	56.592228	1.4263048	1.0728215	4.198992	-1.4001231	-3.4856797e-07	-0.0023323859	-3.887713e-08	-0.0021434964	1596.408	-140.07117	21.160461	-12.711156	0	0	79.0	0.9408679	0.0040663127	80000	47.662792682647705
20	978.75	36.80608	1000.0	915.0	38.942825	16.67909	51.420807	10.60796	978.75	26306.627	0.31317413	58.53468	0.008722211	58.546635	58.476913	3.9822588	0.690253	5.7215557	1.556502	-3.695488e-08	-0.002627617	4.708767e-09	-0.009732093	1413.8481	-113.962036	11.454018	-1.0309372	0	0	7.0	0.9530705	0.014506902	84000	50.02806806564331
21	1000.0	0.0	1000.0	1000.0	11.61251	3.5747395	15.448231	6.4702415	1000.0	26353.076	0.2994668	60.190823	0.003020856	60.197147	60.174892	3.306985	0.60390705	5.104296	1.318682	-1.9478797e-07	-0.0012525743	3.218651e-09	-0.0006193509	1349.0527	-115.39319	5.45113	-3.4367685	0	0	79.0	0.953931	0.004066298	88000	52.5279278755188
22	1000.0	0.0	1000.0	1000.0	13.193103	2.0954914	16.294695	11.094888	1000.0	26405.85	0.28702012	61.83714	0.002522349	61.842617	61.825375	2.0667286	0.501395	3.249975	0.45020267	6.2561037e-07	-0.00167391	1.2993812e-08	0.0011005934	1239.7717	-106.36975	2.1308072	-0.8045883	0	0	9.0	0.9508783	0.013064097	92000	54.747933864593506
23	899.5	101.49015	1000.0	779.0	81.68441	17.038227	106.21365	58.050983	899.5	26743.836	0.27858162	63.422817	0.0018416088	63.42608	63.413197	0.8845725	0.5199295	2.3445702	-0.42593187	5.00679e-09	-0.002810723	3.8743018e-08	-0.023478542	1074.0737	-76.86713	86.54802	-40.47015	0	0	6.0	0.9506618	0.016597832	96000	56.955588579177856
24	1000.0	0.0	1000.0	1000.0	26.971806	11.541478	45.109943	15.699501	1000.0	26851.723	0.26851723	64.7822	0.0019879967	64.78606	64.77058	5.316263	1.0537974	8.031359	2.4398248	5.502701e-07	-0.0016290875	-1.192093e-10	-0.0003562516	1055.8115	-90.621155	14.250069	-7.594346	0	0	9.0	0.95139587	0.014259706	100000	59.15003180503845
25	1000.0	0.0	1000.0	1000.0	22.8705	6.080619	28.77818	13.622837	1000.0	26943.205	0.2590693	66.24347	0.002085956	66.24782	66.23062	3.100041	0.8368182	5.4559817	0.43596962	-1.9454956e-07	-0.0047031315	9.1195105e-09	0.0046119373	970.00995	-84.92981	5.331403	-1.2716198	0	0	79.0	0.9537481	0.006893522	104000	60.89696502685547
26	1000.0	0.0	1000.0	1000.0	29.449276	8.255561	39.759514	16.969313	1000.0	27061.002	0.25056484	67.673645	0.0017889118	67.67724	67.66444	2.4430225	0.75059205	4.47894	0.1745016	1.2917519e-06	-0.0015618361	-2.026558e-09	0.0062076314	889.5605	-78.55939	3.7618985	-0.095175266	0	0	79.0	0.9468233	0.0037895604	108000	63.38578200340271
27	699.2	275.5412	1000.0	301.0	52.215584	18.003342	78.41434	25.997227	699.2	27350.066	0.24419703	69.055466	0.0017399763	69.05861	69.04504	2.7694287	0.79106045	5.420137	0.1661793	2.5629998e-09	-0.00508997	1.7464162e-08	-0.006989932	769.20337	-44.412415	44.683945	-11.227238	0	0	79.0	0.9496558	0.0055896454	112000	65.87131142616272
28	1000.0	0.0	1000.0	1000.0	41.19879	16.031542	66.18311	23.16391	1000.0	27514.861	0.23719709	70.12153	0.001295285	70.124146	70.114876	5.54313	1.0993515	9.042151	1.8156316	-4.5824052e-07	-0.0015405038	-2.1338463e-08	0.015314253	759.9358	-67.72681	16.163664	-2.779645	0	0	8.0	0.93242484	0.011993536	116000	68.07417750358582
29	1000.0	0.0	1000.0	1000.0	64.79653	17.150398	90.417046	42.42129	1000.0	27774.047	0.2314504	71.4109	0.00091086153	71.41277	71.40509	4.4664516	0.8809671	6.9904485	1.8367724	-9.1457366e-07	-0.0041328967	-1.8715859e-08	0.0041587693	695.7656	-64.49823	17.316326	-1.4266243	0	0	79.0	0.9314352	0.0039521125	120000	70.71080589294434
30	1000.0	0.0	1000.0	1000.0	74.16907	6.1688237	84.706985	69.05522	1000.0	28070.723	0.2263768	72.69475	0.0010448194	72.696526	72.68914	5.3859487	1.314386	8.582376	1.4779907	2.1314621e-07	-0.0012219195	2.4735927e-08	-0.010987691	634.682	-59.70813	32.595596	-1.084959	0	0	79.0	0.90340173	0.0040058703	124000	73.2899522781372
31	1000.0	0.0	1000.0	1000.0	47.247425	1.7244151	48.834236	44.41942	1000.0	28259.713	0.220779	73.93939	0.00095621654	73.94142	73.93453	5.6136923	1.3484058	8.714094	1.8251886	-9.1266634e-07	-0.0027382125	8.5830685e-09	-0.02347421	578.13983	-55.27716	16.018158	-2.550681	0	0	6.0	0.9035935	0.013990492	128000	75.49694871902466
32	1000.0	0.0	1000.0	1000.0	21.39638	4.851937	27.232435	14.786255	1000.0	28345.299	0.21473712	75.14692	0.0011412898	75.14937	75.14067	4.0472236	1.3924831	8.903302	-1.7183572	1.5258789e-07	-0.0030978338	3.4570693e-08	-0.000987694	525.80145	-51.162964	7.128622	-4.038931	0	0	79.0	0.9028884	0.0056342413	132000	77.95458102226257
33	1000.0	0.0	1000.0	1000.0	21.534445	2.552065	23.975758	17.877863	1000.0	28431.436	0.20905468	76.3203	0.0008100403	76.32228	76.3174	2.3923066	0.81735027	5.1366224	-0.6880642	-2.1195412e-07	-0.0023002203	9.536744e-10	-0.0027050362	477.3252	-47.325073	2.9043882	-0.21870518	0	0	79.0	0.91655654	0.006861817	136000	80.43174290657043
34	1000.0	0.0	1000.0	1000.0	20.55563	2.2616813	23.69929	17.491539	1000.0	28513.658	0.20366898	77.45973	0.00087374455	77.46148	77.455315	2.080063	0.9367757	5.0264645	-0.6392503	4.284382e-07	-0.0020469453	-7.390976e-09	0.001593018	432.49402	-43.740845	2.0199244	-0.23143148	0	0	79.0	0.9237565	0.0059397793	140000	82.89906024932861
35	1000.0	0.0	1000.0	1000.0	37.603058	3.4223542	43.043686	33.654842	1000.0	28664.07	0.19905604	78.566765	0.0010598173	78.56893	78.56152	1.8148869	1.1940306	5.2884135	-1.1723238	3.0636787e-07	-0.0018556423	2.9087067e-08	-0.009171824	391.05682	-40.38614	9.543394	-1.3094273	0	0	79.0	0.9198619	0.0058110137	144000	85.3597047328949
36	1000.0	0.0	1000.0	1000.0	20.033426	4.2802687	25.592546	13.608087	1000.0	28744.205	0.1942176	79.64195	0.0011521754	79.64407	79.63631	2.663505	0.9126175	5.6747494	-0.18999547	3.671646e-08	-0.0028247256	-1.3113022e-09	-0.0015066396	352.80527	-37.2424	3.1401165	-0.90526676	0	0	79.0	0.9176911	0.0035668612	148000	87.83126640319824
37	519.0	312.335	1000.0	199.0	20.927568	7.4753456	32.30229	10.367224	519.0	28898.15	0.19011942	80.686584	0.0015826114	80.68916	80.67608	1.9297847	0.80602324	4.544823	-0.9290898	3.8146974e-09	-0.009391317	3.9339067e-08	0.00090474484	491.89462	-5.177704	9.867128	-0.787385	0	0	79.0	0.8909138	0.0049727936	152000	90.36440753936768
38	814.5	321.2954	1000.0	258.0	23.602173	6.2777658	32.02586	16.30127	814.5	29023.178	0.186046	81.121056	0.0016374111	81.1233	81.10886	2.7011836	0.7497271	5.3167458	0.38602552	2.7298928e-08	-0.004733839	4.708767e-09	0.010505542	339.38495	-23.89032	4.9952183	-0.09308624	0	0	8.0	0.9091105	0.012639365	156000	91.99923706054688
39	1000.0	0.0	1000.0	1000.0	42.544205	7.32136	53.5239	35.23887	1000.0	29193.354	0.18245846	81.95673	0.0011794779	81.9586	81.95055	2.745269	0.49441066	4.143892	1.2666578	3.7884712e-07	-0.0012766864	9.953975e-09	-0.014594937	277.13818	-31.444382	13.670161	-0.58494854	0	0	9.0	0.9107418	0.013786341	160000	94.19811201095581
40	934.5	113.449326	1000.0	738.0	42.411667	8.455139	51.679718	33.221348	934.5	29377.24	0.17912951	82.95341	0.0021238874	82.95634	82.93702	3.100633	0.9383068	5.778645	0.21507028	1.5735626e-08	-0.007938059	1.66893e-08	0.03296929	287.17767	-21.084106	17.54261	-0.36875534	0	0	4.0	0.91326267	0.018919239	164000	96.48712038993835
41	650.4	302.09244	1000.0	88.0	63.7151	19.421034	95.096596	41.768158	650.4	29779.365	0.17725812	83.798515	0.0011087726	83.80039	83.79282	4.093113	0.84429777	6.588681	2.1038582	7.629395e-09	-0.0030667912	-1.1587143e-07	-0.02028659	426.9985	-5.943268	97.34873	-17.620422	0	0	79.0	0.9142907	0.0033867778	168000	98.97612857818604
42	1000.0	0.0	1000.0	1000.0	37.73612	14.667858	57.64255	21.864363	1000.0	29930.31	0.17401344	84.270485	0.0012175372	84.27244	84.26228	7.207008	1.9748175	12.365722	0.55200016	-4.0006637e-07	-0.0022732	-1.692772e-08	-0.008735944	210.61835	-24.902802	25.185402	-11.420133	0	0	79.0	0.93006516	0.0038108693	172000	101.54602384567261
43	1000.0	0.0	1000.0	1000.0	29.091434	6.9049006	37.839706	20.468216	1000.0	30046.676	0.17071974	85.17761	0.001637053	85.17989	85.16669	3.696297	1.2098832	6.742477	-1.7301433	7.722378e-07	-0.0016222257	-2.384186e-10	0.00709452	187.02565	-24.1053	8.865197	-1.424057	0	0	79.0	0.91270465	0.004693417	176000	104.02160787582397
44	1000.0	0.0	1000.0	1000.0	48.931236	23.745728	82.04599	23.046165	1000.0	30242.4	0.16801333	86.11333	0.0012105395	86.11522	86.10739	2.8474703	1.3095846	6.2564254	-0.83043176	2.4557114e-08	-0.0033263692	4.4941903e-08	-0.0020423976	164.15694	-21.702103	24.236383	-1.2293148	0	0	79.0	0.92197204	0.003870077	180000	106.48500108718872
45	1000.0	0.0	1000.0	1000.0	55.366127	26.381441	95.022026	29.864418	1000.0	30463.865	0.16556449	87.012794	0.0012653471	87.01462	87.00528	3.8208036	1.6200713	7.6460166	-1.2171596	3.399849e-07	-0.001418209	-3.4809112e-08	0.0102353	143.57962	-19.488197	38.9358	-0.13650131	0	0	79.0	0.92409945	0.0029043613	184000	108.95619320869446
