Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	9.504762	4.648346	38.0	4.0	0.36336663	0.44848183	6.6875577	0.023022236	9.504762	152.73424	0.03818356	0.0025249557	0.040464174	0.25584343	-0.15581898	-0.0035461502	0.10808848	0.3958273	-0.468741	3.9451027e-08	-0.008554684	1.9967556e-09	0.00017318098	57.418427	-12.638821	0.48874426	-0.18778998	0.84999996	-0.020462573	4.0	0.9189385	0.020630913	4000	2.540647268295288
1	11.775811	6.616544	66.0	4.0	0.50872093	1.5418473	20.60231	0.051803965	11.775811	325.44998	0.040681247	1.1061969	0.28477204	2.2834873	-1.0526972	0.33119258	0.25868437	1.5792091	-1.7524648	1.9367175e-08	-0.007584231	-4.708767e-09	0.0010939577	81.51003	-35.436726	4.644391	-0.28547764	0.8295374	-0.020366311	5.0	0.91747975	0.017825644	8000	4.74806547164917
2	14.404332	7.9974537	58.0	4.0	0.8437184	5.3891883	85.09818	0.01923885	14.404332	559.1816	0.046598464	4.7858167	0.61275613	7.901149	-1.2659082	0.6800732	0.12505174	1.3627601	0.19285154	1.1108404e-08	-0.011645246	-2.0980835e-08	-0.0111837685	66.95862	-19.801987	55.6303	-2.372383	0.8091711	-0.019801378	6.0	0.9158436	0.019156199	12000	6.422829627990723
3	18.50463	10.986944	82.0	5.0	1.2730476	6.4184747	82.57855	0.005195749	18.50463	834.1771	0.05213607	8.619424	0.3939382	10.806396	6.6600327	1.1504526	1.553083	7.120906	-6.2371078	1.6457964e-08	-0.021507028	1.525879e-08	-0.044929054	90.72235	-12.30468	72.07918	-14.064957	0.7893697	-0.018047035	7.0	0.9142301	0.018934455	16000	8.613666772842407
4	20.523315	10.02591	72.0	6.0	0.53505945	1.2328717	12.938426	0.026517939	20.523315	939.2578	0.04696289	11.491747	1.2748191	13.843352	5.1114817	1.9619218	0.48653555	5.194433	-0.7796668	1.331334e-08	-0.002750187	7.390976e-09	-0.006075415	73.23442	-1.2397614	3.7994227	-1.849356	0.77132267	-0.01742214	10.0	0.91258675	0.013753583	20000	10.812361478805542
5	22.457626	9.497526	54.0	9.0	0.46468413	0.9310405	8.6226015	0.016941091	22.457626	1021.5768	0.0425657	12.249862	1.223023	14.427508	6.2587185	0.54943734	0.43148628	2.2012455	-2.0165503	-4.1602504e-09	-0.0070264493	-2.5629998e-09	-0.0001314224	67.92999	-2.6692429	1.2610959	-0.26361984	0.7539005	-0.027248621	79.0	0.9101688	0.005741479	24000	13.33598017692566
6	24.78882	9.979115	57.0	7.0	0.4580698	0.6908381	4.1175337	0.016656281	24.78882	1095.3945	0.039121233	12.552639	0.691928	14.254977	8.825429	0.48350444	0.22308713	1.5251924	-0.5926707	-3.4381973e-09	-0.0058692633	-3.5762786e-09	0.0029815752	71.96204	-3.0154266	0.48167273	-0.07494491	0.7266519	-0.0323776	79.0	0.9029963	0.004333928	28000	15.93522572517395
7	26.006536	10.741464	71.0	6.0	0.4748019	0.6548418	4.593311	0.024343658	26.006536	1168.0548	0.036501713	13.415686	0.7530374	14.853702	8.120772	0.4185385	0.12703048	1.0143197	-0.29086095	9.115444e-09	-0.006787941	9.536744e-10	0.004564625	79.672424	-5.9189606	0.38336194	-0.026351452	0.6942743	-0.03238392	79.0	0.8996344	0.0060586594	32000	18.53443717956543
8	31.322834	10.956523	79.0	10.0	0.7286934	0.78506213	4.9498005	0.022187255	31.322834	1260.6542	0.035018172	13.926137	1.1989429	15.365702	7.1053505	0.4282219	0.08178576	0.87548304	0.11236506	5.159553e-09	-0.0036100245	5.930662e-09	0.0034959568	93.116455	-18.19294	0.3892336	-0.016160846	0.6618904	-0.026244164	79.0	0.8961643	0.0038139361	36000	21.0357563495636
9	33.73729	9.942571	74.0	13.0	0.91503674	0.90789026	4.191043	0.068017825	33.73729	1368.7765	0.034219414	15.461119	2.5232258	17.751072	4.8111715	0.5385382	0.08646224	0.9204447	-0.029041454	6.4099734e-09	-0.004257492	-3.0100347e-09	-0.00024734047	73.17356	-19.152367	0.5684253	-0.040048122	0.6356462	-0.02178663	79.0	0.89873886	0.004622976	40000	23.527302742004395
10	36.605503	12.180612	92.0	13.0	0.9183165	0.62207603	3.036634	0.031497303	36.605503	1468.9188	0.03338452	16.210493	4.2286406	19.725716	2.7542002	0.7133046	0.07254066	0.9703484	0.4418207	2.5465483e-09	-0.0037636964	-1.0728836e-09	0.004698016	72.236565	-19.335838	0.21363683	-0.0030160546	0.6138596	-0.026305974	79.0	0.88238513	0.0038371577	44000	26.154072523117065
11	38.057144	9.726575	70.0	19.0	0.9626087	0.62062687	4.966564	0.07265144	38.057144	1570.0469	0.03270931	17.300074	6.1232405	22.326698	1.8628474	0.6637052	0.06824908	0.8800502	0.4262295	-2.021234e-08	-0.0059030633	-2.384186e-10	0.006980832	41.245308	-8.938961	0.22414075	-0.0012957007	0.5875536	-0.029443145	79.0	0.87323946	0.0076554134	48000	28.651535987854004
12	43.703297	10.903668	88.0	24.0	1.2698358	0.568439	2.9739263	0.35654882	43.703297	1685.6945	0.0324172	17.51882	7.5312843	23.899351	1.5015459	0.6834548	0.070619546	0.9427751	0.4338676	-1.8310432e-08	-0.0048721647	-5.4091216e-09	0.0083134845	50.834892	-12.256977	0.24537224	-0.039051965	0.5581105	-0.016546369	20.0	0.8789736	0.013173897	52000	30.945157527923584
13	48.108433	13.190917	88.0	29.0	1.8594013	0.87610203	4.651502	0.17270425	48.108433	1840.0532	0.032858092	19.13059	8.985617	26.872726	1.5091144	0.86739624	0.056085385	1.045332	0.64050704	-1.7143572e-08	-0.00579201	-5.2154063e-09	0.004434021	57.288406	-11.556244	0.65456533	-0.1319772	0.5415641	-0.02367127	79.0	0.8743404	0.0069208085	56000	33.44208645820618
14	50.653847	10.953079	91.0	33.0	2.0041225	0.73750633	4.7002788	0.41483477	50.653847	1997.761	0.033296015	21.023392	9.760632	29.449972	1.6544584	1.228794	0.055081554	1.3981304	0.86398846	-6.7208605e-10	-0.0045696525	-1.37090685e-08	0.0054167323	38.625748	-6.129265	0.3798986	-0.018595219	0.51789284	-0.020475924	79.0	0.86313164	0.0067750593	60000	35.94874453544617
15	55.69014	13.353895	99.0	31.0	2.041109	0.77024037	4.62409	0.4976933	55.69014	2142.7048	0.03347976	22.492844	10.086511	31.159065	1.8227401	1.3649913	0.08200584	1.5801513	0.9629591	-4.0947716e-09	-0.004240006	-2.9802323e-09	0.0037043311	52.680515	-9.69458	0.38118592	-0.004213512	0.4974169	-0.017083704	79.0	0.8676474	0.004918275	64000	37.902108907699585
