environment,timestep,episode_return,episode_length
Standard,33,33.0,33
Standard,58,25.0,25
Standard,69,11.0,11
Standard,82,13.0,13
Standard,96,14.0,14
Standard,141,45.0,45
Standard,159,18.0,18
Standard,172,13.0,13
Standard,195,23.0,23
Standard,205,10.0,10
Standard,237,32.0,32
Standard,252,15.0,15
Standard,274,22.0,22
Standard,286,12.0,12
Standard,297,11.0,11
Standard,309,12.0,12
Standard,339,30.0,30
Standard,373,34.0,34
Standard,388,15.0,15
Standard,439,51.0,51
Standard,451,12.0,12
Standard,473,22.0,22
Standard,486,13.0,13
Standard,530,44.0,44
Standard,541,11.0,11
Standard,560,19.0,19
Standard,581,21.0,21
Standard,607,26.0,26
Standard,630,23.0,23
Standard,662,32.0,32
Standard,677,15.0,15
Standard,690,13.0,13
Standard,702,12.0,12
Standard,718,16.0,16
Standard,818,100.0,100
Standard,831,13.0,13
Standard,858,27.0,27
Standard,876,18.0,18
Standard,910,34.0,34
Standard,921,11.0,11
Standard,940,19.0,19
Standard,969,29.0,29
Standard,1010,41.0,41
Standard,1037,27.0,27
Standard,1051,14.0,14
Standard,1071,20.0,20
Standard,1085,14.0,14
Standard,1097,12.0,12
Standard,1114,17.0,17
Standard,1131,17.0,17
Standard,1157,26.0,26
Standard,1182,25.0,25
Standard,1196,14.0,14
Standard,1214,18.0,18
Standard,1223,9.0,9
Standard,1240,17.0,17
Standard,1276,36.0,36
Standard,1295,19.0,19
Standard,1313,18.0,18
Standard,1327,14.0,14
Standard,1359,32.0,32
Standard,1429,70.0,70
Standard,1453,24.0,24
Standard,1470,17.0,17
Standard,1484,14.0,14
Standard,1502,18.0,18
Standard,1530,28.0,28
Standard,1544,14.0,14
Standard,1557,13.0,13
Standard,1595,38.0,38
Standard,1609,14.0,14
Standard,1624,15.0,15
Standard,1645,21.0,21
Standard,1669,24.0,24
Standard,1701,32.0,32
Standard,1723,22.0,22
Standard,1733,10.0,10
Standard,1749,16.0,16
Standard,1782,33.0,33
Standard,1795,13.0,13
Standard,1820,25.0,25
Standard,1835,15.0,15
Standard,1850,15.0,15
Standard,1864,14.0,14
Standard,1874,10.0,10
Standard,1900,26.0,26
Standard,1911,11.0,11
Standard,1936,25.0,25
Standard,1967,31.0,31
Standard,1982,15.0,15
Standard,2006,24.0,24
Standard,2027,21.0,21
Standard,2043,16.0,16
Standard,2093,50.0,50
Standard,2133,40.0,40
Standard,2149,16.0,16
Standard,2218,69.0,69
