environment,epoch,timesteps,mean_return,mean_episode_length
Standard,0,2048,21.967741935483872,21.967741935483872
Standard,1,4096,25.974358974358974,25.974358974358974
Standard,2,6144,37.345454545454544,37.345454545454544
Standard,3,8192,54.421052631578945,54.421052631578945
Standard,4,10240,87.21739130434783,87.21739130434783
Standard,5,12288,189.1,189.1
Standard,6,14336,214.7,214.7
Standard,7,16384,224.55555555555554,224.55555555555554
Standard,8,18432,295.7142857142857,295.7142857142857
Standard,9,20480,414.75,414.75
Standard,10,22528,438.4,438.4
Standard,11,24576,500.0,500.0
Standard,12,26624,399.6666666666667,399.6666666666667
Standard,13,28672,500.0,500.0
Standard,14,30720,500.0,500.0
Standard,15,32768,500.0,500.0
Standard,16,34816,500.0,500.0
Standard,17,36864,500.0,500.0
Standard,18,38912,500.0,500.0
Standard,19,40960,500.0,500.0
Standard,20,43008,500.0,500.0
Standard,21,45056,500.0,500.0
Standard,22,47104,500.0,500.0
Standard,23,49152,500.0,500.0
Standard,24,51200,500.0,500.0
Standard,25,53248,500.0,500.0
Standard,26,55296,500.0,500.0
Standard,27,57344,500.0,500.0
Standard,28,59392,500.0,500.0
Standard,29,61440,500.0,500.0
Standard,30,63488,500.0,500.0
Standard,31,65536,500.0,500.0
Standard,32,67584,500.0,500.0
Standard,33,69632,500.0,500.0
Standard,34,71680,500.0,500.0
Standard,35,73728,500.0,500.0
Standard,36,75776,500.0,500.0
Standard,37,77824,500.0,500.0
Standard,38,79872,500.0,500.0
Standard,39,81920,500.0,500.0
Standard,40,83968,500.0,500.0
Standard,41,86016,500.0,500.0
Standard,42,88064,500.0,500.0
Standard,43,90112,500.0,500.0
Standard,44,92160,500.0,500.0
Standard,45,94208,500.0,500.0
Standard,46,96256,500.0,500.0
Standard,47,98304,500.0,500.0
Standard,48,100352,500.0,500.0
Custom,0,2048,12.977211096774193,21.967741935483872
Custom,1,4096,18.657205943661975,28.704225352112676
Custom,2,6144,33.05255289361702,43.87234042553192
Custom,3,8192,44.67181035294117,59.6764705882353
Custom,4,10240,59.66196125,85.875
Custom,5,12288,68.98263055555556,107.66666666666667
Custom,6,14336,103.38781323076923,164.46153846153845
Custom,7,16384,315.46646499999997,390.0
Custom,8,18432,429.0223297499999,500.0
Custom,9,20480,465.5763685,500.0
Custom,10,22528,423.504174,460.0
Custom,11,24576,462.57877740000004,490.4
Custom,12,26624,477.86920475,500.0
Custom,13,28672,483.3401135,500.0
Custom,14,30720,484.640421,500.0
Custom,15,32768,487.68329800000004,500.0
Custom,16,34816,488.4137735,500.0
Custom,17,36864,486.0645505,500.0
Custom,18,38912,489.881171,500.0
Custom,19,40960,490.41359525,500.0
Custom,20,43008,490.0577155,500.0
Custom,21,45056,490.663369,500.0
Custom,22,47104,490.8976005,500.0
Custom,23,49152,490.72913625,500.0
Custom,24,51200,491.3222805,500.0
Custom,25,53248,491.35110025000006,500.0
Custom,26,55296,491.005547,500.0
Custom,27,57344,491.2824525,500.0
Custom,28,59392,490.727911,500.0
Custom,29,61440,491.07200175,500.0
Custom,30,63488,491.57726325,500.0
Custom,31,65536,491.606737,500.0
Custom,32,67584,491.2508774,500.0
Custom,33,69632,491.6464645,500.0
Custom,34,71680,491.77449924999996,500.0
Custom,35,73728,491.49135425000003,500.0
Custom,36,75776,491.65435575000004,500.0
Custom,37,77824,491.67368325,500.0
Custom,38,79872,491.66530925,500.0
Custom,39,81920,491.43483675,500.0
Custom,40,83968,492.0088935,500.0
Custom,41,86016,491.98760925,500.0
Custom,42,88064,491.87065679999995,500.0
Custom,43,90112,491.70046575,500.0
Custom,44,92160,491.70864825,500.0
Custom,45,94208,491.59703475000003,500.0
Custom,46,96256,491.821939,500.0
Custom,47,98304,492.02015524999996,500.0
Custom,48,100352,491.613958,500.0
