Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	16.423729	5.7200313	40.0	9.0	0.41244894	0.3450609	1.3495741	0.04473494	16.423729	24.664776	0.02466477584838867	-0.005024474	0.23506065	0.4898093	-0.50575197	0.0052421303	0.59077	1.3581231	-1.3630213	-2.336502e-08	-0.013906919	8.940697e-09	0.0031122714	122.09986	-20.779045	0.47298077	-0.38435626	0.0	0.0	0.015929544	-1.5611955	-0.09666204	0.018608486	-0.0039913743	0.005946777	1.3641293	0.0	3.0	0.0	0.0	0.673845	0.004572174	1000	1.5218703746795654
1	20.102041	9.24992	42.0	9.0	0.407705	0.30944362	1.2102796	0.03309599	20.102041	45.303555	0.022651777267456055	1.1629509	0.22114018	2.032825	0.2549936	0.21481843	0.033027213	0.3263271	0.08887602	-1.6880036e-07	-0.018784335	3.5762787e-10	-2.8105378e-06	167.24147	-69.19616	0.051867843	-0.0016982481	0.0	0.0	0.035218224	-49.864548	-0.07921061	0.035222355	2.2795266e-05	0.00012580206	1.876762	0.0	3.0	0.0	0.0	0.6866299	0.0042890254	2000	2.686230182647705
2	21.276596	8.922127	52.0	9.0	0.45080072	0.46604916	2.4478436	0.047603354	21.276596	66.49119	0.022163729349772135	5.1872497	0.29353508	5.8659215	3.9413755	0.22994205	0.01656305	0.30318728	0.15041256	-1.13487246e-07	-0.013656836	-1.5497208e-09	0.0009407386	107.14454	-40.733597	0.20236246	-0.015089706	0.0	0.0	0.015616996	-9.554031	-0.07281236	0.018744582	-0.0013167073	0.00055433117	1.3691086	0.0	3.0	0.0	0.0	0.692047	0.004492493	3000	3.842540979385376
3	28.882353	16.120436	75.0	10.0	0.55327034	0.49952978	2.1441014	0.04001316	28.882353	85.37685	0.02134421157836914	9.458873	0.840747	11.249224	5.5845804	0.32080406	0.09817466	0.6163328	-0.024940742	2.8610229e-08	-0.023510607	-1.7881394e-10	0.0021576597	183.88618	-58.765594	0.16616201	-0.014768645	0.0	0.0	0.004379239	-4.723867	-0.050090436	0.057732254	-0.00531773	0.0005300216	2.4027538	0.0	3.0	0.0	0.0	0.6888866	0.0045740474	4000	4.988353490829468
4	30.242424	18.025286	88.0	12.0	1.0672761	2.9896443	17.800879	0.08367353	30.242424	120.65762	0.024131524658203125	14.109304	2.802184	17.773203	0.95488006	0.37882712	0.057675328	0.5121836	0.017593002	-1.2397766e-08	-0.016141254	2.169609e-08	-0.0005396495	163.09587	-18.19078	10.365453	-4.4671383	0.0	0.0	0.026081178	-0.008429063	-0.030841572	0.026091546	0.00073152065	0.051614266	1.6152878	0.0	3.0	0.0	0.0	0.6783123	0.004419127	5000	6.152982950210571
5	36.51852	17.194681	74.0	13.0	0.69206434	0.6818574	3.5802066	0.06280335	36.51852	139.41098	0.02323516337076823	15.765571	4.097548	20.29368	-4.873361	0.8265774	2.2440298	8.075313	-5.670256	2.336502e-08	-0.017653974	-4.2915342e-09	-0.00068743323	141.56485	-15.249367	4.7901464	-4.4249043	0.0	0.0	0.03199021	-0.17409003	-0.035815682	0.032368224	0.0016229767	0.0069681285	1.7991171	0.0	3.0	0.0	0.0	0.6642793	0.0040633753	6000	7.302760601043701
6	49.55	28.65916	123.0	13.0	6.1318088	22.82471	105.57209	0.0490338	49.55	262.3515	0.037478785923549106	18.861946	3.347083	21.856146	0.87596136	0.629969	0.5123936	2.6630173	-0.7465911	-1.7881394e-08	-0.01634379	-2.0503998e-08	-0.088052176	315.4357	-45.75	430.5594	-105.682465	0.0	0.0	0.02234758	0.008262868	0.08338666	0.028949661	0.16256256	4.0027666	1.70146	0.0	1.0	0.0	0.0	0.65372777	0.0039592437	7000	8.474809408187866
7	51.789474	24.932709	116.0	17.0	0.97317713	1.215182	4.2582293	0.08950511	51.789474	280.9757	0.035121963500976565	23.041683	3.2697954	24.877844	-8.9637985	5.9606414	4.268961	14.71646	-8.448393	2.4318695e-08	-0.017172374	3.4332274e-08	0.019504547	253.75662	-8.791031	46.482655	-39.567013	0.19023396	0.0	0.016076012	0.008485149	-0.019826865	0.038720313	-0.0766564	0.25950032	1.3764468	0.19023396	2.0	0.0	0.0	0.6403005	0.0037318277	8000	9.652984619140625
8	61.533333	34.534748	125.0	11.0	16.17166	48.669964	196.95284	0.024373468	61.533333	524.014	0.05822377522786459	25.070223	1.7039224	26.04926	6.864063	1.6469535	3.9588869	13.354778	-11.473661	-2.9563903e-08	0.0135333855	-1.5449524e-07	-0.10974618	401.69427	-35.183044	1435.191	-121.76587	0.102497704	0.0	0.007779708	-0.045724843	0.23030867	0.024538612	-0.12630154	0.951857	0.0	0.102497704	0.0	0.0	0.0	0.63227683	0.004233562	9000	10.825790643692017
9	52.882355	34.029198	138.0	16.0	12.166176	40.787594	174.44249	0.16528489	52.882355	769.39075	0.07693907470703125	26.78968	2.4147184	28.21051	11.3364725	4.4984446	8.765795	18.84687	-17.563808	-3.8146974e-09	0.01316539	-1.4162063e-07	-0.103176035	452.96777	-33.30548	1585.9181	-510.41663	0.09575529	0.0	0.017522428	-0.023885913	0.19224136	0.034517426	-0.13614377	1.0906225	0.0	0.09575529	0.0	0.0	0.0	0.63770276	0.0031533146	10000	12.127065896987915
