Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.124464	6.556912	51.0	8.0	0.3900176	0.24183951	1.0973712	0.045168545	17.124464	90.94831	0.022737077713012695	-0.013560294	0.22955213	0.5142657	-0.5191416	0.029415797	0.5783968	1.4089803	-1.3393037	1.2207032e-07	-0.016861904	-1.7881393e-09	-0.0031372495	131.63727	-19.736069	0.40469727	-0.36950785	0	0	7.0	0.674622	0.01727512	4000	3.898099660873413
1	19.82587	9.958847	65.0	8.0	0.34861836	0.33396983	3.4776638	0.020937363	19.82587	161.5622	0.020195274353027343	1.0435573	0.30255216	1.6726335	0.07234808	0.23762357	0.029125553	0.3626774	0.11880559	1.66893e-08	-0.012476818	2.384186e-10	0.00080809236	186.10547	-69.84628	0.095675126	-0.007550366	0	0	9.0	0.6919062	0.0147117805	8000	7.469576597213745
2	26.905405	14.678693	87.0	9.0	0.42866287	0.3401194	1.7128547	0.0075637395	26.905405	225.06044	0.01875503667195638	5.0258756	0.19817333	5.5768757	3.7915134	0.22778317	0.12237821	0.8962868	-0.5095532	-3.6895276e-08	-0.013738191	-1.2516975e-09	0.0011927638	238.30806	-92.046906	0.084747665	-0.019209273	0	0	79.0	0.6824989	0.0054857424	12000	11.357982158660889
3	33.04132	16.971243	116.0	9.0	0.7449929	1.2585303	9.887623	0.043830402	33.04132	315.21063	0.019700664520263672	10.971406	0.46751365	12.83698	8.690052	0.24983244	0.026891649	0.3247862	0.076392	-2.7000905e-08	-0.017449176	7.838011e-09	0.005081117	205.60461	-44.37886	1.3505962	-0.13207245	0	0	79.0	0.67190945	0.0059105074	16000	15.316224575042725
4	44.044445	28.463589	147.0	9.0	1.3637987	2.466918	12.190792	0.017737484	44.044445	438.73123	0.021936561584472655	15.183639	0.7176083	17.310236	9.533351	0.5835372	0.12523685	0.903655	0.20087238	5.2452087e-09	-0.015400896	-3.3318997e-08	0.010359663	386.2701	-71.00467	3.9238887	-0.5228777	0	0	79.0	0.6619525	0.0051742936	20000	16.438270092010498
5	60.83077	30.047947	156.0	12.0	2.2036676	2.2946436	11.674074	0.0475194	60.83077	583.3098	0.02430457560221354	19.521667	1.064328	21.184828	11.185804	1.1759561	0.4767318	2.4797096	-0.26099133	1.525879e-08	-0.0112259975	1.6093255e-09	0.008178155	403.87143	-65.24643	2.335459	-0.17236471	0	0	79.0	0.6486568	0.0038177767	24000	20.42228412628174
6	73.27778	40.525448	194.0	12.0	2.4919353	2.6333406	11.656094	0.038465906	73.27778	718.3754	0.025656265258789064	22.154728	3.2559044	24.3565	-6.2089515	1.4811844	0.26405966	2.1741502	0.6772276	5.4240226e-09	-0.009929598	-1.1622905e-08	0.0077642766	539.7195	-72.58023	2.7010455	-0.2539847	0	0	79.0	0.6318133	0.0034946073	28000	24.601311445236206
7	86.5	37.904774	193.0	12.0	3.548994	2.3594353	8.055987	0.24600536	86.5	881.67163	0.02755223846435547	25.51518	4.056463	27.112595	-11.367202	1.5340921	0.23780699	2.138969	0.84920704	-2.6464463e-08	-0.008380812	3.7550927e-09	0.0064288396	517.49304	-51.268036	2.1818545	-0.16721678	0	0	79.0	0.619186	0.0027477308	32000	28.674238204956055
8	110.72222	38.0691	211.0	29.0	4.9624925	2.6616435	13.761951	0.021035135	110.72222	1060.5366	0.0294593505859375	27.399776	5.10499	29.370132	-13.312166	1.9580644	0.21019544	2.4821439	1.0750971	4.4584276e-08	-0.0037175543	1.692772e-08	-0.004292816	610.72864	-73.03577	2.76024	-0.26152658	0	0	79.0	0.61094165	0.009103362	36000	32.919673681259155
9	94.52381	48.543175	276.0	16.0	3.7640486	2.443182	9.970067	0.34998006	94.52381	1218.7711	0.03046927795410156	31.040691	3.4730399	31.950623	-10.231019	2.301627	0.17346945	2.9018557	1.5692824	-2.4795533e-08	-0.0076107713	1.1920929e-09	0.00845433	563.06	-28.703613	1.9139783	-0.13917875	0	0	79.0	0.6062671	0.004306967	40000	37.41316270828247
10	123.83871	50.007164	309.0	66.0	4.040726	2.0640278	9.500468	0.2597197	123.83871	1345.0914	0.030570259787819604	33.030186	2.9348423	33.555557	-14.512772	2.0303118	0.18696669	2.3171034	0.98458433	5.3346156e-08	-0.006515749	2.7418137e-09	0.0051214667	710.5961	-53.308105	1.4122365	-0.11096704	0	0	79.0	0.60372657	0.003441596	44000	41.72394609451294
11	131.76666	53.42015	273.0	40.0	5.806682	2.335892	11.063591	1.1922473	131.76666	1520.6298	0.0316797866821289	34.758904	4.5145283	35.68681	-21.725554	1.7777818	0.16679537	2.2292907	1.0255574	-3.683567e-08	-0.0036894102	7.4505807e-10	-0.0011212411	691.6337	-47.951965	2.580311	-0.690315	0	0	19.0	0.60334265	0.012544941	48000	45.64559769630432
12	106.189186	53.493034	248.0	17.0	3.4619074	2.3285851	10.319889	0.055036504	106.189186	1649.6348	0.03172374549278846	37.10596	3.8816497	37.69455	-21.203981	2.556236	0.22097434	2.949775	1.3251896	-3.3378602e-09	-0.008930012	-2.0623206e-08	0.008622137	568.6705	-12.385742	2.1274276	-0.6955719	0	0	79.0	0.6019232	0.00949725	52000	46.72572565078735
13	147.25926	52.632614	277.0	83.0	5.379581	2.8985083	15.266413	0.7124578	147.25926	1795.103	0.03205541120256696	37.73992	4.7348933	38.740196	-15.91031	1.8147577	0.22323406	2.3030846	0.4630389	-9.685754e-09	-0.007010711	8.642673e-09	0.0064304713	687.7825	-42.523865	2.5791042	-0.31923652	0	0	79.0	0.5972215	0.0043904637	56000	50.889230728149414
14	171.31818	48.25254	280.0	97.0	6.4995418	2.8236172	11.869484	2.3294415	171.31818	1944.3904	0.03240650634765625	38.84625	7.013357	40.590603	-22.78139	2.2687843	0.45450103	3.2588496	0.5375961	-2.4437904e-08	-0.002284057	-4.887581e-09	-0.00089992885	740.87756	-66.40979	2.5268955	-0.22007775	0	0	79.0	0.59655064	0.0034390104	60000	55.19243764877319
15	161.875	54.119705	300.0	96.0	7.757009	3.4337645	14.106258	3.1007218	161.875	2135.5557	0.033368057250976565	42.477135	3.0685747	42.845207	-17.582676	2.5135105	0.22639339	2.9617467	1.2166623	1.3828277e-08	-0.007860328	9.298325e-09	0.0075235586	692.00665	-31.616394	3.9063573	-0.48762584	0	0	79.0	0.5932839	0.0038225062	64000	59.570008277893066
16	248.26666	139.03355	500.0	101.0	7.4574504	5.0286317	21.988693	1.2159976	248.26666	2252.7769	0.03312907140395221	43.81073	3.2822516	44.421566	-19.59395	3.0147266	0.3918156	4.1068196	1.0153966	3.9756298e-08	-0.0042065578	2.992153e-08	0.0031414193	1264.4983	-132.75586	5.316888	-1.3192277	0	0	79.0	0.59310865	0.004379513	68000	63.76608753204346
17	451.375	75.62562	500.0	296.0	4.7553988	2.7232556	9.495462	1.6703136	451.375	2295.5918	0.03188321940104167	47.313007	0.07287582	47.356873	46.452633	2.273437	0.40623742	3.563485	0.36851475	2.0623206e-08	-0.0027362476	-9.059906e-09	0.0011094238	1605.5477	-208.60425	2.6086495	-2.0556493	0	0	79.0	0.5843046	0.0016517162	72000	67.91571259498596
18	449.375	91.34952	500.0	234.0	7.0239973	3.7008855	13.111888	2.5675714	449.375	2358.52	0.031033158151726973	50.74025	0.07620655	50.801388	50.285847	0.8719917	0.43668237	2.1450648	-0.06693839	3.71933e-08	-0.0024860967	1.1026859e-09	0.0012435939	1409.7834	-152.20923	1.1220399	-0.16869342	0	0	79.0	0.5728856	0.0033829364	76000	71.9191505908966
19	392.9	138.72955	500.0	93.0	9.339827	2.750598	13.270806	4.3645434	392.9	2453.2424	0.030665530395507814	53.561497	0.021451471	53.574993	53.254307	1.4580584	0.28430808	2.2231681	0.47459728	-8.761883e-09	-0.0019278289	-5.3644182e-09	0.00023600084	1177.9186	-90.34387	2.2293384	-0.2359922	0	0	79.0	0.5652028	0.0034825464	80000	75.93899631500244
20	463.375	96.90064	500.0	207.0	9.864609	3.1649983	17.029478	6.3571935	463.375	2538.0867	0.03021531749906994	55.648933	0.015760882	55.663067	55.496437	1.6753308	0.55807585	3.3465693	0.3194591	5.9649345e-08	-0.004468635	6.9141386e-09	0.0022106338	1163.3525	-94.58789	1.9860737	-0.026913762	0	0	79.0	0.5671881	0.0056443643	84000	77.10734820365906
21	351.4	158.86989	500.0	99.0	6.601718	3.982832	16.95012	3.380543	351.4	2607.999	0.0296363525390625	57.673695	0.8231303	57.726387	25.548965	1.5949869	0.53706306	3.1945305	-0.9304307	-3.5762786e-09	-0.0028472075	-8.47131e-09	0.0045885877	1025.1049	-68.29047	1.9767679	-0.11297464	0	0	79.0	0.586231	0.004907206	88000	81.20552706718445
22	257.73334	133.07715	500.0	94.0	6.9452434	3.80317	18.537663	3.0657723	257.73334	2713.789	0.029497707201086958	59.353878	0.15282117	59.387653	57.48231	1.4272522	0.4522839	2.7961428	-0.12044892	-8.225441e-09	-0.003239106	-6.7353247e-09	-0.001488008	803.6662	-12.3081665	2.2872329	-0.320163	0	0	79.0	0.5965952	0.008413303	92000	85.39612817764282
23	412.77777	124.35771	500.0	125.0	8.489228	3.010021	12.6658	2.9810205	412.77777	2795.5374	0.029120180765787762	60.10725	0.19673477	60.185013	58.476456	1.7005051	0.50680315	3.0957503	0.50635976	1.2159347e-08	-0.0012771651	9.000301e-09	0.0006343004	936.0798	-50.279175	1.2595333	-0.104103565	0	0	79.0	0.58211607	0.00268777	96000	90.3389630317688
