Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	18.792454	7.776012	41.0	9.0	0.37623405	0.2185289	0.8917145	0.063086726	18.792454	20.057423	0.020057423	-0.005695686	0.16899766	0.4393059	-0.43539965	0.007786043	0.14555776	0.35383362	-0.34123284	2.681887e-08	-0.008724749	6.198883e-09	0.0014966476	161.66537	-22.178589	0.09575554	-0.07058623	0.84999996	-0.02110064	8.0	0.68554145	0.014892073	1000	1.2047791481018066
1	21.021276	10.937908	73.0	9.0	0.42937803	0.31151447	1.3087405	0.034215357	21.021276	40.599617	0.020299809	0.97997373	0.40038034	2.3846974	-0.6644925	0.22432306	0.03228549	0.3810876	0.09609072	2.3319389e-08	-0.0049770996	-2.6226044e-09	-0.0008837195	214.97794	-72.45654	0.05579269	-0.0027053058	0.8288993	-0.021255553	12.0	0.6906674	0.013297785	2000	1.9794142246246338
2	29.575758	18.04209	92.0	10.0	0.40769157	0.3493483	1.3962411	0.020564899	29.575758	54.522156	0.018174052	4.912116	0.5590783	6.7519684	2.851995	0.23581406	0.039597247	0.3642517	0.114625484	5.939041e-09	-0.008211433	8.9406965e-10	0.0015846575	325.2101	-120.83356	0.062930614	-0.0021895692	0.8076438	-0.03362006	79.0	0.678576	0.004325582	3000	3.0909476280212402
3	34.17857	22.017937	129.0	12.0	1.196744	2.5545928	13.689263	0.038833745	34.17857	88.48542	0.022121355	10.774541	0.6219219	12.159391	7.944822	0.24041776	0.09045334	0.51610184	-0.18693711	2.6416636e-08	-0.007796597	2.7894973e-08	-0.0086696185	321.4283	-74.425476	5.778164	-2.562577	0.7740237	-0.019924939	79.0	0.66055465	0.008126929	4000	4.158193826675415
4	42.0	18.87257	102.0	15.0	0.47825474	0.34792402	1.5341979	0.04494385	42.0	100.42632	0.020085264	14.576976	2.1052568	17.85705	1.7636837	0.8172124	0.95588386	3.9789965	-3.045769	8.603122e-09	-0.0070519433	2.6226044e-09	0.00012770701	224.94275	-35.839783	1.4334577	-1.2226934	0.7540988	-0.018624783	16.0	0.65518236	0.01318005	5000	5.020864248275757
5	50.57895	22.441305	103.0	14.0	1.5943886	1.8460404	6.6628637	0.13302684	50.57895	131.91258	0.02198543	18.28522	2.4990902	20.26023	-1.6760588	0.21051675	0.3479371	1.6000518	-0.921891	-2.249222e-08	-0.005676815	1.5974045e-08	-0.0060710846	281.7593	-34.331467	2.6216657	-1.0126476	0.735474	-0.019796371	79.0	0.6375278	0.010096536	6000	6.078974723815918
6	58.82353	26.19213	117.0	25.0	1.0882967	1.1034756	3.5932503	0.10936286	58.82353	150.41351	0.021487644	21.131823	0.58615524	21.940067	16.285154	1.1609739	0.41782105	2.3100939	-0.009320609	-7.1594504e-09	-0.0038375324	8.8214875e-09	0.011466043	340.01212	-27.165863	0.63128763	-0.22359565	0.7156776	-0.035758317	79.0	0.6003884	0.006305686	7000	7.248464107513428
7	74.181816	24.535015	123.0	43.0	1.5049497	0.95869106	3.5770826	0.3146184	74.181816	167.83902	0.020979878	22.793398	1.061692	23.778103	14.254284	0.9870557	0.41154853	1.8962644	-0.097432606	3.4138466e-08	-0.005643456	-8.225441e-09	0.0035998449	695.6638	-107.72882	0.4405326	-0.086716264	0.6799193	-0.027208447	79.0	0.61140215	0.0036764932	8000	8.281600713729858
8	69.71429	29.126394	122.0	25.0	2.9317837	2.716359	8.693638	0.13627733	69.71429	209.20685	0.023245206	25.485064	5.1539774	27.14896	-18.596989	0.7059226	0.18171136	1.1141249	0.24406368	-1.1217443e-08	-0.005533882	-1.1235476e-08	0.0071180295	339.86813	-18.294434	4.4676805	-1.8247557	0.65271086	-0.024987757	79.0	0.61555594	0.0034769014	9000	9.190098524093628
9	97.6	21.275337	137.0	61.0	6.5334826	4.092287	16.943655	3.1333346	97.6	274.70764	0.027470764	27.512556	3.642543	28.446962	-12.770488	2.0046225	0.38359964	3.0042078	0.6327342	-7.801974e-09	-0.0051161204	-1.7762185e-08	-0.012225582	435.21732	-36.367767	9.209195	-2.5713844	0.6277231	0.0077099204	79.0	0.61266917	0.007257326	10000	10.244663953781128
10	68.42857	20.793936	115.0	26.0	1.900678	1.0390394	3.8449357	0.1789074	68.42857	302.0793	0.027461756	30.054129	0.94915116	30.33768	18.006588	3.3265078	0.73572135	5.560036	1.0794885	-3.361719e-08	-0.0059557767	-5.0783157e-08	-0.007466874	262.10306	-3.3234253	5.167767	-4.65866	0.635433	0.00020486116	79.0	0.6005306	0.008480678	11000	11.54746389389038
11	108.666664	32.765156	162.0	65.0	5.421147	4.3661523	17.303858	2.113741	108.666664	351.05322	0.029254435	29.492802	5.037483	30.561222	-21.254532	1.2813799	0.27147907	2.001134	0.36242542	2.2995373e-08	-0.004645025	3.516674e-08	0.0029063073	546.6825	-49.370453	8.0368185	-3.053217	0.6356379	-0.0041394234	79.0	0.59959996	0.004704367	12000	12.711745738983154
12	97.6	35.542088	153.0	25.0	8.412092	8.026564	24.581295	0.0834416	97.6	435.42685	0.033494372	31.762629	3.0923483	32.626408	-3.845746	2.9568033	1.2751969	5.935373	-0.989449	-1.4039323e-08	-0.005742852	-2.324581e-08	-0.012423501	442.69342	-24.955658	21.106733	-5.013422	0.63149846	0.0076951385	14.0	0.6147617	0.014386718	13000	13.502769708633423
13	97.77778	31.389233	176.0	70.0	4.699695	2.3340926	9.032977	1.7278538	97.77778	479.87106	0.034276504	33.705204	2.9231458	34.21994	-5.0079074	4.8847528	0.9280111	7.5258083	1.7680628	8.781513e-09	-0.0026642466	5.4597855e-08	-0.012333303	482.3694	-21.672516	8.40352	-6.196516	0.6391936	0.020380855	79.0	0.59906054	0.008403051	14000	14.401119470596313
14	70.30769	26.522514	111.0	25.0	2.3110101	1.9767362	7.2269287	0.10740523	70.30769	510.37167	0.03402478	35.664963	0.044065334	35.722206	35.559914	2.5984693	0.24575768	3.1991024	1.4861984	-5.1596225e-09	-0.0022375337	-2.861023e-09	0.0041332105	340.78082	-1.2408752	2.3947706	-1.091717	0.65957445	0.0044234395	79.0	0.5964664	0.0050923806	15000	15.626874923706055
15	89.72727	39.36794	177.0	34.0	3.0425813	2.994303	11.419557	0.032659587	89.72727	543.86755	0.03399172	34.63754	4.154081	35.439613	-13.435717	1.6710182	0.27698737	2.3589	0.64848197	-6.9181536e-09	-0.0027304864	-4.4107438e-09	-0.006185843	427.25507	-4.568634	3.4789767	-0.43284678	0.6639979	0.012048423	79.0	0.5886726	0.006149744	16000	16.730118989944458
16	95.8	51.59031	214.0	40.0	1.8788164	1.5648519	5.2392454	0.173451	95.8	562.68024	0.03309884	35.42567	3.0018463	36.01524	-1.6241606	1.7168862	0.45992926	3.2838795	0.21812278	5.327417e-09	-0.00413461	-5.4836273e-09	0.0055563613	538.1682	-15.962402	1.1674824	-0.52764153	0.6760463	-0.002325952	79.0	0.5631552	0.0033586768	17000	17.811763763427734
17	98.0	35.449493	171.0	63.0	3.6940825	1.6043217	6.075762	0.5150139	98.0	599.84283	0.033324603	35.148212	7.249313	37.258053	-17.075344	1.1134942	0.28431833	1.8746331	0.19055521	-1.5371543e-09	-0.0023743096	-9.834767e-09	0.0049556135	432.14325	-22.743835	2.0513399	-1.1639495	0.67372036	-0.00090932846	79.0	0.57893556	0.0042092875	18000	18.883116722106934
18	90.63636	34.006077	156.0	31.0	6.032797	3.8549201	13.06769	0.048112735	90.63636	666.2081	0.035063587	37.63018	6.328476	38.760887	-25.22922	2.1517053	0.30039778	3.0713012	1.1618487	-3.5808763e-09	-0.0038057617	8.106232e-09	-0.019261265	395.37982	-4.5406494	7.4094386	-1.397502	0.67281103	0.011120379	19.0	0.5971383	0.012310451	19000	19.802452087402344
19	73.23077	24.928062	124.0	39.0	1.5447357	1.3384168	4.3604302	0.16060315	73.23077	687.5363	0.034376815	38.58421	0.63920546	38.721394	28.075317	3.17332	0.44877493	4.559602	1.8265696	8.932237e-09	-0.0023523818	1.502037e-08	0.014179577	350.8648	-17.784302	5.4436736	-4.508656	0.6839314	-0.0064020753	79.0	0.57877076	0.0027204438	20000	20.89673662185669
20	74.30769	27.235113	144.0	30.0	3.735312	4.9250937	18.948992	0.24103384	74.30769	736.28534	0.035061207	37.334362	0.11049775	37.411705	36.527508	1.1657113	0.1799084	1.5554832	0.5011013	2.2241915e-08	-0.0033901231	2.5510788e-08	-0.008645028	348.3064	-9.785889	12.161425	-2.9022665	0.67752934	0.014988184	79.0	0.583229	0.009809071	21000	22.221400022506714
21	103.666664	18.135294	131.0	81.0	5.8792086	3.6808481	12.303509	0.288395	103.666664	789.3061	0.03587755	34.126305	8.365645	36.26487	-26.152744	2.1350563	1.2419168	5.292941	-1.942657	-1.41525565e-08	-0.0033392038	-7.390976e-09	-0.01353899	356.12888	-18.358002	6.5255303	-1.9890485	0.6925175	0.0227952	79.0	0.5579963	0.0038210535	22000	23.295854806900024
