Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,19.78,8.386394,44.0,9.0,0.3472508,0.21139573,0.9876075,0.014677553,19.78,17.806475,0.017806474,-0.010133625,0.17366558,0.4022804,-0.4338411,0.0025601806,0.14541389,0.33933932,-0.34444195,8.058548e-08,-0.014815474,-2.9802323e-09,0.0017878762,178.73593,-22.307526,0.083238654,-0.057305776,0,0,8.0,0.685986,0.014543527,1000,1.3389170169830322,0,0.0
1,24.263159,10.85232,53.0,9.0,0.42908904,0.32533285,1.9873861,0.09417544,24.263159,52.141773,0.026070887,0.87462586,0.29572612,1.7220798,-0.045896254,0.19270925,0.024457851,0.23632768,0.0840258,-1.604557e-07,-0.011441952,-5.3644182e-09,0.008398994,318.42908,-100.937485,8.425939,-2.4901872,0,0,16.0,0.69028246,0.011969477,2000,2.152166843414306,0,0.0
2,25.435898,14.825127,68.0,12.0,0.5911292,0.9076299,5.7275167,0.10582944,25.435898,75.29061,0.025096871,4.5224886,0.7452321,6.331487,-0.24991451,0.61349905,0.8993559,2.702228,-3.8153296,-3.385544e-08,-0.014979779,-1.26361845e-08,0.00385481,240.93777,-84.73059,2.0825148,-1.3565563,0,0,79.0,0.6765867,0.0075608036,3000,3.1155929565429688,0,0.0
3,35.285713,17.48848,88.0,13.0,1.1573573,2.6778114,14.735186,0.08937219,35.285713,107.899025,0.026974756,9.568617,0.8793001,10.892525,3.4048414,0.48587462,0.3734226,1.6257365,-1.4036242,4.2438508e-08,-0.020286229,4.148483e-08,0.018561844,244.23372,-67.44127,7.509209,-2.844624,0,0,79.0,0.6700349,0.005237147,4000,4.130386114120483,0,0.0
4,41.666668,26.7187,104.0,12.0,1.0684286,1.5576855,5.260543,0.03929772,41.666668,133.54118,0.026708236,14.3076935,0.28189865,15.105034,12.624109,0.3726463,1.3842158,3.6169262,-4.747479,1.2874604e-08,-0.015187476,-1.859665e-08,0.0103887385,354.19357,-62.31671,4.0530357,-2.6889353,0,0,79.0,0.65948427,0.0051811663,5000,5.2073705196380615,0,0.0
5,59.5625,41.681786,182.0,9.0,3.6557808,8.44789,35.713516,0.025636507,59.5625,192.22012,0.03203669,18.27255,0.47225785,18.848593,14.046346,0.987441,0.18772794,1.6391466,0.41121835,2.8610229e-08,-0.015294813,-4.2915342e-09,0.021189442,618.4745,-102.62433,46.607124,-22.26472,0,0,79.0,0.64626455,0.0036915804,6000,6.396921157836914,0,0.0
6,96.9,27.566103,140.0,48.0,20.151684,24.205732,73.22743,1.0798727,96.9,394.39575,0.05634225,21.88522,2.1178455,23.38631,5.9339,4.903461,4.149718,12.019454,-7.8577957,-1.9311905e-08,-0.010378882,2.5749207e-08,0.09055556,610.10516,-95.50122,286.82132,-70.24846,0,0,79.0,0.62438,0.0034492852,7000,7.372244834899902,0,0.0
7,82.166664,34.394363,131.0,16.0,25.757341,28.887642,72.38287,0.17887214,82.166664,703.7702,0.08797128,24.113094,4.7033496,26.259188,-3.4001973,10.665635,0.73075366,12.217755,7.1688333,1.3887882e-08,-0.013717255,-1.7976761e-07,0.083461255,462.91885,-48.183044,385.0824,-91.475464,0,0,79.0,0.61865425,0.0038200822,8000,8.352160453796387,0,0.0
8,145.33333,30.103523,196.0,104.0,35.40214,20.790462,63.502567,5.2838607,145.33333,917.5086,0.1019454,26.447765,3.5118852,28.149345,3.9837613,17.404062,2.2191594,20.218065,6.395236,1.1062622e-07,-0.0038586154,1.1920929e-08,0.04629469,947.2854,-142.07416,141.36845,-11.022797,0,0,79.0,0.6117407,0.0027843807,9000,9.239938735961914,0,0.0
9,192.4,63.56917,291.0,100.0,16.546223,14.63668,39.59123,1.4600098,192.4,1000.58185,0.10005818,30.023266,3.6732836,31.213995,-1.1900126,16.971613,0.3487167,17.601397,15.143606,7.9870226e-08,-0.008662868,4.2438508e-08,0.019859193,1298.3202,-160.28271,152.30315,-111.051025,0,0,79.0,0.60656434,0.0020655328,10000,10.282716751098633,0,0.0
