Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.352175	7.698242	59.0	8.0	0.0	0.0	0.0	0.0	17.352175	0.0	0.0	-0.0008503796	0.22770137	0.51729697	-0.5088595	0.0076628607	0.57336205	1.3503855	-1.4146214	-1.6868114e-08	-0.012482098	6.3180923e-09	-0.005458776	150.36984	-103.12101	0.3281136	-0.32507068	0.99999994	-0.03246993	7.0	0.6747611	0.017868811	4000	3.486137866973877
1	20.699482	10.749761	73.0	8.0	0.0	0.0	0.0	0.0	20.699482	0.0	0.0	8.874066	0.90034825	11.367749	3.4638236	0.002491037	0.00815528	0.059124842	-0.054965056	-7.792991e-09	-0.008125757	4.656613e-11	-1.2104231e-05	91.92539	-34.717625	7.2707255e-05	-3.9775292e-05	0.96753	-0.032374263	9.0	0.6916872	0.015619038	8000	6.683774709701538
2	24.819876	11.282862	62.0	8.0	0.0	0.0	0.0	0.0	24.819876	0.0	0.0	12.451932	3.0861402	16.07493	2.03916	5.5135786e-07	0.004725137	0.0284708	-0.030488249	-1.7552045e-08	-0.015237809	9.3132255e-12	-1.5381125e-05	68.71275	-11.002209	2.232718e-05	-1.06386215e-05	0.93515575	-0.032129824	11.0	0.6811815	0.014527628	12000	9.794151067733765
3	35.410713	17.85385	86.0	11.0	0.0	0.0	0.0	0.0	35.410713	0.0	0.0	15.090044	3.9637783	20.072584	0.8209076	-0.00019061632	0.0032606598	0.03262223	-0.016010052	4.13901e-09	-0.014468062	9.778887e-12	-3.9055367e-06	154.1614	-50.597595	1.0628872e-05	-4.978943e-06	0.9030259	-0.03206557	14.0	0.6609828	0.014662898	16000	12.983009815216064
4	40.795918	18.71481	110.0	13.0	0.0	0.0	0.0	0.0	40.795918	0.0	0.0	19.349121	5.7383523	24.621315	0.7612998	0.00024371032	0.0019474337	0.011962769	-0.013444553	-3.4367384e-09	-0.015852682	8.381903e-12	4.856584e-06	116.06335	-33.764877	3.848803e-06	-1.317479e-06	0.87096035	-0.032451987	20.0	0.6308193	0.013759167	20000	16.1616849899292
5	57.260868	22.618225	139.0	18.0	0.0	0.0	0.0	0.0	57.260868	0.0	0.0	19.860062	9.789474	30.437906	0.30041042	5.579158e-05	0.0015952879	0.016996536	-0.019110035	2.0685158e-09	-0.017546581	-1.3969838e-11	4.0326768e-06	150.59026	-57.409943	2.5547986e-06	-6.1636047e-07	0.83850837	-0.032369435	25.0	0.6057458	0.013127544	24000	19.30190658569336
6	72.962265	34.792625	216.0	22.0	6.2485666	45.05906	331.17404	0.0	72.962265	331.17404	0.01182764434814453	25.0807	12.528588	37.458717	1.3601745	0.000670737	0.0068321875	0.1153462	-0.02354851	-1.8111708e-08	-0.029119715	-1.5735626e-08	-0.056335334	274.2344	-90.511826	1114.8815	-239.75745	0.80613893	-0.023542643	16.0	0.58440113	0.013768133	28000	22.4650399684906
7	95.19512	41.274345	194.0	26.0	0.10704478	0.6770107	4.388836	0.0	95.19512	335.56287	0.010486339569091797	33.865334	13.996115	46.05086	1.9265053	0.26762965	7.70347	22.43344	-23.983664	-2.3838593e-08	-0.042038664	-7.4863436e-08	-0.0862281	240.4151	-64.103195	62.00718	-58.00766	0.7825963	-0.020757377	14.0	0.57931745	0.015874725	32000	25.603973627090454
8	62.0625	26.387068	122.0	25.0	0.0	0.0	0.0	0.0	62.0625	335.56287	0.009321190728081597	36.198814	15.481808	52.334564	2.089749	0.22881067	0.5618098	1.4288228	-2.5790818	-8.65069e-09	-0.017312627	-9.678304e-09	-0.00019386513	169.51422	-81.52095	0.36614814	-0.28168777	0.7618389	-0.021829545	17.0	0.5841026	0.013707756	36000	28.752893209457397
9	99.175	49.800045	290.0	19.0	38.13653	56.67922	189.44313	0.0	99.175	1861.0242	0.04652560424804687	23.714455	14.443156	51.442936	1.3842721	0.21773504	0.82433295	3.7428498	-3.8365607	1.128536e-08	-0.036124982	5.1021576e-08	-0.11664167	528.58325	-304.51178	1939.2214	-823.579	0.74000937	0.003850937	8.0	0.5755567	0.017038094	40000	31.907867193222046
