Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	17.077253	7.3217325	55.0	8.0	0.0	0.0	0.0	0.0	17.077253	0.0	0.0	-0.009106661	0.23059635	0.50992876	-0.5087218	0.017535513	0.582055	1.3633505	-1.3640088	-1.1825561e-07	-0.021204878	-4.4107438e-09	-0.0022124276	142.8716	-20.44619	0.34215733	-0.33798286	0.0	0.0	0.020030666	-5.4072304	-0.11711485	0.021904496	0.002176146	0.0025272353	1.0465299	0.0	3.0	0.0	0.0	0.67463213	0.009300883	4000	3.9660675525665283
1	19.57353	8.365984	54.0	9.0	0.0	0.0	0.0	0.0	19.57353	0.0	0.0	1.0460957	0.28947914	1.6524616	0.1456461	0.0053629465	0.01623297	0.07033214	-0.06654779	-6.008148e-08	-0.018083446	1.15484e-10	4.9299386e-05	155.94777	-63.515083	0.00029217996	-0.00019410337	0.0	0.0	0.006113405	-57441.32	-0.10217881	0.016375875	-4.3189135e-05	1.8175949e-07	0.90487224	0.0	3.0	0.0	0.0	0.6911538	0.008847899	8000	7.680526971817017
2	25.202532	13.471846	87.0	9.0	0.0	0.0	0.0	0.0	25.202532	0.0	0.0	4.9045653	0.29096588	5.872903	3.4086137	0.0008466659	0.009695957	0.04182935	-0.03610569	2.503395e-08	-0.023660561	-4.8428775e-11	1.5987833e-05	205.57887	-80.73348	9.470149e-05	-4.279277e-05	0.0	0.0	0.024859568	-76552.375	-0.07935711	0.02864813	-1.7654022e-05	8.226458e-08	1.1968318	0.0	3.0	0.0	0.0	0.68936867	0.00833276	12000	8.523171186447144
3	32.365852	20.856564	125.0	9.0	2.2966363	25.367176	282.48627	0.0	32.365852	282.48627	0.017655391693115235	10.715649	0.9978708	15.774894	6.273941	-0.00081743055	0.012131541	0.036467474	-0.12273163	-3.33786e-08	-0.02215503	2.053678e-07	-0.009866138	286.06708	-62.598755	786.5847	-76.973206	0.027850231	0.0	0.026651619	0.019842109	0.009165102	0.02668469	-0.004194496	0.53200525	1.1589586	0.027850231	1.0	0.0	0.0	0.67720056	0.007646038	16000	12.408823728561401
4	41.206184	28.18896	192.0	10.0	2.9094028	21.695723	198.86537	0.0	41.206184	564.69836	0.028234918212890626	15.496701	1.3496443	18.609198	7.8662944	2.6966665	3.3774319	13.409067	-9.353016	3.242493e-08	-0.01382417	-2.3698807e-07	-0.025158355	378.83197	-59.196716	400.5054	-12.085205	0.27269605	0.0	0.019054791	0.017814567	0.022069572	0.02551713	-0.037950724	0.22286937	1.0342237	0.27269605	1.0	0.0	0.0	0.65981233	0.007983492	20000	15.986665487289429
5	47.11905	25.678602	128.0	11.0	1.204773	9.308346	85.069016	0.0	47.11905	665.89923	0.0277458012898763	19.672071	1.2139665	21.149685	10.854169	2.6781816	5.6177783	16.298918	-15.5365305	1.5616417e-08	-0.019643864	1.2874604e-08	0.013351655	287.29324	-21.481445	136.82834	-47.83693	0.0	0.0	0.016087197	0.013912667	-0.016876975	0.02018737	-0.013851035	0.04679098	1.0046734	0.0	2.0	0.0	0.0	0.6438439	0.008533316	24000	20.100966930389404
6	69.29825	37.353203	217.0	16.0	10.383883	51.051884	325.9931	0.0	69.29825	1257.7805	0.04492073277064732	21.969378	0.975581	22.962143	12.59463	1.5854895	2.4803793	9.496346	-10.50059	-5.3167344e-08	-0.0033765773	1.1336803e-07	-0.12009734	516.98596	-66.60925	1593.1923	-231.45654	0.20840813	0.0	0.022586042	0.010515434	0.12098262	0.036081076	-0.14431159	1.5432222	1.4655697	0.20840813	1.0	0.0	0.0	0.62649757	0.0077469083	28000	24.070696592330933
7	84.55319	45.261322	254.0	20.0	0.48661408	2.8576467	19.63571	0.0	84.55319	1280.6515	0.04002035903930664	25.380884	0.6486373	26.076899	18.011618	4.6189785	3.7272604	13.383319	-6.95876	2.3841858e-08	-0.02865941	1.6689301e-09	0.016907817	617.95276	-75.15637	31.834202	-18.278912	0.0	0.0	0.030070689	0.012856625	-0.017898625	0.04560708	-0.026396299	0.04484726	1.510084	0.0	2.0	0.0	0.0	0.61564773	0.008092798	32000	27.909903526306152
8	120.606064	55.325996	309.0	23.0	23.343073	44.041317	184.98116	0.0	120.606064	2050.973	0.05697146945529514	26.231714	7.177703	29.0656	-23.23894	2.6414394	4.164459	12.427952	-9.996712	-3.3259393e-08	-0.00083810254	2.1600724e-07	-0.18274017	843.588	-124.888	882.57776	-157.57892	0.09016556	0.0	0.0053317025	0.007428006	0.17696518	0.00757017	-0.07467257	2.4909868	0.84722126	0.09016556	1.0	0.0	0.0	0.6098825	0.0073872586	36000	31.674283981323242
9	108.638885	30.889725	164.0	21.0	2.5723689	7.2904205	30.602833	0.0	108.638885	2143.5781	0.053589453125	31.051165	3.4798257	32.305546	-9.721246	7.7880125	0.7565063	9.5836735	4.6693144	-2.6464463e-08	-0.0029276502	-1.5234947e-07	-0.0061176047	484.95596	-44.52835	59.310863	-26.529995	0.29992697	0.0	0.0010397808	0.01975615	0.005268545	0.010567325	-0.0329321	0.11383029	0.22941391	0.29992697	1.0	0.0	0.0	0.59964216	0.0054064253	40000	35.61549186706543
