Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.621145	7.6387076	53.0	8.0	0.0	0.0	0.0	0.0	17.621145	0.0	0.0	-0.0022479533	0.22541147	0.50832546	-0.5384093	0.007414558	0.5735739	1.410607	-1.4101692	-3.4129297e-08	-0.007941348	3.695488e-09	-0.0022951744	151.45105	-22.455719	0.329042	-0.32876712	0.84999996	-0.020943642	7.0	0.67521596	0.017154923	4000	3.726259708404541
1	20.56701	10.062082	79.0	8.0	0.0	0.0	0.0	0.0	20.56701	0.0	0.0	1.1301374	0.16052988	1.7805239	-0.16195498	8.298343e-05	0.015427815	0.076308385	-0.06605816	-1.591408e-08	-0.00700728	2.6263297e-10	-5.7012185e-05	191.7828	-72.55929	0.00023815257	-0.00014137759	0.8290563	-0.021098554	9.0	0.6916388	0.0151062505	8000	4.248292922973633
2	26.778524	13.289167	73.0	9.0	0.0	0.0	0.0	0.0	26.778524	0.0	0.0	5.220173	0.49349678	6.4998574	3.6301641	0.0002726352	0.009074072	0.03529756	-0.032280877	-1.90478e-08	-0.008286793	-1.3038516e-10	-3.266465e-06	204.2788	-81.44311	8.238878e-05	-3.954921e-05	0.80795777	-0.03351146	79.0	0.68163335	0.0056409175	12000	7.9364306926727295
3	31.603174	16.21878	94.0	9.0	0.0	0.0	0.0	0.0	31.603174	0.0	0.0	10.643125	1.1438766	13.498163	6.6056786	-0.00016610924	0.0068005454	0.04767727	-0.04106359	-1.3290481e-08	-0.009479271	2.6077033e-11	-9.611119e-06	186.155	-44.268616	4.6287878e-05	-1.4896741e-05	0.7744463	-0.032702744	79.0	0.67248625	0.0056329635	16000	11.649488925933838
4	44.27778	31.385427	168.0	9.0	0.00029159075	0.002750862	0.026243169	0.0	44.27778	0.026243169	1.3121584430336952e-06	14.770541	1.940636	18.097792	4.9466558	0.0001901796	0.00903992	0.05084147	-0.05481709	-1.06992415e-08	-0.008113034	-5.2154066e-11	1.917934e-06	452.80365	-86.02002	6.288091e-05	-3.7311765e-05	0.74174356	-0.020941436	19.0	0.6610776	0.0121950805	20000	14.996069431304932
5	68.465515	44.712574	236.0	13.0	2.1333115	11.04443	81.92138	0.0	68.465515	123.75831	0.005156596183776855	20.019394	1.3296294	21.668064	10.009238	0.0006867357	0.007691433	0.05951551	-0.06561236	5.4154086e-09	-0.0076634805	-2.4944544e-08	0.001528128	683.78687	-108.112976	77.54928	-7.0030518	0.7208021	-0.02762574	79.0	0.63951856	0.0031764356	24000	19.082197904586792
6	85.847824	45.070942	191.0	18.0	43.58678	106.893906	505.09692	0.0	85.847824	2128.7502	0.07602679443359375	24.250544	0.3079749	24.839499	22.085535	2.0834284	1.62705	6.6434746	-4.0345645	2.4404006e-08	-0.24122076	1.1670589e-07	-0.6268905	670.55035	-84.08771	6289.596	-818.17725	0.6931764	0.0083043575	5.0	0.62864333	0.024717651	28000	22.442370653152466
7	68.39655	38.575916	220.0	10.0	0.0060304906	0.045529205	0.34976846	0.0	68.39655	2129.1	0.06653437805175781	27.005985	0.7575148	27.650146	16.09774	11.986795	2.6467254	17.47098	-2.537598	6.3487015e-08	0.0040714084	1.8143653e-07	-0.019495962	431.694	-30.467255	149.79633	-62.500732	0.70148075	0.008597136	9.0	0.61240333	0.01452102	32000	25.774266958236694
8	65.459015	28.765629	168.0	27.0	0.0	0.0	0.0	0.0	65.459015	2129.1	0.059141669379340275	28.057102	1.9673234	29.013584	4.563955	9.518176	2.8395972	15.433755	-3.1605234	-2.7720766e-08	-0.007694872	-9.059906e-08	-0.036913484	315.20532	-11.855438	98.47582	-55.791718	0.7100779	0.00868988	34.0	0.6110129	0.012826984	36000	29.28310799598694
9	54.410957	21.810413	134.0	21.0	0.0	0.0	0.0	0.0	54.410957	2129.1	0.05322750244140625	28.0743	2.925515	29.58503	-7.8216686	5.899434	1.5596143	10.993529	-0.34714907	5.9137303e-08	-0.00082023186	1.3875962e-07	0.004846663	218.9146	-31.615051	36.95908	-19.239141	0.71876776	0.0043672323	79.0	0.6098307	0.0035107934	40000	32.99091076850891
10	55.52778	22.525278	111.0	19.0	0.0	0.0	0.0	0.0	55.52778	2129.1	0.04838863858309659	25.055277	8.654694	29.497913	-25.693565	3.953841	1.5477128	8.525938	-1.7838275	1.3247361e-08	-0.0013436285	2.002716e-08	0.0044361525	201.52325	-3.4144592	18.019918	-9.803279	0.723135	0.0013023019	79.0	0.603779	0.004246519	44000	33.991328716278076
11	64.83607	26.154133	172.0	21.0	0.0	0.0	0.0	0.0	64.83607	2129.1	0.04435625203450521	26.299578	7.835183	29.599653	-27.140379	2.7049036	1.4495034	7.74324	-2.942126	2.6787703e-08	-0.0022396813	2.0980835e-08	-0.00172424	279.67	-9.399078	9.345955	-5.7298636	0.7244373	0.002098024	79.0	0.60704225	0.004253528	48000	37.660019636154175
12	64.32258	24.939137	123.0	21.0	0.0	0.0	0.0	0.0	64.32258	2129.1	0.040944232647235575	27.249596	7.789394	30.08739	-25.402796	1.4686345	1.4467438	6.146926	-4.801711	9.341207e-09	-0.002374189	2.6464463e-08	0.00024899936	271.78043	-8.715881	4.242933	-2.4690566	0.7265353	0.00051289797	79.0	0.59628636	0.0029270255	52000	41.39703941345215
13	77.23529	31.54616	174.0	31.0	0.0	0.0	0.0	0.0	77.23529	2129.1	0.03801964460100447	29.408546	3.8945305	30.332815	-19.223522	0.9354615	1.2182204	5.6589966	-4.445593	1.4477949e-08	-0.0027730009	3.6358834e-08	-0.006676985	381.4842	-10.677124	2.3473563	-1.3716967	0.7270482	0.0016711354	79.0	0.5963806	0.008075901	56000	45.072054624557495
14	61.16923	20.768742	123.0	31.0	0.0	0.0	0.0	0.0	61.16923	2129.1	0.035485001627604165	30.883274	2.519755	31.301771	-14.7479	0.36807984	0.7954123	3.809511	-4.144607	-5.7986855e-09	-0.0017170126	-1.4901161e-08	0.00542819	262.7242	-5.265625	0.76928556	-0.36671433	0.72871935	-0.0028820634	79.0	0.58257985	0.003640142	60000	48.799057960510254
