Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,16.982979,7.5495334000000005,58.0,9.0,0.0,0.0,0.0,0.0,16.982979,0.0,0.0,0.011434633,0.23093960000000002,0.5334762,-0.5088252000000001,-0.026684057,0.5838085999999999,1.3586662,-1.4585463,-1.502037e-08,-0.014287959,7.1525574e-10,0.001846676,146.14865,-22.895134,0.34087932,-0.33771935,0,0,7.0,0.67450464,0.01746,4000,0.7868564128875732,0,0.1273046532045654
1,20.530928,9.876638999999999,77.0,8.0,0.0,0.0,0.0,0.0,20.530928,0.0,0.0,1.2421141000000002,0.25785667,2.5447507000000003,-0.033444114,0.0019255913,0.015070028000000001,0.06141532,-0.04982137,-1.8119811000000002e-08,-0.012997126000000001,1.3783573999999998e-10,8.002739e-06,185.98003,-71.82262,0.00023140923,-0.00013482163,0,0,9.0,0.6918093000000001,0.01523847,8000,4.039482116699219,0,0.1273046532045654
2,26.72973,15.593048999999999,122.0,10.0,0.0,0.0,0.0,0.0,26.72973,0.0,0.0,5.2385616,0.96585894,8.622525,-1.3989058,0.00039948325,0.009691598000000001,0.036539696,-0.045977566,-2.3365019999999998e-08,-0.016424635,-1.4528632e-10,4.670575e-06,261.9808,-94.44449,9.623148999999999e-05,-4.1352709999999995e-05,0,0,79.0,0.68250084,0.00586137,12000,7.685095548629762,0,0.1273046532045654
3,31.911291,18.820892,127.0,9.0,0.0,0.0,0.0,0.0,31.911291,0.0,0.0,11.176724,0.5858308000000001,12.865942,6.4942255,-0.00014001936000000001,0.007365116,0.038197692000000005,-0.026640961,1.9073487e-09,-0.015775276,-2.7939677000000003e-12,-1.4525105000000001e-05,230.95553999999998,-46.089844,5.4004777000000006e-05,-2.3917853e-05,0,0,79.0,0.67190033,0.0055264374,16000,11.440484762191772,0,0.1273046532045654
4,46.95238,32.698444,149.0,9.0,0.6814121,4.6186566,39.806022999999996,0.0,46.95238,57.238613,0.002861930656433105,15.299114000000001,0.86783004,17.083008,11.292422,-0.0011372662,0.010377539,0.07578528,-0.08601788,-1.9311904999999997e-08,-0.016500134,1.2218953e-09,0.0072101019999999995,479.21494,-94.84958,18.208347,-1.4846553999999998,0,0,79.0,0.66247183,0.00493714,20000,15.024690628051758,0,0.1273046532045654
5,74.81132,44.89613,186.0,16.0,6.989393,36.031517,245.77048,0.0,74.81132,427.67642,0.01781985092163086,20.263351,1.0137611999999998,21.738167,12.784728,0.9749219000000001,1.0571723,4.575394599999999,-2.5917152999999997,-3.4213066e-08,-0.014357088,-2.6482343e-07,0.042953267999999996,705.7966299999999,-117.63013000000001,746.1307400000001,-66.89874,0,0,79.0,0.64595187,0.0041711809999999995,24000,18.53472113609314,2,0.1273046532045654
6,91.16279,53.441959999999995,241.0,14.0,13.192525,34.33295,153.80302,0.0,91.16279,994.955,0.035534107753208706,23.658371,3.38973,25.349987,-16.185825,4.711995,6.317446,16.037432,-15.509792000000001,-2.4795533e-08,-0.011411893999999999,2.2649765e-08,0.033676732,789.20276,-101.525696,576.2828400000001,-67.23978000000001,0,0,79.0,0.6298558000000001,0.0038827685999999998,28000,22.096142530441284,4,0.1273046532045654
7,125.74193600000001,63.678104000000005,254.0,23.0,69.253975,111.71300500000001,394.39844,0.0,125.74193600000001,3141.8284,0.09818213653564453,27.191736,2.3833222000000003,28.120303999999997,-5.045621400000001,7.286121400000001,1.7595102999999999,12.4301405,-0.044858932000000004,-1.8119811000000002e-08,-0.010082985,-3.6954879999999996e-07,0.032293357,1028.3911,-121.71283000000001,4972.0796,-572.4746,0,0,79.0,0.6204506,0.0032964859000000003,32000,25.67094874382019,10,0.1273046532045654
8,168.08696,47.363453,339.0,113.0,128.36583000000002,122.34526000000001,365.1595,0.0,168.08696,6094.2427,0.1692845187717014,30.101848999999998,3.8635335,30.966790000000003,-19.365814,18.610570000000003,2.761956,21.332176,-2.3068482999999995,-6.437302e-08,-0.008449461,-2.2325517e-06,0.1286682,1077.5492,-119.61278999999999,5940.920999999999,-488.55762000000004,0,0,79.0,0.61997145,0.005426170300000001,36000,29.32193756103516,13,0.1273046532045654
9,212.27777000000003,79.06103,362.0,106.0,175.4932,221.25707999999997,760.1278,0.0,212.27777000000003,9253.12,0.2313280029296875,32.839127000000005,2.7539743999999997,33.609528000000005,-1.9488561000000002,24.790695,0.38481414,25.339002999999998,22.29405,2.8371812000000004e-08,-0.009116012,9.059906e-07,0.25278538,1425.7968,-151.86475,11778.133,-385.67285,0,0,79.0,0.61082125,0.0050083674,40000,30.038245439529422,8,0.1273046532045654
