Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	16.702929	6.733389	57.0	8.0	0.0	0.0	0.0	0.0	16.702929	0.0	0.0	0.011773798	0.23223257	0.5097694	-0.5272542	-0.029099667	0.5834143	1.3464565	-1.3948771	-8.225441e-08	-0.017162366	2.2649764e-09	-0.0014989439	131.38687	-92.93005	0.3407397	-0.33844787	0	0	7.0	0.6741456	0.017779296	4000	3.6153554916381836
1	20.572165	9.281812	73.0	9.0	0.0	0.0	0.0	0.0	20.572165	0.0	0.0	8.848359	0.62247497	11.325093	5.781927	0.00081799366	0.008499778	0.057651397	-0.053901877	7.152557e-09	-0.015783733	4.4703484e-11	5.4138578e-05	71.65151	-26.345943	7.2909286e-05	-3.5759433e-05	0	0	8.0	0.6917574	0.014388224	8000	4.084280014038086
2	26.918919	14.828986	95.0	9.0	0.0	0.0	0.0	0.0	26.918919	0.0	0.0	12.325226	3.0679216	16.213057	1.5125242	0.00040489176	0.0053044963	0.025585955	-0.027518464	-6.6757204e-09	-0.021478096	4.656613e-11	1.5431737e-05	120.3191	-25.579964	2.8183409e-05	-1.4895627e-05	0	0	12.0	0.6838695	0.01579938	12000	7.3485352993011475
3	33.075	17.165936	127.0	9.0	0.0016832144	0.018361703	0.20198573	0.0	33.075	0.20198573	1.2624108232557773e-05	16.52243	4.713219	22.106121	0.83450884	8.531846e-05	0.005015012	0.022413615	-0.0625266	-3.5762786e-09	-0.017672535	1.15484e-10	3.6605623e-05	136.92123	-34.683456	0.00062343344	-0.0004309072	0	0	17.0	0.65919715	0.014118178	16000	10.698894739151001
4	41.81915	19.529554	118.0	13.0	0.0	0.0	0.0	0.0	41.81915	0.20198573	1.009928658604622e-05	18.5893	6.144841	25.044312	1.7679669	0.0024716442	0.013120396	0.0601466	-0.059309915	-1.7166137e-08	-0.019657334	-9.126961e-11	-2.4539402e-05	135.55247	-39.748627	0.0001789256	-0.00015457885	0	0	28.0	0.6302511	0.012505481	20000	14.21475625038147
5	62.984127	28.099874	183.0	23.0	0.0	0.0	0.0	0.0	62.984127	0.20198573	8.416072155038516e-06	20.66855	10.328702	32.127773	-0.16027346	0.00092082046	0.0022232372	0.01493051	-0.015930526	2.6702882e-08	-0.02093144	-8.381903e-12	-6.0904144e-06	214.65517	-78.554504	5.768046e-06	-3.3068654e-06	0	0	25.0	0.61123794	0.012894474	24000	17.634464263916016
6	104.947365	50.013653	221.0	20.0	26.934982	61.300053	304.0588	0.0	104.947365	1023.7313	0.03656183297293527	25.238407	14.52263	41.13413	-4.6629224	0.0012728182	0.015166904	0.12606691	-0.111072764	2.2888184e-08	-0.013976445	1.6641617e-07	0.16829884	592.731	-298.74063	1721.2465	-357.92432	0	0	11.0	0.59942275	0.013120985	28000	21.022396564483643
7	122.125	55.55501	253.0	29.0	76.85648	124.44802	484.1599	0.0	122.125	3483.139	0.10884809112548828	41.753082	11.608039	51.141308	2.2986047	17.062582	6.1469474	21.863508	-20.101524	-1.692772e-08	-0.015180282	-1.4762878e-06	0.20931807	495.396	-124.683044	5576.6846	-950.8447	0	0	79.0	0.59966457	0.0083423555	32000	24.825588703155518
8	232.23529	66.367546	377.0	150.0	292.809	153.43054	717.1994	0.46805182	232.23529	8460.892	0.23502476671006944	44.381954	11.946712	55.78006	-2.3580945	36.864395	0.057977658	36.94632	36.336906	-2.169609e-08	-0.007900888	1.2202263e-06	0.18598413	640.93195	-424.57236	11374.654	-2007.6914	0	0	79.0	0.59489757	0.0044242134	36000	28.84530472755432
9	243.46666	79.53101	378.0	146.0	178.52588	158.92732	503.63876	0.0	243.46666	11194.689	0.279867236328125	60.685726	12.910785	67.98044	4.6058474	53.23215	0.009909538	53.247772	53.175488	-3.6656857e-08	-0.006253236	-2.5463103e-07	0.07529519	426.68607	-62.40927	5025.197	-20.708008	0	0	79.0	0.5808969	0.0038489676	40000	32.59151649475098
10	291.3846	108.13918	500.0	129.0	186.31044	236.08252	664.81976	0.0	291.3846	13616.725	0.3094710138494318	66.45192	13.562354	72.56454	6.802703	55.41609	0.01185031	55.428043	55.29421	6.198883e-09	-0.0060547213	9.260178e-07	0.052351605	475.9829	-83.66046	7892.286	-0.67822266	0	0	79.0	0.5696793	0.0017038613	44000	33.86804413795471
11	357.0	104.33983	500.0	162.0	290.89755	233.46156	747.23505	0.0	357.0	16675.11	0.34739811197916665	63.85997	15.100015	76.46067	6.090806	55.255177	0.009225208	55.268536	55.19984	-1.9311905e-08	-0.0051179486	-3.2901764e-07	0.010799275	539.7384	-180.09235	7842.759	-117.723145	0	0	79.0	0.5690887	0.0024946365	48000	37.76829981803894
12	499.25	1.9843135	500.0	494.0	845.8769	560.6853	1611.5557	0.0	499.25	23442.125	0.45081009615384615	66.92683	15.150452	81.602745	10.294608	58.883125	0.014170363	58.901768	58.8235	-2.2888184e-08	-0.004936652	1.6517639e-06	0.17021388	542.5668	-233.6416	33617.56	-2808.33	0	0	79.0	0.55620044	0.0067287376	52000	41.48992991447449
