Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,18.004545,9.312014999999999,62.0,8.0,0.0,0.0,0.0,0.0,18.004545,0.0,0.0,-0.0008435364,0.22414182,0.51042926,-0.5131554,0.0061893235,0.5649632,1.3806862,-1.3675271999999998,7.003546e-10,-0.012696966499999999,-1.192093e-10,-0.0041065277,186.80357,-120.90761,0.31971350000000004,-0.31947184,0.59999996,-0.023064911,7.0,0.67540395,0.017008612,4000,3.911246061325073,0,0.06416726748377793
1,21.031578,10.622669,101.0,8.0,0.0,0.0,0.0,0.0,21.031578,0.0,0.0,9.10346,0.7139437,11.313249,2.8008683,0.0019581097,0.01051065,0.07402036,-0.061217735999999995,1.9535001e-08,-0.008236545999999999,8.568168000000001e-11,1.7831731e-05,92.136765,-29.626015000000002,0.00011430716,-8.2280196e-05,0.57693505,-0.02274865,9.0,0.69160986,0.014387448999999998,8000,7.377514362335205,0,0.06416726748377793
2,26.243422,12.132489999999999,74.0,10.0,0.0,0.0,0.0,0.0,26.243422,0.0,0.0,12.30441,2.9064517000000003,16.118267000000003,1.0235144,0.00020606729,0.0048055667,0.031836275,-0.022567282999999997,-4.577383e-09,-0.018994503,6.9383534e-11,1.9010293e-05,81.97224,-14.970734,2.3192923e-05,-1.1240549000000001e-05,0.5541864000000001,-0.02240634,11.0,0.68234086,0.015236856000000002,12000,8.050565004348755,0,0.06416726748377793
3,33.45299,16.228336,96.0,12.0,0.0,0.0,0.0,0.0,33.45299,0.0,0.0,15.462266,4.115315,20.690649,-0.17826852,2.9369005000000003e-05,0.0033428815999999996,0.028787756,-0.020215,-1.4549508e-11,-0.018421037,-4.1909518e-11,5.432427299999999e-06,140.52022,-35.923515,1.1114916000000001e-05,-5.534366700000001e-06,0.53178006,-0.022036672,13.0,0.6602995,0.015044113999999999,16000,11.38497805595398,0,0.06416726748377793
4,42.677417999999996,22.422705,113.0,10.0,0.0,0.0,0.0,0.0,42.677417999999996,0.0,0.0,19.137434,5.369651999999999,25.282663,-0.7800615,-2.9274747e-06,0.0021234509,0.011828832,-0.024902929,-1.3901671e-08,-0.01849008,-1.3969838e-11,5.7905013e-06,172.07527,-63.683105000000005,4.5723887000000006e-06,-1.5356843e-06,0.5097434000000001,-0.02210161,20.0,0.63375694,0.0135179,20000,14.794275760650635,0,0.06416726748377793
5,61.03077,26.78402,125.0,16.0,0.0,0.0,0.0,0.0,61.03077,0.0,0.0,22.127133999999998,9.363132,30.981762,-1.7139478,6.885948e-05,0.0016258678,0.013759915,-0.011932093999999999,3.0450562e-09,-0.020406056000000002,0.0,-5.037691599999999e-06,175.21143999999998,-59.720253,2.6482099999999998e-06,-8.326714e-07,0.48764178,-0.021735609,24.0,0.6076476,0.0134096,24000,18.266616582870483,0,0.06416726748377793
6,93.95238,51.967915000000005,259.0,30.0,4.494515,19.290087,91.17197,0.0,93.95238,188.76963999999998,0.006741772787911551,25.231167000000003,12.861507000000001,39.506405,-1.8180683000000002,0.0009323832,0.009752371,0.119916566,-0.0927126,8.647084999999999e-09,-0.019820748,-2.4735927e-09,-0.007783140500000001,495.0085,-236.14188,179.01787,-13.020187,0.46590617,-0.022833377000000002,43.0,0.59190595,0.012540493,28000,21.87273907661438,2,0.06416726748377793
7,99.333336,33.759583,191.0,23.0,6.425955999999999,19.989979,96.7767,0.0,99.333336,439.3819,0.013730684280395507,36.67286,15.42601,49.975998,2.1361470000000002,4.1181790000000005,0.9339412,6.577382000000001,0.6277533000000001,-2.4069797000000005e-08,-0.015393371000000001,-4.4763087e-08,-0.027025063999999998,182.60669,-39.005386,162.6029,-13.499785999999999,0.4430728,-0.013662308,20.0,0.5833309,0.013247623,32000,25.36215043067932,4,0.06416726748377793
8,88.888885,37.628136,214.0,27.0,0.050013945,0.32126370000000004,2.1799147,0.0,88.888885,441.63254000000006,0.012267570495605468,40.73767,14.913497,53.47598299999999,1.1396016000000002,2.2147505,2.559304,11.951221,-8.212728,8.354447e-09,-0.019511307,2.503395e-08,0.012436931000000002,177.21129,-58.15641,11.513821,-11.211849,0.4294105,-0.013747305,11.0,0.5847635,0.016305672,36000,28.718142747879032,0,0.06416726748377793
9,146.25926,83.10929,453.0,39.0,21.596329,37.14765,135.22557,0.0,146.25926,1024.7334,0.0256183349609375,36.550616999999995,16.907532,55.307163,0.4716787,0.25727406,1.3968109,8.119048,-3.3011544,5.506972e-09,-0.01750945,3.1948090000000005e-08,0.012568881,441.2,-240.83507000000003,524.61224,-206.26468,0.41566318,-0.0016899407,8.0,0.58134836,0.014989668999999999,40000,32.31687688827515,8,0.06416726748377793
