Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.094017	7.0534987	48.0	8.0	0.040704668	0.035148516	0.20404516	0.003117602	17.094017	9.524892	0.00238122296333313	0.0055667493	0.23010342	0.52873844	-0.5208491	-0.011186887	0.5765908	1.3550346	-1.41323	-2.2649764e-09	-0.015093781	4.7683715e-09	-0.0004831598	137.53899	-21.864548	0.33685407	-0.33544147	0	0	7.0	0.67448133	0.017150417	4000	5.444437503814697
1	21.202127	10.930223	87.0	9.0	0.051248875	0.043216795	0.2632686	0.0031959093	21.202127	19.162046	0.0023952558040618898	1.1487585	0.20305339	1.8837049	-0.105390094	0.03391638	0.01657108	0.095125444	-0.036769163	-4.4107438e-08	-0.015204342	9.387732e-10	0.0001461534	214.3702	-77.78247	0.0017610679	-0.0001847524	0	0	9.0	0.692036	0.015575969	8000	7.655941963195801
2	25.52564	11.737212	62.0	9.0	0.06477518	0.094799064	0.7107646	0.0032573233	25.52564	29.271341	0.0024392784436543784	5.3169427	0.40604395	7.155352	3.5612392	0.04193159	0.0095227165	0.073249616	0.0018613825	-5.3048133e-08	-0.0111486865	4.3585896e-10	0.00042209963	169.39447	-66.535965	0.007623644	-0.00028225733	0	0	16.0	0.6827873	0.012419144	12000	12.464181661605835
3	34.198277	17.230797	111.0	12.0	0.11153547	0.23600893	1.7460624	0.0014338329	34.198277	42.211792	0.0026382369995117186	10.545016	0.45085895	11.821272	7.7042403	0.05649212	0.0071717873	0.079877175	0.0014614913	3.242493e-08	-0.013804698	1.3411044e-10	0.00100017	228.73497	-57.830902	0.04448667	-0.008411758	0	0	79.0	0.66326904	0.0048999605	16000	17.561172008514404
4	40.469387	20.318989	108.0	11.0	0.4319862	1.9351846	14.350895	0.0038041645	40.469387	84.59272	0.004229636001586914	15.071266	1.1852396	18.10383	5.5012236	0.08490079	0.10845452	0.7445409	-0.5768782	6.3300135e-08	-0.01404903	-3.6507844e-10	0.005531669	234.05544	-36.76146	3.195182	-0.2441721	0	0	79.0	0.6545128	0.004674207	20000	22.684147596359253
5	55.676056	31.392908	165.0	13.0	1.2686051	2.7717774	20.459322	0.0043755076	55.676056	174.70108	0.007279211680094401	18.24609	2.1413329	20.949062	1.0950303	0.5280547	0.19262575	1.3369925	-0.10718287	4.863739e-08	-0.015641944	2.4139881e-09	0.009483145	419.20462	-70.02908	4.3922033	-0.5445299	0	0	79.0	0.6438401	0.0060971417	24000	27.786646842956543
6	69.91228	38.563812	161.0	14.0	17.54721	58.40972	284.85367	0.0016596995	69.91228	1174.8953	0.041960545131138394	21.866476	4.2090354	24.118362	-16.429237	1.1980349	0.60718817	3.482377	-0.78949845	-2.5272369e-08	-0.013345016	-8.1014633e-07	0.09882437	520.39856	-74.34537	2100.5215	-255.77441	0	0	79.0	0.63376015	0.0047377045	28000	32.76461219787598
7	107.432434	37.197456	165.0	21.0	84.35846	180.67607	721.0136	0.044148628	107.432434	4296.1714	0.13425535583496093	26.048502	1.8168595	26.860548	0.73174953	4.7912683	7.6783276	17.034637	-16.326006	6.437302e-08	-0.008847993	1.8839836e-06	0.41869202	682.0474	-93.73871	15212.641	-1789.4717	0	0	79.0	0.6213164	0.006002612	32000	37.81311535835266
8	133.2	47.73147	239.0	52.0	83.77602	185.23253	787.37134	0.024669401	133.2	6809.453	0.18915147569444443	27.795603	4.9104657	29.9128	-18.87921	15.456914	1.3968554	18.157806	8.572099	5.984306e-08	-0.011265149	9.3746183e-07	0.21033286	846.0616	-117.13257	12494.912	-469.9961	0	0	79.0	0.62681884	0.006147289	36000	40.229910135269165
9	115.21875	53.158802	256.0	20.0	102.62746	239.94113	869.0208	0.011413438	115.21875	10111.271	0.252781787109375	31.919773	4.169136	33.007114	-18.426517	22.273937	0.46046615	23.213137	18.84344	-4.211068e-08	-0.011289773	-2.6798247e-07	0.2677112	827.0384	-67.76703	20678.514	-341.06055	0	0	79.0	0.6187968	0.0028858236	40000	45.298853397369385
10	185.80952	78.44113	379.0	89.0	238.98216	290.77954	902.586	3.6232371	185.80952	15130.418	0.3438731356534091	33.57847	5.919636	35.250607	-19.48259	26.55379	0.22208627	27.010473	25.131197	-3.015995e-08	-0.010078796	1.8658639e-06	0.18943763	1136.644	-126.98602	27298.637	-673.83594	0	0	79.0	0.6155995	0.0045811934	44000	50.59239745140076
11	222.88235	82.75185	410.0	82.0	732.8657	441.64227	1435.4832	0.7037214	222.88235	27592.39	0.5748414713541666	35.809227	6.7980766	38.050938	-16.502363	31.227695	0.2334225	31.522997	29.527092	7.6293944e-08	-0.005758955	-4.31633e-06	0.74754155	1255.8118	-149.45947	116328.516	-2678.6094	0	0	79.0	0.6183872	0.0067695654	48000	55.7173216342926
12	220.77777	125.38321	500.0	52.0	537.6621	497.5727	1578.7614	0.35797477	220.77777	37270.316	0.7167368539663461	39.98606	3.9789755	40.850433	-4.201532	36.866436	0.08994337	36.974255	36.27202	-4.7683715e-09	-0.008627291	3.1232835e-06	-0.045356743	1277.1863	-106.31482	86553.555	-1024.1484	0	0	79.0	0.6093999	0.0046931887	52000	60.61928057670593
13	321.41666	137.61325	500.0	126.0	693.68896	583.1044	1548.4371	3.4161546	321.41666	45597.37	0.81423876953125	42.810623	2.5184069	43.16174	-4.7906647	39.84326	0.045712505	39.893677	39.508938	-2.336502e-08	-0.005388785	-2.714157e-06	-0.31365207	1513.8397	-142.29895	88126.49	-686.53906	0	0	79.0	0.6065697	0.0032557936	56000	65.53312110900879
14	245.0625	108.856255	461.0	127.0	654.4966	499.33395	1536.3596	1.188245	245.0625	56069.434	0.9344905598958333	45.65417	0.07020355	45.690926	45.09471	42.135235	0.014219428	42.158195	42.050068	-3.7431718e-08	-0.009141166	-1.8806458e-06	0.4467412	1079.0701	-63.08667	94101.0	-836.4297	0	0	79.0	0.61006755	0.008124784	60000	67.92265725135803
15	369.6	113.48057	500.0	181.0	1393.6112	1245.4152	3243.2637	23.754261	369.6	70310.73	1.0986051025390624	46.698277	2.1001594	47.394215	26.161303	44.510094	0.020754324	44.544857	44.414436	-1.7881394e-08	-0.0032403313	3.1204224e-06	-0.159387	1421.474	-131.90955	264950.03	-1837.9062	0	0	79.0	0.60024685	0.0039615356	64000	72.92971205711365
16	247.33333	145.88838	500.0	20.0	856.26184	618.9904	2288.667	0.047371626	247.33333	83385.195	1.2262528722426471	49.319664	0.8041228	49.581856	35.179	47.74274	0.014277372	47.761932	47.557056	5.0783157e-08	-0.005484629	1.0185242e-05	0.083365954	1086.8225	-171.70679	141072.77	-1186.625	0	0	79.0	0.6015003	0.0048182146	68000	78.20345568656921
17	330.41666	126.53422	500.0	152.0	814.9473	656.75055	1979.8615	36.88662	330.41666	93164.58	1.2939524739583332	49.49464	6.1412096	51.375973	-5.3841915	50.2587	0.004989602	50.267807	50.23212	3.2901763e-08	-0.011214777	2.2802353e-06	0.3047731	1053.0208	-94.92444	109496.2	-627.1797	0	0	79.0	0.59101593	0.005319456	72000	83.17709445953369
18	419.22223	103.93885	500.0	253.0	1280.6177	1243.3237	4324.3086	23.389784	419.22223	104721.945	1.3779203330592105	50.91821	6.579455	53.191868	-6.05816	52.058544	0.010380492	52.069073	51.965847	4.1246413e-08	-0.005636697	9.57489e-07	0.31367815	1202.6598	-119.52258	207491.77	-898.5469	0	0	79.0	0.584096	0.007627258	76000	88.03346824645996
19	331.81818	129.99777	500.0	69.0	797.96216	630.69775	1556.5311	1.9750073	331.81818	113531.12	1.41913896484375	55.08478	0.010777336	55.093876	54.95305	54.111465	0.01467388	54.125576	54.03729	-9.536744e-10	-0.006574272	-2.37751e-06	0.702656	1033.324	-54.130188	98539.28	-476.76562	0	0	79.0	0.58669275	0.006184412	80000	93.05358958244324
