Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	17.311687	7.8292265	68.0	8.0	6.051743e-05	0.00020657593	0.0030738788	1.5004219e-05	17.311687	0.013981109	3.4952771384269e-06	0.01199236	0.22860572	0.5478953	-0.5197245	-0.025341624	0.5788209	1.4200406	-1.4553483	-1.4305115e-09	-0.01515941	-3.0994416e-09	-0.00029671157	153.25984	-22.800186	0.3357045	-0.33541998	0.0	0.0	0.02291322	-0.34960586	-0.028878726	0.022993837	0.00043239506	0.0023191525	1.5163718	0.0	3.0	0.0	0.0	0.6747162	0.0043446217	4000	4.055657625198364
1	18.746479	9.310076	70.0	9.0	0.00018223487	0.0013588303	0.017473957	1.70637e-05	18.746479	0.05280885	6.601106375455856e-06	1.1634717	0.40327024	2.2321157	-0.08523129	-0.0015328825	0.016044918	0.067628875	-0.06416433	-8.0823895e-08	-0.01654097	1.5646219e-10	3.1467578e-05	165.83112	-65.02713	0.00026755454	-0.0001634649	0.0	0.0	0.013441572	-3828.9026	-0.026661955	0.027336875	-5.0791175e-05	1.856558e-07	1.6533867	0.0	3.0	0.0	0.0	0.6884375	0.004466073	8000	7.6318535804748535
2	23.411764	12.55041	74.0	9.0	9.0726775e-05	0.00023251153	0.0022811245	1.7442688e-05	23.411764	0.06826229	5.688523873686791e-06	5.0839777	0.48605254	6.788462	1.5874758	0.00023549778	0.009998909	0.065971196	-0.039643526	2.014637e-08	-0.016688684	3.7252902e-11	1.2919016e-05	173.62433	-66.95391	9.9801706e-05	-4.147515e-05	0.0	0.0	0.017885132	-11216.11	-0.02135291	0.027962659	-2.0240102e-05	4.065102e-08	1.6722039	0.0	3.0	0.0	0.0	0.69278836	0.0042789774	12000	11.283371925354004
3	28.22857	18.574308	111.0	8.0	0.33691305	3.9533808	46.946323	1.5158338e-05	28.22857	47.236347	0.0029522716999053956	10.2810335	1.2283573	13.729784	1.3656024	0.00070553983	0.011929543	0.119719535	-0.044507537	-2.0742416e-08	-0.017380692	-4.5597552e-09	0.0033634459	234.24582	-49.694275	21.383696	-6.482707	0.0	0.0	0.019577844	-0.0008121547	-0.005777372	0.030832877	-0.005894508	0.0030870836	1.7559294	0.0	3.0	0.0	0.0	0.68892527	0.004287265	16000	15.684574127197266
4	33.66949	19.612368	127.0	10.0	0.69417727	5.4582124	51.471073	2.0842737e-05	33.66949	129.14932	0.0064574661254882815	14.984839	0.83650404	15.967054	6.2785544	0.9146059	1.9275067	11.029735	-6.57284	-2.6822091e-09	-0.011704976	-7.867813e-09	-0.005955632	204.811	-19.098938	22.440077	-3.1032906	0.66501206	0.0	0.021682687	0.008709111	0.0057671578	0.02418808	-0.008034435	0.025765277	1.5778643	0.66501206	1.0	0.0	0.0	0.6795993	0.0039953203	20000	19.627161502838135
5	39.10784	25.877127	145.0	11.0	0.60489655	5.488383	55.638824	1.8482973e-05	39.10784	190.8488	0.007952033360799153	17.019825	2.5607285	20.189707	-3.2951412	0.09971808	4.1325984	15.235927	-15.419671	-1.9550324e-08	-0.014835185	-5.9127807e-08	-0.0024323615	312.21603	-41.573425	62.503296	-34.333107	0.12828071	0.0	0.023922281	0.009949452	0.0026822381	0.0253189	-0.014098883	0.14232832	1.5506068	0.12828071	1.0	0.0	0.0	0.66667825	0.0040177964	24000	20.95612597465515
6	49.97468	37.251446	252.0	11.0	0.7534365	5.1103725	45.007313	2.2040555e-05	49.97468	250.37039	0.008941799708775112	20.372412	1.2055014	21.879307	11.045211	0.8659663	1.0610375	3.675593	-3.1295023	1.1086464e-08	-0.015783258	2.5272369e-08	-0.0044316933	476.7599	-46.49527	22.483942	-4.1187553	0.36494115	0.0	0.03238318	0.009645451	0.005071298	0.036452018	-0.017179724	0.07253745	1.832308	0.36494115	1.0	0.0	0.0	0.65341127	0.0036128496	28000	24.637245893478394
7	61.06154	38.282703	170.0	10.0	0.9919888	4.4710116	32.2037	2.2422499e-05	61.06154	314.84973	0.009839054107666015	23.786793	1.1217506	25.011148	8.096444	0.88212353	1.081051	5.418364	-3.2919662	9.536744e-10	-0.006666451	-9.1195105e-09	-0.008219471	452.81027	-39.13153	16.119915	-3.1699924	1.4989249	0.0	0.023326907	0.0065341196	0.008057262	0.032145962	-0.01285262	0.018731017	1.8894484	1.4989249	1.0	0.0	0.0	0.63922125	0.003650729	32000	28.44399094581604
8	67.305084	31.045761	173.0	14.0	0.13948038	0.97532773	7.5546985	2.990081e-05	67.305084	323.0791	0.008974419487847222	26.822638	0.9294484	27.696072	13.993533	1.0908948	0.4003027	2.6583776	-0.12651308	2.8729438e-08	-0.015393563	-1.5616417e-08	0.0034273257	354.66995	-22.749146	1.4843252	-1.0029265	0.0	0.0	0.011815578	-0.0026732825	-0.005356499	0.024433259	-0.005344736	0.0022639818	1.5631142	0.0	3.0	0.0	0.0	0.6336274	0.004244837	36000	32.62619590759277
9	86.22222	35.97585	171.0	13.0	0.31131408	0.9825228	6.0456467	3.3110322e-05	86.22222	337.55402	0.008438850402832031	28.081303	2.1615329	29.289648	0.7018298	0.07971621	0.30600867	1.01953	-0.7473877	4.2438508e-08	-0.015101318	-2.8461218e-09	0.001203874	467.1526	-50.59445	0.5135199	-0.09849298	0.0	0.0	0.009804958	-0.008503832	-0.0021883678	0.02395484	-0.0019136649	0.00025880872	1.5477351	0.0	3.0	0.0	0.0	0.623962	0.004154138	40000	36.746877670288086
10	117.05882	41.7809	233.0	53.0	3.436477	8.5078335	33.531944	0.000112712034	117.05882	454.3943	0.010327142888849433	30.502178	5.368826	31.93199	-28.312506	0.22052747	0.068034336	0.6681762	0.09423566	-1.1920929e-08	0.009326539	3.243983e-08	-0.019563941	644.24817	-77.40442	29.791975	-4.4481754	0.51606816	0.0	0.003892226	-0.0067594256	0.02508548	0.0121278465	-0.017584946	0.03754791	0.0	0.51606816	0.0	0.0	0.0	0.6140862	0.004276288	44000	40.810211420059204
11	102.97369	39.032024	211.0	35.0	0.49290884	1.9820268	12.039802	5.734533e-05	102.97369	473.12494	0.009856769561767578	33.750977	3.4627616	34.961967	-5.382826	2.320401	0.8061416	4.950492	-0.81344855	2.3841857e-09	-0.0024475753	3.838539e-08	5.2375795e-05	465.64862	-43.325256	6.623707	-5.1412826	1.2318615	0.0	0.000514675	0.009999335	-6.8863854e-05	0.011365772	-0.0087930355	0.007125314	0.22687204	1.2318615	2.0	0.0	0.0	0.61876357	0.0021578365	48000	44.48000693321228
12	97.414635	39.418934	235.0	14.0	0.2746108	0.7234642	3.6138241	2.7889833e-05	97.414635	484.384	0.009315076974722055	34.317013	7.5351954	36.89329	-26.013416	0.32884255	0.25335377	1.1429416	-0.2091305	-1.3589859e-08	-0.010942125	1.758337e-09	0.0022302405	406.68362	-14.0711975	0.3208738	-0.094019055	0.0	0.0	0.0034766025	0.0025264074	-0.00231371	0.012994822	-0.0026110914	0.0007162892	1.1399484	0.0	2.0	0.0	0.0	0.61401343	0.004449501	52000	48.19686508178711
13	128.96774	35.943935	224.0	78.0	0.41766077	1.5432838	8.810278	0.00035679858	128.96774	497.33148	0.008880919320242745	36.059307	6.3186474	38.079117	-13.828362	0.18523294	0.11813308	0.6572531	-0.26491615	-1.9073486e-08	-0.009961166	-5.6773426e-09	0.0006273434	512.76825	-38.451538	0.89109856	-0.086365044	3.860254	0.0	0.01095789	0.008984238	-0.0006384482	0.023620792	-0.0022542197	0.00040129086	1.104391	3.860254	2.0	0.0	1.0	0.6089895	0.0026153417	56000	48.826099157333374
14	140.42857	37.33098	220.0	90.0	2.8460488	8.982612	43.371273	0.00035018282	140.42857	577.021	0.0096170166015625	36.89385	8.719753	40.13713	-20.571436	0.2352055	0.22907013	1.1976929	-0.21099228	-3.4332274e-08	-0.0042117103	9.536744e-10	-0.01439213	512.3268	-50.989044	25.093416	-3.9454536	0.13979885	0.0	0.0034620569	0.0069915163	0.01670635	0.0034779245	-0.0012132843	0.09277169	0.70369005	0.13979885	1.0	0.0	0.0	0.6016626	0.0018062437	60000	52.61672401428223
15	132.0	32.904625	220.0	73.0	3.1785333	3.3719287	10.321027	0.0007605724	132.0	666.3844	0.010412256240844726	37.872486	10.784365	42.44076	-18.801256	1.2770108	1.8770728	6.834191	-3.5487728	7.629395e-09	0.004056621	-2.861023e-09	-0.007293209	482.2383	-39.756653	6.273516	-2.383629	1.3542376	0.0	0.0010210464	-0.06551561	0.020291919	0.0028179314	-0.0031301482	0.005452674	0.0	1.3542376	0.0	0.0	0.0	0.5906202	0.0046068965	64000	56.28810977935791
16	128.29033	41.090137	227.0	54.0	0.3057679	0.44534165	1.6445554	0.00014066965	128.29033	675.8632	0.009939165003159467	41.052597	8.2146845	44.382507	-3.7597914	1.6275576	0.37183946	2.9346087	0.5959371	1.1920929e-09	-0.004749456	4.172325e-09	0.0013254273	404.34528	-25.566895	2.2788692	-2.192311	1.345988	0.0	0.0009137878	0.007780854	-0.0015140043	0.0044425004	-0.00190916	0.001032924	0.342696	1.345988	2.0	0.0	1.0	0.5894132	0.002776586	68000	59.8398323059082
17	142.42857	46.377666	244.0	73.0	1.184884	1.4497048	5.8580055	0.0029060536	142.42857	709.04004	0.0098477783203125	38.66925	12.689496	45.657024	-7.6712646	0.15442118	0.15698941	0.6118806	-0.22505407	6.9141386e-09	0.009267732	1.4901161e-10	-0.0032986614	420.74707	-37.071136	0.8989895	-0.26236844	3.156105	0.0	0.005079627	-0.01303281	0.0048086136	0.013146212	-0.002845714	0.0010039054	0.0	3.156105	0.0	0.0	0.0	0.5930774	0.004639472	72000	63.710200548172
18	120.63636	40.88181	279.0	72.0	0.3776853	0.9658437	4.572456	0.00012303171	120.63636	721.50366	0.00949346923828125	42.98346	9.6553755	47.455753	-2.8903317	0.63285804	0.17441715	1.334358	0.118840925	-2.771616e-09	-0.009721095	1.4007091e-09	0.00089796673	338.17105	-32.904602	0.45842326	-0.16116771	3.652043	0.0	0.0043796534	0.009076945	-0.0010139123	0.024823572	-0.00477165	0.0011137122	0.6946244	3.652043	2.0	0.0	0.0	0.5891466	0.0037887206	76000	67.54961657524109
19	123.09375	36.58924	235.0	77.0	0.559542	1.3321689	6.8263597	0.00097125093	123.09375	739.4091	0.009242613983154296	38.03394	14.550667	48.221657	-6.7419343	0.19588754	0.22606131	1.3075095	-0.31261605	4.4345857e-08	-0.005725099	-4.61936e-09	-0.00063022727	254.16745	-17.289825	0.51301825	-0.03334558	3.018457	0.0	0.0047459225	0.00975032	0.00048371262	0.011368408	-0.0024911838	0.00093710993	0.69767135	3.018457	1.0	0.0	0.0	0.57383925	0.0031538806	80000	71.25412964820862
20	139.60715	30.05868	199.0	93.0	0.34071678	0.46765125	1.7146612	0.0012680476	139.60715	748.94946	0.008916065034412203	42.642033	12.190628	49.34794	0.7068793	0.4049858	0.33160958	1.677781	-0.3347315	2.2172928e-08	-0.007262977	2.0563602e-09	0.0011054405	314.8904	-10.453735	0.20832531	-0.14247844	3.1310487	0.0	0.0013335508	0.008403985	-0.0011409388	0.012429002	-0.003008267	0.00081561983	0.39834756	3.1310487	2.0	0.0	0.0	0.57777095	0.0030173399	84000	75.38898873329163
21	148.0	55.85298	350.0	85.0	0.65538144	0.8355174	3.0311217	0.0042341477	148.0	766.6448	0.008711872447620738	43.71161	12.875655	50.407433	-1.3924501	0.17462724	0.111920014	0.6163099	-0.12597074	2.1338463e-08	-0.0010738965	1.5050173e-09	-0.0012450722	408.02393	-16.014923	0.22886892	-0.023623377	1.9455556	0.0	0.00092855544	0.0089638475	0.0010498746	0.003747729	-0.0017317553	0.0010637786	0.32185236	1.9455556	1.0	0.0	0.0	0.56117356	0.0016279737	88000	76.75044178962708
22	149.57692	43.296097	247.0	84.0	0.20543696	0.23623328	1.0854914	0.0056737307	149.57692	772.01117	0.008391425754712975	44.465717	12.763171	51.700073	-0.5273231	0.32458517	0.102122426	0.78213596	0.096320376	-1.0967255e-08	-0.01176413	4.0233136e-10	0.0009765606	310.07706	-21.416687	0.06944504	-0.047567382	0.0	0.0	0.0066111786	-0.012149853	-0.0019693081	0.01643236	-0.0013113243	0.00017508805	1.2818877	0.0	3.0	0.0	0.0	0.55901074	0.0038621535	92000	81.65011048316956
23	153.0	33.85603	213.0	81.0	1.5615011	3.2379587	14.850358	0.09441405	153.0	812.6102	0.008464689890543619	43.43479	15.384633	53.20489	-3.8994212	0.120421425	0.11628629	0.59992933	-0.20314243	1.0490417e-08	-0.0028511165	4.068017e-09	-0.0066679786	267.932	-17.720764	3.7024107	-1.0454633	0.58077896	0.0	0.0026710473	0.0058003985	0.006937916	0.003002357	-0.0019486864	0.011461725	0.6785969	0.58077896	1.0	0.0	0.0	0.5506376	0.002861979	96000	85.25556707382202
24	177.59091	66.066536	427.0	90.0	0.26144576	0.21136792	0.63724136	0.0066417092	177.59091	818.3622	0.008183621826171874	48.12645	12.737179	54.518745	1.3692119	0.8706437	0.5640018	3.3593419	-0.5592593	2.992153e-08	-0.010605183	-4.351139e-09	0.0010771418	391.44745	-28.863861	0.91462827	-0.88874227	3.2814107	0.0	0.004447994	0.008463434	-0.0013432795	0.024291301	-0.0048272284	0.001174307	0.7249512	3.2814107	2.0	0.0	0.0	0.5472091	0.0044591036	100000	88.99768686294556
