Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,16.77311,6.767988000000001,59.0,8.0,4.9901384e-05,6.13207e-05,0.00080525107,1.8044568e-05,16.77311,0.011890427,2.9726068023592237e-06,0.005066395,0.23084216,0.529086,-0.5178060999999999,-0.019066297,0.585321,1.3596298,-1.362115,-7.484410000000001e-09,-0.010280754,7.2717667e-09,-0.0019463782,132.563,-21.542595000000002,0.34264845,-0.34028286,0.84999996,-0.02093941,7.0,0.67424905,0.01806459,4000,3.964622259140015,0,0.028611304954640614
1,21.079365,11.926097,100.0,9.0,6.0901824e-05,0.00010014325000000001,0.0013500806,1.6016102e-05,21.079365,0.023456015,2.9320018365979196e-06,1.175826,0.19466007,1.9904686999999999,0.40292433,0.0028308164,0.015940594,0.06501668,-0.061240435,-2.1854946000000002e-08,-0.006142465,9.685755e-11,2.3619146e-05,233.47127000000003,-81.97285500000001,0.00026418987999999997,-0.00016515981,0.82906055,-0.021001756,9.0,0.6915498000000001,0.014120226000000001,8000,7.628427505493164,0,0.028611304954640614
2,28.035211999999998,17.130160999999998,99.0,10.0,0.0001937643,0.001131705,0.013148573,2.0357485e-05,28.035211999999998,0.05100318400000001,4.250265347460907e-06,5.409883,0.26329792,6.0150375,4.147442,0.0007297857000000001,0.009819825,0.042807437000000004,-0.04434884,1.0812881e-08,-0.0064920215,0.0,-3.5131077000000004e-05,287.3806,-104.37635999999999,9.455960999999999e-05,-4.057196e-05,0.8080588000000001,-0.021569192,15.0,0.68215346,0.012485623999999999,12000,11.171234846115112,0,0.028611304954640614
3,33.308334,18.107916,124.0,10.0,0.0005449914599999999,0.0046738307,0.051432457,2.0076744e-05,33.308334,0.116408706,7.275544106960296e-06,11.317582000000002,1.16755,13.746255,7.553868,2.8051464999999998e-05,0.006749763000000001,0.024714231,-0.03808031,2.7781496e-08,-0.007480489,5.1222740000000004e-11,-2.5046511e-05,220.66641,-46.479690000000005,6.6606575e-05,-2.0378193e-05,0.7864896,-0.03204173,79.0,0.6618276999999999,0.0051478543,16000,15.100675344467163,0,0.028611304954640614
4,39.67,21.651815,112.0,11.0,0.0004237169,0.0024368241000000002,0.024422118,2.6149233e-05,39.67,0.15884797,7.942398637533188e-06,14.750751500000002,2.3274097,18.633202,0.87563914,-8.829979999999999e-05,0.005512579,0.021726474,-0.04184559,-7.1899557e-09,-0.0099959625,2.8871000000000002e-11,-3.1394875e-06,247.08615,-38.91661,3.8592003e-05,-1.9023462e-05,0.7544479000000001,-0.033429086000000004,79.0,0.6554506999999999,0.005882084,20000,19.175453424453735,0,0.028611304954640614
5,55.915493000000005,26.520120000000002,126.0,15.0,0.019798134,0.087701455,0.68459636,2.4603854e-05,55.915493000000005,1.5645711000000002,6.519046425819397e-05,17.717589999999998,3.949098,21.21284,-9.434023,0.00011872214,0.006711278,0.042998333,-0.053238306,-1.4133732000000002e-08,-0.008555369,1.5739351e-10,0.00015114265,344.09902999999997,-58.454163,0.0060032452,-0.0010152045,0.7210188,-0.030052422999999998,79.0,0.6405205,0.00545702,24000,20.209211826324466,0,0.028611304954640614
6,89.81396,43.125698,215.0,15.0,1.1306261999999998,4.763386,29.549927,3.6267593e-05,89.81396,50.194317,0.0017926541737147738,21.359323999999997,3.7815304,23.76655,-12.998550999999999,0.018858451000000002,0.022493072000000003,0.09549083,-0.06543343,-4.0119414e-09,-0.007489334,-2.7760863999999996e-08,0.0029593755,750.7709,-137.13464,9.913727,-1.5486879,0.69096637,-0.029589295,79.0,0.6288875,0.0036053886,28000,24.795552492141727,2,0.028611304954640614
7,101.97436,63.588615000000004,284.0,11.0,5.349834400000001,10.782247,39.89038,2.5718560000000002e-05,101.97436,258.8379,0.00808868408203125,26.302540000000004,2.4370637000000004,27.233253,-8.264396000000001,0.27990726,1.1957867,4.016536,-3.3054724,1.3603014e-09,-0.00424927,3.0994414e-08,-0.00835264,904.0037,-102.34308,64.2179,-20.367085,0.6613770999999999,-0.008178294000000001,19.0,0.6204564,0.012356647,32000,28.22535085678101,7,0.028611304954640614
8,128.58064,42.30212,222.0,52.0,6.0705194,10.924061,38.858109999999996,0.0001234915,128.58064,447.02402,0.0124173338148329,29.230108,3.2871711,30.118153000000003,-17.385782,3.5637417,1.6173933999999999,7.658527,-2.4165633,-6.717990599999999e-10,-0.008968631999999999,-2.6702882000000003e-08,-0.07392845,774.2755,-78.19513,41.183937,-1.3209152,0.6531988000000001,0.0003566742,7.0,0.6098424,0.017403511,36000,31.56059575080872,8,0.028611304954640614
9,84.3617,30.210909,157.0,33.0,0.5388199,2.8971221000000003,19.750021,7.313771e-05,84.3617,472.34865999999994,0.011808716583251952,31.704290000000004,2.8841918,32.53217,-15.347841,3.0299952,0.63427204,4.812567700000001,0.5659736,-6.155732599999999e-10,-0.0036991308,-3.1471252e-08,-0.012161646000000002,362.53983,-8.6440735,12.159188,-8.334375,0.65355545,0.0015218258,17.0,0.59029555,0.01234368,40000,34.911102294921875,1,0.028611304954640614
