Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,17.128756,6.663634,54.0,8.0,4.346646e-05,2.1603886000000003e-05,0.00018517941,1.8096262e-05,17.128756,0.010154699,2.5386747438460588e-06,-0.004676351,0.23112728,0.52033734,-0.51625705,0.009242604,0.5833136,1.4043233,-1.4137794,-1.8328428999999998e-08,-0.015789658,6.7949295e-09,-0.0024132158,134.77493,-20.680870000000002,0.3397063,-0.3366634,0,0,7.0,0.67467344,0.017690588,4000,3.748076915740967,0,0.10936132983377078
1,21.928572,10.747366,65.0,8.0,6.9322334e-05,0.00012203425,0.001559141,1.8201596e-05,21.928572,0.022789447999999997,2.8486810624599457e-06,1.1160754,0.21170023,2.0293596000000003,0.36055267,0.0031166363,0.018796884,0.068877615,-0.054639142,9.059905999999998e-09,-0.015912887,-1.7136335e-10,5.791637e-05,210.92226000000002,-81.026855,0.0003620451,-0.00026879237999999996,0,0,9.0,0.6917721,0.015553566000000001,8000,7.011744022369385,0,0.10936132983377078
2,28.091549,15.488707000000002,87.0,10.0,0.00012358032,0.00037207,0.0035053676,2.0871612e-05,28.091549,0.040358134,3.363177801171938e-06,5.278974,0.72714484,8.346261,-0.16901487,5.6995406e-05,0.009132127,0.044104986,-0.035149217,3.707408799999999e-08,-0.012074341,-1.08033416e-10,-3.130519e-05,254.68184,-96.12688,8.371064e-05,-3.7559355e-05,0,0,15.0,0.6820158000000001,0.0126041295,12000,10.497885704040527,0,0.10936132983377078
3,36.327273999999996,24.48046,158.0,9.0,0.00023548333,0.0007747633,0.0064673577,2.0894024e-05,36.327273999999996,0.06626897,4.1418108157813555e-06,11.240393,0.49739376,13.364223499999998,6.886663,8.388168e-05,0.007243166,0.03897345,-0.039195124,-5.4836273e-09,-0.014496152,1.4901162e-11,-5.282727999999999e-06,370.2788,-79.46715999999999,5.4503077999999996e-05,-2.1416596e-05,0,0,79.0,0.6606955,0.004776328,16000,15.216604471206665,0,0.10936132983377078
4,42.287234999999995,24.641092,144.0,10.0,0.005637651,0.037963672999999996,0.32970855,2.2162538e-05,42.287234999999995,0.59625083,2.9812541604042046e-05,16.247892,0.712558,17.681407999999998,11.580376,0.00047345873,0.006135506,0.038252015,-0.037001383,-6.3180923e-09,-0.01477243,-1.4901162e-11,6.649582e-05,294.48537999999996,-38.611313,0.0014106945999999999,-0.00017489505000000002,0,0,79.0,0.6504295999999999,0.0046895617,20000,19.6380136013031,0,0.10936132983377078
5,60.257576,35.673313,153.0,12.0,0.5471444999999999,2.5592243999999997,17.591621,2.4943365e-05,60.257576,36.707825,0.001529492696126302,18.575787,2.4557781000000003,21.292227,1.6605955000000001,0.010718357,0.013470744,0.058615163,-0.028168323,-1.2397766000000001e-08,-0.015061366999999999,1.4901161e-10,0.0068526715,505.40175999999997,-81.81869499999999,4.312828,-0.32213187,0,0,79.0,0.64123523,0.0052909567,24000,23.504585027694702,2,0.10936132983377078
6,82.229164,50.647575,260.0,12.0,0.678184,3.6841526,25.330682999999997,2.325938e-05,82.229164,69.260826,0.0024736009325299945,22.822294,2.317525,24.281912,-5.4232106,0.43705213,0.2819342,1.7163483,-0.36843124,4.243850800000001e-08,-0.012347047,7.033348e-09,0.0038806063,734.7615,-97.6015,5.8333664,-0.6054554,0,0,79.0,0.62857664,0.0036509705,28000,25.039971828460693,1,0.10936132983377078
7,107.56756599999999,51.546112,245.0,20.0,10.437706,19.053843,61.6043,4.078861e-05,107.56756599999999,455.45599999999996,0.01423299980163574,25.394424,4.200782,27.346895,-10.150371,0.7059486,1.439319,5.462052,-4.255466,2.4795533e-08,-0.011801747,2.8795003000000004e-07,0.06521444,796.7294,-100.93494,169.01721,-36.337723,0,0,79.0,0.6164959,0.004610517,32000,30.504908084869385,9,0.10936132983377078
8,157.72,57.975525,309.0,73.0,26.434544,25.407246,76.193535,0.00033782230000000004,157.72,1116.3198,0.031008884006076386,28.770395,4.146917299999999,30.142025,-13.321102999999999,6.7022223,0.5658413,8.140402,3.9641578,3.2663343999999997e-08,-0.008742478,1.8715858999999998e-07,0.042165093,1095.9825,-138.34857,227.9739,-37.87587,0,0,79.0,0.62111765,0.0044423933,36000,34.920472383499146,14,0.10936132983377078
9,172.78261,62.608481999999995,314.0,65.0,23.12627,30.227541,92.275925,0.0006091898,172.78261,1648.2241,0.04120560302734375,32.511845,2.3071609,33.1102,-6.714937700000001,12.531174,0.9576743000000001,14.734322,9.150375,8.225440999999999e-09,-0.007162443399999999,-8.904934e-08,0.02834834,1097.6166,-109.18756,230.17004,-12.382263,0,0,79.0,0.609645,0.0026943496999999998,40000,38.729458332061775,9,0.10936132983377078
10,187.66666999999998,58.527440000000006,397.0,123.0,40.361317,27.007477,76.59695,0.0008885364999999999,187.66666999999998,2495.8118,0.05672299471768466,35.136654,3.0266306,35.647503,-16.980957,11.40569,2.8525028,16.659943,-2.3362856,9.417533999999999e-09,-0.005235648,-1.15633014e-07,0.024260351,1039.9794,-90.4635,240.38391000000001,-31.631240000000002,0,0,79.0,0.60033673,0.0029972745,44000,42.730159282684326,14,0.10936132983377078
11,254.73334,104.74061,500.0,113.0,62.638706000000006,34.167553000000005,139.00453000000002,0.005504722199999999,254.73334,3448.762,0.07184920756022135,37.298320000000004,3.3707933,37.86088,-19.809465,15.996084,3.010602,21.17612,-0.5912459,3.886223e-08,-0.0021139388,-1.6880035999999996e-07,0.01410992,1488.171,-147.63501000000002,363.3703,-39.803864000000004,0,0,79.0,0.6041976,0.0017506559,48000,46.52195167541504,13,0.10936132983377078
