Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
0,18.626167,7.8900423,65.0,9.0,279.88297,29.807535,379.1999,228.63979,18.626167,60158.61,15.039652,0.002987137,0.17783417,0.46303058,-0.45915985,-0.0067546708,0.14946401,0.3454754,-0.47030053,-3.528595e-08,-0.014610653,-1.6479493e-06,0.45277599,163.73268,-21.469666,10669.22,-177.61133,0,0,8.0,0.68520385,0.014855618,4000,2.578367233276367,0
1,23.579882,10.831461,62.0,9.0,296.9668,34.047768,381.2053,229.21286,23.579882,110615.13,13.826892,1.0177699,0.18462534,1.8010938,0.06819093,1.1353202,0.20764156,1.9645398,0.20679659,2.963543e-07,-0.011813462,2.4719238e-06,0.48262358,230.78806,-81.14493,10345.218,-595.41406,0,0,12.0,0.6915554,0.013330268,8000,4.773857355117798,0
2,28.79562,15.237362,97.0,9.0,310.18515,39.74472,415.7273,229.27785,28.79562,153482.42,12.790202,4.9268155,0.32866606,7.0696964,2.9419408,5.237064,0.38820648,6.7511992,3.6561131,2.1457671e-09,-0.01488344,-1.9836425e-06,0.2506828,267.0232,-101.29228,9489.574,-816.9746,0,0,79.0,0.6760976,0.005674316,12000,7.228792905807495,0
3,37.14151,20.711605,117.0,10.0,328.7891,43.34281,432.3484,237.19414,37.14151,188715.22,11.794702,10.582149,0.46293262,11.671012,8.527773,11.4441595,0.2665884,12.385232,10.1361475,-1.3113022e-08,-0.016980272,3.2043457e-07,0.4119175,305.94574,-77.298035,8326.347,-577.5537,0,0,79.0,0.6635177,0.004849842,16000,9.626498222351074,0
4,47.52381,26.624584,157.0,14.0,347.43814,43.408447,446.89413,263.3851,47.52381,218119.23,10.905962,15.292976,0.885151,17.064623,11.126367,16.303478,0.9644827,17.993748,11.00276,-7.05719e-08,-0.01177628,-2.7770996e-06,0.23074998,367.19055,-59.956116,7310.714,-343.87402,0,0,79.0,0.64995617,0.004216859,20000,12.038641452789308,0
5,53.53425,28.289637,142.0,12.0,356.6427,45.340343,446.80566,251.35997,53.53425,244566.56,10.190273,18.87957,0.6898292,20.094637,13.806003,19.560486,0.84249085,20.905008,13.266782,-2.5749207e-08,-0.011604848,-1.0681153e-07,0.27868903,368.64337,-48.318756,6787.364,-243.47607,0,0,79.0,0.6324981,0.0038223844,24000,14.454481840133669,0
6,73.5,28.543503,154.0,12.0,386.11386,35.14076,451.7998,251.4131,73.5,265742.56,9.490806,20.551973,3.380626,22.891567,-4.324498,21.8625,1.2798353,23.249722,13.424586,2.7656554e-08,-0.009600467,1.411438e-06,0.13232924,425.9539,-62.729614,6096.082,-182.47363,0,0,79.0,0.6209331,0.0037022424,28000,15.96806263923645,0
7,90.906975,25.403547,154.0,46.0,405.6991,21.860008,452.0134,357.71527,90.906975,283600.03,8.862501,23.392662,4.2924967,25.402124,-8.302169,23.40781,3.0550191,25.173029,1.9713596,0.0,-0.004971087,-4.5776368e-08,0.032336973,487.7811,-65.383545,5530.852,-142.82324,0,0,79.0,0.6169749,0.0022492667,32000,18.396069526672363,0
8,117.818184,51.729164,234.0,17.0,420.75888,41.057575,486.20752,278.76828,117.818184,297913.78,8.275383,26.180632,4.4666996,27.87212,-11.0315895,24.915428,4.0900097,26.784159,-6.130888,-2.7298928e-08,-0.0071981978,6.713867e-07,0.045398805,845.8322,-111.7168,4648.9746,-102.30762,0,0,79.0,0.6135031,0.0025406952,36000,20.817203998565677,0
9,107.810814,30.599272,170.0,51.0,418.1629,23.910278,459.52747,365.62073,107.810814,313630.44,7.8407607,28.67734,5.367282,30.871378,-11.683745,25.435411,5.466841,28.17106,-7.5890245,4.172325e-08,-0.0053734197,-4.196167e-07,0.06581431,497.30106,-44.592987,4839.1875,-106.254395,0,0,79.0,0.5895294,0.0027066523,40000,23.290764093399048,0
