Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	15.920319	9.110304	54.0	5.0	0.729614	2.5918436	32.24689	0.040400103	15.920319	183.16989	0.04579247	-0.002649169	0.10890901	0.4158227	-0.41590044	0.006549029	0.15016662	0.5382474	-0.4721573	-2.8967857e-08	0.013978361	3.838539e-08	-0.010420578	160.70319	-21.324844	11.694684	-1.6444311	0.9412563	0.0	0.032593317	-0.008429326	0.014422703	0.052894946	-0.015137612	0.011287138	0.0	0.9412563	0.0	0.0	0.0	0.9189385	0.003964459	4000	2.6434013843536377
1	13.605442	8.052175	78.0	5.0	0.49312472	1.8253807	30.049753	0.029198958	13.605442	328.14856	0.04101857	1.0833819	0.2748721	2.4445822	-0.8915906	0.62851876	0.41564354	2.6591022	-2.2423162	4.48823e-08	-0.010338231	-1.692772e-08	0.000489394	114.620415	-41.225105	6.1343207	-0.76627684	0.30620596	0.0	0.03980671	0.009991024	-0.00050533284	0.04312775	-0.009720312	0.02845025	1.9960579	0.30620596	2.0	0.0	3.0	0.9044512	0.0011157331	8000	4.892683506011963
2	15.1673	9.106601	64.0	5.0	0.9523313	7.562615	121.98266	0.01389123	15.1673	578.68604	0.048223834	4.3698554	0.15143077	4.864828	3.7111394	0.5756521	0.07987964	1.3216748	0.33605513	4.4345857e-08	0.006945376	-5.984306e-08	-0.02493387	91.11395	-29.173607	99.61828	-7.226845	1.4412148	0.0	0.03499324	0.0026551862	0.029822797	0.0712428	-0.06625358	0.12109214	3.6303172	1.4412148	1.0	0.0	0.0	0.89395785	0.0038016583	12000	7.191069602966309
3	14.527273	6.9581985	44.0	4.0	0.3964565	0.79270726	9.217321	0.016956868	14.527273	687.71594	0.042982247	8.293222	0.5565118	10.570976	4.5242705	1.4411904	0.80155927	5.4541974	-2.506571	-1.4305114e-08	-0.01810886	3.5762786e-09	0.0052927346	38.165737	-1.0920906	2.5737953	-1.3982197	0.0	0.0	0.01734475	0.0018383525	-0.0071275244	0.032336578	-0.009659999	0.0062244297	1.7982374	0.0	2.0	0.0	0.0	0.86007327	0.0045302967	16000	9.631758213043213
4	17.150215	9.495818	66.0	5.0	0.4040796	0.6429553	6.8377748	0.012106042	17.150215	781.9552	0.03909776	8.874072	0.63604486	10.572082	4.994607	0.45663834	0.6531676	3.5766253	-3.8317995	5.6028364e-09	-0.024609553	-8.5830685e-09	0.0045206975	65.19961	-4.280285	0.98893	-0.28316104	0.0	0.0	0.033801984	0.0037410175	-0.0055929567	0.06048636	-0.011548302	0.004997804	2.4593976	0.0	2.0	0.0	0.0	0.84011453	0.004678722	20000	11.014619827270508
5	18.325687	8.7035475	52.0	5.0	0.52804846	1.2298543	14.266002	0.027588181	18.325687	897.08044	0.037378352	10.502677	0.3216051	11.486919	8.5862	0.38041	0.52941513	3.4113998	-2.552443	-1.2159347e-08	-0.013167133	-7.1525574e-10	-0.0019376851	53.90771	-1.2925987	1.7501575	-0.1235646	1.4626434	0.0	0.02278554	0.009789195	0.001530554	0.040218994	-0.013918756	0.011112644	1.5256544	1.4626434	1.0	0.0	0.0	0.82376224	0.004744135	24000	13.428777933120728
6	20.352041	9.13524	67.0	6.0	0.42400154	0.83744514	7.845506	0.017349735	20.352041	980.29175	0.03501042	10.7339325	0.8934563	11.876555	5.124668	0.4785451	0.3339676	1.8762292	-1.6091932	-8.225441e-09	-0.02176015	-3.5762787e-10	0.003512061	59.94074	-2.6185837	0.99036855	-0.1095953	0.52703583	0.0	0.025217943	0.006378618	-0.0037341933	0.048431028	-0.009454228	0.0038505192	1.9883441	0.52703583	2.0	0.0	0.0	0.8135844	0.0047037364	28000	15.890846252441406
7	26.117647	12.370607	59.0	7.0	1.1920048	2.1806765	12.447723	0.02712819	26.117647	1162.6698	0.03633343	11.760362	1.5106003	14.1027355	2.9577308	0.44132906	0.39151925	2.186079	-1.4894019	-3.5762787e-10	0.012132313	4.529953e-09	-0.018147554	99.161865	-11.1356125	4.4236007	-0.6739979	0.55230063	0.0	0.018417507	-0.011414176	0.026495678	0.03433983	-0.022846915	0.032783	0.0	0.55230063	0.0	0.0	0.0	0.7964307	0.004723991	32000	18.298511743545532
8	23.080925	10.576139	73.0	8.0	0.5884311	0.9709833	7.0070996	0.017626164	23.080925	1264.5294	0.035125818	14.406725	1.5021496	17.214256	5.8027015	1.1919498	0.24411696	2.2288206	0.24799588	1.5735626e-08	-0.009226309	3.3974648e-09	-0.0040554646	75.21185	-5.012329	1.2870772	-0.45270193	1.1303688	0.0	0.016939564	0.009243698	0.0038313507	0.031399924	-0.016753051	0.019409249	1.353718	1.1303688	1.0	0.0	0.0	0.7985769	0.0046124626	36000	20.571381092071533
9	24.925	9.435671	62.0	8.0	0.41071644	0.57263595	3.4435523	0.0074067307	24.925	1330.271	0.033256777	13.1005335	2.4186733	17.025906	0.66851485	0.53974104	0.15675324	1.1633147	0.08238704	-3.0994416e-09	-0.014158572	-2.719462e-09	0.0030068222	63.374554	-3.8639374	0.29932168	-0.045724332	1.1207632	0.0	0.012934355	0.0075072795	-0.0035820885	0.034234285	-0.0104710115	0.0051475326	1.3125961	1.1207632	2.0	0.0	1.0	0.78177667	0.0029181133	40000	23.002898454666138
