Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	14.534546	8.097232	46.0	5.0	0.9777734	6.510449	102.9412	0.015711004	14.534546	268.8958	0.06722395	0.002734722	0.10831337	0.425382	-0.3700019	0.002449351	0.15290758	0.49232188	-0.5328945	-1.4781952e-08	0.013430636	5.3882598e-08	-0.0268181	133.68317	-19.029	78.61975	-4.9758835	0.42106768	0.0	0.028407497	-0.009157769	0.032871574	0.046995196	-0.032378808	0.056402203	0.0	0.42106768	0.0	0.0	0.0	0.9189385	0.003984434	4000	2.835340738296509
1	13.289037	7.4974756	46.0	5.0	0.6158196	1.5763607	19.677845	0.030644372	13.289037	454.2575	0.05678219	1.0007641	0.51103604	3.6363366	-2.0351555	0.61625195	0.5558373	3.4639273	-2.5818627	-7.43866e-08	0.0028249572	-4.887581e-09	-0.009375835	101.06442	-39.360508	4.6028075	-0.37525988	2.3110123	0.0	0.015573386	0.0054261587	0.008715423	0.049151644	-0.023614405	0.016607178	1.6941243	2.3110123	1.0	0.0	0.0	0.9242715	0.004292089	8000	5.324494123458862
2	14.035088	6.5640297	36.0	5.0	0.33549967	0.333424	3.466121	0.026528412	14.035088	549.8749	0.045822907	4.281254	0.33816585	5.824217	2.9580073	0.767328	0.2252734	2.3998988	-0.27688038	-9.477138e-09	-0.021517426	1.525879e-08	0.002629237	50.539913	-17.25082	0.4017174	-0.2559495	0.0	0.0	0.030457908	-0.060526602	-0.011720648	0.046839047	-0.005648683	0.0019478266	2.164233	0.0	3.0	0.0	0.0	0.90359396	0.004638606	12000	7.7659852504730225
3	15.492249	7.619458	44.0	4.0	0.38070452	0.35101712	2.3624876	0.025333285	15.492249	648.1088	0.040506802	7.5043693	0.3875092	8.769793	5.641908	0.37573805	0.18554576	1.2527609	-0.63138527	-1.168251e-08	-0.023582086	-2.95043e-09	0.0032564104	46.033844	-4.4675255	0.18564536	-0.02644153	0.0	0.0	0.02892344	-0.01724645	-0.0077003334	0.055423502	-0.0075941295	0.0021762517	2.3542197	0.0	3.0	0.0	0.0	0.880315	0.0046529216	16000	10.253236532211304
4	18.136364	10.381345	71.0	5.0	0.66298074	1.5584997	17.027674	0.039106157	18.136364	793.97974	0.03969899	9.241964	0.47705588	9.9818325	6.595705	0.34075952	0.21325202	1.2934859	-0.72686374	1.3351441e-08	-0.0018574154	1.1146069e-08	-0.007903549	77.01057	-5.8892365	2.8276107	-0.1896708	2.3149238	0.0	0.028858896	0.005734826	0.008986406	0.058453068	-0.023671227	0.018933693	2.2432606	2.3149238	1.0	0.0	0.0	0.8653599	0.004434244	20000	12.717938423156738
5	18.741783	9.547214	51.0	6.0	0.3858913	0.6112176	6.2190757	0.011651668	18.741783	876.1842	0.036507674	11.261879	0.42143878	12.277521	8.666758	0.59856904	0.09737896	1.2953777	0.08654174	4.7683715e-09	-0.019405592	6.6161157e-09	0.0035108414	60.50306	-1.8142014	0.45409232	-0.07449177	0.0	0.0	0.027839024	0.0029613539	-0.006088466	0.036049116	-0.0065756296	0.005266555	1.8986605	0.0	2.0	0.0	0.0	0.83839095	0.00453271	24000	15.194693326950073
6	20.613401	9.134731	48.0	6.0	0.41895515	0.6692243	6.1471	0.01693674	20.613401	957.4622	0.03419508	11.224286	1.0714242	13.24549	4.3925266	0.3835855	0.08246866	0.8181839	-0.09934185	1.4781952e-08	-0.017051488	7.212162e-09	0.003326452	57.18444	-1.9489784	0.38034192	-0.00501284	0.41238114	0.0	0.025834452	0.006971936	-0.0039316583	0.044165116	-0.009673472	0.005104892	1.9249654	0.41238114	2.0	0.0	1.0	0.82098657	0.002973988	28000	17.650668144226074
7	25.303797	12.263309	82.0	6.0	0.8175488	1.8540515	17.629084	0.050859656	25.303797	1086.6472	0.033957727	11.850287	1.2128793	13.617544	3.7878923	0.36040008	0.09341651	1.0146965	-0.079130076	4.4703484e-08	-0.011853134	-3.8146974e-09	-0.012400743	101.44838	-10.341454	3.315149	-0.26807904	0.5257897	0.0	0.025843984	0.007832127	0.012549453	0.029108785	-0.01540055	0.07264666	1.8165188	0.5257897	1.0	0.0	0.0	0.808958	0.0040396294	32000	20.116787672042847
8	25.50641	10.9676075	59.0	8.0	0.5595209	0.6959275	5.9261026	0.023518069	25.50641	1174.6598	0.032629438	14.197822	1.3336267	16.30885	6.6448	0.747107	0.24631041	1.5719173	-0.3927101	-1.2755394e-08	-0.008493197	9.328127e-09	-0.0023750414	75.39811	-6.5197678	0.52434194	-0.15578628	2.253227	0.0	0.01822334	0.009224623	0.0023335663	0.040630892	-0.01254472	0.0070230793	1.4055285	2.253227	1.0	0.0	0.0	0.79880536	0.004666332	36000	22.632707357406616
9	28.855072	12.020845	78.0	7.0	0.47466427	0.5098391	3.8630736	0.011617151	28.855072	1240.2025	0.031005062	13.855441	2.2214992	16.320585	2.6488886	0.49348897	0.061415095	0.818363	0.24215916	1.07288365e-08	-0.011631603	-9.864569e-09	0.0007612737	87.04938	-11.964676	0.20078844	-0.017715067	1.5738865	0.0	0.016309213	0.00975909	-0.0008780338	0.028211927	-0.0061717285	0.00320013	1.292742	1.5738865	2.0	0.0	1.0	0.7706808	0.0028512587	40000	23.643330097198486
