Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	16.970213	10.544494	62.0	5.0	2.6574337	12.893341	114.09671	0.031770878	16.970213	624.6442	0.15616105	0.0020442856	0.109665275	0.4163637	-0.35847822	0.0056844014	0.14691727	0.50828445	-0.5301526	-2.014637e-08	0.0044178087	3.3378602e-09	-0.098815836	195.69424	-22.749557	274.74005	-14.193085	0.0878712	0.0	0.056197245	-0.002479395	0.12713063	0.05811051	-0.04977839	1.2951106	0.0	0.0878712	0.0	0.0	0.0	0.9189385	0.004438185	4000	2.897350788116455
1	14.981274	8.617312	61.0	4.0	0.7734383	3.4619358	38.740437	0.020141473	14.981274	831.1522	0.103894025	0.9861724	0.5363591	3.580181	-1.7102333	0.68519884	0.63934344	3.7769363	-2.2333562	6.198883e-09	0.0034142525	5.2452087e-09	-0.018072406	130.54834	-45.348076	18.14461	-0.34746552	1.6766273	0.0	0.027225573	0.003795566	0.018252004	0.058747433	-0.041140106	0.05369316	2.6782446	1.6766273	1.0	0.0	0.0	0.9096354	0.004087693	8000	5.399494171142578
2	14.906716	8.023442	52.0	5.0	0.45738626	1.562268	23.608194	0.016585458	14.906716	953.8181	0.07948484	4.1700654	0.36020267	5.712431	2.3865705	0.92563295	0.40825847	2.8426259	-1.4543892	3.7908553e-08	-0.017239492	-2.0682812e-08	0.0023055156	73.42214	-25.395126	4.466111	-0.34841967	0.56378067	0.0	0.037522238	0.009592336	-0.0028586942	0.05186372	-0.016955616	0.02004625	1.977799	0.56378067	2.0	0.0	1.0	0.8909866	0.00304132	12000	7.935914993286133
3	16.097166	8.42583	59.0	4.0	0.37877005	0.56794995	4.7846537	0.016244376	16.097166	1047.4987	0.06546867	7.792996	0.22626674	8.604729	6.4962416	0.74612015	0.2773825	1.9683924	-1.3171237	-2.2172928e-08	-0.020130087	-1.090765e-08	0.0059477617	57.736843	-5.3621407	0.6443463	-0.12211543	0.0	0.0	0.02506917	0.003584866	-0.007531136	0.04105995	-0.011890289	0.008841282	2.0263255	0.0	2.0	0.0	0.0	0.87506235	0.0046836603	16000	8.916958808898926
4	18.063349	9.444076	61.0	5.0	0.6086089	1.5797777	18.342289	0.029666828	18.063349	1182.0718	0.05910359	9.66285	0.49202472	10.673115	6.960636	0.5985576	0.29942545	1.9359757	-0.9480716	3.5762787e-10	-0.01513229	-5.1259996e-09	-0.006780204	62.18429	-2.6842842	3.4984698	-0.07818198	1.2258536	0.0	0.042625003	0.0087013785	0.006012667	0.05819371	-0.02081863	0.027838878	2.2132893	1.2258536	1.0	0.0	0.0	0.85623384	0.004298226	20000	11.401718139648438
5	20.095478	9.474427	58.0	6.0	0.4562261	0.66234004	4.2456484	0.016759768	20.095478	1272.8608	0.053035866	10.874648	0.35720912	11.555688	8.279223	0.61341393	0.2025647	1.4619119	-0.46842846	1.4781952e-08	-0.017985642	-1.9162893e-08	0.002104162	63.176483	-2.2638664	0.51205915	-0.06254941	1.2549388	0.0	0.021762587	0.009545034	-0.0021782955	0.047480084	-0.016377272	0.010429283	1.5099638	1.2549388	2.0	0.0	0.0	0.84606075	0.004401989	24000	14.694343566894531
6	21.342245	9.382569	54.0	5.0	0.36133188	0.41302615	2.6845503	0.01696629	21.342245	1340.4369	0.047872745	11.569176	0.97433746	13.034531	5.8400965	0.51838744	0.14189672	1.2920526	-0.14016345	-9.894371e-09	-0.020468485	-7.659197e-09	0.003831975	60.82679	-1.9968071	0.23621915	-0.057802603	0.0	0.0	0.01845692	-0.0073661897	-0.006497354	0.04023759	-0.0072764554	0.0024309077	2.0059311	0.0	3.0	0.0	0.0	0.8240239	0.00470935	28000	17.861433744430542
7	25.928572	9.960381	56.0	8.0	0.72285587	0.9345092	5.2335224	0.043668076	25.928572	1451.8712	0.045370974	12.057809	1.6205322	14.932127	4.3143916	0.42608094	0.117232315	0.9033834	-0.06935462	1.5616417e-08	0.0024311189	-7.092953e-09	-0.008781646	75.391945	-5.676605	0.6569674	-0.027797699	3.036108	0.0	0.014373482	0.0025816965	0.008594992	0.024323776	-0.009954309	0.009958326	2.3595457	3.036108	1.0	0.0	0.0	0.810091	0.004780364	32000	20.628276824951172
8	24.726707	10.272068	59.0	8.0	0.36318535	0.36282557	2.4112093	0.032611333	24.726707	1510.4264	0.041956287	13.803417	1.462646	16.789684	5.28604	0.5022478	0.108944334	1.0166814	-0.064039625	1.9788741e-08	-0.017537035	-6.377697e-09	0.0030256256	70.598076	-3.6364365	0.16549738	-0.046306424	0.0	0.0	0.01670362	-0.006029304	-0.005533072	0.028440502	-0.0047346223	0.0019099325	1.6864312	0.0	3.0	0.0	0.0	0.7960985	0.004713456	36000	23.586998224258423
9	30.546154	13.03198	92.0	8.0	0.60416096	0.66296566	3.8452144	0.020305201	30.546154	1589.1171	0.039727926	13.493681	2.6473763	17.419952	-0.8557009	0.3923694	0.088867694	0.7576575	0.042447533	9.536743e-09	-0.004242831	1.7881393e-09	-0.0034257765	111.24331	-13.565338	0.27777213	-0.001831919	2.014453	0.0	0.009309616	0.00783514	0.0034099536	0.018702779	-0.0071029635	0.0053711506	1.0900401	2.014453	1.0	0.0	0.0	0.7860382	0.004293285	40000	26.243455171585083
10	29.272058	10.882033	71.0	8.0	0.4929058	0.5168806	2.8501575	0.020951329	29.272058	1656.2721	0.037642546	16.101038	3.1136467	19.568949	-3.2770784	0.40964374	0.07927697	0.77067167	0.06399901	-2.2411346e-08	-0.007200352	1.0430813e-09	0.00021877482	78.98518	-8.174416	0.17684194	-0.0030042976	1.6498824	0.0	0.011248748	0.009986528	-0.00024235413	0.023981156	-0.007450732	0.0043600085	1.0613163	1.6498824	2.0	0.0	2.0	0.76937604	0.0017065526	44000	29.021965503692627
11	30.738462	10.155373	71.0	11.0	0.47296727	0.35741132	1.944353	0.021975955	30.738462	1717.7726	0.03578693	15.34698	3.4071298	19.298931	-2.8160558	0.3816822	0.05984759	0.61983794	0.13567428	-9.23872e-09	-0.009240456	1.3411044e-10	0.0008554568	69.85349	-9.722778	0.08941509	-0.005070485	2.6527414	0.0	0.004491994	0.009605157	-0.00087944325	0.021651799	-0.005797649	0.001958806	0.68386024	2.6527414	2.0	0.0	0.0	0.7532723	0.003935566	48000	31.574748516082764
12	34.41228	12.8246	103.0	10.0	0.57236123	0.4031057	1.9990734	0.021675657	34.41228	1783.5754	0.034299526	15.206295	4.470259	18.915226	-4.3780327	0.35586077	0.042452592	0.51414233	0.1965426	-1.9073487e-09	-0.0017227292	1.2218953e-09	-0.0021757404	101.13924	-18.999031	0.10283313	-0.0019000396	2.3530471	0.0	0.00319826	0.007869383	0.0021027734	0.009246119	-0.0035427515	0.0020752945	0.6375093	2.3530471	1.0	0.0	0.0	0.71347696	0.0038934308	52000	34.17058825492859
13	33.652542	9.906663	85.0	11.0	0.453471	0.28595293	1.5446934	0.039780103	33.652542	1837.3293	0.03280945	17.7981	4.937881	21.669783	-3.9441187	0.38584706	0.03231721	0.51331705	0.25327098	-1.4305115e-09	-0.0074666007	-2.384186e-10	0.0011842122	56.217834	-10.346638	0.05972634	-0.0058398806	1.8600585	0.0	0.003580656	0.0085759135	-0.0013826294	0.012143289	-0.0033903245	0.0013423793	0.64616156	1.8600585	2.0	0.0	1.0	0.68965304	0.0028442682	56000	36.7701370716095
14	36.00901	10.7565155	72.0	18.0	0.4559073	0.29796678	1.5157955	0.028705025	36.00901	1887.9417	0.031465694	16.833912	5.2806993	21.491274	-2.684396	0.33824688	0.045683045	0.4956517	0.09069869	1.4960765e-08	-0.009179673	2.384186e-10	0.0010287012	54.23682	-7.906605	0.053728607	-0.0029185414	1.7404623	0.0	0.007248911	0.0090045445	-0.0012244912	0.016437367	-0.0037201976	0.0015062238	0.89723355	1.7404623	2.0	0.0	1.0	0.67534417	0.002783315	60000	38.337546586990356
15	37.57547	12.550988	82.0	19.0	0.5129069	0.27841252	1.3610296	0.051962778	37.57547	1942.343	0.03034911	17.270737	6.3907094	22.484816	-3.3423243	0.32589546	0.027265564	0.43206224	0.22980535	-2.8729438e-08	-0.0042899814	3.1590461e-09	-0.00033533174	58.317192	-8.094433	0.05072908	-0.00066041574	3.6224577	0.0	0.0031964444	0.009906767	0.00034349295	0.018419445	-0.0043891706	0.0012655073	0.56802523	3.6224577	1.0	0.0	0.0	0.6555389	0.0041269795	64000	40.885255098342896
16	38.009525	9.868175	75.0	24.0	0.47155666	0.23956634	1.387354	0.07934771	38.009525	1991.863	0.029292103	18.244097	6.8570833	24.120403	-1.9536519	0.3395811	0.02442607	0.42950335	0.23520903	-1.2040139e-08	-0.0070273154	-1.4305115e-09	0.0006490107	38.11523	-5.1224823	0.03668609	-0.00059840083	2.924219	0.0	0.0039310083	0.009326054	-0.0007483213	0.014161786	-0.0029156124	0.0008309042	0.6492366	2.924219	2.0	0.0	1.0	0.61934423	0.002593642	68000	43.39349007606506
17	39.81	11.137051	90.0	25.0	0.5365975	0.20743015	1.0791992	0.10719072	39.81	2045.5364	0.028410228	18.047316	7.0360613	24.491175	0.3070746	0.32492456	0.030468034	0.4195178	0.193953	6.9737434e-09	-0.0035627768	1.9446016e-09	-0.0010292721	41.003937	-5.4475746	0.03084744	-0.0018536672	4.2473664	0.0	0.0050701383	0.008662547	0.0009193039	0.011278115	-0.0019805918	0.00063188764	0.7650452	4.2473664	1.0	0.0	0.0	0.58597785	0.004128587	72000	46.195319414138794
18	39.99	11.058476	81.0	22.0	0.45009014	0.15773705	0.9248872	0.19037043	39.99	2090.5466	0.027507193	18.996313	7.7375975	25.985592	1.0804422	0.3550811	0.019988643	0.4151116	0.27443254	-1.7404556e-08	-0.00706163	1.1175871e-09	0.0010183553	36.08305	-4.183098	0.021243576	-0.002909271	1.0127863	0.0	0.0031190552	0.005345706	-0.0012480585	0.0081090955	-0.0012922903	0.0003346695	0.7638516	1.0127863	2.0	0.0	1.0	0.5655407	0.0029652957	76000	49.218682289123535
19	41.705265	9.512178	87.0	27.0	0.5444066	0.17508198	0.984667	0.19385095	41.705265	2142.4417	0.026780521	18.680984	8.243512	26.52227	0.20750012	0.31541076	0.015839284	0.36776513	0.26125526	1.192093e-10	-0.001525447	3.874302e-10	-0.0011509883	26.881952	-3.3083267	0.026676048	-0.0028315224	6.120173	0.0	0.0040232847	0.0066018393	0.0010647719	0.008416985	-0.0012107372	0.00033363322	0.78065276	6.120173	1.0	0.0	0.0	0.5428675	0.0043111183	80000	52.42412996292114
20	43.9011	14.269043	103.0	26.0	0.5019675	0.20112404	1.0501969	0.18919377	43.9011	2188.1384	0.026049268	19.685606	8.647329	27.76817	1.198506	0.35531634	0.01806907	0.4228594	0.27113986	-1.3232231e-08	-0.005239571	3.2037498e-10	-2.1274163e-06	48.286366	-5.4704437	0.02941199	-0.0011573788	1.564082	0.0	0.006306579	0.009994446	4.481641e-05	0.007083543	-0.00053010037	0.00036167228	0.79436034	1.564082	1.0	0.0	2.0	0.5388478	0.0015107562	84000	55.450244426727295
21	43.391304	8.513361	72.0	29.0	0.48321018	0.1622375	0.9443529	0.20266342	43.391304	2232.5984	0.025370436	20.384836	9.322876	29.31387	0.5059116	0.33012405	0.02298987	0.42321888	0.20842221	-7.152557e-09	-0.0051837317	-1.0430813e-09	0.0003818788	20.675499	-2.1967678	0.01960258	-0.00025315024	3.0015078	0.0	0.0014744033	0.009515509	-0.00038693982	0.005248089	-0.0010798998	0.00030903044	0.39363357	3.0015078	2.0	0.0	0.0	0.5278572	0.004120064	88000	58.217106103897095
