Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	17.264069	10.676853	67.0	4.0	3.3900332	15.493	116.96043	0.011353954	17.264069	783.2784	0.1958196	-0.008533127	0.118098155	0.4714407	-0.46477968	0.005529898	0.1468089	0.48761547	-0.47897562	8.3684924e-08	8.471393e-05	1.1539459e-07	-0.15469457	200.10344	-22.099152	376.54413	-12.805237	0.63973415	0.0	0.05333531	0.00046752673	0.16740163	0.05625766	-0.09268793	2.9397726	10.68081	0.63973415	1.0	0.0	0.0	0.9189385	0.004489212	4000	2.6930952072143555
1	15.6784315	9.399964	53.0	5.0	1.2070504	6.0890336	92.48968	0.020902587	15.6784315	1091.0785	0.13638481	0.92502236	0.45291823	3.3654914	-1.4866245	0.70337194	0.70185435	3.9778929	-2.2810707	2.7179718e-08	0.008687027	3.385544e-08	-0.04152085	145.72469	-50.51156	70.3289	-3.1147919	1.7438205	0.0	0.03367638	0.0006949315	0.045097012	0.054337475	-0.06719929	0.21856266	6.961322	1.7438205	1.0	0.0	0.0	0.91103894	0.0038326753	8000	5.050143718719482
2	14.817843	8.019047	48.0	5.0	0.4381598	1.3315293	20.07967	0.02446263	14.817843	1208.989	0.10074908	4.1975536	0.15524141	5.068584	3.3175666	1.168052	0.31123942	2.2336733	-0.09155463	1.6689301e-09	-0.016695905	-1.704693e-08	0.0033432408	73.22246	-24.20602	2.9906857	-0.37066078	0.5161989	0.0	0.029950336	0.008742359	-0.0041733608	0.045923874	-0.014873325	0.0138488915	1.8509153	0.5161989	2.0	0.0	1.0	0.8909598	0.003053031	12000	7.396514177322388
3	17.198277	8.675391	54.0	4.0	0.46709213	1.4922128	21.801573	0.025141677	17.198277	1317.3954	0.08233721	7.7252607	0.21811604	8.526116	5.967535	0.9033523	0.14858352	1.5183684	0.26171455	3.409386e-08	-0.020441929	1.7642975e-08	0.0016628641	59.33719	-7.656498	3.376673	-0.21318579	0.5555709	0.0	0.03772393	0.009848047	-0.0019134402	0.049904242	-0.01713128	0.024094684	1.9571918	0.5555709	2.0	0.0	0.0	0.8755652	0.004571997	16000	9.699681520462036
4	18.41014	10.274683	58.0	5.0	0.44836003	0.5755426	4.4725327	0.021086248	18.41014	1414.7037	0.07073519	9.94307	0.49492148	10.806605	7.423325	0.69203144	0.08335048	0.9853941	0.3623311	-4.529953e-09	-0.016112782	1.1384487e-08	0.002290352	71.813866	-2.9820633	0.40240803	-0.06273639	1.6507388	0.0	0.020798609	0.008534284	-0.0028049748	0.053454813	-0.013239968	0.005367946	1.5611103	1.6507388	2.0	0.0	1.0	0.8558702	0.0029110054	20000	12.02546501159668
5	20.19192	8.171986	42.0	5.0	0.49184194	1.0810847	13.052419	0.021560576	20.19192	1512.0895	0.06300373	11.259334	0.35919467	12.091402	8.728901	0.5508544	0.05127173	0.70210296	0.20271322	-8.106232e-09	-0.014013922	6.3180923e-09	0.00033401942	50.5886	-1.237896	1.0924209	-0.015969753	0.9078819	0.0	0.028105147	0.009988555	-0.00040402586	0.04112421	-0.01362684	0.014262989	1.6774192	0.9078819	2.0	0.0	1.0	0.8301712	0.002700312	24000	14.371144533157349
6	21.721312	10.949159	83.0	6.0	0.39703903	0.49481586	4.409343	0.024583898	21.721312	1585.513	0.056625463	11.29052	0.9818965	12.731261	6.0041094	0.50838643	0.07752856	0.7560138	0.22772871	2.1457671e-09	-0.017621292	-5.8114527e-09	0.0032171342	80.937614	-3.5840378	0.23884763	-0.03404972	0.0	0.0	0.018190574	0.0011916952	-0.00474009	0.028933814	-0.005234896	0.0025508262	1.7009943	0.0	2.0	0.0	0.0	0.8120039	0.004434326	28000	16.671992778778076
7	26.993196	12.277127	66.0	7.0	0.87244916	1.6868323	14.854059	0.023823075	26.993196	1716.0867	0.053627707	12.882852	0.932712	14.467911	6.22703	0.40389147	0.06563134	0.58339566	0.14029962	1.4305115e-09	-0.0037010445	4.9769877e-09	-0.013833152	99.660576	-12.491951	2.2202091	-0.110304356	1.2955909	0.0	0.01931828	0.0040011406	0.01379789	0.022992883	-0.010799	0.03173633	2.1973152	1.2955909	1.0	0.0	0.0	0.7999533	0.0043283044	32000	18.9919593334198
8	25.798702	10.122227	61.0	6.0	0.518187	0.58423537	2.84577	0.012623939	25.798702	1796.1545	0.04989318	14.829819	1.5313704	17.635717	4.327444	0.5957724	0.08852372	0.8996526	0.2811231	9.536743e-09	-0.009861746	-4.4703483e-10	-0.0008202057	74.77387	-4.4314957	0.30557978	-0.060944617	1.3093333	0.0	0.0109196585	0.009928626	0.0007049574	0.02099898	-0.0083773965	0.0069628465	1.048721	1.3093333	1.0	0.0	0.0	0.77984077	0.0044390364	36000	21.322853565216064
9	29.444445	9.622249	64.0	9.0	0.53720254	0.5560697	3.1550882	0.038771402	29.444445	1868.8123	0.046720307	13.969195	2.1027944	17.637697	2.6663606	0.4713296	0.039666552	0.6203419	0.25167832	-2.7418137e-09	-0.0058835265	4.917383e-10	-0.0012233375	77.03951	-7.046234	0.2086124	-0.004306704	1.5177402	0.0	0.005783693	0.00964341	0.0012634824	0.013339938	-0.0058161835	0.0044768257	0.7744391	1.5177402	1.0	0.0	0.0	0.7486915	0.003865759	40000	23.646273612976074
