Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	15.928287	7.6898828	43.0	5.0	0.30746207	0.46412224	6.650251	0.013462004	15.928287	77.197685	0.019299421	-0.0006593349	0.215351	0.6792873	-0.6483072	0.0013578355	0.068168335	0.28549567	-0.2725495	-6.866455e-08	-0.02215858	-1.4305115e-09	0.0007632338	135.72987	-22.12909	0.29972047	-0.06740174	0.0	0.0	0.04942342	-0.050011925	-0.0120878	0.050687257	-0.0017541812	0.0024347643	2.251383	0.0	3.0	0.0	0.0	0.9189385	0.004353217	4000	5.162800550460815
1	17.06867	7.936687	56.0	5.0	0.32632565	0.33510712	2.9367976	0.029240672	17.06867	153.6651	0.019208137	1.2301044	0.17794615	2.1714964	0.5143784	0.2393927	0.09639337	0.6872739	-0.30310047	-1.502037e-08	-0.021566026	1.0728836e-09	0.0015696064	126.15646	-52.86405	0.11691125	-0.008192696	0.0	0.0	0.034361333	-0.09957685	-0.010175036	0.04552815	-0.0032481889	0.0009448288	2.1337328	0.0	3.0	0.0	0.0	0.9005563	0.0045369156	8000	9.78592300415039
2	19.323671	8.512371	56.0	5.0	0.41158003	0.83687925	10.080931	0.026655274	19.323671	238.86215	0.01990518	4.998393	0.33460447	6.5411086	3.4530075	0.2447704	0.018273614	0.31632492	0.16759044	-2.1457673e-08	-0.01749667	-1.1190772e-08	0.0030142886	91.24367	-34.18337	0.7714043	-0.018674612	0.0	0.0	0.025614293	0.0065894993	-0.0045757336	0.029673293	-0.004991846	0.00613908	1.7225938	0.0	2.0	0.0	0.0	0.8917745	0.004337882	12000	14.51035761833191
3	22.666666	10.766772	69.0	6.0	0.60198325	1.3234329	10.850414	0.02480996	22.666666	345.53488	0.02159593	9.330544	0.22778526	9.817689	8.294666	0.3589308	0.10175083	1.0498027	-0.054172244	2.861023e-09	-0.008926814	1.4901161e-10	-0.004659935	99.39936	-15.769119	1.5921572	-0.120087385	1.1197001	0.0	0.017474372	0.008906154	0.0044992613	0.028709503	-0.014419567	0.018506587	1.4007341	1.1197001	1.0	0.0	0.0	0.87527895	0.004037259	16000	19.18498969078064
4	24.685184	9.969999	53.0	6.0	0.54476035	0.70369554	4.4867067	0.020858502	24.685184	433.78632	0.021689316	12.486475	0.90269905	14.899294	6.19862	0.5931474	0.35719526	2.2013547	-1.457711	-9.298325e-09	-0.008625473	3.3378602e-09	-0.0020671925	73.68161	-1.7777176	0.52583796	-0.1449996	1.7513005	0.0	0.013884453	0.009574791	0.0018132475	0.030568661	-0.01135818	0.0077323574	1.2042031	1.7513005	1.0	0.0	0.0	0.85924536	0.0043605724	20000	23.92646837234497
5	26.298014	10.49364	58.0	6.0	0.482972	0.5270679	4.6253805	0.013686686	26.298014	506.78397	0.021115998	13.344922	1.2148273	15.7922125	6.5286927	0.43121186	0.035138607	0.6085338	0.18505386	-2.2768974e-08	-0.008652785	-1.6242265e-09	0.0005516649	80.54338	-2.6077347	0.20746303	-0.010218501	1.6969187	0.0	0.009161776	0.009853581	-0.0006475015	0.019662263	-0.0054833665	0.0028634204	0.964257	1.6969187	2.0	0.0	1.0	0.84009904	0.0024617277	24000	28.681232929229736
6	30.728682	12.339985	81.0	7.0	0.48068702	0.4650292	2.1332939	0.016424546	30.728682	569.331	0.02033325	14.098388	0.6577761	15.649863	9.592537	0.36419302	0.050197966	0.5279046	0.12274444	-1.34706495e-08	-0.009985745	3.2782554e-10	0.00050979364	109.398094	-8.483452	0.14449972	-0.0021624416	1.6333852	0.0	0.013146445	0.009888077	-0.00062850007	0.025078753	-0.0064894482	0.0035293202	1.1530503	1.6333852	2.0	0.0	1.0	0.81651706	0.0028355238	28000	33.319507360458374
7	30.623077	10.174074	67.0	12.0	0.5086109	0.48169252	2.985644	0.02617096	30.623077	635.52185	0.019860057	15.914816	1.3213228	17.867018	7.327766	0.3532833	0.017218277	0.42743817	0.19825535	4.768372e-10	-0.0057563377	-1.6689301e-09	-0.00025501318	84.81431	-9.629509	0.14490075	-0.0019223094	2.328376	0.0	0.0042345338	0.009970148	0.00028119003	0.017753594	-0.0059840046	0.002648728	0.6517064	2.328376	1.0	0.0	0.0	0.7889272	0.004529996	32000	34.314770460128784
8	31.968	12.956503	128.0	10.0	0.5426622	0.492481	3.524846	0.04983088	31.968	703.35535	0.019537648	15.33008	1.6333326	17.362806	4.408836	0.3804839	0.028115908	0.5427692	0.24414217	1.6570091e-08	-0.0050206897	8.9406965e-10	-0.0013429727	110.48669	-17.740685	0.15502298	-0.00047643483	1.6120731	0.0	0.0048038205	0.009500176	0.0013345283	0.011256902	-0.004795157	0.0035631864	0.7110949	1.6120731	1.0	0.0	0.0	0.742104	0.0038895742	36000	38.9433331489563
9	34.92105	12.362326	108.0	19.0	0.52377295	0.38862494	2.099397	0.06249137	34.92105	763.1029	0.019077573	16.02904	2.9236042	18.291588	4.113706	0.3803827	0.01844423	0.4432896	0.2506279	3.8146974e-09	-0.003376463	4.1723253e-10	-0.00072414544	90.28535	-18.624344	0.08664338	-0.0007006079	1.74222	0.0	0.002071458	0.0097604375	0.00068076287	0.0069014817	-0.0030567588	0.0019345193	0.4606843	1.74222	1.0	0.0	0.0	0.7121969	0.0036675592	40000	43.608641624450684
10	35.714287	9.715074	72.0	20.0	0.4594636	0.30058536	1.2917536	0.022272285	35.714287	814.5628	0.018512791	16.957026	4.4446626	20.42152	1.8396746	0.37059075	0.018996112	0.416566	0.22205064	-1.180172e-08	-0.007361964	1.1026859e-09	0.0009399868	54.258965	-11.624527	0.05668512	-0.0024845898	2.315345	0.0	0.0033893036	0.008714665	-0.0011350192	0.012540165	-0.0030284892	0.0010022823	0.62363416	2.315345	2.0	0.0	1.0	0.6795074	0.0019718234	44000	48.33538317680359
