Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	15.083019	8.6098175	51.0	5.0	1.5712614	9.684822	117.31012	0.04351028	15.083019	416.4065	0.10410162	-0.006626323	0.11072317	0.43203893	-0.39283374	0.0057773227	0.14988764	0.48507836	-0.5281415	7.712841e-08	-0.0020917545	-1.3637543e-07	-0.071480975	146.79726	-20.361298	158.26224	-8.11644	0.92675996	0.0	0.053668525	0.0011645779	0.071024336	0.057532597	-0.046969518	0.5709355	6.788527	0.92675996	1.0	0.0	0.0	0.9189385	0.0040408587	4000	4.372607469558716
1	15.357693	9.164256	62.0	5.0	0.8566846	2.5848536	25.75391	0.05075587	15.357693	639.4155	0.07992694	1.089577	0.14170435	1.5348653	0.6518804	0.6841544	0.68647766	3.4824288	-2.6624491	-5.1498414e-08	-0.00016576219	-2.1457673e-08	-0.023733716	139.7981	-51.402718	9.516783	-0.5254307	1.2936919	0.0	0.031054012	0.003549262	0.023225144	0.049693294	-0.039479196	0.083619475	2.9579432	1.2936919	1.0	0.0	0.0	0.9160766	0.004402463	8000	8.30705451965332
2	15.205323	8.339497	53.0	4.0	0.37473604	0.4097312	3.377852	0.01658982	15.205323	737.9763	0.061498027	4.6841316	0.19100532	5.3823113	3.6361399	0.9374902	0.3145562	2.4262688	-0.6938795	3.051758e-08	-0.02435077	-2.3841858e-08	0.0045703594	74.70544	-22.468124	0.693906	-0.3638678	0.0	0.0	0.019598614	-0.012432663	-0.008238165	0.059073046	-0.010928184	0.0030253814	2.4304948	0.0	3.0	0.0	0.0	0.90113145	0.0046762214	12000	12.44248104095459
3	18.072727	10.383737	71.0	5.0	0.9288649	3.3811643	39.349876	0.024727253	18.072727	942.6892	0.058918074	8.178584	0.20502485	8.601166	7.05062	0.5905316	0.3176545	2.3718598	-1.0601478	-2.6941299e-08	-0.010097255	-4.8279762e-09	-0.025248071	83.142105	-11.083389	13.600693	-0.39664364	0.5613938	0.0	0.038819905	0.007313289	0.023729948	0.057751242	-0.062990785	0.20959105	2.3039384	0.5613938	1.0	0.0	0.0	0.8793424	0.00448174	16000	16.648780345916748
4	18.830189	10.359548	58.0	5.0	0.58957106	1.0996312	9.296422	0.009849818	18.830189	1067.7767	0.053388838	10.73843	1.0649899	13.541092	5.362769	0.98727393	0.39067388	2.7332413	-0.7391035	-5.9604646e-09	-0.009027708	-5.7816507e-09	-0.004698911	68.80533	-1.8403091	1.674065	-0.24921918	1.6291975	0.0	0.02313217	0.008689932	0.00475678	0.04717512	-0.020377928	0.01727159	1.6315486	1.6291975	1.0	0.0	0.0	0.86116415	0.004515151	20000	20.83380103111267
5	20.48969	9.509756	59.0	7.0	0.4186042	0.6493504	4.9963408	0.009566368	20.48969	1149.3293	0.047888722	11.463591	1.6203295	15.23142	3.1510887	0.7021767	0.21257788	1.6427364	-0.4861574	-5.841255e-09	-0.0126234135	-4.768372e-10	0.003277761	62.175617	-2.1365776	0.5851131	-0.17404792	0.23349857	0.0	0.016947562	0.008155499	-0.003972525	0.023921302	-0.0077243163	0.008555678	1.4415455	0.23349857	2.0	0.0	1.0	0.8417345	0.0028656435	24000	25.044362545013428
6	22.340782	9.648635	51.0	6.0	0.39043513	0.47741944	3.5659716	0.023629235	22.340782	1219.229	0.043543894	11.761961	2.7673814	16.276678	-5.573036	0.45063543	0.119054236	1.08086	-0.08864833	-8.940697e-09	-0.018840156	-8.9406965e-10	0.0040070945	59.929344	-2.1385612	0.23591574	-0.025526851	0.2183701	0.0	0.025158107	0.0050087664	-0.004904254	0.055258263	-0.012043518	0.00481879	2.2411637	0.2183701	2.0	0.0	1.0	0.8331354	0.0029752164	28000	29.22545337677002
7	25.125786	10.617265	62.0	7.0	0.59306896	0.6596812	3.2467065	0.02163284	25.125786	1313.5332	0.041047912	12.729687	3.247672	16.834791	-3.1417608	0.352698	0.106683195	0.7413647	-0.15426376	-2.2172928e-08	-0.0038641419	-9.536744e-10	-0.003764063	75.9626	-3.7485886	0.33449647	-0.016144186	3.0643108	0.0	0.015272695	0.0065999543	0.0037041213	0.026499948	-0.006731	0.0040353914	1.5212038	3.0643108	1.0	0.0	0.0	0.8141938	0.0047913142	32000	33.39400362968445
8	25.350319	11.014678	95.0	6.0	0.38232377	0.4247969	2.4510887	0.023191316	25.350319	1373.6221	0.03815617	13.888681	2.6799767	17.33367	-0.8871968	0.43614432	0.07920143	0.7628759	0.04123799	-1.5735626e-08	-0.015253892	2.6822091e-09	0.003432818	81.42945	-2.7904205	0.15407763	-0.020846933	0.0	0.0	0.013267248	0.001958849	-0.004642002	0.021530598	-0.0047057006	0.0026797384	1.4673309	0.0	2.0	0.0	0.0	0.7911445	0.0048210793	36000	37.59760880470276
9	31.377953	12.747041	81.0	8.0	0.5625789	0.5580291	3.4923363	0.03609987	31.377953	1445.1638	0.036129095	14.13317	3.1952298	17.322903	-4.146737	0.33277667	0.07737486	0.6256033	-0.009703541	1.2874604e-08	-0.004149079	9.983778e-10	-0.002149248	105.86376	-9.95562	0.205468	-0.0078049153	2.8032315	0.0	0.008351504	0.008644474	0.0019943595	0.021728761	-0.006265173	0.002934263	0.9829084	2.8032315	1.0	0.0	0.0	0.77987236	0.0041494737	40000	41.62542462348938
