Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,Optim_A,Optim_B,Optim_c,Optim_q,Optim_r,Optim_s,Optim_Lam,Optim_Nu,OptimCase,Margin,BacktrackIters,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
0,19.443903,9.039373,73.0,8.0,282.29422,32.089703,390.8397,220.01584,19.443903,58134.0,14.5335,0.0013061264,0.18393585,0.4861096,-0.45546904,0.0019592512,0.15120582,0.3975457,-0.378045,1.2397766e-07,0.009933806,-9.765625e-07,-0.22811863,189.16432,-22.539658,10625.177,-174.54492,0.043140147,0.0,0.0055090953,-39.079536,14.492678,0.015887015,-0.23614216,5.3732467,0.0,0.043140147,0.0,0.0,0.0,0.68548095,0.0039486336,4000,2.82297158241272,0
1,17.95946,8.158518,45.0,8.0,275.8512,32.98843,356.0542,219.94353,17.95946,119631.055,14.953882,0.96429014,0.35986936,2.411791,-0.29407808,0.89593714,1.4538687,4.414452,-2.8814042,-8.2492825e-08,0.013945237,6.1035155e-07,-0.2554847,139.82173,-53.01239,10513.051,-617.44434,0.03875694,0.0,0.0057090074,-35.29908,15.33182,0.025698569,-0.36479774,6.6573443,0.0,0.03875694,0.0,0.0,0.0,0.670306,0.00454893,8000,5.190005779266357,0
2,15.2091255,5.7480364,49.0,8.0,265.4146,25.686907,363.06757,219.89572,15.2091255,189434.94,15.786244,4.284537,0.37339178,6.282078,2.9249759,5.0754013,1.2119555,8.036696,0.3820973,-2.8610229e-08,0.0138281,1.7089844e-06,-0.27048537,50.052296,-18.858656,9962.804,-876.17773,0.036726523,0.0,0.00022898242,-40.912582,17.418137,0.01972598,-0.38019294,7.413791,0.0,0.036726523,0.0,0.0,0.0,0.6437334,0.0042238343,12000,7.384308099746704,0
3,14.177305,5.308609,55.0,8.0,260.29,23.979193,367.0525,219.71991,14.177305,262958.75,16.434921,7.016853,0.8034232,8.714558,0.20231378,11.223862,0.795491,12.561392,2.018335,1.7166137e-08,0.013051977,3.5705566e-06,-0.17272556,28.30882,-6.3046913,9072.319,-655.3994,0.0606496,0.0,0.0017471127,-123.503204,18.324358,0.018162087,-0.21124779,2.7185926,0.0,0.0606496,0.0,0.0,0.0,0.60915685,0.0027013083,16000,8.633071422576904,0
4,13.430977,4.29189,39.0,8.0,256.869,21.917816,344.52573,219.78972,13.430977,339492.06,16.974604,7.428997,1.5118666,9.45319,2.88174,16.388098,0.41233826,17.262262,13.85138,-3.4570693e-09,0.017030858,-1.4495849e-06,-0.30629957,13.567876,-3.66677,8434.894,-420.3286,0.03139113,0.0,0.0069477,-35.892918,19.087889,0.038628843,-0.56701356,10.148131,0.0,0.03139113,0.0,0.0,0.0,0.5778161,0.0043057576,20000,10.770134925842283,0
5,12.615142,3.7378814,33.0,8.0,252.40349,20.512857,331.00906,219.8975,12.615142,419583.72,17.482655,7.012128,2.5331347,10.28351,1.7012548,19.93778,0.20829904,20.374544,18.694397,-1.6689301e-09,0.022437116,-3.479004e-06,-0.28718573,6.850174,-0.9772792,7993.5654,-303.97412,0.033153452,0.0,0.015588876,-43.816986,19.968344,0.07126862,-0.7117375,9.097928,0.0,0.033153452,0.0,0.0,0.0,0.53174853,0.0042839074,24000,12.946527004241943,0
6,12.018072,3.3857832,35.0,8.0,249.05864,18.525852,335.54297,219.89735,12.018072,502507.28,17.946688,6.6713886,3.1628058,11.576124,1.111565,22.490894,0.7726118,23.297302,18.206697,0.0,0.028757416,5.493164e-07,-0.2920354,4.852649,-0.096759796,7675.446,-244.5332,0.032045644,0.0,0.0038944632,-43.916447,20.682072,0.093713425,-0.9352227,9.737826,0.0,0.032045644,0.0,0.0,0.0,0.48302227,0.0038315747,28000,15.129449605941772,0
7,11.293785,2.6635468,32.0,8.0,244.85704,15.9789505,328.49738,219.78087,11.293785,589292.3,18.415384,6.40189,3.3383193,11.210665,1.0199237,24.76162,0.51843625,25.361708,21.791054,-8.8214875e-09,0.027739597,3.9367674e-06,-0.22914091,2.995158,-0.055600166,7397.9297,-211.09375,0.04090517,0.0,0.021049134,-78.31981,21.636417,0.10796704,-0.7207364,5.9764543,0.0,0.04090517,0.0,0.0,0.0,0.4279702,0.0031075128,32000,17.24111247062683,0
8,10.802168,2.2896955,22.0,8.0,241.66252,14.857219,298.84146,219.69493,10.802168,678705.9,18.852942,6.1015854,3.2961636,10.714067,0.9701536,26.669935,0.83179706,27.3503,21.34018,6.6757204e-09,0.03042612,3.6621093e-06,-0.17356652,2.1006026,-0.082131386,7172.153,-193.98291,0.05479752,0.0,0.0068955943,-149.65477,22.325382,0.112878814,-0.59409744,3.3302608,0.0,0.05479752,0.0,0.0,0.0,0.3842577,0.0029150252,36000,19.38761615753174,0
9,10.568783,2.1211405,21.0,8.0,240.1387,13.720897,295.44617,219.68147,10.568783,769642.75,19.241068,5.8067546,3.1836495,10.492516,0.9870782,27.800344,2.8209271,29.200102,9.16691,7.1525574e-10,0.0075385887,7.6293944e-08,-0.27427235,1.8091677,-0.055289626,6953.988,-178.27588,0.035530735,0.0,0.10177891,-64.89413,22.6742,0.11348597,-0.30452275,7.9212117,0.0,0.035530735,0.0,0.0,0.0,0.3383163,0.0039915526,40000,21.52978610992432,0
10,10.241026,1.7122062,19.0,8.0,238.02336,11.944153,287.6097,219.70259,10.241026,862650.06,19.605682,5.7667866,3.0450966,10.248349,1.0965226,28.714087,4.112361,30.869438,2.121065,-2.384186e-10,0.010147734,3.6010742e-06,-0.24596271,1.2985657,-0.08257961,6752.1733,-170.72754,0.039374553,0.0,0.07808307,-83.388275,23.193317,0.09560921,-0.33622307,6.4501333,0.0,0.039374553,0.0,0.0,0.0,0.322542,0.0039445963,44000,23.94074487686157,0
11,10.080808,1.5965669,19.0,8.0,236.9231,11.275374,287.5918,219.71442,10.080808,956670.7,19.93064,5.573723,2.925814,9.899606,1.1254722,29.274101,5.5292783,32.496925,-2.7873662,1.4305114e-08,0.0051874863,2.5177003e-06,-0.2812108,1.1959841,-0.060586452,6567.378,-167.15771,0.03560642,0.0,0.077837385,-69.7242,23.452793,0.08436146,-0.226846,7.887572,0.0,0.03560642,0.0,0.0,0.0,0.29617304,0.004141042,48000,26.10732698440552,0
12,10.06801,1.2905037,15.0,8.0,237.07378,9.432071,268.72375,219.67694,10.06801,1050915.1,20.209906,5.4453864,2.8455563,9.662762,1.2029899,31.056555,6.293326,34.102516,-6.3254094,-1.3828277e-08,0.01614316,1.0223389e-06,-0.23441553,0.8260137,-0.033231735,6400.8696,-151.58887,0.039842248,0.0,0.03272512,-87.63629,23.49757,0.06942069,-0.48079836,6.299591,0.0,0.039842248,0.0,0.0,0.0,0.28139114,0.0036930856,52000,28.25872039794922,0
13,9.762836,1.3396302,23.0,8.0,234.64464,9.543902,302.64255,219.6511,9.762836,1147091.8,20.483782,5.437208,2.738885,9.505942,1.2953981,33.04879,6.33202,35.651527,-7.616193,-1.6212464e-08,0.00799974,-3.9520264e-06,-0.12265815,0.9218854,-0.028838873,6237.9976,-138.63232,0.07317177,0.0,0.061547637,-307.9565,23.98326,0.072902486,-0.14562874,1.8677248,0.0,0.07317177,0.0,0.0,0.0,0.23738623,0.003863577,56000,30.42231845855713,0
14,9.791667,1.3054296,19.0,8.0,234.88101,9.451805,287.22275,219.75838,9.791667,1243104.4,20.718407,5.354342,2.7151513,9.333448,1.2349589,34.969288,6.284908,37.145763,-13.064996,1.5735626e-08,0.021420445,2.4108888e-06,-0.15558597,0.7926925,-0.0143314,6109.44,-127.25293,0.05578776,0.0,0.011629093,-178.31384,23.936783,0.07306384,-0.44429162,3.2130845,0.0,0.05578776,0.0,0.0,0.0,0.2042796,0.0033212202,60000,32.59986686706543,0
15,9.628916,1.1116611,15.0,8.0,233.7115,8.417034,268.632,219.73773,9.628916,1340260.0,20.941563,5.2566886,2.6814482,9.240686,1.2646707,36.316677,6.7804394,38.588696,-11.976218,-5.9604646e-09,0.008679708,-9.765625e-07,-0.119943514,0.6252527,-0.019321322,5968.753,-120.23291,0.072402544,0.0,0.025748607,-307.49548,24.219913,0.039004445,-0.15901926,1.9076219,0.0,0.072402544,0.0,0.0,0.0,0.16011982,0.0037974112,64000,34.74927258491516,0
16,9.552631,1.0205333,15.0,8.0,233.1752,7.9525223,268.18982,219.6619,9.552631,1437933.8,21.146084,5.246677,2.625632,9.128869,1.3076801,38.314945,6.1676507,39.998753,-14.925228,-6.6757204e-09,0.012064447,-7.019043e-07,-0.19465412,0.5548764,-0.029343426,5862.509,-110.66797,0.043846942,0.0,0.013871167,-114.04985,24.357183,0.03723101,-0.34857452,5.201413,0.0,0.043846942,0.0,0.0,0.0,0.12638387,0.0038141026,68000,36.88815045356751,0
17,9.504762,0.94741565,15.0,8.0,232.85341,7.432291,268.77234,219.69382,9.504762,1535946.9,21.332596,5.1782227,2.5988522,9.066483,1.3052334,40.53383,4.2372384,41.36423,-12.745665,5.722046e-09,0.0030814656,-4.882813e-07,-0.20306976,0.49648762,-0.03576228,5769.7944,-101.17578,0.04638673,0.0,0.023907073,-128.57883,24.446001,0.02951483,-0.16143617,4.6474257,0.0,0.04638673,0.0,0.0,0.0,0.0865581,0.004091857,72000,39.165118932724,0
18,9.449173,0.85973394,13.0,8.0,232.43417,6.8452034,257.4946,219.63994,9.449173,1634408.9,21.50538,5.148265,2.5630183,9.019565,1.2777078,40.761402,6.931633,42.680573,-17.338043,1.001358e-08,0.0035396218,-5.0964354e-06,-0.19840142,0.42348373,-0.01225093,5633.7534,-100.17432,0.054546095,0.0,0.013740158,-179.24414,24.545446,0.016572235,-0.09756385,3.3610322,0.0,0.054546095,0.0,0.0,0.0,0.09549444,0.004500454,76000,40.47431230545044,0
19,9.469194,0.92503303,13.0,8.0,232.56737,7.3738966,257.7291,219.67633,9.469194,1732718.8,21.658985,5.1586146,2.5357556,9.009238,1.2646854,40.921524,8.795292,43.99658,-14.896915,-4.7683715e-09,0.00897141,-1.4038086e-06,-0.17631824,0.4796709,-0.007014811,5511.124,-101.98584,0.05751972,0.0,0.017447274,-198.70726,24.507614,0.029011868,-0.18695988,3.0225012,0.0,0.05751972,0.0,0.0,0.0,0.1042033,0.0010786721,80000,42.8422749042511,0
20,9.355972,0.8628316,13.0,8.0,231.68321,6.9593554,257.4567,219.71213,9.355972,1831825.6,21.807447,5.1390367,2.5267923,9.019178,1.2464254,41.369812,9.843132,45.326565,-13.29458,4.887581e-09,0.0038837253,-2.4414064e-07,-0.17269294,0.48297578,-0.010005891,5380.4316,-102.81152,0.05065001,0.0,0.010222603,-156.62682,24.709694,0.013460354,-0.112342015,3.8979914,0.0,0.05065001,0.0,0.0,0.0,0.10127956,0.0036143847,84000,45.15693044662476,0
21,9.295349,0.80909175,12.0,8.0,231.21954,6.586369,251.41568,219.66463,9.295349,1931393.8,21.947657,5.091544,2.5033176,8.908083,1.2247125,43.574863,9.012867,46.66456,-10.844814,-9.536744e-10,0.001906703,2.7923584e-06,-0.09982767,0.41111302,-0.008558989,5305.1953,-91.40088,0.09447388,0.0,0.0059609823,-549.8611,24.820967,0.0065425057,-0.025525354,1.1204088,0.0,0.09447388,0.0,0.0,0.0,0.081464835,0.00047214903,88000,47.47976326942444,0
22,9.327103,0.77671367,12.0,8.0,231.48839,6.3708973,251.35345,219.78725,9.327103,2030687.2,22.072687,5.056461,2.4988866,8.861328,1.1959093,45.073353,8.735046,47.947968,-6.71302,-1.26361845e-08,0.003471758,3.1814575e-06,-0.15753065,0.37685633,-0.006971091,5233.3125,-85.078125,0.07106749,0.0,0.003080647,-309.75247,24.76529,0.0048978566,-0.059983462,1.9799672,0.0,0.07106749,0.0,0.0,0.0,0.07486996,0.004622837,92000,49.734620332717896,0
23,9.297674,0.7684137,11.0,8.0,231.23064,6.3243937,244.73244,219.65977,9.297674,2130220.8,22.1898,5.0549717,2.4843144,8.8551445,1.1701576,44.515335,11.046709,49.198605,-5.4455914,7.629395e-09,-0.0015631914,5.1879886e-07,-0.105304785,0.41371685,-0.0088863075,5090.5615,-88.674805,0.094750516,0.0,0.0021867142,-552.8626,24.815952,0.0022564959,0.008816358,1.1138759,0.0,0.094750516,0.0,0.0,0.0,0.078584425,0.003931713,96000,52.05164837837219,0
24,9.321678,0.7956883,13.0,8.0,231.43309,6.478271,257.47375,219.76112,9.321678,2229540.5,22.295404,5.0897827,2.4850354,8.891512,1.1797042,44.407055,12.124276,50.47812,-2.670769,-1.4305114e-08,0.0055156406,1.1749268e-06,-0.05055561,0.4286595,-0.011767149,4962.559,-92.21777,0.12971301,0.0,0.001651241,-1032.6354,24.773767,0.0074942326,-0.058929678,0.59433717,0.0,0.12971301,0.0,0.0,0.0,0.07956829,0.0010433798,100000,54.43015265464783,0
