Episode,Return,Cost,Length,Violation
1,1000.0,2.282302365433511,1000,0
2,1000.0,1.459543135564005,1000,0
3,1000.0,2.3169881221814106,1000,0
4,1000.0,1.3069397902668678,1000,0
5,1000.0,1.784188795448112,1000,0
6,1000.0,3.394281215215811,1000,0
7,1000.0,1.1273363499051985,1000,0
8,1000.0,1.238742345374706,1000,0
9,1000.0,2.4255117087749207,1000,0
10,1000.0,1.4192553195459658,1000,0
11,1000.0,4.209786871581076,1000,0
12,1000.0,2.7484316389364043,1000,0
13,1000.0,1.7315737400881461,1000,0
14,1000.0,2.013116098084424,1000,0
15,1000.0,2.5803495018214933,1000,0
16,1000.0,2.192809862645016,1000,0
17,1000.0,1.7010362458961674,1000,0
18,1000.0,3.7402994390552924,1000,0
19,1000.0,2.2215965910354565,1000,0
20,1000.0,2.405397672064007,1000,0
21,1000.0,2.3733222580317324,1000,0
22,1000.0,1.376419152885369,1000,0
23,1000.0,1.6807913986173533,1000,0
24,1000.0,1.486630900608832,1000,0
25,1000.0,1.613559858545689,1000,0
26,1000.0,1.2908241622559735,1000,0
27,1000.0,1.6162811346394186,1000,0
28,1000.0,1.1750273067002832,1000,0
29,1000.0,1.8035703185519925,1000,0
30,1000.0,1.9380769968281415,1000,0
31,1000.0,4.904087653713511,1000,0
32,1000.0,2.4600941804747425,1000,0
33,1000.0,3.424787097833338,1000,0
34,1000.0,2.7247300850827743,1000,0
35,242.0,0.5339291792756868,242,0
36,1000.0,1.9717978497358801,1000,0
37,1000.0,2.24190564922729,1000,0
38,641.0,1.8624371735543719,641,0
39,1000.0,3.526394073671503,1000,0
40,1000.0,2.8434680288989598,1000,0
41,1000.0,1.9610391211082385,1000,0
42,1000.0,2.2535152448676214,1000,0
43,1000.0,1.647370304583413,1000,0
44,1000.0,3.037890809035942,1000,0
45,1000.0,1.908252842631165,1000,0
46,1000.0,3.612797857316962,1000,0
47,1000.0,2.835508026090008,1000,0
48,1000.0,2.7126660064205503,1000,0
49,1000.0,1.8721622218454022,1000,0
50,1000.0,1.1433331543979588,1000,0
51,1000.0,1.9035031912836289,1000,0
52,1000.0,1.8224721553506742,1000,0
53,1000.0,1.6733215592105704,1000,0
54,1000.0,2.4123300086924413,1000,0
55,1000.0,3.443179195418372,1000,0
56,1000.0,3.6744111848247534,1000,0
57,1000.0,2.0373879540170505,1000,0
58,1000.0,1.9603498194067845,1000,0
59,1000.0,2.1324624708244495,1000,0
60,1000.0,1.757887336633669,1000,0
