Episode,Return,Cost,Length,Violation
1,1000.0,31.952227247427,1000,1
2,1000.0,33.17712430320198,1000,1
3,1000.0,61.994804934790615,1000,1
4,1000.0,67.48021756833191,1000,1
5,1000.0,55.8097971164862,1000,1
6,1000.0,32.570551961075374,1000,1
7,1000.0,53.113456008057405,1000,1
8,384.0,54.496149377019464,384,1
9,1000.0,14.237693120519802,1000,1
10,122.0,54.14131361672378,122,1
11,776.0,65.24724479218904,776,1
12,1000.0,44.64346872031718,1000,1
13,1000.0,70.65705459464137,1000,1
14,1000.0,41.54720313952851,1000,1
15,1000.0,111.56823086604126,1000,1
16,1000.0,53.12933432291528,1000,1
17,1000.0,125.99958309544905,1000,1
18,1000.0,55.89149312407791,1000,1
19,790.0,78.83560329955439,790,1
20,1000.0,18.031136640585533,1000,1
21,1000.0,29.14287099667653,1000,1
22,1000.0,74.12583894235445,1000,0
23,1000.0,20.96320557744962,1000,0
24,806.0,107.3759557964478,806,0
25,1000.0,53.89869093334393,1000,0
26,95.0,122.15250468269674,95,0
27,813.0,40.5077727358783,813,0
28,976.0,53.498054889505944,976,0
29,152.0,58.031793734011735,152,0
30,901.0,146.21028149016098,901,0
31,1000.0,46.01041571153654,1000,0
32,514.0,65.26773852918598,514,0
33,702.0,48.01516151674579,702,0
34,573.0,20.940845271061526,573,0
35,1000.0,44.877065446724544,1000,0
36,269.0,35.69482448521739,269,0
37,436.0,95.57614860221634,436,0
38,1000.0,33.504533116382504,1000,0
39,1000.0,54.553425138495484,1000,0
40,1000.0,28.634932410765607,1000,0
41,963.0,23.561962705859763,963,0
42,1000.0,50.64862176129841,1000,0
43,601.0,19.657489414746557,601,0
44,1000.0,27.51164160810266,1000,0
45,1000.0,44.077053596254125,1000,0
46,1000.0,80.65369874293019,1000,0
47,1000.0,48.29450888915746,1000,0
48,848.0,66.06140249019944,848,0
49,1000.0,39.19490484302887,1000,0
50,1000.0,35.469488126275266,1000,0
51,1000.0,70.21689635568724,1000,0
52,308.0,41.82558220596998,308,0
53,1000.0,37.62436812462699,1000,0
54,1000.0,33.33198595362604,1000,0
55,1000.0,30.12815397272229,1000,0
56,1000.0,81.96172831360984,1000,0
57,533.0,34.259105968890985,533,0
58,1000.0,59.95946641915647,1000,0
59,301.0,63.99727872331123,301,0
60,1000.0,41.5052118221639,1000,0
