Episode,Return,Cost,Length,Violation
1,1000.0,14.38753031867254,1000,0
2,1000.0,5.800193341079212,1000,0
3,1000.0,12.646687788877514,1000,0
4,1000.0,14.220615968697034,1000,0
5,1000.0,12.630721009647766,1000,0
6,1000.0,15.471076541106584,1000,0
7,1000.0,7.482551145560123,1000,0
8,1000.0,7.048237550397762,1000,0
9,1000.0,9.980808308368662,1000,0
10,1000.0,12.247669465077962,1000,0
11,1000.0,11.752623349669786,1000,0
12,1000.0,7.608647642172611,1000,0
13,1000.0,8.52459880324494,1000,0
14,1000.0,8.990978237236895,1000,0
15,1000.0,12.743606754515447,1000,0
16,1000.0,10.073138383000174,1000,0
17,1000.0,5.851397797354822,1000,0
18,1000.0,22.467769363114684,1000,0
19,1000.0,9.0742926225431,1000,0
20,1000.0,13.094248365100258,1000,0
21,1000.0,9.057173547620453,1000,0
22,1000.0,8.124055523809359,1000,0
23,1000.0,15.592548815041116,1000,0
24,1000.0,7.639883390433479,1000,0
25,1000.0,11.117189115038672,1000,0
26,1000.0,10.329420004420793,1000,0
27,1000.0,9.919418153936396,1000,0
28,1000.0,4.814822426736014,1000,0
29,1000.0,12.852301112647465,1000,0
30,1000.0,8.175600932081451,1000,0
31,1000.0,24.416268354884316,1000,0
32,1000.0,9.419587857695175,1000,0
33,1000.0,15.980471675335727,1000,0
34,1000.0,8.180941676469102,1000,0
35,1000.0,11.647135371130771,1000,0
36,1000.0,17.688270160855875,1000,0
37,1000.0,5.1129519675224016,1000,0
38,1000.0,10.199900198175403,1000,0
39,1000.0,11.066402776834318,1000,0
40,1000.0,12.032781380982218,1000,0
41,1000.0,14.589971634100241,1000,0
42,1000.0,5.361897600677078,1000,0
43,1000.0,10.377142372299735,1000,0
44,1000.0,12.32078118457087,1000,0
45,1000.0,10.623537098786583,1000,0
46,1000.0,11.945368878084976,1000,0
47,1000.0,7.611866809330951,1000,0
48,1000.0,8.799193792391325,1000,0
49,1000.0,7.2227990326942555,1000,0
50,1000.0,6.018126701055365,1000,0
51,1000.0,6.031904807634,1000,0
52,1000.0,8.014811428614362,1000,0
53,1000.0,7.5328688267496,1000,0
54,1000.0,27.202351910601763,1000,0
55,1000.0,21.541968507792664,1000,0
56,1000.0,10.418240110889153,1000,0
57,1000.0,4.912197144439778,1000,0
58,1000.0,10.8844812288767,1000,0
59,1000.0,11.545730195387595,1000,0
60,1000.0,11.700735479150827,1000,0
