Episode,Return,Cost,Length,Violation
1,94.0,0.43983302347474806,94,0
2,88.0,0.5775536909424362,88,0
3,116.0,0.40795684422555833,116,0
4,140.0,0.3342316374761075,140,0
5,82.0,0.5244289933738377,82,0
6,97.0,0.41042285697603353,97,0
7,95.0,0.5434599826641668,95,0
8,123.0,0.35681353195082094,123,0
9,115.0,0.3833922795957589,115,0
10,109.0,0.4000504765738834,109,0
11,88.0,0.589188570742073,88,0
12,88.0,0.4943066473398816,88,0
13,136.0,0.298577781321833,136,0
14,114.0,0.43176938430973033,114,0
15,105.0,0.42250269192918954,105,0
16,122.0,0.4227056623959023,122,0
17,120.0,0.40351864394657516,120,0
18,82.0,0.5688084021323989,82,0
19,85.0,0.5313053553062386,85,0
20,71.0,0.6318751587884244,71,0
21,76.0,0.647509369182613,76,0
22,79.0,0.48544345965243346,79,0
23,81.0,0.6118471946652424,81,0
24,109.0,0.4478625130831461,109,0
25,64.0,0.8432304668289926,64,0
26,113.0,0.47079644334395415,113,0
27,84.0,0.6342438438190897,84,0
28,106.0,0.37270426049609723,106,0
29,90.0,0.48964433207040314,90,0
30,118.0,0.39978163528156374,118,0
31,121.0,0.305906634804283,121,0
32,82.0,0.5056131036948055,82,0
33,77.0,0.6564830998048241,77,0
34,207.0,0.2171698219196118,207,0
35,88.0,0.5892983032455805,88,0
36,70.0,0.7584004616881646,70,0
37,101.0,0.5211082390452109,101,0
38,80.0,0.5814670599447179,80,0
39,112.0,0.4081485155108148,112,0
40,143.0,0.30565692144104983,143,0
41,143.0,0.32962637118900195,143,0
42,101.0,0.47138899969336356,101,0
43,99.0,0.40104655220625823,99,0
44,132.0,0.32224041123629876,132,0
45,101.0,0.5142805175717451,101,0
46,96.0,0.5214907313694256,96,0
47,101.0,0.5054496826565451,101,0
48,116.0,0.42664576080520633,116,0
49,142.0,0.3145073044341429,142,0
50,121.0,0.3702306906090025,121,0
51,102.0,0.504404017947257,102,0
52,105.0,0.4940445223716321,105,0
53,124.0,0.3997807867648784,124,0
54,113.0,0.36018682362804566,113,0
55,122.0,0.379609738587591,122,0
56,67.0,0.6742529591787522,67,0
57,62.0,0.7484317806434212,62,0
58,83.0,0.5842733238264107,83,0
59,91.0,0.5259113229344559,91,0
60,182.0,0.2593083201473914,182,0
