Episode,Return,Cost,Length,Violation
1,1000.0,45.429598291051526,1000,1
2,1000.0,18.027959759992566,1000,1
3,1000.0,44.51757542315591,1000,0
4,678.0,24.46469822730403,678,0
5,1000.0,24.116680691498907,1000,0
6,1000.0,29.18350089027784,1000,0
7,1000.0,50.72396789712823,1000,0
8,1000.0,13.711496861496835,1000,0
9,1000.0,29.51790030614543,1000,0
10,1000.0,55.556813210026604,1000,0
11,1000.0,59.10404094299586,1000,0
12,1000.0,29.92172082975736,1000,0
13,1000.0,48.57212350568912,1000,0
14,1000.0,27.69933781072243,1000,0
15,1000.0,37.73977670284014,1000,0
16,1000.0,50.31191852499924,1000,0
17,1000.0,46.985242629207434,1000,0
18,1000.0,29.61621194326667,1000,0
19,1000.0,42.70215404569691,1000,0
20,1000.0,35.83289254622559,1000,0
21,1000.0,30.56284457894146,1000,0
22,1000.0,24.56499526425451,1000,0
23,1000.0,49.45443722929524,1000,0
24,1000.0,19.244833616679117,1000,0
25,1000.0,19.969181941266218,1000,0
26,1000.0,104.36136712965143,1000,0
27,1000.0,32.35810297952301,1000,0
28,1000.0,24.478291682251314,1000,0
29,1000.0,19.13171874315555,1000,0
30,1000.0,42.49492063393076,1000,0
31,1000.0,76.75906524902686,1000,0
32,1000.0,33.30475784632369,1000,0
33,1000.0,34.42440565093343,1000,0
34,1000.0,29.830949677821412,1000,0
35,1000.0,17.355566172483154,1000,0
36,1000.0,59.81818178375548,1000,0
37,1000.0,28.07115141784826,1000,0
38,1000.0,25.511169229997517,1000,0
39,1000.0,41.17715338240653,1000,0
40,1000.0,40.081130818143954,1000,0
41,686.0,64.39785210351397,686,0
42,1000.0,35.56772743632826,1000,0
43,1000.0,27.4042622291741,1000,0
44,1000.0,67.77700927869179,1000,0
45,1000.0,45.77174597288935,1000,0
46,1000.0,37.41487157277243,1000,0
47,1000.0,51.35957674618277,1000,0
48,1000.0,25.17455961449272,1000,0
49,1000.0,31.94300783849919,1000,0
50,1000.0,34.65808523480997,1000,0
51,1000.0,23.75191501325255,1000,0
52,1000.0,23.0106385952822,1000,0
53,1000.0,42.43096949274589,1000,0
54,1000.0,40.12165220345544,1000,0
55,1000.0,42.75173745538313,1000,0
56,1000.0,27.52220334383611,1000,0
57,1000.0,39.99168103554521,1000,0
58,1000.0,38.68773966113234,1000,0
59,1000.0,38.66109394308838,1000,0
60,1000.0,44.1664958026736,1000,0
