Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	18.572094	8.390092	52.0	8.0	0.394901	0.26335338	1.4360057	0.012774485	18.572094	85.19566	0.021298915	0.0024938306	0.18486051	0.46574447	-0.46017572	-0.00012681246	0.15243468	0.3524259	-0.36044458	1.0871887e-07	-0.016460998	-7.2717667e-09	-0.0007959362	170.27098	-22.670334	0.11212729	-0.07711654	0	0	8.0	0.6853416	0.016101725	4000	2.5022497177124023
1	25.259493	14.092453	104.0	10.0	0.45758018	0.64275795	6.253159	0.027713878	25.259493	157.57672	0.01969709	1.0983309	0.32401347	2.4023945	-0.72681004	0.22898419	0.02395226	0.30080783	0.13729726	7.200241e-08	-0.010513976	-2.7418137e-09	0.0017284154	312.38583	-97.6346	0.39353016	-0.020349503	0	0	13.0	0.6909008	0.013110867	8000	4.573544263839722
2	30.914728	19.517447	107.0	10.0	0.50601244	0.8743898	9.515089	0.01677763	30.914728	223.2378	0.01860315	5.229688	0.5039928	6.8844447	2.6395555	0.3391628	0.08117425	0.7063381	-0.35847092	1.9788741e-08	-0.014272595	-1.0728836e-09	0.0039514564	366.2414	-121.106766	0.7992468	-0.16554344	0	0	79.0	0.67648154	0.005281743	12000	7.145893573760986
3	39.465347	25.439335	169.0	12.0	1.0518949	3.4599447	32.283596	0.017484093	39.465347	329.651	0.020603187	11.031988	0.99195725	14.418472	5.858246	0.42046827	0.41686425	2.9115055	-1.4095582	-2.5093556e-08	-0.015119386	-3.5382808e-08	0.009691459	406.9695	-87.81448	10.13769	-0.74954605	0	0	79.0	0.6641725	0.0049692867	16000	9.453474283218384
4	49.93671	31.330153	181.0	10.0	1.6560242	3.1736922	17.175583	0.029585658	49.93671	461.09283	0.023054643	15.664039	0.24611051	16.17078	14.154653	1.1377302	1.0540489	6.0948114	-2.3904488	4.2915346e-08	-0.014769515	7.2717667e-09	0.013174647	459.38593	-70.395325	5.12166	-0.2773037	0	0	79.0	0.6499435	0.004552126	20000	11.884328365325928
5	66.40678	36.17758	160.0	13.0	4.479984	7.11096	31.054497	0.07419449	66.40678	728.278	0.030344917	19.13412	0.65435326	20.304466	14.532953	1.3445106	1.0494956	5.0413156	-1.7438291	-1.6450882e-08	-0.014125535	1.513958e-08	0.020885326	549.7724	-77.95328	26.358952	-4.8610344	0	0	79.0	0.63616955	0.0040033865	24000	14.180540323257446
6	94.45238	49.53748	197.0	13.0	11.452718	17.723795	91.915344	0.053153343	94.45238	1209.4454	0.04319448	22.185621	1.0388656	23.241682	13.498592	3.3887599	0.8557754	5.843168	0.46915966	-4.482269e-08	-0.011425445	2.002716e-08	0.036172003	835.63074	-118.084595	128.84103	-16.752533	0	0	79.0	0.6230767	0.0037884407	28000	16.562766551971436
7	125.870964	50.72236	240.0	25.0	23.734278	23.098942	74.65432	0.16419199	125.870964	1977.835	0.061807342	25.253288	2.7528048	26.321163	-4.5362244	7.639912	1.3851516	11.118924	1.3991878	-2.6583672e-08	-0.0059771845	1.1014939e-07	0.033057988	971.6407	-119.89844	196.16248	-30.606888	0	0	79.0	0.62100893	0.002809908	32000	19.015376329421997
8	149.0	42.634403	291.0	82.0	23.365929	16.028751	60.760925	3.2343159	149.0	2595.462	0.07209616	27.717129	3.307916	29.081032	-2.3256834	12.094295	1.7957566	16.053526	3.917112	9.059906e-09	-0.00846029	2.1457673e-08	0.03486104	975.1138	-113.37665	88.573814	-6.5232773	0	0	79.0	0.6089888	0.002748923	36000	20.557156801223755
9	151.3077	59.55719	283.0	17.0	28.324995	20.926994	75.98363	0.28871056	151.3077	3332.2253	0.083305635	30.829319	3.1133418	31.594116	-9.432182	10.539652	1.1023139	13.178762	5.8391595	-3.2901763e-08	-0.00558721	-1.2397766e-08	0.021111537	990.1926	-87.730774	129.80779	-9.066986	0	0	79.0	0.60137844	0.0047781905	40000	22.99047875404358
