Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	18.458334	8.303732	60.0	9.0	0.38863158	0.28261045	1.3724543	0.033402592	18.458334	83.95689	0.020989222	0.007273531	0.18233553	0.42799535	-0.487274	-0.0024167462	0.15233234	0.34916687	-0.3600578	-2.5510788e-08	-0.0156221595	-4.1723253e-10	-0.0010814102	168.85622	-22.435104	0.1184957	-0.07624708	0	0	8.0	0.6852559	0.01595403	4000	1.5342135429382324
1	22.016575	9.297107	59.0	9.0	0.44407094	0.3775682	3.195232	0.02484369	22.016575	164.36877	0.020546097	1.0925481	0.33825102	2.2681026	-0.69011176	0.22747748	0.022813423	0.3298868	0.06455645	-1.3351441e-08	-0.009262452	-5.960465e-11	0.00048019362	190.16167	-70.83254	0.09962482	-0.0034427345	0	0	13.0	0.6912178	0.012600604	8000	3.655177354812622
2	28.347517	13.740753	74.0	9.0	0.3990731	0.34740835	1.9826758	0.026627721	28.347517	220.67093	0.018389244	4.865881	0.8010271	7.689074	-0.20424934	0.25976348	0.08130908	0.6666326	-0.3114453	1.3589859e-08	-0.018824538	-1.1920929e-09	0.0021376272	232.44427	-92.588715	0.07768098	-0.009273641	0	0	79.0	0.6776435	0.006193586	12000	6.0464653968811035
3	35.598213	15.324152	83.0	11.0	0.623973	0.96024644	8.572111	0.038774714	35.598213	290.57156	0.018160723	10.485682	0.50398976	11.82531	7.6194797	0.23408546	0.016405882	0.3034685	0.15190852	-6.2942505e-08	-0.015475202	6.556511e-09	0.003085767	203.53812	-50.63336	0.6903536	-0.103746355	0	0	79.0	0.6644916	0.0047999537	16000	8.406736135482788
4	51.74026	29.65271	163.0	10.0	1.655046	2.030181	9.234542	0.032996863	51.74026	418.21063	0.020910531	14.599717	0.5965329	15.876195	11.079273	0.33145508	0.4973514	1.9170165	-1.2189932	-7.6293944e-08	-0.013308209	-2.0444393e-08	0.007868243	456.8118	-94.718994	3.477206	-1.4920427	0	0	79.0	0.6528895	0.004414285	20000	10.833396434783936
5	61.234375	32.384285	149.0	15.0	1.998072	2.731795	15.953122	0.05202463	61.234375	546.596	0.022774834	19.246593	0.40218073	19.978428	17.656178	1.3185203	0.2110457	1.8985637	0.6663089	3.7550926e-08	-0.011980843	-3.516674e-09	0.007911702	459.29395	-63.423767	3.0831602	-0.13282728	0	0	79.0	0.6372483	0.0034750612	24000	13.223524332046509
6	80.85714	31.093014	141.0	23.0	3.8784752	3.39411	14.791915	0.028422862	80.85714	736.9067	0.026318096	22.195547	0.89060915	23.314678	15.778661	1.2694713	0.63712764	2.8225224	-0.37922525	1.2397766e-08	-0.009468331	-1.6331672e-08	0.009477558	501.55838	-76.16666	5.2534523	-1.2701344	0	0	79.0	0.6229795	0.0031653305	28000	15.688673257827759
7	109.111115	49.831818	221.0	20.0	3.9340346	2.287209	8.018392	0.2889574	109.111115	881.5413	0.027548166	24.352919	3.9652994	25.98821	-11.258647	2.358528	0.27087787	2.9986784	1.2299839	5.8889388e-08	-0.005696483	-6.377697e-09	0.0053146607	834.4213	-114.38092	2.2299218	-0.28228557	0	0	79.0	0.6140113	0.003604477	32000	18.09698510169983
8	113.97143	54.58492	308.0	14.0	4.2447987	2.2242098	8.709333	0.24389683	113.97143	1030.2023	0.02861673	27.920805	3.7894022	28.954226	-12.051326	1.9476863	0.13508041	2.1978858	1.2315595	5.6147574e-08	-0.0065259906	7.1525574e-10	0.0042767823	787.04706	-76.342896	1.7791023	-0.050921917	0	0	79.0	0.603022	0.0077920826	36000	20.537798166275024
9	110.416664	40.413403	261.0	31.0	5.272384	3.162753	16.812778	0.3512281	110.416664	1220.447	0.030511176	28.99191	5.4449954	31.310331	-12.022069	2.1741376	0.23572297	2.6361856	0.71131134	-3.59416e-08	-0.0056473357	1.0311603e-08	0.0058215074	553.6955	-50.231934	3.6976542	-0.21938181	0	0	79.0	0.5995017	0.007161957	40000	22.98772931098938
10	116.030304	44.90089	196.0	16.0	4.9816747	2.2846155	8.625338	0.22078842	116.030304	1386.1178	0.03150268	32.01092	4.456278	33.158398	-14.646368	2.4999115	0.19768621	2.858633	1.4245191	-1.4424324e-08	-0.0036144122	-1.5497208e-09	0.0025703385	648.7909	-44.292114	1.6533037	-0.13338768	0	0	79.0	0.60091186	0.0019034942	44000	25.586114168167114
