Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.079246	9.103458	62.0	4.0	0.0	0.0	0.0	0.0	15.079246	0.0	0.0	-0.001617165	0.1097978	0.4738652	-0.4279919	0.002982931	0.15025283	0.49143705	-0.5207575	-6.198883e-09	-0.018107539	7.4505807e-10	-0.00014882842	157.75325	-20.650452	0.022594322	-0.022551145	0	0	5.0	0.9189385	0.01763478	4000	5.010788440704346
1	19.578432	12.307289	76.0	6.0	0.0	0.0	0.0	0.0	19.578432	0.0	0.0	1.0699428	0.6336586	3.678158	-2.0131788	0.00013882213	0.0030141575	0.021255048	-0.032407723	6.079674e-08	-0.017016253	4.4703484e-11	-1.3020812e-05	230.46819	-76.86307	9.098324e-06	-3.6904548e-06	0	0	7.0	0.9172345	0.017400306	8000	9.789622068405151
2	26.125	13.720093	70.0	5.0	0.0	0.0	0.0	0.0	26.125	0.0	0.0	4.9726768	0.27978384	5.770553	3.884148	0.00031957065	0.0025658251	0.03819482	-0.019261159	-3.2663344e-08	-0.0173457	-6.5192582e-12	-3.8791914e-06	207.20108	-81.93671	6.6805583e-06	-1.1349848e-06	0	0	8.0	0.91504675	0.014829905	12000	14.722544431686401
3	34.042736	18.803705	111.0	9.0	0.0	0.0	0.0	0.0	34.042736	0.0	0.0	10.413597	0.53560245	11.997525	7.2966104	-0.00026921046	0.0033232332	0.043056555	-0.034104332	4.9591065e-08	-0.01971976	2.514571e-11	-6.029618e-06	251.9006	-60.167328	1.1123497e-05	-2.5201962e-06	0	0	79.0	0.91274863	0.008177973	16000	20.03927183151245
4	48.47561	23.293056	130.0	6.0	0.0	0.0	0.0	0.0	48.47561	0.0	0.0	14.737146	1.0819689	16.93465	9.245845	0.00022745827	0.004465512	0.031291906	-0.033472043	3.218651e-08	-0.015464859	-7.450581e-12	1.7224278e-05	320.60855	-63.686462	1.9993775e-05	-9.337061e-06	0	0	79.0	0.9050652	0.006207407	20000	24.997982025146484
5	70.80357	29.730587	164.0	18.0	0.0	0.0	0.0	0.0	70.80357	0.0	0.0	18.925508	0.3369359	19.75443	17.358067	1.0746025e-05	0.0033216737	0.029124381	-0.024946688	3.1232833e-08	-0.008308496	-1.3969838e-11	4.3367495e-06	495.84848	-91.031006	1.1029746e-05	-3.5304265e-06	0	0	79.0	0.898173	0.00482133	24000	30.0804386138916
6	76.69231	34.38109	180.0	13.0	0.0	0.0	0.0	0.0	76.69231	0.0	0.0	21.770601	2.265706	23.605536	8.586134	3.5098332e-05	0.0024235344	0.020326098	-0.028513886	1.8119811e-08	-0.0077500152	5.820766e-12	6.7422407e-06	493.1337	-75.851074	5.8802048e-06	-1.6401241e-06	0	0	79.0	0.89645725	0.0035301843	28000	34.84904932975769
7	84.914894	30.899858	155.0	21.0	0.0	0.0	0.0	0.0	84.914894	0.0	0.0	24.123327	4.3444867	26.257036	-10.258058	-6.708637e-05	0.0021791407	0.019347457	-0.015765075	1.45435335e-08	-0.0077601657	-1.44355e-11	-6.5579593e-06	452.75867	-48.739166	4.759713e-06	-1.5799999e-06	0	0	79.0	0.9044859	0.0051125055	32000	38.82881808280945
8	101.53846	41.72858	289.0	61.0	0.0	0.0	0.0	0.0	101.53846	0.0	0.0	26.727837	3.6839972	28.328756	-8.416496	-5.4213655e-05	0.0016707327	0.016721673	-0.013729401	-4.4226645e-08	-0.0069530895	-2.4214387e-11	-1.921767e-06	597.9354	-61.803406	2.793262e-06	-7.0410147e-07	0	0	79.0	0.92314863	0.0038953037	36000	44.041603565216064
9	134.89655	75.035324	323.0	44.0	0.0	0.0	0.0	0.0	134.89655	0.0	0.0	29.736664	3.055434	30.59526	-8.109055	-1.957447e-05	0.0014698963	0.014764352	-0.008874412	2.3126603e-08	-0.0050923876	-3.2596291e-12	-4.4100084e-06	1074.4856	-120.884705	2.1640394e-06	-5.138189e-07	0	0	79.0	0.93205655	0.004162955	40000	49.794862270355225
10	123.625	50.33994	236.0	29.0	0.0	0.0	0.0	0.0	123.625	0.0	0.0	33.207367	0.81562763	33.45635	19.903147	-0.000102799015	0.0013369429	0.016955366	-0.006536706	9.536743e-09	-0.0074795233	1.1641532e-11	-1.8760543e-06	698.80566	-46.850647	2.2627794e-06	-4.2685997e-07	0	0	79.0	0.95636415	0.0052673323	44000	54.91456627845764
11	247.93333	96.393265	404.0	102.0	0.0	0.0	0.0	0.0	247.93333	0.0	0.0	35.16099	0.33479235	35.292538	30.133526	3.9330476e-05	0.001116919	0.009012561	-0.008188799	-3.027916e-08	-0.004675134	1.1874363e-11	-6.391911e-07	1660.436	-201.3883	1.2491203e-06	-2.0742925e-07	0	0	79.0	0.9813385	0.0033313252	48000	59.82496404647827
