Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.478261	8.451239	47.0	4.0	0.0	0.0	0.0	0.0	14.478261	0.0	0.0	-0.0028236732	0.10751376	0.38306016	-0.47978777	0.00477176	0.15196331	0.49454865	-0.47322613	4.87566e-08	-0.016308248	1.0430813e-09	0.0002825009	138.96858	-19.5243	0.023125142	-0.023083696	0	0	5.0	0.9189385	0.01750412	4000	6.025222539901733
1	19.402912	11.592088	77.0	5.0	0.0	0.0	0.0	0.0	19.402912	0.0	0.0	1.0154601	0.6377589	3.1843228	-1.8706535	0.00020740047	0.0025924037	0.023238888	-0.019958382	1.0490417e-08	-0.016758827	9.3132255e-12	-1.4113709e-05	211.75974	-74.16954	6.7612277e-06	-3.3232939e-06	0	0	7.0	0.9172161	0.016290044	8000	10.902864694595337
2	25.90909	13.792697	64.0	6.0	0.0	0.0	0.0	0.0	25.90909	0.0	0.0	5.000369	0.32630304	6.130865	3.1240134	-0.00014413343	0.0034311055	0.036532275	-0.042415563	-1.4305115e-09	-0.015931219	1.8626452e-12	-2.1085515e-07	207.84184	-81.707016	1.17938525e-05	-3.7674727e-06	0	0	8.0	0.91510695	0.015008999	12000	15.79608964920044
3	36.0	17.705542	94.0	8.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	10.419197	0.66710186	12.6772375	6.10013	0.00018048858	0.0035941915	0.02471471	-0.032900132	-3.7431718e-08	-0.01924648	-3.4924598e-11	-3.4887314e-06	251.11697	-66.88057	1.3000213e-05	-3.5043158e-06	0	0	79.0	0.91290206	0.009029168	16000	20.9915668964386
4	48.95062	24.628048	118.0	9.0	0.0	0.0	0.0	0.0	48.95062	0.0	0.0	15.084585	0.6443824	16.566929	11.687114	0.000152388	0.004059643	0.03466763	-0.0248217	-1.835823e-08	-0.01631361	-3.7252905e-12	-6.0225743e-06	337.72745	-67.29437	1.6540609e-05	-6.948443e-06	0	0	79.0	0.9107571	0.0070910337	20000	25.994345664978027
5	69.57895	32.355453	177.0	19.0	0.0	0.0	0.0	0.0	69.57895	0.0	0.0	19.002214	1.5928944	20.733986	7.286652	9.137693e-05	0.003058001	0.02168562	-0.02304231	4.887581e-09	-0.010995081	6.984919e-12	-1.4442436e-05	516.0466	-84.19995	9.367723e-06	-3.0985907e-06	0	0	79.0	0.9111058	0.0052628117	24000	31.08852767944336
6	75.18868	36.76137	246.0	9.0	0.0	0.0	0.0	0.0	75.18868	0.0	0.0	22.533371	1.9049526	23.74696	8.004868	-9.8604705e-06	0.0025708124	0.016596545	-0.019960709	2.9563903e-08	-0.0059810933	-5.5879355e-12	-2.750142e-06	516.64355	-56.299866	6.6105345e-06	-2.4295314e-06	0	0	79.0	0.9209759	0.003236268	28000	35.13782525062561
7	92.60465	41.04288	247.0	19.0	0.0	0.0	0.0	0.0	92.60465	0.0	0.0	24.710318	2.973642	26.06969	-1.5927501	-0.00023199359	0.0020541775	0.018161155	-0.01509964	-6.878376e-08	-0.0066840085	0.0	3.3429656e-06	605.54364	-70.31665	4.2895135e-06	-1.2631001e-06	0	0	79.0	0.92762005	0.0038469392	32000	40.2344172000885
8	113.057144	48.37469	257.0	43.0	0.0	0.0	0.0	0.0	113.057144	0.0	0.0	26.833567	4.3351073	28.575998	-13.137255	0.00014006063	0.0016677269	0.015403075	-0.019578915	4.005432e-08	-0.0051514837	-4.6566128e-12	-1.7897701e-06	740.8675	-85.930115	2.7990168e-06	-6.899768e-07	0	0	79.0	0.9168071	0.0046596145	36000	45.45238637924194
9	123.125	48.100643	255.0	49.0	0.0	0.0	0.0	0.0	123.125	0.0	0.0	30.250952	3.2068427	31.175892	-3.2751496	6.422725e-05	0.0011353657	0.0063232062	-0.009229495	4.4107438e-09	-0.005282094	2.3283064e-12	-2.741511e-08	735.3243	-66.909	1.2919863e-06	-3.5079267e-07	0	0	79.0	0.8866452	0.0047405623	40000	50.532833099365234
10	161.91667	91.70237	487.0	43.0	0.0	0.0	0.0	0.0	161.91667	0.0	0.0	31.984676	3.839135	33.394478	-6.37706	-0.0001574258	0.0011925204	0.012870378	-0.013347281	4.768372e-10	-0.0067308554	-1.2572855e-11	2.8221843e-06	1168.6918	-126.40979	1.8152111e-06	-3.4916047e-07	0	0	79.0	0.9111753	0.003839243	44000	55.80947828292847
11	233.29411	129.64964	569.0	57.0	0.0	0.0	0.0	0.0	233.29411	0.0	0.0	35.6403	1.7613546	36.158195	18.663082	0.00013518184	0.001096409	0.01051817	-0.011886578	-7.05719e-08	-0.0030070005	-7.21775e-12	4.4778363e-07	1585.6464	-172.19348	1.2211786e-06	-1.8921253e-07	0	0	79.0	0.9122948	0.0027565733	48000	61.03614377975464
12	265.33334	202.52759	752.0	67.0	0.0	0.0	0.0	0.0	265.33334	0.0	0.0	38.984524	1.1506368	39.20506	10.4397	9.387661e-05	0.0008829732	0.0054595238	-0.0061832736	5.00679e-09	-0.0044267443	2.3283064e-12	7.4172857e-07	1742.5095	-167.32617	7.886777e-07	-9.940749e-08	0	0	79.0	0.91109055	0.003520219	52000	65.23788857460022
13	408.1111	316.831	1000.0	98.0	0.0	0.0	0.0	0.0	408.1111	0.0	0.0	41.814827	0.800517	41.97309	25.715248	-5.7443936e-05	0.00085802056	0.007618026	-0.0072663636	5.9604643e-10	-0.005027325	2.7939677e-12	-8.387384e-07	2116.3625	-228.64624	7.518948e-07	-7.422187e-08	0	0	79.0	0.9297829	0.0031203795	56000	70.42374277114868
14	902.5	168.87495	1000.0	610.0	0.0	0.0	0.0	0.0	902.5	0.0	0.0	44.875515	0.31638712	44.951992	41.034794	3.4021796e-05	0.00094493444	0.0074670464	-0.007034765	1.783371e-07	-0.0021835167	-7.508788e-12	1.8792351e-06	2440.6724	-284.11646	9.294361e-07	-1.4937268e-07	0	0	79.0	0.9431547	0.0032092454	60000	75.5309751033783
15	756.2	347.31796	1000.0	110.0	0.0	0.0	0.0	0.0	756.2	0.0	0.0	47.977722	0.115697995	48.020763	46.761353	2.3411103e-05	0.000908588	0.008058999	-0.006860606	1.4275312e-07	-0.004135663	-3.2596291e-12	-1.4373134e-06	2121.4565	-212.7085	8.2840353e-07	-9.254808e-08	0	0	79.0	0.9508922	0.004854338	64000	80.65278148651123
16	527.5714	357.19214	1000.0	68.0	0.0	0.0	0.0	0.0	527.5714	0.0	0.0	50.526863	0.08526582	50.559315	49.445408	-5.5143602e-05	0.00076853606	0.005753575	-0.008944791	-5.1259995e-08	-0.005033264	5.5879355e-12	-1.4214078e-06	1741.2594	-140.32397	6.301907e-07	-8.173697e-08	0	0	79.0	0.9594557	0.0067288703	68000	85.67242980003357
17	579.8333	420.3984	1000.0	134.0	0.0	0.0	0.0	0.0	579.8333	0.0	0.0	52.472904	0.21139766	52.574196	50.001556	3.270223e-05	0.0007979705	0.0073294532	-0.0043091653	1.9550324e-08	-0.0032466552	5.122274e-12	-1.2890557e-06	1710.3094	-142.97034	6.715233e-07	-9.4617405e-08	0	0	79.0	0.93806595	0.005607645	72000	90.72466683387756
18	564.2857	321.85965	1000.0	68.0	0.0	0.0	0.0	0.0	564.2857	0.0	0.0	54.534046	0.03273571	54.544403	54.04325	2.4018544e-05	0.0007236775	0.0047731474	-0.006888331	1.7166137e-08	-0.0032745476	-4.5401976e-12	1.5524906e-06	1457.6212	-97.94275	5.243458e-07	-7.123731e-08	0	0	79.0	0.9075025	0.003340268	76000	94.66657662391663
19	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	56.179977	0.016920745	56.19084	56.005497	4.1175605e-05	0.0006061559	0.0045097247	-0.0056395493	-5.364418e-08	-0.0020857449	-6.984919e-12	2.737823e-07	1634.6891	-153.43579	3.5359503e-07	-4.191051e-08	0	0	79.0	0.9176596	0.0042500505	80000	99.66054964065552
20	782.4	198.6289	1000.0	476.0	0.0	0.0	0.0	0.0	782.4	0.0	0.0	58.169422	0.021553848	58.18288	57.881054	-7.72333e-06	0.0006609588	0.006921924	-0.004309884	-1.8835069e-08	-0.0023970897	0.0	9.678295e-07	1336.9347	-102.42297	4.4908495e-07	-5.2903573e-08	0	0	6.0	0.93002844	0.0145571	84000	104.5150671005249
21	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	59.8211	0.018764323	59.836006	59.63049	-1.913127e-05	0.00059066905	0.00657725	-0.0032041725	6.341934e-08	-0.0012972866	-4.423782e-12	6.283608e-07	1374.2395	-126.936035	3.5062473e-07	-4.0766963e-08	0	0	79.0	0.9307973	0.0037701954	88000	109.48180103302002
22	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	61.621204	0.009555702	61.630108	61.556274	-4.6011253e-05	0.0004848011	0.0064541753	-0.0050591887	3.4141542e-07	-0.0027338495	2.561137e-12	-2.5661352e-06	1253.8413	-116.28345	2.434295e-07	-2.3939734e-08	0	0	79.0	0.9268944	0.005529017	92000	114.38951063156128
23	713.0	334.52472	1000.0	87.0	0.0	0.0	0.0	0.0	713.0	0.0	0.0	63.328842	0.032368507	63.35331	62.852535	-5.375599e-05	0.0007546755	0.006150979	-0.0049968767	-8.672476e-09	-0.0046491027	-5.122274e-12	-2.6090456e-06	1065.9493	-67.91058	5.739753e-07	-1.2005407e-07	0	0	79.0	0.9314555	0.004605579	96000	119.41157984733582
24	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	64.6791	0.013850319	64.691505	64.56473	-7.8851226e-05	0.000598845	0.006370903	-0.0040223547	1.4328957e-07	-0.0019418936	-1.6298146e-12	-1.0574568e-06	1061.9971	-97.08917	3.6555144e-07	-4.9681745e-08	0	0	8.0	0.95100236	0.01657693	100000	124.19188213348389
25	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	66.246	0.006883054	66.25291	66.193016	3.281694e-05	0.0006618585	0.006093261	-0.005170492	-5.4121017e-07	-0.0043510403	4.6566128e-12	-1.3185048e-06	969.87683	-90.73804	4.4263749e-07	-6.160789e-08	0	0	79.0	0.95316845	0.007801337	104000	128.1740288734436
26	765.6	331.1547	1000.0	153.0	0.0	0.0	0.0	0.0	765.6	0.0	0.0	67.773766	0.010807669	67.7817	67.62848	9.225111e-06	0.0005699552	0.004902345	-0.0028711024	-8.904934e-08	-0.0031730994	4.8312357e-12	-1.4095922e-06	848.6182	-61.808777	3.4882692e-07	-4.4328488e-08	0	0	6.0	0.94226885	0.014093674	108000	133.0087535381317
27	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	69.05878	0.0037600386	69.062996	69.03269	-1.23296095e-05	0.00042624044	0.0033206283	-0.0029161829	-4.4226647e-07	-0.0028316083	-8.731149e-13	-1.593667e-07	814.9503	-76.502075	1.9063961e-07	-2.5586402e-08	0	0	79.0	0.9422921	0.003369659	112000	138.1783037185669
28	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	70.466156	0.0029941963	70.47027	70.440285	7.63105e-06	0.00038974892	0.0031376875	-0.0027895765	8.2182885e-07	-0.0017152131	2.561137e-12	5.12833e-07	742.51575	-71.46948	1.5320826e-07	-1.4511315e-08	0	0	8.0	0.91766995	0.0127192885	116000	143.2908012866974
29	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	71.84381	0.0029129526	71.84827	71.82535	6.8247714e-06	0.0003718645	0.0029343734	-0.0024780994	-6.740093e-07	-0.0041717375	-1.8626452e-12	1.8419604e-07	674.85126	-65.66815	1.4426891e-07	-1.7396005e-08	0	0	79.0	0.91628724	0.0036334768	120000	149.16988921165466
30	968.75	54.126587	1000.0	875.0	0.0	0.0	0.0	0.0	968.75	0.0	0.0	73.17207	0.005544581	73.1774	73.1055	7.233074e-05	0.0006280144	0.006625682	-0.00397247	8.070469e-08	-0.0026750485	1.1641532e-12	-4.7432968e-07	612.4026	-50.186096	4.0533038e-07	-8.0288146e-08	0	0	79.0	0.8904715	0.0022399405	124000	154.60875844955444
31	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	74.35146	0.002312576	74.354965	74.33915	-1.7016064e-05	0.00034070984	0.0023668972	-0.002925882	1.7783642e-06	-0.003379249	1.8044375e-12	-2.3151917e-07	559.98663	-55.680084	1.2080135e-07	-2.002318e-08	0	0	7.0	0.9068045	0.014278133	128000	159.6045160293579
32	818.75	313.9342	1000.0	275.0	0.0	0.0	0.0	0.0	818.75	0.0	0.0	75.59036	0.0021057269	75.59294	75.55877	2.153018e-05	0.00028613172	0.0031964113	-0.0026820414	-1.6450882e-08	-0.0037247932	5.7916623e-12	1.0623663e-06	516.63184	-42.060974	8.467624e-08	-1.6435543e-08	0	0	12.0	0.90709555	0.01594044	132000	164.41268825531006
