Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.973684	9.259179	66.0	5.0	1.4321516	7.58519	92.89312	0.025402185	14.973684	381.01416	0.09525354	0.0014874579	0.10862279	0.4353395	-0.37763837	0.0046916064	0.1511105	0.51015043	-0.47728398	2.3841858e-08	-0.0179944	3.1471252e-08	0.03706111	159.788	-20.36119	111.63853	-4.400421	0	0	5.0	0.9189385	0.018051185	4000	4.349069595336914
1	20.19192	12.256663	67.0	6.0	4.126006	16.184174	125.49773	0.017671855	20.19192	1197.9655	0.14974569	1.0140684	0.7750761	4.052619	-2.4820616	0.90200734	0.47937652	3.2093787	-1.4199659	9.167194e-08	-0.01679411	2.8514862e-07	0.08461745	230.60678	-77.102936	358.5716	-28.46576	0	0	7.0	0.91717565	0.01575481	8000	8.487663984298706
2	25.863636	15.915796	99.0	5.0	7.2737055	21.997261	136.06743	0.020458408	25.863636	2318.1956	0.19318296	4.9123373	0.6680594	7.634577	2.4143846	4.606137	1.2697467	9.331203	-2.2066355	-5.185604e-08	-0.016369607	-4.863739e-08	0.21117128	254.66248	-92.38672	516.60266	-36.37906	0	0	8.0	0.9150327	0.014328707	12000	10.838468551635742
3	36.59633	17.675007	94.0	8.0	22.072725	36.479748	123.36052	0.008592564	36.59633	4724.1323	0.29525828	10.56477	0.5716202	11.935849	8.349803	9.696647	1.2874415	12.694533	2.751131	-2.1457671e-09	-0.0136513105	9.679794e-08	0.2396129	243.65393	-62.52495	1059.0958	-131.0788	0	0	11.0	0.9127519	0.013145771	16000	14.926279544830322
4	47.47619	21.059145	117.0	13.0	40.300827	42.010933	123.046844	0.05189896	47.47619	8109.419	0.40547094	14.881605	0.838336	16.336409	10.502634	16.864801	0.28535086	17.510794	15.359236	1.7523766e-08	-0.0151636405	-3.9672852e-07	0.13558464	283.34988	-54.31343	1220.2593	-140.32312	0	0	79.0	0.90992016	0.0061132475	20000	19.46210265159607
5	62.03125	25.013102	116.0	14.0	49.63835	42.17839	148.59853	0.05332957	62.03125	11287.708	0.47032118	18.004793	2.2541943	20.25096	4.042626	21.8545	0.072453886	21.971743	21.151358	-1.2874604e-08	-0.01319092	-3.0326842e-07	0.085624315	369.3719	-65.110016	1008.77075	-52.644775	0	0	79.0	0.9116612	0.0066565485	24000	23.72936224937439
6	89.431816	42.34995	246.0	13.0	56.14319	38.140835	173.89218	0.11622786	89.431816	13766.047	0.49164453	21.029543	2.8468597	23.131737	1.4940915	24.342579	0.1806943	24.683727	23.144375	7.718801e-08	-0.008480538	2.6798247e-07	0.057199646	704.26215	-115.40662	627.5756	-16.469727	0	0	79.0	0.9179548	0.0039306176	28000	28.020282983779907
7	105.10526	50.90848	239.0	28.0	64.418365	38.716022	150.63654	0.1457193	105.10526	16214.005	0.50668764	25.27377	2.2514844	26.331118	2.8650346	25.747375	0.062812515	25.900364	25.40421	-2.3841858e-08	-0.00697179	2.6226044e-07	0.034644216	814.4342	-94.98364	623.9697	-10.014832	0	0	79.0	0.89795744	0.003430721	32000	32.75319027900696
8	116.20588	48.40563	286.0	68.0	69.88152	27.821918	122.81866	7.8087945	116.20588	18600.56	0.51668227	28.260542	2.415397	29.062183	-6.767681	26.817484	0.0757948	26.953798	26.263699	7.2717667e-09	-0.0046322523	-2.5606155e-07	0.031421788	747.1119	-69.62262	399.6544	-20.84842	0	0	79.0	0.9063728	0.0035350628	36000	37.59582734107971
9	144.88889	56.789623	266.0	67.0	66.66556	23.785471	110.685974	31.069191	144.88889	20401.197	0.5100299	30.945295	1.3438773	31.329874	8.778634	28.37507	0.08741788	28.557749	27.747814	-2.1457673e-08	-0.0070922137	2.8371812e-08	-0.011865462	959.57104	-92.35278	273.60324	-0.1390686	0	0	79.0	0.895151	0.0049893414	40000	40.66962385177612
