Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.6470585	8.741659	57.0	5.0	2.2487628	12.126087	104.65325	0.027538726	15.6470585	573.69055	0.14342263	-0.0023259716	0.110670336	0.44552806	-0.38265193	0.001884215	0.15040138	0.4960083	-0.5163692	-5.0544738e-08	-0.015678989	3.051758e-08	0.06537952	153.70015	-20.742905	260.64038	-7.664505	0	0	5.0	0.9189385	0.017180067	4000	2.5527358055114746
1	19.694582	11.553914	70.0	5.0	3.4396632	13.8885975	117.98038	0.030109026	19.694582	1271.9617	0.15899521	1.0936086	0.39696857	3.1491065	-0.8296449	0.95806533	0.4399593	2.8581958	-0.6821302	3.6597253e-08	-0.017143086	1.1920929e-07	0.1014778	209.40834	-73.9427	258.57535	-18.040314	0	0	7.0	0.9171951	0.015698208	8000	4.637502908706665
2	27.922535	17.472744	134.0	5.0	7.0512238	20.28612	108.178185	0.040050354	27.922535	2273.9692	0.18949744	5.0477753	0.21321562	5.8314767	3.5502465	4.093738	1.0372301	7.1212273	-0.25241017	-1.0317564e-07	-0.015968729	-2.7513505e-07	0.14407498	301.54987	-107.3618	412.4456	-26.160583	0	0	8.0	0.91499776	0.014120926	12000	6.907603740692139
3	37.556602	20.894651	149.0	7.0	22.272528	35.439075	119.91312	0.041026246	37.556602	4634.9604	0.28968504	10.95219	0.4119448	12.517401	8.296469	8.303058	0.9370556	11.006517	4.0627565	-3.7550926e-08	-0.01887313	4.711151e-07	0.21080235	299.57578	-70.42856	997.4556	-146.24835	0	0	79.0	0.912565	0.0084999595	16000	9.754940271377563
4	47.309525	24.827969	139.0	10.0	35.22075	40.786728	117.423164	0.06159207	47.309525	7593.5596	0.37967798	15.475419	0.7286424	16.946331	10.625802	16.27669	0.6514085	17.845675	12.846097	-9.536743e-09	-0.015310692	-2.3841858e-08	0.21723609	331.79822	-53.93216	1061.9213	-96.93573	0	0	79.0	0.9138584	0.005881013	20000	12.269121646881104
5	70.82143	29.041906	202.0	20.0	49.804024	33.70073	105.94006	0.09528605	70.82143	10383.012	0.4326255	18.756443	1.2759004	20.34684	9.743149	20.923407	0.32928228	21.570002	18.676147	-5.00679e-09	-0.010510507	-3.0708313e-07	0.092144385	485.99503	-80.14029	683.18115	-55.610046	0	0	79.0	0.8988432	0.0045460025	24000	14.820502519607544
6	74.03704	27.213802	170.0	22.0	68.8443	29.216557	137.85468	0.4597472	74.03704	14100.613	0.5035933	22.429543	1.2557464	23.404755	12.479013	23.935091	0.14631511	24.19225	23.210817	6.3180923e-09	-0.0037120085	5.9604645e-07	-0.009469431	414.42236	-47.616516	860.3961	-113.8938	0	0	79.0	0.8905685	0.0026722457	28000	17.45668935775757
7	91.76744	32.252518	190.0	32.0	56.763893	27.653843	109.229385	0.25445765	91.76744	16549.975	0.5171867	23.956152	3.627807	25.611736	-5.6024857	27.358286	0.13246971	27.58461	26.635902	4.5895575e-08	-0.006278485	1.7738343e-07	0.032675795	532.4483	-66.769196	400.08624	-8.863586	0	0	79.0	0.8715646	0.003279338	32000	18.752130031585693
8	96.70731	35.03604	240.0	40.0	58.72284	21.86957	104.48556	6.175817	96.70731	18957.756	0.52660435	26.916933	3.3500514	28.074108	-8.68783	28.412292	0.058204163	28.531706	28.109438	-2.3841857e-09	-0.0044675046	5.6266785e-08	-0.013336714	526.58435	-47.534485	305.22455	-5.4410095	0	0	79.0	0.8653768	0.0030003397	36000	21.245906829833984
9	119.46875	51.749992	343.0	60.0	55.376152	17.951088	104.12351	16.51501	119.46875	20733.3	0.51833254	28.572031	4.7840075	30.13657	-15.746513	29.147755	0.06833963	29.289919	28.6994	2.9683113e-08	-0.0059050447	-3.385544e-08	-0.0077246716	782.7964	-85.85681	221.16591	-1.8757477	0	0	79.0	0.864309	0.0047508315	40000	23.66047501564026
