Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.754941	9.536037	60.0	4.0	0.8955176	2.9334726	33.415184	0.014789154	15.754941	226.69514	0.056673788	-0.0016380467	0.10942671	0.38487732	-0.37710398	0.001338296	0.15055063	0.48395893	-0.4941141	-4.839897e-08	-0.016629545	-1.192093e-10	0.014119225	168.24994	-22.113876	12.751387	-1.6370459	0	0	5.0	0.9189385	0.017865025	4000	2.5974156856536865
1	20.186869	13.277932	95.0	5.0	4.6247473	17.646986	115.227684	0.02032995	20.186869	1142.5801	0.1428225	1.1337861	0.44942084	2.905514	-1.2088368	0.74094725	0.7163753	3.6824198	-2.9613616	1.9431114e-08	-0.014129123	2.2888184e-08	0.14268959	255.30698	-82.18695	415.7943	-36.023376	0	0	7.0	0.91718715	0.015030226	8000	4.779007911682129
2	24.280487	15.330326	90.0	5.0	4.4746337	16.09741	105.001396	0.032880034	24.280487	1876.4312	0.15636927	5.201507	0.8370008	8.241348	-0.10747008	3.978197	0.28083044	4.7718873	2.4720163	-1.0371208e-08	-0.01867458	-1.04904174e-07	0.1792199	227.81537	-78.278076	283.50604	-7.1352234	0	0	9.0	0.91502964	0.016015783	12000	7.105690240859985
3	37.15888	21.834188	139.0	8.0	22.364212	35.491207	110.963066	0.024472218	37.15888	4269.531	0.26684567	10.339449	1.5159429	13.6312475	2.4527884	6.153382	1.1812509	9.76168	0.930539	-6.67572e-08	-0.014392529	3.2424927e-07	0.26855034	328.7167	-88.67589	1094.8192	-221.34076	0	0	14.0	0.91257566	0.012330496	16000	9.442538738250732
4	48.365852	25.340853	142.0	5.0	39.9613	40.96493	117.55101	0.021060023	48.365852	7556.8438	0.3778422	15.332807	0.7006699	16.531599	10.437681	14.828605	0.41968444	15.67241	12.747558	-4.2915346e-08	-0.0132074915	3.890991e-07	0.14196128	346.2312	-58.266754	1183.334	-163.52832	0	0	79.0	0.91028285	0.0055639953	20000	10.623862028121948
5	64.33871	28.128706	149.0	14.0	57.06356	39.169624	122.6863	0.09336693	64.33871	11094.797	0.4622832	19.030783	0.33819988	19.40266	17.142853	20.446207	0.17331445	20.792257	19.286259	-1.680851e-08	-0.009778734	6.370544e-07	0.04757995	419.90894	-71.55676	1086.8218	-93.65869	0	0	79.0	0.89996463	0.0051195403	24000	13.224490880966187
6	78.92	33.14202	168.0	10.0	62.598576	35.588493	119.8555	0.3312384	78.92	14229.022	0.50817937	21.462984	2.1743486	23.321499	4.873393	23.741343	0.15444541	24.04537	22.82061	2.8133393e-08	-0.008195539	2.3841858e-07	0.08339043	508.55038	-78.09976	828.8496	-52.708862	0	0	79.0	0.9015025	0.004604469	28000	15.876652479171753
7	94.2381	39.312428	228.0	44.0	61.945404	29.30739	149.07666	1.9658073	94.2381	16834.293	0.52607167	24.556515	3.1987088	26.044615	-7.456111	25.972826	0.12442631	26.241169	25.375586	-3.8743018e-08	-0.004670721	-3.242493e-08	-0.02883384	610.9754	-70.707275	478.5801	-18.813019	0	0	79.0	0.87952346	0.0035158684	32000	18.538469076156616
8	112.8	46.80342	248.0	50.0	62.34705	34.666203	206.05446	4.4939113	112.8	19018.607	0.5282946	26.844488	4.0670776	28.505728	-16.598679	27.314512	0.07731622	27.49509	26.9352	4.696846e-08	-0.0056870608	1.5735627e-07	-0.0076181763	730.0772	-83.28516	473.68967	-4.118744	0	0	79.0	0.88620985	0.003912055	36000	21.237532377243042
9	143.0	59.041733	282.0	62.0	68.8292	25.00415	111.38554	30.431475	143.0	20914.2	0.522855	30.411207	2.4482958	31.040863	-9.9739065	27.982656	0.12564304	28.19386	27.313698	3.409386e-08	-0.0020129823	5.9604646e-09	0.008091506	977.01624	-104.309875	331.3575	-3.4743958	0	0	79.0	0.8971695	0.0032872602	40000	24.07839798927307
