Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	7.901186	3.391765	26.0	4.0	0.346168	0.14559741	1.0479215	0.05455048	7.901186	175.16827	0.04379207	0.00086995075	0.07491415	0.15388896	-0.15638211	0.00066224096	0.06672103	0.24075946	-0.24146464	-8.773804e-08	-0.015325774	-4.9695372e-09	-0.001967714	36.475903	-10.681955	0.09180266	-0.07331309	0	0	4.0	0.9189385	0.02172036	4000	4.099199056625366
1	9.412736	4.470757	27.0	4.0	0.35076833	0.27125227	4.599286	0.041328028	9.412736	324.11392	0.040514242	1.1966283	0.13087049	2.0611236	0.46166143	0.26889643	0.022908157	0.4931394	0.05998223	-5.7458877e-08	-0.018215317	-2.9802322e-10	-0.00022428477	40.413944	-21.639862	0.10422832	-0.0037070066	0	0	5.0	0.9174858	0.019676689	8000	11.335662603378296
2	10.649733	5.098788	32.0	4.0	0.39663395	0.7063437	11.133448	0.040591773	10.649733	472.67	0.039389167	4.561158	0.3653134	6.79636	1.2700624	0.25905922	0.1172754	1.0649009	-0.74208444	-2.5272369e-08	-0.022071652	-7.629395e-09	0.006218828	26.398758	-5.9694576	0.8679044	-0.08013916	0	0	5.0	0.9158012	0.018686127	12000	18.433813095092773
3	13.055555	7.253139	52.0	4.0	0.56275004	1.5422244	20.406189	0.037751358	13.055555	645.08014	0.04031751	6.678886	0.47990066	8.545313	4.297261	0.37282205	0.1759811	1.424119	-0.5688819	1.9073487e-09	-0.020663928	2.9802322e-10	0.012094596	43.046597	-6.148613	3.7836647	-0.25815797	0	0	5.0	0.9142764	0.016611926	16000	25.672611713409424
4	16.978724	9.988694	54.0	5.0	1.0720047	3.4826937	38.80775	0.033410124	16.978724	897.0508	0.04485254	8.43887	1.0677863	11.374802	2.3799868	0.6556542	0.7407916	4.803796	-4.3869295	1.6570091e-08	-0.021664742	-1.0490417e-08	0.03317628	67.998634	-9.057968	15.720633	-0.9656677	0	0	6.0	0.9126576	0.016505066	20000	32.7522668838501
5	21.578379	11.95919	69.0	6.0	1.2310244	3.4935787	30.425865	0.01787109	21.578379	1124.9229	0.046871785	10.993576	1.4309115	13.631694	4.2506776	1.4865483	0.34360564	3.7773972	-1.0010141	-1.6212464e-08	-0.018139122	-2.1100044e-08	0.025917258	86.34433	-6.8241577	12.668906	-0.09238434	0	0	8.0	0.9104108	0.014867898	24000	37.19202756881714
6	31.65873	17.985073	119.0	6.0	7.446096	13.348687	88.56152	0.048746057	31.65873	2063.444	0.07369443	13.156145	1.8223889	15.776979	2.537913	1.472445	0.39488956	3.5183825	-0.20619304	8.761883e-09	-0.023432078	-1.3875962e-07	0.08691103	179.82216	-33.180054	164.08543	-42.684624	0	0	8.0	0.9072613	0.015632642	28000	44.58927536010742
7	36.2	21.883493	96.0	8.0	11.230403	17.066153	99.122025	0.0435709	36.2	3298.905	0.103090785	17.930256	2.0607615	21.243216	5.757052	7.9002347	1.7672085	12.360278	-0.9735522	-2.3961068e-08	-0.024968863	-1.8811225e-07	0.091454946	203.1754	-19.4514	193.7966	-18.386688	0	0	7.0	0.9047109	0.015281584	32000	52.30268597602844
8	49.0	24.839237	189.0	11.0	21.561031	24.38573	138.47427	0.052107032	49.0	5047.84	0.14021777	20.153194	3.2547474	23.633104	4.2752323	11.437584	0.85655797	13.765103	6.9404926	-2.6941299e-08	-0.019518243	-1.5401841e-07	-0.08151501	257.067	-35.926865	311.09247	-23.664154	0	0	8.0	0.9026319	0.014761142	36000	60.19594979286194
9	61.015385	26.680151	148.0	17.0	22.082916	20.416637	78.846596	0.038762502	61.015385	6489.8027	0.16224506	23.707085	3.6430717	26.53674	4.583823	16.33865	0.83927715	18.167156	8.79871	-4.768372e-10	-0.013755408	-6.2942505e-08	0.030726405	273.12427	-44.511948	199.5052	-4.561264	0	0	11.0	0.89987624	0.013255114	40000	65.32269787788391
10	72.5	26.469234	149.0	27.0	23.421347	20.231293	74.46431	0.070637114	72.5	7755.0913	0.17625208	25.867355	5.477184	29.987362	4.031907	15.177167	0.90386117	17.347998	6.106304	8.106232e-09	-0.019866485	-1.3875962e-07	0.039476417	280.31357	-41.302856	191.62509	-3.4320374	0	0	79.0	0.8962692	0.005044875	44000	73.43944311141968
11	84.06383	32.841595	170.0	32.0	23.976604	24.899261	125.78759	2.9751241	84.06383	8884.814	0.1851003	28.08205	6.2953725	33.40356	7.9768367	13.829507	0.800966	15.272879	8.376744	6.6757204e-09	-0.010755478	5.7220458e-08	0.17081091	346.9164	-44.929718	234.5105	-6.047577	0	0	8.0	0.889816	0.015597181	48000	80.68676424026489
12	104.80556	52.8172	234.0	44.0	35.317028	18.397781	90.25815	4.231259	104.80556	10233.714	0.19680218	31.006075	6.8608003	36.40234	8.675491	13.840153	1.5834653	16.86826	1.7312373	-1.6331672e-08	-0.019519765	-9.965897e-08	0.046534624	628.0199	-123.61865	167.26297	-15.82872	0	0	7.0	0.88852495	0.017372543	52000	88.44214653968811
13	121.15151	50.803913	317.0	55.0	24.297937	18.30348	76.556755	2.2461734	121.15151	11035.569	0.19706374	36.079395	7.403304	40.354137	2.7153838	16.06453	3.077223	20.602371	2.5681763	2.6702882e-08	-0.016632427	1.8167496e-07	0.09560379	506.53824	-56.15982	119.75458	-26.633179	0	0	79.0	0.88611066	0.005504854	56000	93.84755802154541
14	168.08696	87.95499	362.0	41.0	28.624716	22.792599	92.6086	3.796425	168.08696	11698.249	0.19497082	39.107944	7.2377615	42.940533	5.043559	11.677418	1.3552809	15.031103	4.6789136	3.5643577e-08	-0.010652236	4.863739e-08	-0.025123652	864.12054	-119.66467	137.94562	-6.658951	0	0	11.0	0.8788165	0.0134060765	60000	101.34628176689148
15	229.47058	131.99693	587.0	74.0	49.20151	24.838268	86.68886	7.382804	229.47058	12536.663	0.19588536	44.190216	5.3334527	46.56401	7.254394	8.140041	2.5680032	14.432714	-2.5105805	-5.698204e-08	-0.025202189	3.862381e-08	-0.089654855	1045.6952	-174.24377	156.05246	-48.119377	0	0	5.0	0.87755346	0.018009033	64000	108.96717691421509
16	264.66666	221.87885	871.0	73.0	26.60214	20.50061	81.82829	4.26061	264.66666	12935.742	0.1902315	48.927876	3.7220378	50.10048	11.849791	13.56157	1.322639	16.087027	6.4130473	-2.2888184e-08	-0.013037239	5.197525e-08	0.043939188	1185.6843	-125.41724	82.877365	-49.018253	0	0	79.0	0.8756333	0.004670425	68000	116.73278903961182
17	885.75	197.88681	1000.0	543.0	37.560226	22.720865	75.33453	14.753227	885.75	13107.359	0.18204665	52.451046	3.0537307	53.167828	19.846231	6.7333093	1.0776013	9.991839	2.7156422	1.502037e-08	-0.012554205	1.0490417e-08	-0.004188523	1791.4594	-352.3451	24.657356	-8.121773	0	0	79.0	0.86440504	0.006960836	72000	122.13932633399963
18	1000.0	0.0	1000.0	1000.0	24.617088	4.918761	27.96223	16.14467	1000.0	13205.828	0.17376089	57.374157	0.04359076	57.39582	56.598347	3.8065004	0.72480893	6.1622257	1.3926435	-1.680851e-07	-0.0012256663	-4.529953e-09	0.00049464643	1546.658	-246.21143	7.067405	-2.6980934	0	0	79.0	0.86007243	0.00238661	76000	130.00957345962524
19	788.75	365.89572	1000.0	155.0	34.414024	12.853816	56.451576	24.105078	788.75	13371.39	0.16714238	60.712166	0.09477821	60.740818	58.64268	2.3529203	0.7260722	4.9042845	0.19677694	-5.018711e-08	-0.0049663684	1.4692545e-08	0.0020561568	1277.3333	-167.63123	18.098087	-2.837309	0	0	16.0	0.8566348	0.013832644	80000	137.12025928497314
20	215.05882	78.64924	345.0	60.0	54.453953	22.685434	97.64871	24.779037	215.05882	14340.376	0.17071876	63.235584	0.5495926	63.34455	50.02111	3.4416215	0.41687897	4.098741	1.728684	2.0086766e-08	-0.039874196	-1.4781952e-07	-0.09057671	690.96936	-284.14316	320.52774	-189.64587	0	0	3.0	0.8579395	0.023865849	84000	144.69053411483765
21	922.5	133.08174	1000.0	692.0	26.916122	4.6701612	31.068295	19.14055	922.5	14474.432	0.16448218	62.61999	4.1105037	63.884907	10.281111	14.058005	2.2078516	18.223988	5.1159143	-6.198883e-09	0.002683799	1.2612342e-07	-0.036174756	1099.2328	-159.8349	117.89328	-100.84625	0	0	7.0	0.8567552	0.0148507785	88000	151.73810076713562
22	1000.0	0.0	1000.0	1000.0	32.735443	4.684137	40.65681	28.918116	1000.0	14605.373	0.15875405	65.77565	0.24919716	65.83655	59.70384	5.3145275	1.425116	9.705871	0.6553892	7.6317787e-07	-0.0022557238	1.001358e-08	-0.000102576254	997.53436	-132.9447	13.360602	-5.755181	0	0	79.0	0.8548965	0.003611661	92000	156.58318161964417
23	1000.0	0.0	1000.0	1000.0	26.914394	5.2629824	34.904625	20.177385	1000.0	14713.031	0.15326074	68.030365	0.028736698	68.04212	67.61839	3.6857698	0.9192699	6.804443	0.84351075	-1.9407273e-07	-0.0039741704	-1.5735626e-08	-0.002355572	869.7874	-112.32373	7.3903737	-1.265367	0	0	79.0	0.8557758	0.006871082	96000	164.17608547210693
24	543.2857	274.2396	887.0	96.0	77.60244	22.805332	112.64774	44.057835	543.2857	15279.868	0.15279868	70.03133	0.18273969	70.06211	63.238197	2.2017026	0.92892987	4.7634916	-0.84643847	5.733967e-08	-0.029383268	3.8743018e-08	-0.11423322	741.2201	-89.661316	177.69026	-73.01901	0	0	3.0	0.85998404	0.02304318	100000	171.66261100769043
25	1000.0	0.0	1000.0	1000.0	20.281998	3.6794407	23.977097	16.024273	1000.0	15360.996	0.14770189	70.96316	0.70368695	71.10088	48.503666	8.490072	0.8601509	10.187369	4.054911	-5.0544738e-08	0.000497118	1.2397766e-08	-0.0013448593	718.21814	-93.055664	41.03503	-33.415676	0	0	8.0	0.85875785	0.014449693	104000	178.53737354278564
26	795.0	166.0527	1000.0	567.0	13.184522	0.5099054	13.83826	12.410296	795.0	15430.574	0.14287569	72.74426	0.8081832	72.84222	44.848675	4.415505	0.6208265	5.948657	1.3786845	2.7775764e-08	-0.005957845	-2.4795533e-08	0.0024646467	644.27435	-62.05066	9.512388	-6.462218	0	0	79.0	0.85657805	0.0069596884	108000	183.31529021263123
27	1000.0	0.0	1000.0	1000.0	12.791021	4.6774397	18.655565	7.810498	1000.0	15481.738	0.1382298	74.15959	0.15967886	74.203186	71.361946	2.9422095	0.3748226	3.7940764	1.1907852	-2.0623207e-07	-0.0013877411	-1.45435335e-08	-0.00073873665	568.5521	-72.79047	4.3385916	-2.1993706	0	0	79.0	0.86134505	0.002299813	112000	190.70570039749146
28	1000.0	0.0	1000.0	1000.0	10.850473	2.93178	15.013044	6.8953094	1000.0	15525.141	0.13383742	75.77345	0.12875529	75.80634	73.24943	2.0820472	0.3243002	2.8951175	0.64218163	-9.727478e-08	-0.0027637614	4.053116e-09	-0.0015963292	499.72806	-65.425995	1.7786677	-0.7543483	0	0	79.0	0.85373414	0.0064120763	116000	198.06317400932312
29	1000.0	0.0	1000.0	1000.0	12.494498	4.873787	17.841362	6.483192	1000.0	15575.118	0.12979265	77.3358	0.03082933	77.34851	76.721504	1.6147021	0.2544377	2.2891405	0.57288337	2.7656554e-08	-0.0025403814	-3.5762787e-10	-0.00047061362	437.27103	-57.154236	1.8357668	-0.19333446	0	0	79.0	0.8532414	0.0046219747	120000	205.4447944164276
30	1000.0	0.0	1000.0	1000.0	9.780058	0.94297385	11.269472	8.91466	1000.0	15614.238	0.12592128	78.78632	0.026419401	78.79753	78.32381	1.3517619	0.24680938	2.0565684	0.34589505	3.9100648e-08	-0.0031819635	-2.9802322e-10	0.0017772986	383.0928	-50.46353	0.5706341	-0.13258648	0	0	9.0	0.845267	0.014432309	124000	210.23258590698242
31	1000.0	0.0	1000.0	1000.0	13.496279	6.2069836	20.543436	4.598922	1000.0	15668.224	0.122407995	80.15487	0.025335982	80.16536	79.71693	1.177518	0.22645795	1.8273897	0.28281206	-3.3712388e-07	-0.0022895813	9.059906e-09	0.0028066435	335.27435	-44.68228	1.8937058	-0.007093787	0	0	79.0	0.84498256	0.004616	128000	217.61459708213806
32	1000.0	0.0	1000.0	1000.0	18.418257	6.2288423	27.098368	12.33975	1000.0	15741.896	0.119256794	81.44115	0.07129337	81.46066	80.13159	1.1805347	0.2253452	1.8706838	0.1011791	1.17301944e-07	-0.0024658018	-1.0967255e-08	0.0011341022	293.2216	-39.748444	1.8467107	-0.22937274	0	0	79.0	0.8406539	0.0060160644	132000	224.9025228023529
33	1000.0	0.0	1000.0	1000.0	34.89365	6.506736	43.968456	26.100636	1000.0	15881.472	0.11677553	82.66458	0.07116837	82.69014	81.47592	1.5243229	0.24798433	2.2299216	0.31993863	-7.886887e-07	-0.0028810317	-4.2915342e-09	-0.00047640636	255.7338	-35.334732	5.759204	-2.1186738	0	0	79.0	0.8431044	0.0040681283	136000	232.30950117111206
34	1000.0	0.0	1000.0	1000.0	26.071175	5.666585	35.36967	20.583565	1000.0	15985.756	0.11418397	83.84839	0.03188883	83.85842	83.08954	2.4534702	0.3016042	3.3460755	1.0161805	2.529621e-07	-0.0020097825	-9.536744e-10	-0.002095931	222.025	-31.120728	1.5399759	-0.015074968	0	0	79.0	0.83685094	0.004214886	140000	239.6472978591919
35	1000.0	0.0	1000.0	1000.0	17.184486	5.675643	24.493195	9.362807	1000.0	16054.494	0.11148954	84.96092	0.02358703	84.968796	84.52376	2.3653994	0.32839426	3.310098	0.82488817	-1.6713142e-07	-0.0032446876	1.579523e-08	-0.0030354636	192.53635	-27.540863	1.6191827	-0.41582322	0	0	79.0	0.8342791	0.0057095005	144000	244.41207265853882
36	1000.0	0.0	1000.0	1000.0	8.821538	0.81946605	10.1206045	7.923842	1000.0	16089.78	0.10871473	86.02132	0.007482977	86.02535	85.8975	1.8776971	0.25688913	2.5774362	0.5819725	-7.944107e-07	-0.0049384097	6.437302e-09	0.00038701654	166.32925	-24.321167	1.5289663	-0.92027354	0	0	79.0	0.81946146	0.0045416364	148000	251.77029967308044
37	1000.0	0.0	1000.0	1000.0	8.160288	2.059553	11.661263	6.5924177	1000.0	16122.421	0.10606856	87.02831	0.0036387169	87.031044	86.97596	1.278214	0.19119443	1.8856015	0.53954345	-5.671978e-07	-0.0021810096	-3.0994416e-09	0.001275046	143.23485	-21.450882	0.5950866	-0.20389095	0	0	79.0	0.81196856	0.0028869568	152000	259.1846168041229
38	1000.0	0.0	1000.0	1000.0	20.99692	2.733282	24.04457	17.924244	1000.0	16206.409	0.10388724	87.98272	0.009455186	87.98799	87.7818	1.1016457	0.19761726	1.6981081	0.33899316	-4.315376e-08	-0.003130804	5.0961972e-09	-0.00036991938	122.92542	-18.884048	1.5313889	-0.7230064	0	0	79.0	0.80398595	0.0054529007	156000	266.17704033851624
39	1000.0	0.0	1000.0	1000.0	19.063929	11.578429	34.76504	2.9759738	1000.0	16282.665	0.10176665	88.89347	0.0085171275	88.89807	88.736275	1.6414484	0.262917	2.3774161	0.67410815	4.298687e-07	-0.002943487	-2.9802324e-11	0.003494749	105.00415	-16.560036	1.8288465	-0.16365862	0	0	79.0	0.7881027	0.006782094	160000	270.7157986164093
40	644.0	195.80263	1000.0	408.0	39.366035	12.500226	54.496387	15.913029	644.0	16520.043	0.10073197	89.570984	1.7599884	89.762474	51.49667	1.968101	0.57275075	3.4972517	0.52078617	3.9219856e-08	-0.023217227	-5.531311e-08	-0.010639839	435.28925	-300.12378	26.608067	-16.574333	0	0	3.0	0.78977436	0.038796067	164000	277.9820795059204
41	1000.0	0.0	1000.0	1000.0	10.478231	5.350594	16.385773	3.0134695	1000.0	16561.955	0.098583065	89.88772	0.7924267	90.00037	67.04795	3.5359714	1.042216	6.829908	0.5626313	-3.2901763e-08	0.00073816295	-4.053116e-08	-0.0064224703	87.953926	-15.006989	8.675676	-5.8180723	0	0	7.0	0.78825086	0.013876848	168000	284.9631094932556
42	1000.0	0.0	1000.0	1000.0	11.735951	5.2337155	19.40936	6.304483	1000.0	16608.898	0.09656336	90.78684	0.015354423	90.7998	90.65441	0.92083204	0.52046436	2.345107	-0.34890878	5.3310396e-07	-0.0023609279	2.503395e-09	0.0001346035	72.25567	-12.510044	2.081482	-0.092541456	0	0	79.0	0.786578	0.005986433	172000	292.35611367225647
43	1000.0	0.0	1000.0	1000.0	4.0110226	1.1167736	5.3860965	2.4433768	1000.0	16624.943	0.094459906	91.57984	0.018279385	91.589874	91.18346	1.2806969	0.37746093	2.3749886	0.12482667	-5.984306e-08	-0.0014522758	-6.5863133e-09	-0.0010918748	60.35854	-10.738377	0.91640097	-0.64813083	0	0	79.0	0.7863135	0.0029514693	176000	299.7806627750397
44	1000.0	0.0	1000.0	1000.0	7.306565	2.9226	11.003449	3.3585014	1000.0	16654.17	0.092523165	92.32505	0.009788296	92.3339	92.22203	0.40439615	0.3971743	1.5873953	-0.71127015	8.7428094e-07	-0.0018430116	-2.115965e-09	0.00018290585	50.145912	-9.190033	0.56951755	-0.068636894	0	0	79.0	0.77338797	0.0034296613	180000	304.7535698413849
45	1000.0	0.0	1000.0	1000.0	4.1656504	0.56525964	4.6535053	3.2535284	1000.0	16670.832	0.090602346	93.02409	0.023397312	93.03329	92.44925	0.7469846	0.38010424	2.3225033	-0.15407866	9.279251e-07	-0.0034574196	-8.940697e-11	-0.0012785355	41.43064	-7.825798	0.3127616	-0.10862522	0	0	79.0	0.77377206	0.0049800053	184000	312.25606179237366
46	1000.0	0.0	1000.0	1000.0	14.888681	4.1777334	21.854942	10.724998	1000.0	16730.387	0.08899142	93.67755	0.015298455	93.68943	93.470566	-0.071834445	0.32662967	0.94915473	-1.3109891	1.0979176e-06	-0.0019276274	5.662441e-09	0.0001469842	34.02416	-6.6359367	3.2418213	-1.6791577	0	0	79.0	0.7615355	0.0051748496	188000	319.6330873966217
47	1000.0	0.0	1000.0	1000.0	6.1222906	2.6343536	8.880414	2.8552046	1000.0	16754.875	0.08726498	94.29789	0.008998674	94.30479	94.17959	1.5209141	0.3221049	2.3752804	0.7197002	2.0241737e-07	-0.0035261963	2.7418137e-09	0.000115571915	27.674547	-5.5643406	1.4863782	-0.88952494	0	0	79.0	0.759923	0.003944675	192000	327.1515700817108
48	1000.0	0.0	1000.0	1000.0	2.6830223	0.6937367	3.513589	1.5925685	1000.0	16765.607	0.08553881	94.87126	0.010367703	94.87803	94.74707	0.92129844	0.23053174	1.7497605	0.31589353	-1.5425682e-07	-0.0010413054	-4.3213366e-10	-0.00045343663	22.391016	-4.649336	0.49413002	-0.3681146	0	0	79.0	0.7604779	0.0026877956	196000	332.0429530143738
49	1000.0	0.0	1000.0	1000.0	2.5727732	0.22143136	2.8038478	2.2365024	1000.0	16775.898	0.08387949	95.40686	0.0063204635	95.4118	95.31946	0.3001416	0.18827902	0.9946247	-0.2650372	-5.2309036e-07	-0.0011751169	-2.5331974e-09	-0.0007976218	17.958414	-3.851262	0.060802873	-0.0063185655	0	0	79.0	0.76518923	0.0023852154	200000	339.57572078704834
