Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.86194	8.970909	55.0	5.0	0.0	0.0	0.0	0.0	14.86194	0.0	0.0	0.0027963063	0.107185796	0.3668088	-0.4508392	0.0035203667	0.15036398	0.5389983	-0.53718024	-4.5657156e-08	-0.021959038	0.0	0.0006133405	153.53716	-20.13556	0.02268888	-0.022612028	0	0	5.0	0.9189385	0.019229144	4000	5.004734516143799
1	18.943129	10.282114	59.0	5.0	0.0	0.0	0.0	0.0	18.943129	0.0	0.0	1.1212718	0.70992273	3.953602	-2.0433166	0.0005295608	0.003011195	0.02501398	-0.030188663	-1.1563301e-08	-0.015954478	-3.166497e-11	-1.5453763e-05	177.5466	-65.116875	9.343607e-06	-6.1908604e-06	0	0	7.0	0.9172088	0.017493835	8000	9.628137350082397
2	26.533333	16.123964	89.0	5.0	0.0	0.0	0.0	0.0	26.533333	0.0	0.0	4.7744317	1.149611	7.955929	-0.042388134	0.000371956	0.003298494	0.03259181	-0.039420962	-6.186962e-08	-0.013789485	-1.30385164e-11	5.1850398e-06	260.4199	-100.76764	1.1028422e-05	-3.7133505e-06	0	0	9.0	0.91516525	0.0135260075	12000	13.214730739593506
3	37.38318	18.8663	101.0	9.0	0.0	0.0	0.0	0.0	37.38318	0.0	0.0	10.720242	1.2625477	13.434613	4.8848205	-0.00035348	0.00357387	0.033126112	-0.03281571	-4.2676927e-08	-0.01884777	-1.5366822e-11	1.1576436e-05	267.7864	-71.37277	1.2897501e-05	-3.5498906e-06	0	0	79.0	0.9123698	0.007798247	16000	17.128735303878784
4	48.156628	26.100586	149.0	7.0	0.0	0.0	0.0	0.0	48.156628	0.0	0.0	15.1440935	1.4080992	17.382639	8.641233	0.0005390155	0.004717639	0.027528802	-0.02886678	2.2232532e-08	-0.018907955	-2.9802324e-11	-1.5868228e-06	358.1426	-64.4433	2.2547643e-05	-1.1866035e-05	0	0	79.0	0.9053531	0.0075531905	20000	20.70957589149475
5	72.30909	40.00812	244.0	21.0	0.0	0.0	0.0	0.0	72.30909	0.0	0.0	19.1325	0.54412025	20.282862	15.5115385	-0.00032965152	0.0033447805	0.02156419	-0.030120939	-2.9683113e-08	-0.008837324	1.1175871e-11	-2.1433198e-06	643.7981	-100.28052	1.1307954e-05	-3.5466992e-06	0	0	79.0	0.89169747	0.00502491	24000	24.351116180419922
6	88.27273	38.098774	186.0	13.0	0.0	0.0	0.0	0.0	88.27273	0.0	0.0	22.712343	0.9683996	23.765358	16.260262	0.0002276558	0.002545469	0.01617874	-0.02795592	4.863739e-08	-0.009183354	-1.5832485e-11	1.7641671e-06	643.7536	-96.31787	6.630182e-06	-2.0712582e-06	0	0	79.0	0.9040919	0.0033152131	28000	25.932509899139404
7	96.65854	44.508484	230.0	11.0	0.0	0.0	0.0	0.0	96.65854	0.0	0.0	25.409538	2.7557259	26.626053	-2.0109484	-0.00016984879	0.0019151605	0.018873338	-0.011952809	-3.242493e-08	-0.0046360674	1.1175871e-11	-2.8974396e-06	662.83905	-68.86963	3.729255e-06	-9.247499e-07	0	0	79.0	0.8972188	0.0031056602	32000	29.887278079986572
8	117.72727	48.777958	278.0	50.0	0.0	0.0	0.0	0.0	117.72727	0.0	0.0	27.848646	2.8746257	28.926022	-9.099335	-7.343665e-05	0.0015902222	0.010191737	-0.014835064	4.6253206e-08	-0.0023893127	-1.1175871e-11	-3.4331308e-06	783.085	-79.33252	2.5598672e-06	-6.1604464e-07	0	0	79.0	0.8920341	0.0043410254	36000	33.49554514884949
9	98.725	47.13119	285.0	45.0	0.0	0.0	0.0	0.0	98.725	0.0	0.0	30.770958	1.973812	31.289042	4.485611	5.6247532e-05	0.0013568724	0.012580968	-0.006905961	1.502037e-08	-0.0031965945	9.080395e-12	1.0871596e-06	588.51135	-27.39447	1.8478173e-06	-4.9192306e-07	0	0	79.0	0.87919277	0.0024403147	40000	37.16900014877319
10	96.85366	67.37611	431.0	15.0	0.0	0.0	0.0	0.0	96.85366	0.0	0.0	32.57778	0.12163554	32.663696	31.633572	5.072849e-06	0.0012396355	0.012684728	-0.00561836	2.5808811e-08	-0.003952711	7.450581e-12	-4.467365e-06	713.46173	-23.646118	1.6953185e-06	-4.5382194e-07	0	0	79.0	0.8854944	0.0036645848	44000	41.00735592842102
11	116.181816	52.64026	279.0	46.0	0.0	0.0	0.0	0.0	116.181816	0.0	0.0	33.89025	0.15640143	33.966087	32.355827	-6.7592846e-05	0.0011795837	0.010144553	-0.0062749204	2.7179718e-08	-0.003592897	5.5879355e-12	-4.0512964e-06	702.5358	-36.787598	1.3910028e-06	-3.287779e-07	0	0	79.0	0.90254843	0.0041869944	48000	44.874411821365356
