Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.883233	8.491004	50.0	5.0	0.0	0.0	0.0	0.0	14.883233	0.0	0.0	-0.0038248054	0.110256806	0.38390625	-0.37027434	0.0018513077	0.15155086	0.49395624	-0.47770774	1.2588501e-07	-0.018288614	6.437302e-10	0.0010236324	144.07611	-20.399376	0.022970168	-0.022913609	0	0	5.0	0.9189385	0.018398624	5000	5.258724212646484
1	21.170214	12.66108	66.0	5.0	0.0	0.0	0.0	0.0	21.170214	0.0	0.0	1.1382915	0.41490543	2.8852952	-0.9401981	0.0007559802	0.0035917498	0.035640344	-0.031227568	-1.6880035e-08	-0.016548026	-3.874302e-11	-2.7498522e-06	242.62395	-83.025024	1.3477963e-05	-7.669014e-06	0	0	7.0	0.9171872	0.016874155	10000	9.450095653533936
2	26.827957	16.949718	136.0	6.0	0.0	0.0	0.0	0.0	26.827957	0.0	0.0	5.2589216	0.8029353	7.915493	1.1196537	-8.2957005e-05	0.002796696	0.021397533	-0.035428807	5.7697296e-09	-0.017774811	2.2351742e-11	-3.2094001e-06	280.25204	-94.728165	7.828076e-06	-1.7739349e-06	0	0	8.0	0.91509384	0.014974081	15000	13.337299823760986
3	36.014492	18.514774	106.0	8.0	0.0	0.0	0.0	0.0	36.014492	0.0	0.0	10.648352	1.4247661	13.907224	3.501686	-7.675381e-05	0.0033814008	0.029065032	-0.031840477	3.7193297e-09	-0.013561783	2.6077033e-11	5.045269e-06	248.7541	-61.751236	1.1443566e-05	-2.4358405e-06	0	0	11.0	0.9132866	0.013129004	20000	17.66245937347412
4	49.0297	23.538237	105.0	9.0	0.0	0.0	0.0	0.0	49.0297	0.0	0.0	15.196514	0.37799302	16.34289	12.415422	-0.00011909139	0.003890916	0.024229102	-0.03342858	2.3937226e-08	-0.015416139	-7.450581e-12	-4.1036637e-06	324.1275	-59.752014	1.5159903e-05	-5.7124407e-06	0	0	79.0	0.9105286	0.006141079	25000	22.780442714691162
5	62.4	25.549757	166.0	15.0	0.0	0.0	0.0	0.0	62.4	0.0	0.0	18.885038	0.57037115	19.80807	15.390788	0.0001479524	0.0033213857	0.032295335	-0.021762973	-3.185272e-08	-0.009301704	4.4703486e-12	-3.3399851e-06	379.6578	-51.26657	1.1053743e-05	-3.913034e-06	0	0	79.0	0.9064429	0.0044030617	30000	27.247740268707275
6	84.067795	43.32059	228.0	11.0	0.0	0.0	0.0	0.0	84.067795	0.0	0.0	21.869316	0.27823117	22.367756	20.501215	-0.00031144015	0.0024556872	0.023265831	-0.01384588	-6.0987475e-08	-0.009623629	0.0	8.380053e-06	691.3769	-108.08972	6.135947e-06	-2.0694229e-06	0	0	79.0	0.89941156	0.0045368276	35000	29.998537302017212
7	84.81035	28.858427	180.0	40.0	0.0	0.0	0.0	0.0	84.81035	0.0	0.0	24.453094	2.8076925	26.06935	3.587465	0.000104517654	0.0020113108	0.016587496	-0.01278422	-1.2969971e-08	-0.0045676683	1.6391277e-11	1.6064391e-06	439.8635	-55.683624	4.0541677e-06	-1.2238631e-06	0	0	79.0	0.89451647	0.0028912036	40000	34.506502628326416
8	99.67347	52.391926	335.0	41.0	0.0	0.0	0.0	0.0	99.67347	0.0	0.0	25.867264	5.0137935	28.223415	-9.798754	-0.000108010914	0.0014891148	0.0107108755	-0.010740637	1.1634826e-08	-0.004437723	1.1175871e-11	-3.6798522e-06	690.5013	-75.06958	2.2301585e-06	-5.4236364e-07	0	0	79.0	0.8925456	0.002848043	45000	39.08490443229675
9	144.94118	97.21261	537.0	59.0	0.0	0.0	0.0	0.0	144.94118	0.0	0.0	29.426115	3.3094819	30.66741	-2.2914293	8.408064e-06	0.0014489389	0.008888081	-0.010519156	-1.0318756e-07	-0.0035614206	-3.9115547e-12	4.2469924e-06	1221.0323	-137.54993	2.1787864e-06	-6.063109e-07	0	0	79.0	0.90338737	0.0028698265	50000	43.71072721481323
10	198.16	136.9025	685.0	31.0	0.0	0.0	0.0	0.0	198.16	0.0	0.0	32.940067	2.2241228	33.655655	-6.712838	6.1062754e-05	0.0010928175	0.012580833	-0.0070670256	2.9182434e-08	-0.0050683576	4.8428774e-12	-2.4857817e-07	1563.8978	-177.36987	1.2039892e-06	-1.6512081e-07	0	0	79.0	0.9184519	0.0045539225	55000	48.717753887176514
11	215.86957	124.47291	604.0	71.0	0.0	0.0	0.0	0.0	215.86957	0.0	0.0	36.38573	2.0778272	36.77783	-8.17753	8.519213e-05	0.0010864454	0.006229045	-0.010216502	-6.370544e-08	-0.003076609	1.8626452e-12	1.8438384e-06	1393.1208	-125.650024	1.1883227e-06	-2.2010568e-07	0	0	79.0	0.91666454	0.0018015179	60000	53.34844207763672
12	408.45456	306.48428	1000.0	82.0	0.0	0.0	0.0	0.0	408.45456	0.0	0.0	39.168133	0.27372506	39.278164	36.658176	2.5223213e-05	0.0011446485	0.006697514	-0.011228205	2.3460387e-08	-0.0037441428	-2.9802322e-12	-1.1870213e-06	2350.2002	-260.313	1.3243077e-06	-2.0548202e-07	0	0	79.0	0.91082215	0.0033497673	65000	57.86940932273865
13	293.625	212.28839	719.0	77.0	0.0	0.0	0.0	0.0	293.625	0.0	0.0	42.439762	0.102434166	42.489716	41.217102	3.3590935e-05	0.0008274174	0.0074764737	-0.008356577	5.788803e-08	-0.0036022216	3.3527612e-12	-1.3578377e-06	1677.6262	-130.9242	6.852864e-07	-8.792159e-08	0	0	79.0	0.90107787	0.0032086323	70000	59.99779486656189
14	545.55554	255.98184	1000.0	242.0	0.0	0.0	0.0	0.0	545.55554	0.0	0.0	44.670464	0.1076916	44.723766	43.266575	-2.4435523e-05	0.0007136989	0.00557134	-0.0054583475	-2.6512145e-08	-0.0030165527	7.0780517e-12	-7.917334e-07	2006.2748	-183.7528	5.155732e-07	-3.921852e-08	0	0	5.0	0.90880007	0.014371958	75000	64.2359983921051
15	834.0	332.0	1000.0	170.0	0.0	0.0	0.0	0.0	834.0	0.0	0.0	47.13517	0.079946645	47.1969	46.457516	-8.532882e-06	0.00081822946	0.0069868807	-0.008286902	-6.5803526e-08	-0.0028727634	-2.9802322e-12	9.660549e-07	2302.8335	-243.67212	6.7257156e-07	-9.681935e-08	0	0	79.0	0.90898323	0.0055362154	80000	69.18037343025208
16	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	49.872486	0.020603241	49.89535	49.703545	-9.067226e-05	0.00066210655	0.008480505	-0.00476137	-4.547119e-07	-0.0022595662	5.5879357e-13	-4.6990013e-07	2139.0796	-216.61963	4.727026e-07	-7.012659e-08	0	0	79.0	0.880931	0.0040679704	85000	73.58450436592102
17	670.5	301.86572	1000.0	179.0	0.0	0.0	0.0	0.0	670.5	0.0	0.0	52.339767	0.017645437	52.355373	52.081802	1.8190653e-05	0.0005908277	0.007330075	-0.0049815364	1.2664795e-07	-0.004168636	1.8626452e-12	-2.4442505e-07	1740.2644	-143.05786	3.5120243e-07	-2.1537943e-08	0	0	79.0	0.8646596	0.0030968902	90000	77.757009267807
18	1000.0	0.0	1000.0	1000.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	54.312176	0.011606264	54.323734	54.206398	-6.9553826e-05	0.0005540016	0.0061495057	-0.005101928	-3.8471222e-07	-0.0024742757	2.2351743e-12	-1.2393735e-06	1776.8531	-163.69629	3.3440512e-07	-3.7396404e-08	0	0	79.0	0.8748968	0.0041479566	95000	82.03125095367432
19	689.2857	314.64526	1000.0	239.0	0.0	0.0	0.0	0.0	689.2857	0.0	0.0	56.3415	0.016251544	56.360603	56.1896	8.639959e-05	0.0007322119	0.0076321885	-0.0045873914	-9.1934204e-08	-0.001695282	3.3527612e-12	-1.5145342e-06	1421.2173	-105.57947	5.771126e-07	-8.796951e-08	0	0	79.0	0.89115655	0.002720475	100000	86.30191850662231
