Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	30.935888	17.842186	111.43038	10.019216	1.2302439	7.243677	110.76618	0.024001338	15.525291	316.35312	0.07908828	0.00077311194	0.10857096	0.39789742	-0.45396146	0.0038823877	0.15004797	0.47424868	-0.5258008	-3.8146972e-08	-0.017173711	-1.0251999e-07	0.030488616	610.6897	-42.987976	82.22706	-4.99588	0	0	5.0	0.9189385	0.01721728	4000	4.346493721008301
1	39.112957	21.627254	121.97224	12.03519	2.7230737	10.6870985	98.90544	0.037939683	19.777227	866.5456	0.1083182	1.0208553	0.66756684	4.088247	-1.9047459	0.6103286	0.86734635	4.6421094	-3.570223	-4.673004e-08	-0.016511582	1.1920929e-07	0.083589375	818.27625	-171.40295	160.8419	-13.197174	0	0	7.0	0.91719246	0.016796667	8000	8.34177541732788
2	50.206303	26.83053	131.15291	10.031133	7.5655813	22.48933	111.5818	0.014568503	25.538462	2046.9297	0.17057748	5.0939617	0.38998422	6.4644604	3.3397274	2.4829893	0.2542095	3.3786783	1.393075	1.2755394e-08	-0.016441202	-7.343292e-08	0.20317702	976.57556	-262.47748	555.80896	-52.05191	0	0	8.0	0.91486514	0.015292752	12000	12.285759687423706
3	69.31659	30.754475	168.49756	18.050043	21.854454	35.472363	112.525215	0.05338414	36.036037	4472.774	0.27954838	11.401859	0.45570618	12.735782	9.039308	8.085272	0.37792966	9.152448	6.2482033	-3.051758e-08	-0.012391374	-6.8473815e-07	0.26652315	1128.256	-222.44922	1059.845	-159.67004	0	0	11.0	0.91251	0.013933541	16000	16.28260612487793
4	88.41826	43.94284	245.3772	14.0461445	31.224533	37.178646	113.23112	0.03232256	46.197674	7158.323	0.35791618	16.513292	0.29247007	17.014448	14.86132	15.68595	0.54248667	17.063402	13.0631695	-4.529953e-08	-0.017226879	4.3106078e-07	0.16413924	1635.977	-202.46729	889.8254	-80.60889	0	0	79.0	0.9095951	0.007252138	20000	19.020374059677124
5	121.68408	47.793827	250.8399	37.94502	44.918903	37.642796	113.58872	0.16546342	64.354836	9943.305	0.41430438	20.45468	0.2690183	20.833345	18.600368	19.977818	0.2091458	20.430637	18.670185	4.529953e-08	-0.011320041	-2.794266e-07	0.031389475	2177.823	-206.56274	793.4084	-43.731445	0	0	79.0	0.89904004	0.0051239324	24000	23.243256092071533
6	164.82513	85.93365	436.92035	14.077415	56.985867	33.06911	122.047844	0.10017565	88.844444	12507.693	0.44670334	23.66837	0.68857217	24.338737	19.402613	22.58335	0.52056485	23.401777	18.268198	7.724762e-08	-0.0067297095	-4.386902e-07	0.035593867	3898.8022	-277.7522	625.4734	-35.494507	0	0	79.0	0.90746874	0.0036792536	28000	27.546098709106445
7	215.9529	104.00842	612.0118	68.26673	62.408325	36.663124	139.95259	1.5577923	117.382355	14629.593	0.45717478	26.853025	0.48070404	27.257885	22.817976	24.904766	0.27746472	25.381535	22.738293	-2.0623206e-08	-0.004315506	-1.8835069e-08	0.011034323	5050.0796	-302.6587	529.91956	-8.251648	0	0	79.0	0.88931286	0.002560526	32000	32.101946115493774
8	224.57219	90.61628	444.2864	110.95591	57.40361	31.546797	132.10847	3.5366187	123.125	16470.041	0.45750114	29.655344	0.81898785	30.087147	22.147955	26.077242	0.1200842	26.347486	25.473064	1.1956692e-07	-0.004170318	-6.151199e-08	0.046666425	4569.602	-236.55713	329.8542	-1.4527588	0	0	79.0	0.87117434	0.0023812952	36000	36.540523290634155
9	302.71378	125.16066	701.1073	150.34872	56.00244	20.470676	96.96094	28.044804	163.875	17815.553	0.44538882	32.118275	0.6796512	32.426453	23.245705	26.540531	0.12504722	26.831606	25.856525	8.571148e-08	-0.004533199	1.3589859e-07	-0.0068942304	6620.6406	-332.6211	203.48656	-6.2646027	0	0	79.0	0.86323667	0.0033618973	40000	41.26672959327698
