Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.811111	8.329637	53.0	5.0	0.7383409	2.377149	32.21677	0.03342506	14.811111	199.3541	0.049838524	-0.000787176	0.10924107	0.43695128	-0.40780914	0.0021496853	0.15185264	0.51610917	-0.48301926	3.3259393e-08	-0.0182484	6.0796737e-09	0.018692506	139.01378	-19.530563	8.954779	-1.3571973	0	0	5.0	0.9189385	0.01807325	4000	2.5117244720458984
1	19.216347	11.175021	70.0	5.0	2.7147791	13.859116	126.42944	0.032061633	19.216347	764.2673	0.09553341	1.1247357	0.57492894	3.4433372	-1.090045	0.7184716	0.5910072	3.461586	-1.5881233	-4.4345857e-08	-0.019269751	-2.0599366e-07	0.0919198	197.81409	-70.27993	263.57568	-27.061066	0	0	7.0	0.9171939	0.017637264	8000	4.728484153747559
2	26.098684	14.700412	82.0	6.0	5.517774	17.67015	113.836845	0.020242872	26.098684	1603.2131	0.1336011	4.7748437	1.6556882	9.868133	-4.286354	2.92217	2.8814042	11.354716	-9.557588	1.1324882e-08	-0.018776001	-3.2806398e-07	0.11429724	230.71889	-91.28613	304.023	-12.484741	0	0	8.0	0.9148848	0.016610777	12000	6.8806235790252686
3	37.87619	20.588345	142.0	9.0	23.788958	35.719006	117.000946	0.011666285	37.87619	4101.468	0.25634173	10.557789	0.8344648	12.801719	6.779855	5.9125004	4.0860043	14.007111	-10.00143	3.015995e-08	-0.013862812	3.299713e-07	0.22324817	303.24814	-78.07106	1173.8436	-270.45612	0	0	13.0	0.912402	0.012569093	16000	9.0444176197052
4	49.7875	28.131695	154.0	9.0	35.96444	39.238583	111.38879	0.050130688	49.7875	6978.6895	0.34893447	15.538462	0.69638467	17.016861	11.610646	14.182102	1.8595846	17.848774	3.8351245	2.9563903e-08	-0.01799304	-1.9264222e-07	0.12143673	398.44025	-67.770386	1047.9675	-165.8711	0	0	79.0	0.9091683	0.006892315	20000	11.452750205993652
5	63.031746	26.39262	144.0	14.0	50.4992	37.19122	124.14297	0.04944019	63.031746	10160.237	0.4233432	19.337166	0.6362734	20.584759	15.590077	20.148012	0.22521456	20.672073	18.927008	-4.673004e-08	-0.011614595	-2.117157e-07	0.096978255	379.8332	-61.15143	895.8811	-80.083374	0	0	79.0	0.90913314	0.005988277	24000	13.812930345535278
6	90.86364	37.741096	186.0	12.0	55.78292	30.469526	122.84376	0.14660344	90.86364	12614.689	0.45052463	21.039371	3.4321127	23.450117	-4.854377	23.491533	0.14995301	23.831865	22.617218	-5.3286552e-08	-0.011866364	6.2942505e-08	0.024322417	662.3235	-108.48999	498.77753	-26.21228	0	0	79.0	0.92350423	0.0049008545	28000	16.160290718078613
7	116.47059	59.761406	278.0	37.0	62.17296	22.429388	114.10973	10.893836	116.47059	14737.416	0.46054426	25.452595	2.1665838	26.464901	-4.19052	25.302704	0.15325932	25.588877	24.072872	2.3663045e-08	-0.0051702308	-2.861023e-09	-0.023699924	978.0116	-120.84125	358.43942	-5.269867	0	0	79.0	0.92781156	0.0029394012	32000	18.539358615875244
8	112.942856	61.156914	336.0	46.0	72.674126	37.19599	180.68031	5.839929	112.942856	17294.904	0.480414	28.525013	2.5671961	29.437738	-7.338649	26.117453	0.10259686	26.31754	25.622198	4.583597e-08	-0.0040269536	1.87397e-07	-0.022982217	827.8279	-70.52771	649.1264	-25.791565	0	0	79.0	0.911891	0.0039988514	36000	20.898271799087524
9	184.4762	104.99144	447.0	65.0	60.36205	27.981552	135.83052	24.180159	184.4762	18566.691	0.4641673	31.275444	1.2080803	31.63547	11.885072	27.85434	0.07737998	28.01703	27.392668	3.194809e-08	-0.0026741805	-6.484986e-08	-0.01700445	1509.7008	-163.21667	344.85013	-14.541809	0	0	79.0	0.9350657	0.002382957	40000	23.25815176963806
10	173.13043	95.47288	429.0	51.0	60.850536	34.77986	145.62103	8.842499	173.13043	19966.273	0.45377895	34.439407	0.8493141	34.650097	20.86103	26.697285	0.10034028	26.907234	26.085415	-7.140636e-08	-0.004221798	1.7166137e-08	0.029995698	1231.3925	-104.4613	348.8775	-8.025879	0	0	79.0	0.9350767	0.0032793242	44000	25.707216501235962
11	360.36365	241.74828	1000.0	112.0	74.8663	33.77835	143.3753	30.91588	360.36365	20789.896	0.43312284	35.873783	3.0047667	36.95775	-2.2415373	25.586355	0.30318046	26.10232	23.756857	-6.055832e-08	-0.0038031114	-2.7656554e-08	-0.00063931156	2343.1455	-344.95874	280.7729	-39.50865	0	0	79.0	0.90189207	0.0032070437	48000	28.09617304801941
12	372.0	202.44951	844.0	190.0	55.930786	26.367476	125.19253	34.646248	372.0	21378.137	0.411118	40.06433	0.12640719	40.111324	38.347084	23.153643	1.295695	24.413618	10.179306	-2.026558e-09	-0.0022789782	-7.6293944e-08	-0.003756186	1898.6746	-175.82874	162.84131	-53.391228	0	0	79.0	0.8915453	0.0048405137	52000	30.468308448791504
13	514.7143	280.55032	1000.0	212.0	71.37342	45.49881	161.95372	27.630033	514.7143	21928.518	0.39158067	42.637627	0.11622806	42.69472	41.454212	19.40383	3.325447	22.553663	-8.455338	4.2438508e-08	-0.0033037844	7.343292e-08	-0.03291634	2155.3047	-202.96155	275.26465	-53.185486	0	0	9.0	0.8835983	0.011765028	56000	32.58963084220886
14	384.7	177.492	595.0	88.0	68.25727	12.602377	88.37801	42.585342	384.7	22618.37	0.37697282	45.15417	0.21838786	45.286266	42.96823	14.5541115	3.971738	20.701464	-6.5598893	-4.9352646e-08	-0.0022328936	-3.051758e-08	-0.011220501	1640.8455	-119.62598	113.66475	-21.468697	0	0	5.0	0.8829996	0.012970659	60000	34.72691822052002
15	755.8	284.0186	1000.0	237.0	30.79776	5.522406	39.10208	24.273514	755.8	22789.514	0.35608616	47.23003	0.03644453	47.254456	46.744442	15.414549	0.9459313	17.639433	11.045554	6.03199e-08	-0.006217085	1.4567375e-07	0.014605304	2097.3474	-191.30896	142.91785	-120.31537	0	0	16.0	0.88281685	0.01293323	64000	36.94112420082092
16	277.64285	164.78973	646.0	82.0	72.831566	37.559196	159.67804	34.183407	277.64285	23828.326	0.35041657	49.54004	0.23013401	49.608063	45.457363	6.7582016	1.7452148	10.392897	1.178699	-2.4139881e-08	-0.0020699727	3.9196016e-07	-0.0145229595	1142.1896	-52.85193	489.27826	-134.8778	0	0	79.0	0.8831338	0.003353373	68000	39.42742300033569
17	273.7143	216.94714	1000.0	94.0	57.207333	21.00399	124.667755	35.547756	273.7143	24640.863	0.34223422	50.787777	0.31988338	50.867035	45.812397	14.627103	0.3827472	15.726887	12.873643	-1.168251e-08	-0.004931595	-5.1021576e-08	-0.023886278	1120.4397	-49.5802	182.7704	-5.712494	0	0	79.0	0.882561	0.0036180862	72000	41.844085931777954
18	622.1667	331.3213	1000.0	139.0	62.459797	13.803654	79.71845	39.943893	622.1667	25040.855	0.32948494	51.854187	1.0660205	52.019875	26.474524	15.901141	0.65543354	17.26489	12.673245	-1.6450882e-08	-0.0042992793	4.029274e-08	-0.006336428	1670.7502	-138.14172	110.762215	-38.566635	0	0	79.0	0.90730476	0.0043754694	76000	44.25763154029846
19	791.75	208.31752	1000.0	576.0	63.097176	19.207693	93.70944	44.28808	791.75	25344.871	0.31681088	53.92935	0.081597574	53.965904	53.129513	11.684738	0.25178713	12.356568	10.182614	5.0544738e-08	-0.002732775	-1.052022e-07	-0.0119744465	1676.8538	-152.83313	76.878075	-20.785164	0	0	79.0	0.90608007	0.0026539392	80000	46.66467213630676
20	1000.0	0.0	1000.0	1000.0	26.331032	10.958442	43.94059	14.479633	1000.0	25450.195	0.30297852	56.01719	0.050849594	56.04086	55.474045	8.346347	0.6025413	9.866599	6.3810325	-2.477169e-07	-0.0017951309	9.006262e-08	0.001073364	1646.5802	-162.19312	31.635483	-25.49947	0	0	79.0	0.92697346	0.0025323364	84000	49.163084983825684
21	1000.0	0.0	1000.0	1000.0	29.395706	13.090684	42.885414	13.127874	1000.0	25567.777	0.29054293	58.12717	0.022640921	58.139503	57.876694	4.3766584	0.81661034	7.001167	1.774132	-6.153584e-07	-0.0015546732	1.4305115e-09	0.0007119775	1492.5396	-143.73206	9.186283	-1.9144669	0	0	79.0	0.9231827	0.0049089137	88000	51.53516221046448
22	1000.0	0.0	1000.0	1000.0	38.470547	20.829117	73.38586	20.00759	1000.0	25721.66	0.27958328	60.048744	0.0914374	60.093548	59.35705	2.9757514	0.97401446	5.42745	0.4986336	5.581379e-07	-0.0022625974	-1.168251e-08	0.014318175	1359.1293	-129.22424	21.547586	-6.831744	0	0	8.0	0.91489714	0.014447252	92000	53.646697998046875
