Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	18.97619	7.9098735	52.0	9.0	0.39224264	0.2679125	2.0631568	0.055636335	18.97619	82.60592	0.02065148	0.006649456	0.18529543	0.4636608	-0.47746566	-0.0065565943	0.15272975	0.34909406	-0.36287418	3.096542e-08	-0.006589436	1.4662743e-08	-0.00053667696	167.17976	-23.029358	0.11746811	-0.07908638	0.84999996	-0.021101952	8.0	0.6854214	0.015393162	4000	2.7047901153564453
1	22.65909	12.542552	87.0	8.0	0.42249134	0.41251194	4.0735817	0.025211487	22.65909	157.05394	0.019631742	1.1322385	0.19420661	1.5389146	0.45550597	0.23579822	0.013679281	0.30293894	0.17150083	-2.9377892e-08	-0.006155061	-2.115965e-09	0.0007515458	256.77115	-85.12839	0.14563917	-0.0037002265	0.828898	-0.021550417	12.0	0.6912987	0.013194252	8000	4.956212282180786
2	29.338236	17.00442	108.0	10.0	0.47700074	0.46109986	3.2148538	0.022819368	29.338236	222.05376	0.01850448	5.158395	0.6429835	7.1421094	0.948511	0.28217718	0.025865823	0.35758427	0.16602255	3.5782e-08	-0.00783883	1.5497208e-09	0.0017151689	295.09943	-105.727646	0.13991605	-0.004368648	0.8073476	-0.033965528	79.0	0.6770249	0.005005202	12000	7.529872179031372
3	34.991226	19.598377	112.0	10.0	1.0034974	2.8969598	24.610874	0.014734921	34.991226	336.46298	0.021028936	10.778578	1.4122138	15.270859	1.5501996	0.2966311	0.0876723	0.79066634	-0.07044677	3.0156855e-08	-0.007721567	-9.834766e-10	-0.004640522	266.3814	-59.938873	7.4070983	-1.1691031	0.77338207	-0.023586333	79.0	0.663979	0.006423071	16000	9.96708083152771
4	45.170456	26.691938	120.0	13.0	0.7952614	1.0190644	5.573639	0.059739403	45.170456	406.6116	0.02033058	14.942583	1.100841	17.30845	8.438653	0.9905322	0.81530726	4.227266	-3.0820296	-1.2994091e-08	-0.0053597237	-1.0609627e-08	0.00505895	364.09445	-59.707947	1.3543369	-0.7683744	0.74979573	-0.0326671	79.0	0.6495724	0.0042093485	20000	12.401993751525879
5	53.783783	30.527466	168.0	14.0	1.1005564	1.5604382	10.797565	0.05593051	53.783783	488.26385	0.020344328	18.444653	1.4700865	20.398548	0.25293425	0.58171743	0.14156786	1.0387398	-0.13524091	9.551694e-09	-0.0052901674	5.9604643e-10	0.0027734793	398.06375	-50.419342	1.3551416	-0.1686045	0.71712863	-0.027882338	79.0	0.6368741	0.0031048148	24000	14.829250812530518
6	69.5614	32.605034	151.0	18.0	1.7376482	1.7326165	7.935819	0.089706354	69.5614	587.4724	0.020981157	21.212955	2.3851254	22.900005	-6.079261	0.71798086	0.28086793	1.5458279	-0.4226683	4.817848e-09	-0.004187127	1.4305115e-09	0.004456245	448.23044	-56.99283	1.515329	-0.3671527	0.6892463	-0.027356803	79.0	0.62520677	0.0028831377	28000	17.25183081626892
7	87.35555	37.578453	213.0	22.0	2.635486	1.9821523	8.094372	0.1278258	87.35555	707.20087	0.022100028	23.071669	5.245726	25.336388	-20.56658	1.0676872	0.22153832	1.6114686	0.41871262	-3.113133e-08	-0.0015679956	0.0	-0.0011495398	568.1804	-72.867035	1.8826743	-0.3023759	0.6618895	-0.011847436	79.0	0.62427527	0.0021399397	32000	19.689626216888428
8	88.888885	28.750437	156.0	32.0	2.579795	2.0416222	9.547619	0.30325037	88.888885	823.29144	0.022869207	25.787683	5.3624353	27.902126	-20.759386	1.4592707	0.18849549	1.9752084	0.5461975	1.7844876e-08	-0.0038799753	2.3841857e-09	-0.0046099694	424.1914	-36.95465	1.7535102	-0.007820249	0.65004206	-0.0063000917	79.0	0.6121734	0.0039570453	36000	22.155604600906372
9	81.875	26.562525	164.0	19.0	2.1757753	1.4818978	6.372178	0.13903028	81.875	928.28784	0.023207197	28.388523	4.1852927	29.80784	-19.017746	1.4162673	0.14393015	1.7550105	0.4652236	-1.2676381e-08	-0.002240045	4.1127204e-09	0.0017450077	336.909	-17.350372	0.97825533	-0.1062817	0.64374197	-0.012285888	79.0	0.59977543	0.0028387834	40000	23.73515224456787
