Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.397683	9.295667	56.0	5.0	2.2534122	12.038008	117.478645	0.013980998	15.397683	583.78186	0.14594546	-0.0018873677	0.11101607	0.47691992	-0.36393312	0.003109109	0.15049551	0.501857	-0.47375458	4.8972467e-08	-0.072424695	-2.8610229e-08	-0.16516048	163.1325	-21.43077	253.75868	-7.5473633	0.84999996	0.0216313	9.0	0.9189385	0.014898249	4000	2.069491386413574
1	13.631399	6.869876	40.0	5.0	0.41297013	0.63847125	6.572036	0.012709987	13.631399	704.9474	0.08811843	1.1191164	0.121495776	1.8574909	0.40594745	0.76761967	0.43417114	3.079276	-1.3372313	-6.737579e-08	-0.004868296	-1.502037e-08	0.0033497522	89.94929	-37.175877	1.0208796	-0.25850475	0.87163126	-0.011755288	10.0	0.9161097	0.015716083	8000	4.724440574645996
2	17.427948	8.419167	48.0	5.0	0.3640908	0.44530177	3.1882434	0.02935722	17.427948	788.4858	0.06570715	4.266006	0.274924	5.089974	3.3495371	0.73170435	0.18325657	1.6190069	-0.2262125	5.816911e-09	-0.0033105295	-2.3186207e-08	0.0015262567	86.71626	-35.70994	0.43669978	-0.17760134	0.859876	-0.015857518	12.0	0.91382104	0.013163135	12000	7.121310234069824
3	18.686916	8.1326685	53.0	7.0	0.33131394	0.65611464	7.791128	0.01110487	18.686916	859.3893	0.05371183	8.559564	0.9237828	10.649135	5.120673	0.5362599	0.0925959	1.079667	0.030127779	-3.8648538e-09	-0.0051572644	3.1292438e-10	0.003430931	54.70382	-5.620289	0.5285857	-0.044937998	0.84401846	-0.01755321	14.0	0.9111825	0.012949106	16000	9.478393793106079
4	22.97701	10.801743	69.0	7.0	0.52608657	1.0655718	11.281099	0.0042573623	22.97701	950.93	0.0475465	10.57778	1.6209817	13.855048	3.458972	0.43919605	0.08643343	0.7547045	-0.03480915	-5.560449e-09	-0.006260797	-1.3262034e-09	0.0012063943	85.47829	-7.120102	1.154721	-0.022064686	0.82646525	-0.022527874	79.0	0.90749246	0.0046819374	20000	12.795938968658447
5	25.414013	10.786902	84.0	10.0	0.44376048	0.8656969	7.7837195	0.008233306	25.414013	1020.6068	0.042525284	12.821211	1.2970797	15.358651	7.690788	0.46143973	0.082010016	0.7345928	0.17315465	7.5119475e-09	-0.0057758987	5.289912e-09	0.0012357861	84.58214	-3.889824	0.60675097	-0.018117785	0.8039374	-0.02382809	79.0	0.8972227	0.0047674887	24000	15.529476165771484
6	29.227942	11.43779	77.0	9.0	0.57357556	0.7429673	4.3258405	0.012309734	29.227942	1098.8029	0.03924296	13.8539	2.4571495	17.339672	1.6546333	0.4403172	0.14462079	0.9175581	-0.036745705	3.4238262e-10	-0.003890803	2.9206275e-09	0.0013699805	96.76748	-5.6857376	0.382728	-0.016414732	0.7801093	-0.022702515	79.0	0.8935615	0.0038344369	28000	18.089071035385132
7	29.984962	11.676714	75.0	9.0	0.7075739	0.74659574	4.1484127	0.022415087	29.984962	1193.0671	0.03728335	15.360682	3.3035197	18.545292	-4.9528556	0.45201844	0.032995295	0.5456895	0.34148377	6.622476e-10	-0.0048029856	-3.8146974e-09	0.005923686	98.36602	-3.3288803	0.41711682	-0.062051356	0.7574068	-0.0272457	79.0	0.87370205	0.0047446205	32000	20.719048261642456
8	34.08547	13.226219	103.0	16.0	0.9974233	1.0427339	5.3876495	0.02062151	34.08547	1309.8087	0.036383577	15.55093	3.6039815	18.49798	-7.5057545	0.5376871	0.19148652	1.2404099	-0.27879238	1.0881941e-08	-0.0029591254	4.887581e-09	0.0012409567	118.21098	-5.9104385	0.6415729	-0.03300923	0.7301611	-0.023067296	79.0	0.8883509	0.0031780489	36000	23.319858074188232
9	37.252335	13.062104	78.0	13.0	0.93632036	0.7520904	3.8751109	0.04070758	37.252335	1410.005	0.035250124	17.359224	3.9384127	19.802052	-7.0658755	0.66159785	0.18390845	1.2691926	0.0189973	8.79632e-09	-0.0050397306	-5.9604643e-10	0.0046994435	112.945885	-2.8911285	0.3267439	-0.009441406	0.7070938	-0.026008487	79.0	0.8871437	0.005304313	40000	25.881872415542603
