Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.5625	9.7502	50.0	4.0	2.2739358	11.983267	105.59118	0.033441663	15.5625	582.3343	0.14558357	-0.0027239951	0.110055536	0.39362857	-0.39346442	0.0024279072	0.150086	0.506514	-0.53036743	-3.1058853e-08	-0.046000663	-1.4305114e-08	-0.10851926	171.98082	-22.353073	260.47635	-9.33522	0.84999996	0.021617055	9.0	0.9189385	0.016104864	4000	2.790896415710449
1	14.070422	7.374917	50.0	4.0	0.37334466	0.50678027	5.6914773	0.025898382	14.070422	688.5151	0.08606438	1.1436075	0.060774006	1.3195244	0.822797	0.7460835	0.44286516	2.7235665	-2.0032575	-7.785956e-09	-0.0024231402	-4.4345857e-08	0.0014263737	101.11293	-39.588833	0.76295334	-0.12142205	0.871617	-0.011609018	10.0	0.9159028	0.014741505	8000	5.223313093185425
2	16.382715	8.772245	57.0	4.0	0.42227656	0.70254594	7.512764	0.017900862	16.382715	791.297	0.065941416	4.3402295	0.40438592	6.4881	1.5467807	0.69576746	0.38240173	2.9325433	-1.450611	5.9087856e-08	-0.004378563	9.417534e-09	0.0062096156	88.95205	-33.64151	0.9325906	-0.18023658	0.860008	-0.015802741	10.0	0.9133729	0.014161785	12000	7.68195915222168
3	19.885	9.690293	67.0	7.0	0.38407838	0.5621411	5.5364943	0.018192982	19.885	868.4911	0.054280695	8.41481	1.4258939	12.403882	2.4148986	0.55105436	0.30754042	2.3405597	-1.1008441	-8.525327e-09	-0.0056240666	2.9802322e-10	0.0052444544	74.28616	-12.080986	0.5045514	-0.14568213	0.84420526	-0.017605782	11.0	0.9115868	0.013970888	16000	10.138504981994629
4	22.251396	9.027484	51.0	6.0	0.47094724	0.74922806	6.6273794	0.028318098	22.251396	952.8708	0.04764354	10.900328	1.8274422	14.798796	4.114799	0.4630155	0.19431502	1.513846	-0.45451593	6.900349e-09	-0.0052419417	3.2782554e-09	0.0049471697	59.26236	-4.597542	0.5911394	-0.04127288	0.8265995	-0.018346071	11.0	0.91035354	0.013907717	20000	12.611862897872925
5	27.335617	11.689638	74.0	10.0	0.61438495	1.0617043	6.793728	0.030321065	27.335617	1042.5918	0.043441325	12.564887	2.7048132	16.697605	-2.2457635	0.43839252	0.11659682	1.0288373	-0.22452307	1.0184039e-09	-0.0043349722	9.3579295e-09	0.00448055	98.47511	-7.9201736	0.94597137	-0.027098179	0.8082534	-0.025253773	79.0	0.9094704	0.0041786707	24000	15.39685320854187
6	28.597122	10.82212	77.0	8.0	0.8760411	1.4170024	8.576113	0.026680347	28.597122	1164.7307	0.041597527	14.571233	3.2675393	18.170048	-5.154425	0.51139593	0.08082079	0.9564673	0.16445684	-1.1674723e-08	-0.0043014046	-2.6822091e-09	0.00058326445	90.79584	-2.62648	1.5581902	-0.08570492	0.78299963	-0.02340889	79.0	0.90849334	0.0038042783	28000	16.509733200073242
7	33.820515	13.435897	86.0	9.0	1.1715716	1.412833	9.318409	0.01615995	33.820515	1304.9537	0.040779803	15.122013	3.0026317	18.168856	-6.0441136	0.6623549	0.1717391	1.3361285	-0.08560377	6.262819e-10	-0.0049819895	4.5895576e-09	-0.008087758	118.696724	-10.796814	1.4891427	-0.21700323	0.75959074	-0.0148566365	79.0	0.901507	0.0066294316	32000	19.230535745620728
8	35.21239	13.264132	90.0	10.0	0.93141633	0.83680654	4.002861	0.040830944	35.21239	1410.5205	0.039181124	17.208704	4.464035	20.082815	-13.880564	0.9810739	0.12911193	1.3197018	0.53251404	-4.365415e-09	-0.0032413006	-1.7434358e-09	-0.005923916	115.419365	-2.0472412	0.55036944	-0.112460256	0.7447341	-0.012298584	79.0	0.8990004	0.004533896	36000	21.924899101257324
9	35.544643	11.809416	78.0	15.0	0.77153206	0.6689457	2.9279532	0.022162357	35.544643	1496.9442	0.037423607	18.14901	3.7156513	20.256409	-10.482465	0.7442287	0.06802938	0.9885947	0.43728137	5.0047357e-09	-0.0038472621	1.192093e-10	-7.941493e-05	103.06324	-1.19944	0.29840368	-0.036850095	0.7324355	-0.018774927	79.0	0.89181596	0.0034978534	40000	24.77438497543335
