Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.86194	8.536989	54.0	5.0	0.6575286	2.1558788	29.725649	0.009428393	14.86194	176.31053	0.04407763	-0.0023672066	0.10675877	0.40023792	-0.37763712	0.0026931206	0.15009719	0.49060473	-0.5216339	6.7240485e-08	-0.006897421	3.695488e-08	0.006153112	142.92398	-20.66404	6.731188	-0.8914156	0.84999996	-0.020620167	5.0	0.9189385	0.016629642	4000	2.8727173805236816
1	20.095478	12.183518	65.0	4.0	2.8848982	12.599844	106.67006	0.031748567	20.095478	750.40717	0.093800895	1.1482556	0.29736704	2.5274773	-0.32924092	0.64643127	0.5791312	3.4035184	-2.2259436	-4.4707118e-08	-0.095319524	-7.8201296e-08	-0.21801677	225.1798	-78.15895	208.99123	-12.088882	0.8293798	-0.002547264	8.0	0.9172191	0.01940786	8000	5.262318134307861
2	21.508108	11.539881	64.0	6.0	0.749186	1.8902619	18.316338	0.026560577	21.508108	889.25116	0.074104264	5.204103	0.3396757	6.5453596	3.0746894	3.4641113	0.70302933	6.512528	-0.90615547	5.7681802e-08	-0.0010955766	1.1706352e-07	-0.005878943	143.8145	-49.620438	11.594929	-7.715794	0.82683253	-0.0038617253	79.0	0.9155196	0.0035896837	12000	7.980305194854736
3	20.65285	9.953712	60.0	6.0	0.48008364	0.92120314	8.966435	0.021232916	20.65285	982.00757	0.061375473	9.580984	0.6127507	11.151827	6.9904265	1.4045713	0.17325644	1.9262335	0.92262495	-1.8111177e-08	-0.0052194595	-5.4985283e-09	0.007563541	73.224464	-7.6585083	1.7219448	-0.79674256	0.8229708	-0.020187259	79.0	0.9086751	0.0049483636	16000	10.613393306732178
4	23.37647	10.767573	65.0	7.0	0.8336607	1.4403459	8.232732	0.018381609	23.37647	1123.7744	0.05618872	11.363424	1.6123033	14.56888	4.280244	0.8289324	0.21472138	1.3346455	0.21487261	1.1268881e-09	-0.0057802834	1.7881393e-09	-0.0026237157	82.75986	-4.0631714	1.7629038	-0.07612002	0.80278355	-0.018924296	79.0	0.89589596	0.0049174647	20000	13.273641109466553
5	25.43312	10.115432	59.0	10.0	0.49940112	0.6627743	4.3126707	0.018351573	25.43312	1202.1877	0.050091155	12.636158	1.2887119	15.188914	7.6671925	0.8195482	0.08043671	1.1573496	0.45512584	-1.4942199e-08	-0.0047312756	-2.9802323e-09	0.0053695366	74.88031	-4.4954987	0.50129175	-0.13744202	0.78385925	-0.023153067	79.0	0.8818524	0.004002986	24000	15.931912899017334
6	28.09859	10.277358	64.0	9.0	0.5843989	0.6645797	3.3185546	0.030097643	28.09859	1285.2462	0.045901652	13.077924	2.8131075	17.334665	-0.16719547	0.5785642	0.07408675	0.88866055	0.28846836	-3.2556573e-09	-0.0047573275	-9.536744e-10	0.0059136166	76.83503	-5.6680374	0.31899208	-0.01803559	0.7607062	-0.025541425	79.0	0.87707466	0.005351631	28000	18.57517099380493
7	32.430893	12.452238	100.0	9.0	1.033195	1.1343292	6.209937	0.028636709	32.430893	1412.3701	0.044136565	14.880517	3.8235843	18.558966	-9.49199	0.50107425	0.06637322	0.7099395	0.26178098	-4.5335666e-11	-0.004458745	-1.7285346e-09	0.005053562	111.12068	-6.1205826	0.94155526	-0.10191363	0.73516476	-0.02477467	79.0	0.8680416	0.004372697	32000	21.19904851913452
8	35.21239	11.827261	86.0	15.0	1.2232699	1.1722023	5.791973	0.013289364	35.21239	1551.0474	0.043084648	16.320469	3.528605	19.287344	-6.347168	0.70994204	0.098896526	1.0895916	0.26505926	4.7592295e-09	-0.004587647	4.4107438e-09	0.0016073071	106.73887	-3.7631607	0.83232677	-0.037910283	0.7103901	-0.022311151	79.0	0.86077327	0.004452102	36000	23.88187885284424
9	41.15625	14.899195	101.0	19.0	1.1505398	0.71790445	3.3960989	0.07164783	41.15625	1662.1798	0.041554496	17.735363	3.3225229	20.024885	-5.6505985	0.83575696	0.14244083	1.2902792	0.30727932	-4.680874e-09	-0.0032674153	5.841255e-09	0.006449258	148.7045	-9.086655	0.29678857	-0.01085645	0.68807894	-0.022885263	79.0	0.85060614	0.005106743	40000	24.904135704040527
