Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	9.825553	4.7787957	40.0	4.0	0.5866142	5.0086594	101.42107	0.034028944	9.825553	238.75299	0.059688248	0.0021030318	0.042649496	0.4355396	-0.24251048	-0.001642189	0.10797548	0.4824483	-0.39018017	-2.3197493e-09	-0.0077930065	1.9073486e-08	0.0035413655	59.619064	-13.115433	66.62655	-4.405525	0.84999996	-0.02046913	4.0	0.9189385	0.015297763	4000	1.0129880905151367
1	11.108334	5.7025275	42.0	4.0	0.71769357	5.65035	107.18478	0.030754669	11.108334	497.12363	0.062140454	1.0637531	0.3549893	3.0889242	-2.035426	0.5432358	0.52920455	3.3782232	-3.19719	-1.1183626e-08	-0.016639166	9.536743e-09	-0.016144995	64.38781	-30.570896	76.69662	-4.2533646	0.82953084	-0.028269112	79.0	0.91748583	0.0055439887	8000	5.930347681045532
2	12.63924	6.802567	41.0	5.0	0.5090293	1.3099327	20.729239	0.018077668	12.63924	657.985	0.054832082	4.5277414	0.23721446	5.5805726	3.0053313	0.93986017	0.18518706	1.3364887	0.10038987	-3.1906964e-08	-0.004609839	-1.1026859e-08	0.010634394	47.431705	-13.609894	2.7738273	-0.17054462	0.8012617	-0.019873738	6.0	0.90264785	0.019487377	12000	10.444100856781006
3	15.956	9.464146	58.0	5.0	0.65732217	1.8616794	17.027637	0.038018078	15.956	822.36426	0.051397767	7.8146954	0.51256454	9.160097	4.8940763	0.66782975	0.06447671	0.82671124	0.25685403	-1.0693993e-08	-0.0075812745	-6.377697e-09	0.0023166297	67.90673	-8.879513	4.1978426	-0.043333054	0.781388	-0.019770801	5.0	0.9011614	0.018657925	16000	14.814841270446777
4	21.25532	11.2641735	69.0	4.0	0.6579476	1.318097	13.167183	0.02243236	21.25532	946.2648	0.04731324	10.300745	0.8138986	11.680066	5.988669	0.77064717	0.10363275	1.1993191	0.27476963	2.448834e-08	-0.003436363	1.1563301e-08	0.0048485706	85.20608	-7.885788	1.6316289	-0.025224328	0.7616172	-0.019604385	6.0	0.89934194	0.017646499	20000	19.11518621444702
5	25.729033	12.28338	69.0	7.0	0.9024436	1.6981491	13.836546	0.05221761	25.729033	1086.1805	0.045257524	12.751137	1.097928	14.789291	4.949595	0.6715531	0.05747681	0.87786037	0.41751713	8.698917e-09	-0.007152794	7.56979e-09	-0.0039785956	99.19288	-4.818802	2.4474752	-0.082540035	0.7420128	-0.029101431	79.0	0.89718986	0.007993494	24000	23.90847682952881
6	27.76923	12.375643	83.0	6.0	0.96048516	1.4081621	9.4450865	0.019324154	27.76923	1223.5599	0.043698568	14.465675	1.0072521	16.575636	8.823588	0.83256465	0.07795237	1.1541076	0.41128358	-7.882895e-09	-0.007216953	-4.5597552e-09	-0.0069390223	98.87633	-4.9652557	1.3181436	-0.0055783987	0.71291137	-0.01751107	79.0	0.8863326	0.007966991	28000	28.632704734802246
7	30.921875	12.915355	107.0	10.0	0.82896054	0.821969	4.3189816	0.040008422	30.921875	1329.8285	0.04155714	15.159523	1.2086627	16.758173	6.0597115	0.8060087	0.12024411	1.2798316	0.32737035	3.2038039e-09	-0.0040551247	2.682209e-10	-0.0015058992	115.17303	-12.917641	0.45087335	-0.033853382	0.6954003	-0.022124112	79.0	0.86936253	0.005568798	32000	30.932549953460693
8	35.61607	10.201756	69.0	20.0	0.70323384	0.45448822	2.5526853	0.061154902	35.61607	1408.6927	0.039130352	16.127413	2.2225602	18.398003	3.457102	0.6473826	0.077087544	0.92733	0.35090303	2.4568414e-09	-0.0029271452	2.7418137e-09	0.00378588	85.819374	-18.27681	0.14836605	-0.027939722	0.6732762	-0.03087157	79.0	0.85474586	0.002826224	36000	35.29522633552551
9	36.796295	13.156296	95.0	19.0	0.8795634	0.7049216	4.266077	0.018934205	36.796295	1503.9243	0.037598107	16.669687	4.1100917	20.276566	-1.1452873	0.4972568	0.067614675	0.74965274	0.22468762	2.2853449e-08	-0.0038860375	3.1292438e-09	0.00457333	89.363785	-20.038376	0.27160025	-0.011834681	0.6424046	-0.032463074	79.0	0.8519661	0.0043136245	40000	40.036778688430786
10	38.475727	13.136952	105.0	16.0	1.1106521	0.67839146	3.9767637	0.04120373	38.475727	1618.7582	0.036789957	17.527777	5.620621	22.141647	-2.4619334	0.5902908	0.08160483	0.89739484	0.26863006	-4.4244057e-09	-0.0041481224	-5.4240226e-09	0.004505945	73.512985	-15.751095	0.29587734	-0.031959504	0.60994154	-0.029442787	79.0	0.84380025	0.00467079	44000	44.93679594993591
11	44.22222	11.807508	86.0	25.0	1.2829177	0.8420419	6.324549	0.24220271	44.22222	1734.3674	0.036132656	18.462574	7.040593	24.167343	-2.239963	0.76696813	0.04271363	0.9479219	0.5730611	1.15109655e-08	-0.0045601726	-1.3113022e-09	0.004851588	57.38572	-12.390343	0.40176263	-0.014665902	0.58049875	-0.027245998	79.0	0.84350073	0.006279667	48000	49.56665110588074
12	46.458824	14.096768	94.0	23.0	1.3875571	0.62830377	3.218217	0.21802734	46.458824	1852.5763	0.035626467	19.996176	8.214737	26.686386	-1.3006005	0.872084	0.09133956	1.1723002	0.48789638	4.6604076e-09	-0.0030042396	-5.960465e-11	0.0087559	62.557083	-11.117374	0.25854754	-0.006727457	0.55325276	-0.015232742	14.0	0.84614354	0.012436161	52000	53.72643733024597
13	48.864197	13.495087	100.0	28.0	2.2143595	0.97771466	5.519615	0.48098832	48.864197	2033.0245	0.03630401	20.05204	9.576403	28.901497	-1.2868936	0.9037769	0.044520404	1.0335897	0.687988	-1.1750902e-08	-0.004828604	-1.9073487e-09	0.0046341172	48.50205	-7.6486664	0.932353	-0.32770103	0.53802	-0.023118496	79.0	0.8491992	0.0064757997	56000	58.32135772705078
14	53.066666	12.107666	90.0	36.0	2.4467294	0.99001324	5.361497	0.54388833	53.066666	2216.6284	0.03694381	21.850735	10.048666	31.092155	-0.42712748	1.4659104	0.038527038	1.5625249	1.2152864	1.7700265e-09	-0.004376811	-4.053116e-09	0.0053819944	40.484524	-6.5871964	0.6563045	-0.028406918	0.5149015	-0.020268619	79.0	0.85652965	0.006711311	60000	60.60390639305115
15	53.824326	12.543285	88.0	32.0	2.7220135	1.1182379	6.179985	0.6725538	53.824326	2418.1614	0.03778377	22.661083	10.642809	32.873425	0.13544866	1.6035941	0.09523261	1.8679767	1.1111635	6.036387e-09	-0.0035893356	9.804964e-09	0.0038615696	35.222816	-4.1662884	0.79652303	-0.03735906	0.4946329	-0.015460521	79.0	0.855818	0.0036733898	64000	65.38673639297485
16	60.075756	15.500059	120.0	37.0	2.925505	0.95994836	5.602814	1.369078	60.075756	2611.3262	0.038401857	23.876417	11.128878	34.224316	0.7517344	1.8107092	0.119872704	2.127863	1.2482418	-3.5896628e-09	-0.0031988935	8.8214875e-09	0.001240174	52.10489	-8.485928	0.6881756	-0.026669621	0.47917238	-0.009891003	79.0	0.8369932	0.004648572	68000	70.00194239616394
17	64.370964	15.634158	134.0	45.0	2.5678022	0.7707818	4.401724	1.2162952	64.370964	2770.543	0.038479764	26.202492	11.512857	36.465946	0.19857866	1.8776777	0.053467352	1.9948803	1.585376	-5.6317875e-09	-0.003166535	5.4836273e-09	0.0033971963	50.2346	-7.641567	0.5075927	-0.07477304	0.46928138	-0.0101774335	79.0	0.8342175	0.0033380338	72000	74.07550287246704
18	66.830505	19.138348	138.0	36.0	2.7017071	0.8580406	4.8635306	1.1527898	66.830505	2930.6206	0.038560797	26.914133	12.311485	38.13318	-0.0058086514	1.617806	0.08944067	1.8709735	1.2278968	1.7333837e-08	-0.0035674337	-4.768372e-10	0.004467772	59.37763	-7.9289894	0.52170557	-0.0041018724	0.45910394	-0.010051668	79.0	0.81878096	0.004549079	76000	78.33782601356506
19	70.46429	16.546432	124.0	48.0	2.9103925	0.8409814	5.9350758	0.94025326	70.46429	3094.1357	0.038676698	27.965925	13.074419	40.00911	-0.8556889	1.6877666	0.12543985	2.0584354	1.0505258	1.4646752e-09	-0.0029560209	-3.6358834e-09	0.0019718248	46.126884	-5.6523933	0.5388079	-0.034097493	0.44905227	-0.005899042	79.0	0.81651205	0.0035788706	80000	83.00625538825989
20	68.55173	20.344595	184.0	45.0	3.3363316	1.3108191	7.791163	1.1342119	68.55173	3287.737	0.039139725	28.036928	13.499433	41.479748	0.20685479	1.8209739	0.038655587	1.8961312	1.5526254	2.0277255e-09	-0.0055649686	-9.536743e-09	0.00414296	55.372902	-4.3270035	1.1588472	-0.06308031	0.44315323	-0.007426381	79.0	0.78602	0.0067782425	84000	87.48967576026917
21	70.875	15.571337	112.0	47.0	3.1856847	0.9713006	6.108346	1.5174983	70.875	3466.3726	0.039390597	28.75709	13.613855	42.69592	0.32747665	2.0659325	0.06248783	2.190235	1.6319213	-8.8433865e-09	-0.004873421	-3.695488e-09	0.0024841202	31.666224	-3.407341	0.63388634	-0.011418223	0.43572685	-0.0052265823	79.0	0.81381506	0.005750279	88000	89.65973854064941
22	73.98113	18.468218	137.0	46.0	3.4469702	1.1773661	7.4864526	1.7331461	73.98113	3649.6887	0.03967053	29.254839	13.995532	43.537685	0.21995339	2.0129037	0.11525322	2.2773983	1.3235482	1.1592757e-08	-0.0022951406	-1.9073487e-09	0.0053393412	37.457497	-5.4614105	0.8510007	-0.011179447	0.43050027	0.0039076507	4.0	0.805001	0.01423131	92000	93.63140153884888
23	69.333336	11.650364	107.0	52.0	3.6427486	1.0604559	6.455588	1.641225	69.333336	3858.2822	0.04019044	29.375526	14.6495905	45.321552	0.84953105	2.0584178	0.07112006	2.1828144	1.5372539	-6.664287e-09	-0.001790209	4.887581e-09	0.007382888	18.849438	-4.453389	0.82207084	-0.067178845	0.43440792	0.005477309	3.0	0.8051513	0.023399688	96000	97.87066650390625
24	82.75	21.773933	164.0	54.0	3.9472473	1.2501663	7.7653894	1.5402241	82.75	4047.8118	0.040478118	30.671299	14.57111	45.225925	-0.2431432	2.3528328	0.0994951	2.5421133	1.7046185	-1.8100536e-10	-0.002181408	-3.8444994e-09	0.004155733	56.43821	-12.530567	1.0510845	-0.0030741692	0.43988523	0.0068799257	5.0	0.8051572	0.015451406	100000	102.04962277412415
25	89.11364	22.317152	139.0	57.0	4.2726555	1.448116	8.039369	1.6981908	89.11364	4236.3447	0.040734082	33.120914	15.382683	47.88621	0.49442506	2.3094826	0.104791865	2.5089686	1.6169516	1.2010378e-08	-0.006138767	1.0609627e-08	-0.00023929632	49.43101	-8.5097275	1.3050056	-0.03329873	0.44676515	0.003018558	79.0	0.80604976	0.0072151567	104000	105.83614206314087
26	83.291664	17.454653	139.0	56.0	4.626048	1.3624995	8.856944	2.723704	83.291664	4458.396	0.041281443	32.796555	15.846029	49.97877	-0.059146434	2.4402163	0.0787027	2.5569892	1.8299283	-4.9658553e-09	-0.009179601	-3.8146974e-09	-0.0014507072	25.007128	-1.7702637	1.328918	-0.11175144	0.4497837	0.0018763542	79.0	0.80559367	0.010145479	108000	109.67617130279541
27	96.04878	17.81333	145.0	57.0	3.977376	1.095511	6.2509522	2.3983984	96.04878	4621.8555	0.041266568	34.772594	15.558929	50.55132	0.8724083	2.7430673	0.105500445	2.9006245	1.9729978	-1.3748645e-08	-0.0026247287	-8.8214875e-09	0.0027570603	36.77482	-6.359907	0.9488027	-0.23408568	0.45166007	0.010572195	3.0	0.7902824	0.017209925	112000	113.37855815887451
28	95.190475	19.540237	156.0	65.0	4.560141	1.5044678	10.244951	2.0691133	95.190475	4813.3843	0.041494694	35.52089	16.556705	52.611797	0.7550938	2.342731	0.16673549	2.7140975	1.230019	-7.112668e-09	-0.0017459653	-2.3841857e-09	0.010553232	31.148672	-3.8787174	1.3088641	-0.056943893	0.46223226	0.011623323	4.0	0.78976095	0.022524564	116000	117.5861701965332
29	103.23684	26.118591	196.0	72.0	4.4471254	1.4769446	8.399009	1.5705243	103.23684	4983.3076	0.04152756	37.06661	16.940802	53.90799	0.17435282	2.4728308	0.21521123	2.9715621	1.3883133	-1.4290584e-08	-0.0016063263	8.3446505e-10	0.009308592	49.687233	-9.337952	1.2248907	-0.0057085752	0.47385558	0.012358636	6.0	0.7891624	0.012525724	120000	119.50147938728333
30	117.29412	34.56837	203.0	67.0	4.497554	1.4732269	9.286178	2.056532	117.29412	5136.2837	0.041421644	39.63446	17.64162	56.032047	0.8897878	2.4317174	0.25585473	3.0486727	1.18884	1.7505288e-08	-0.0026954967	5.960465e-11	0.0067002205	75.14739	-14.040283	1.4111987	-0.07298708	0.48621422	0.013439655	4.0	0.7896803	0.01636505	124000	123.44021511077881
31	105.54054	20.794483	170.0	76.0	6.3579097	1.7160254	9.981073	2.8428094	105.54054	5371.829	0.041967414	38.708054	18.677061	58.708134	0.84149706	2.2971947	0.104829706	2.4172046	1.6409985	-7.3957085e-09	-0.0022260193	1.3113022e-08	0.003909301	28.733828	-4.190508	3.326227	-1.3567946	0.49965388	0.01480484	4.0	0.7902989	0.0103591215	128000	127.70181512832642
32	121.181816	20.353624	152.0	79.0	5.311625	1.6134484	9.801283	3.0764413	121.181816	5547.1133	0.042023584	41.169342	18.113226	59.326984	1.1913207	3.4557164	0.15726697	3.708727	2.4077418	1.5031342e-08	-0.0024630069	2.771616e-09	0.005377728	33.480957	-5.3874817	1.8858116	-0.4594065	0.5144587	0.015724838	5.0	0.7899478	0.017108088	132000	131.53525161743164
