Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.700788	10.167352	69.0	5.0	1.7275126	8.594543	102.62915	0.026576938	15.700788	439.02554	0.10975639	-0.0023936997	0.11094727	0.41759598	-0.3776054	0.003949156	0.14936702	0.5060091	-0.51655555	-3.2186522e-09	-0.030701147	3.2544136e-08	-0.068272926	184.7225	-22.33638	133.94077	-8.704178	0.84999996	-0.018907547	7.0	0.9189385	0.015907196	4000	2.9472925662994385
1	17.08547	9.0568695	53.0	5.0	1.307528	6.7585087	96.40124	0.023439357	17.08547	744.9881	0.09312351	1.0243137	0.37322944	2.6267822	-0.76984	0.5868556	0.6700268	3.4029765	-2.5388641	1.9875728e-08	-0.041598782	1.9073487e-09	-0.09241028	146.89722	-56.551903	81.66113	-5.577217	0.8310924	-0.017109513	8.0	0.9212775	0.018979166	8000	5.357614994049072
2	18.331797	8.796761	60.0	5.0	0.40046284	0.7388663	9.042432	0.03024691	18.331797	831.9951	0.06933293	4.6308513	0.26224574	5.4994144	3.482694	1.2514089	0.06159751	1.4244539	0.9397139	4.202911e-08	-0.0034094066	5.4121017e-08	-0.0009846297	94.18232	-34.419765	1.3807738	-0.6845078	0.8139829	-0.016196012	9.0	0.9238239	0.015044729	12000	7.891895294189453
3	19.885	9.12972	59.0	6.0	0.34047028	0.6174536	6.634543	0.013604562	19.885	900.30133	0.056268834	8.7190895	0.4104361	10.10675	6.8668203	0.75720704	0.084189475	1.0441272	0.44451877	2.7825894e-08	-0.006416138	1.9371509e-08	0.0032228825	68.34648	-7.843403	0.6088549	-0.16821164	0.7977869	-0.02425313	79.0	0.92402637	0.0046501285	16000	10.652760028839111
4	21.84153	8.685899	58.0	7.0	0.37743583	0.51501745	4.5752726	0.009743088	21.84153	969.3788	0.04846894	10.9372015	0.75022334	12.719554	6.838886	0.5127815	0.11731107	0.92063934	0.10702592	5.9592717e-09	-0.004840267	3.3378602e-09	0.0034184307	61.20249	-1.5245781	0.28530505	-0.044176638	0.77353376	-0.019105494	10.0	0.91258025	0.014702431	20000	12.991792917251587
5	26.06536	9.967708	85.0	11.0	0.40014213	0.6537802	4.3198767	0.010339336	26.06536	1030.6704	0.0429446	11.890301	0.44868046	13.409583	9.4532	0.40412635	0.09368062	0.7349802	0.034978174	-1.6859962e-08	-0.005438516	-1.7881394e-10	0.0034976911	83.92436	-4.826584	0.31696132	-0.006663054	0.75442827	-0.027685225	79.0	0.9110325	0.0045105456	24000	15.7695894241333
6	29.481482	12.539036	75.0	8.0	0.548865	0.73095953	4.7552547	0.0073162215	29.481482	1105.0491	0.03946604	13.468741	1.0952111	15.736719	5.7745686	0.35348225	0.0910317	0.6830223	0.045913056	1.0600402e-08	-0.0056848517	-2.384186e-10	0.003318028	109.18534	-9.830635	0.3899032	-0.009053141	0.72674304	-0.028584301	79.0	0.9206002	0.004788863	28000	18.828200817108154
7	32.225807	13.321	78.0	10.0	0.7223133	0.7255015	3.0408914	0.027156884	32.225807	1194.6166	0.037331767	15.515887	2.4665067	18.800148	0.5100069	0.41891906	0.07671695	0.67630965	0.14790721	-2.6195692e-09	-0.004653992	-5.662441e-10	0.004251454	118.771065	-5.7832184	0.3772682	-0.041454315	0.69815874	-0.027411819	79.0	0.91808367	0.00448233	32000	21.539368391036987
8	35.49107	12.10519	77.0	18.0	0.9439129	0.93292135	6.0600524	0.015435248	35.49107	1300.5646	0.036126792	16.96921	3.0831993	19.823124	-5.8061037	0.52164656	0.038167316	0.6035676	0.33093968	-7.4879225e-10	-0.0029490788	-4.708767e-09	-0.0008871438	113.509026	-3.4449234	0.5550729	-0.026041925	0.6707469	-0.020584881	79.0	0.92475957	0.0036712943	36000	24.13144826889038
9	38.843136	11.829462	72.0	12.0	0.9314071	0.68156594	3.3669548	0.05964653	38.843136	1395.7316	0.03489329	17.533144	3.8363738	20.187649	-9.8366995	0.63583803	0.05048472	0.7704289	0.39227584	1.0057739e-09	-0.0043307277	-1.847744e-09	0.0012874183	113.66855	-3.8346786	0.26008353	-0.007873803	0.65016204	-0.02344805	79.0	0.93393576	0.0052524772	40000	26.702332258224487
10	39.435642	12.850563	108.0	20.0	1.0490505	0.61572516	3.0825846	0.025987014	39.435642	1501.7214	0.034130033	18.651567	4.1307645	21.075169	-12.467739	0.6594844	0.10209828	0.96124357	0.2805287	1.1916277e-08	-0.0027529674	3.1590461e-09	0.0013704429	118.84186	-1.3989334	0.23362027	-0.0063364953	0.626714	-0.021785855	79.0	0.9110277	0.003463109	44000	27.528731107711792
11	44.41111	14.17423	94.0	24.0	1.0827966	0.523619	2.5704722	0.18170351	44.41111	1599.1926	0.03331651	19.41121	4.37332	21.505968	-13.402048	0.7005832	0.07803367	0.9400122	0.4014441	2.2631461e-09	-0.0014977771	1.6689301e-09	0.0006412955	143.6897	-3.5061493	0.17479908	-0.0036337078	0.60492814	-0.018294454	79.0	0.89767754	0.002173433	48000	30.580050945281982
