Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	16.512396	10.367715	66.0	5.0	2.2367685	11.018687	106.2318	0.011868276	16.512396	541.3271	0.13533176	-0.0073895636	0.11188988	0.44660494	-0.45551682	-0.0018993123	0.14777574	0.49472168	-0.5277644	7.629395e-08	-0.027829314	1.2397766e-07	-0.058553614	190.90158	-22.035614	206.86241	-6.9839783	0.84999996	0.021439195	8.0	0.9189385	0.014882914	4000	2.5746994018554688
1	16.256098	9.473726	85.0	5.0	0.5199051	1.3231088	13.17612	0.035867743	16.256098	669.24	0.083655	0.9672286	0.44726816	2.7286365	-0.63407147	0.8493683	0.4308136	2.1539896	-0.6844848	3.4870333e-09	-0.0036034945	-8.106232e-09	0.0046946043	154.86044	-53.165146	2.5606005	-0.2760384	0.87143916	-0.012021661	10.0	0.91625416	0.014673695	8000	4.740056276321411
2	19.330097	8.975033	52.0	5.0	0.4550169	0.8555943	7.360421	0.021784052	19.330097	763.023	0.06358525	4.4228544	0.47204486	7.16856	1.3167443	0.85183394	0.14649832	1.3017168	0.3273842	-4.1571205e-08	-0.0055032847	-7.2717667e-09	0.0034543816	103.314575	-40.93441	0.9538828	-0.15618521	0.8594175	-0.01650858	10.0	0.9140994	0.0142320255	12000	6.883965730667114
3	22.867817	10.808139	64.0	8.0	0.4652827	0.91499937	8.377429	0.022509558	22.867817	844.1138	0.05275711	8.858177	0.2956902	10.247495	7.096085	0.62614256	0.11263167	1.0301048	0.13364677	-1.9083364e-10	-0.0056896107	-4.1723253e-10	0.004958865	97.736	-17.235123	0.7968679	-0.039222658	0.8429089	-0.029247105	79.0	0.9127548	0.00542667	16000	9.30144476890564
4	24.127274	12.231189	76.0	7.0	0.64096117	1.1360925	6.71307	0.016775731	24.127274	949.9431	0.047497157	12.011179	0.89842963	14.745613	5.9209146	0.5190679	0.13373858	1.1646017	-0.14659809	8.085431e-09	-0.0075882203	-5.1259996e-09	0.009451796	103.0602	-4.689049	1.1383344	-0.022960901	0.8136618	-0.034124732	79.0	0.90994966	0.005630149	20000	11.593074083328247
5	29.791044	13.005208	76.0	8.0	0.9755045	1.4668195	10.390493	0.037426826	29.791044	1080.6852	0.04502855	13.553037	0.17047918	13.906771	12.193802	0.56989264	0.06641019	0.82067215	0.22201464	1.3043177e-08	-0.004744143	-2.95043e-09	0.007876681	116.05458	-9.324051	1.502294	-0.108311415	0.7795371	-0.029046535	79.0	0.9126885	0.0045698173	24000	13.924583911895752
6	33.74576	11.804327	77.0	11.0	1.8605732	2.3519554	15.412191	0.055347085	33.74576	1300.6173	0.04645062	15.217677	1.8371644	18.189236	1.8098509	0.75459987	0.17613529	1.3391384	0.19232033	9.498339e-09	-0.0042684358	2.43783e-08	-0.032383304	105.448425	-9.279358	4.0886574	-0.58435965	0.75049055	-0.015229404	14.0	0.9118615	0.014106265	28000	16.03967547416687
7	34.232758	13.48777	93.0	9.0	1.102837	1.0693073	5.9511123	0.027662436	34.232758	1428.6963	0.04464676	16.54691	3.3719704	20.0083	-7.0471234	1.4594717	0.07974275	1.6896535	1.0984403	1.5456552e-08	-0.0020674777	2.8371812e-08	0.0024451702	110.61036	-4.728325	1.0185356	-0.37000453	0.73526114	-0.016901135	79.0	0.9109512	0.0027857	32000	18.40347933769226
8	34.66087	12.417299	82.0	13.0	0.96642643	0.80415124	4.137421	0.039880093	34.66087	1539.863	0.042773973	17.09306	4.4528847	20.939734	-9.040509	0.89915574	0.04799961	1.0440671	0.6513514	-3.988565e-09	-0.0030513208	-1.9073487e-09	0.0075754724	92.49654	-2.2700195	0.40250075	-0.03715107	0.71836	-0.025078356	79.0	0.9107284	0.0042455276	36000	20.822436809539795
9	36.59633	10.088707	58.0	14.0	1.4259435	1.1674681	5.115751	0.035555344	36.59633	1695.3112	0.04238278	17.744812	5.5675716	21.429161	-15.730106	0.75152683	0.05385766	0.92076033	0.53893113	7.1306188e-09	-0.00363882	-1.2159347e-08	0.0036662116	89.757744	-1.8605118	0.9138532	-0.09169948	0.69328165	-0.021423817	79.0	0.9142807	0.0052483035	40000	23.26588201522827
10	42.351063	15.373165	103.0	21.0	1.4835868	1.1506938	7.315818	0.075148255	42.351063	1834.7964	0.041699916	18.12584	4.3983645	20.94833	-9.988445	1.0280495	0.061978847	1.2224976	0.79125977	-5.577218e-09	-0.0033893015	-5.00679e-09	0.0045519443	149.54163	-7.849533	0.7635868	-0.024368167	0.67185783	-0.021902144	79.0	0.8952381	0.003244911	44000	25.7967848777771
11	44.344444	11.847326	82.0	23.0	1.6995742	1.052214	5.398605	0.07394513	44.344444	1987.8257	0.041413035	20.398273	4.351401	22.599674	-12.793733	1.023117	0.108247675	1.3456129	0.5383711	1.632837e-09	-0.0043064	4.768372e-10	-0.00011444271	124.41863	-1.1739578	0.691452	-0.022286832	0.6499557	-0.01827389	79.0	0.9024763	0.00459459	48000	28.267539739608765
