Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
0,15.260536,9.438302,65.0,4.0,1.5346334,9.938601,114.235954,0.014288393,15.260536,400.64725,0.10016181,-0.000680318,0.10831055,0.38909698,-0.4165443,0.003936118,0.14944996,0.47908977,-0.47373274,-1.752699e-08,-0.038188007,-4.7683717e-08,-0.089302704,165.47054,-21.25798,152.23346,-4.1683044,0.84999996,-0.018334508,10.0,0.9189385,0.014450763,4000,2.6406502723693848,2
1,15.5,8.233628,54.0,5.0,0.5300492,1.4466891,15.80161,0.030096842,15.5,537.4012,0.06717515,1.098386,0.12584263,1.4305546,0.5965702,1.0355803,0.21991956,1.8750056,0.22099824,2.0959213e-08,-0.0059889397,-8.881092e-09,-0.003257052,122.797775,-47.46704,2.9622505,-0.23866153,0.83166546,-0.0167467,12.0,0.9156457,0.014008892,8000,4.9976537227630615,0
2,16.7479,8.216828,52.0,5.0,0.3330904,0.39323583,3.0155134,0.025246337,16.7479,616.68646,0.05139054,4.533406,0.3866111,5.8951435,2.7753563,0.749797,0.054066442,0.9164526,0.46529305,-7.1366997e-09,-0.0042792596,-2.759695e-08,0.002486306,79.55306,-28.448772,0.40175653,-0.20997667,0.81491876,-0.01832521,10.0,0.9125826,0.013725127,12000,7.305829048156738,0
3,19.772278,8.152484,52.0,5.0,0.31512907,0.33792666,2.9797027,0.011456725,19.772278,680.3511,0.042521942,8.468886,0.8471041,10.897057,4.2869473,0.43456647,0.03979498,0.63876814,0.19724298,8.669134e-09,-0.0052346126,5.185604e-09,0.0029286125,59.730137,-7.529274,0.13862143,-0.033867404,0.79659355,-0.018967569,11.0,0.9104968,0.013251896,16000,9.883265256881714,0
4,23.25,9.857193,56.0,7.0,0.39227274,0.52629983,3.780512,0.011526493,23.25,747.8234,0.03739117,10.645508,0.1469835,11.240687,9.593319,0.31789607,0.018288208,0.4581951,0.17082034,-5.072433e-09,-0.006830633,2.0861626e-10,0.001915856,75.183655,-5.2870636,0.23127662,-0.0004425645,0.777626,-0.026766658,79.0,0.90863174,0.0058551664,20000,13.07439422607422,0
5,27.19863,11.208252,67.0,11.0,0.5617603,0.7624119,4.018112,0.011519144,27.19863,830.0764,0.03458652,12.623227,0.38031918,13.543826,10.612454,0.3111759,0.033595942,0.49413532,0.13016872,1.43002e-08,-0.004809648,4.2915342e-09,0.003200298,93.54039,-9.026054,0.4427161,-0.032544762,0.7508593,-0.026970983,79.0,0.9078472,0.0034079524,24000,16.411364555358887,0
6,29.902256,12.307992,73.0,10.0,0.6859774,1.2539531,11.44128,0.012482173,29.902256,921.56366,0.03291299,14.264729,1.7407871,17.926908,1.6500927,0.41358593,0.124651946,0.9326717,-0.2498676,-9.2624255e-09,-0.0041119326,-1.9669533e-09,0.0001210646,102.07446,-8.725647,1.4189334,-0.1636684,0.72388834,-0.018527567,9.0,0.90240425,0.012945633,28000,18.80938196182251,0
7,29.61194,10.60126,68.0,10.0,0.69782716,0.95232165,6.4867144,0.021970818,29.61194,1015.72217,0.031741317,15.939097,3.80846,19.422293,-12.976814,0.5893054,0.22563209,1.32896,-0.39967445,-2.6091647e-09,-0.005005572,7.212162e-09,0.0027164975,93.34674,-3.7280731,0.7814605,-0.21808249,0.7053608,-0.025572777,79.0,0.9001178,0.003851426,32000,21.67795729637146,0
8,34.91228,12.6834345,94.0,17.0,0.91862965,0.81970847,3.291935,0.022928888,34.91228,1120.5001,0.031125003,15.720961,2.6524227,18.509108,-0.07854554,0.59124523,0.2595985,1.4169741,-0.22115786,-6.909304e-09,-0.0043435423,-2.384186e-10,0.0013740589,118.49326,-7.4403915,0.43582147,-0.0452455,0.679788,-0.024448514,79.0,0.8991647,0.004239786,36000,24.525922775268555,0
9,38.53398,12.5797,78.0,17.0,0.9162192,0.7811636,4.715065,0.027033536,38.53398,1215.8793,0.030396981,17.364891,3.769735,19.89658,-8.32458,0.679528,0.07126825,0.8730639,0.4387505,-2.9966647e-09,-0.002878295,6.437302e-09,0.0030750472,118.44244,-3.7129364,0.34160364,-0.0090893805,0.6553395,-0.02336663,79.0,0.87689865,0.0032380887,40000,27.46722722053528,0
