Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.2091255	7.5009503	58.0	5.0	0.2950168	0.3873856	5.580737	0.015085246	15.2091255	77.58941	0.019397352	-0.005546271	0.21877508	0.5804197	-0.64559746	0.0028503754	0.06856558	0.29191223	-0.28675202	1.2683869e-07	-0.012463636	3.963709e-09	-0.0014293958	130.24742	-20.769257	0.2635793	-0.0550247	0	0	6.0	0.9189385	0.015621344	4000	4.675575017929077
1	17.467249	7.7940197	45.0	5.0	0.3170776	0.3785522	3.023541	0.02702818	17.467249	150.20018	0.018775022	1.2057527	0.1157395	1.9996976	0.7080036	0.23160161	0.08510733	0.8523078	-0.18557264	4.673004e-08	-0.017084688	5.960465e-11	0.003447174	127.30616	-54.667877	0.12457914	-0.0010165647	0	0	79.0	0.9169222	0.009024063	8000	9.543038845062256
2	21.126984	10.539659	64.0	7.0	0.3862228	0.5386508	4.117996	0.022223247	21.126984	223.20198	0.018600166	5.04779	0.70699537	8.305295	0.70404744	0.23344582	0.12437589	0.87764794	-0.45018765	3.194809e-08	-0.016828168	7.1525574e-10	0.008675519	130.51826	-49.385315	0.28871167	-0.036391616	0	0	27.0	0.9181792	0.013136436	12000	14.160374164581299
3	29.444445	14.600186	83.0	6.0	1.1572629	1.7683902	10.926851	0.02172617	29.444445	379.65723	0.023728577	9.983516	0.41655824	11.656791	6.6302485	0.31914133	0.08819114	0.8104798	-0.17566088	-2.0742416e-08	-0.015293529	3.8713218e-08	0.032951012	163.5616	-38.913315	2.6018145	-0.47309446	0	0	16.0	0.91620225	0.013411047	16000	18.596893548965454
4	38.53398	17.80303	101.0	7.0	7.2509823	16.262262	110.47887	0.01653099	38.53398	1127.5665	0.056378327	14.520222	0.7042275	16.232197	10.1551	1.0063503	0.04019547	1.1376946	0.6616425	-1.9311905e-08	-0.010614315	7.677078e-08	0.17479579	193.47424	-30.678116	208.37721	-29.46196	0	0	11.0	0.91997135	0.013057947	20000	20.54556655883789
5	47.214287	18.039026	96.0	10.0	15.958687	22.236626	88.99704	0.03561131	47.214287	2472.4236	0.10301765	18.065107	0.59121096	19.332039	14.671969	6.38538	1.2206274	9.700186	1.0441794	3.170967e-08	-0.012331932	2.8991698e-07	0.13913415	199.41922	-30.540863	328.7491	-39.52185	0	0	79.0	0.920516	0.0068209795	24000	25.221575498580933
6	55.40278	16.884954	109.0	10.0	25.75271	27.337769	102.67954	0.20458561	55.40278	4326.679	0.15452425	20.29654	3.2678742	22.597033	0.7184182	12.688183	0.47545195	13.849246	10.765272	-1.6629697e-08	-0.009626179	1.6212464e-08	0.13766494	208.0036	-24.908188	452.94	-39.266388	0	0	79.0	0.9290863	0.006051789	28000	29.968889236450195
7	65.47541	21.429722	143.0	8.0	31.292067	29.663204	104.43787	0.20496817	65.47541	6235.508	0.19485962	22.461538	4.0497622	24.539581	-4.010588	17.608835	1.6002475	20.13396	6.3466516	-3.671646e-08	-0.008141828	-2.0885467e-07	0.11134269	267.14505	-40.26233	470.00247	-10.114166	0	0	79.0	0.9381068	0.004216901	32000	34.53974151611328
8	73.57407	26.468431	145.0	32.0	37.27774	31.785074	111.74268	1.1405387	73.57407	8249.157	0.22914326	24.929646	4.0658555	26.983612	-4.8603826	19.774239	0.5024199	20.735512	16.18892	-1.6689301e-09	-0.009872251	-1.01089476e-07	0.13052435	311.75275	-54.300964	487.31668	-9.528046	0	0	79.0	0.9421982	0.005377249	36000	39.29400944709778
9	76.90196	23.227987	144.0	40.0	44.13131	29.486088	100.897354	2.9490824	76.90196	10510.705	0.2627676	26.533852	4.872531	29.613081	-4.242001	22.313828	0.24360316	22.972906	20.535456	1.0251999e-08	-0.009783452	1.7642975e-07	0.10047899	254.55692	-47.126877	445.9858	-22.78482	0	0	79.0	0.9509096	0.005647855	40000	44.00882411003113
