Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.888712	9.811921	68.0	4.0	0.4900606	1.7175897	20.833538	0.012001413	15.888712	308.30655	0.030830655	-0.0042162584	0.11448614	0.48958746	-0.52475965	0.0038138845	0.1519291	0.59849703	-0.6730328	-1.6784668e-07	-0.017091453	-6.866455e-09	0.011565588	175.63686	-21.927994	4.694163	-0.5808182	0	0	5.0	0.9189385	0.017146543	10000	10.381378650665283
1	19.821428	12.068417	85.0	4.0	0.7991415	2.388631	19.306004	0.003436626	19.821428	711.0792	0.035553962	1.0817834	0.13958931	1.6008633	0.39930406	0.6388008	0.15758564	1.3031846	-0.015518939	-5.9509276e-08	-0.018967286	1.8310548e-08	0.02443341	224.28165	-75.22069	6.8475733	-0.48021364	0	0	7.0	0.9171799	0.017753731	20000	20.695778846740723
2	27.994383	17.110184	99.0	7.0	2.146981	4.374499	24.657393	0.0066997455	27.994383	1475.6064	0.04918688	4.976369	0.82373214	7.579652	0.2452479	1.1502731	0.4097626	2.700186	-0.6790125	-4.8828124e-08	-0.013713905	3.6621095e-08	0.043057054	293.11646	-108.018585	17.801132	-2.5977573	0	0	8.0	0.9148964	0.013743128	30000	29.220250368118286
3	34.53979	20.403694	109.0	7.0	3.968391	5.9784575	35.38783	0.012207552	34.53979	2622.486	0.06556215	10.831191	0.4068471	11.664199	6.69065	2.6814208	0.25165823	3.7047226	1.3239686	-3.5858154e-08	-0.012570001	1.2207031e-08	0.057495993	265.94217	-62.27002	23.65673	-2.210617	0	0	10.0	0.9127839	0.013238603	40000	39.59600281715393
4	47.889423	22.182207	118.0	9.0	6.9991302	6.945336	31.744495	0.02638117	47.889423	4080.6223	0.081612445	15.129072	0.55527455	16.35255	10.808216	4.101338	0.3529306	4.943125	0.83359224	-3.5858154e-08	-0.01636357	1.8310548e-08	0.047500584	298.5069	-55.96324	25.209429	-1.9605198	0	0	79.0	0.91040385	0.006471492	50000	50.66509175300598
5	66.77853	28.593153	151.0	12.0	9.973921	7.409399	31.71871	0.02583527	66.77853	5570.6133	0.092843555	18.229609	2.01019	20.384699	-0.67918456	5.4469585	0.32419503	6.0906563	2.3665547	-2.4414062e-08	-0.01428209	0.0	0.03898739	453.1905	-79.1626	24.915321	-0.925251	0	0	79.0	0.90810966	0.0064085717	60000	59.828922748565674
6	85.72414	36.490097	206.0	27.0	12.573416	6.4606733	28.144337	0.07880412	85.72414	7034.3086	0.10049012	21.540657	2.5879123	23.344862	-9.919355	6.3237123	0.45670366	7.021151	1.75666	-7.6293944e-08	-0.008208947	-3.051758e-08	0.01770548	606.1081	-89.1109	19.480062	-0.43566322	0	0	79.0	0.90515107	0.0044971546	70000	70.92261791229248
7	119.0119	63.78993	329.0	41.0	14.878332	5.441419	33.541553	4.2995977	119.0119	8284.091	0.103551134	24.752047	3.0823736	26.14909	-15.08027	6.77156	0.550589	7.7309327	2.385962	-3.3569336e-08	-0.005983651	-1.525879e-08	0.0070934757	1049.5244	-137.91412	17.780502	-0.24230194	0	0	79.0	0.9004683	0.0035421967	80000	81.96763157844543
8	153.46875	76.992485	481.0	36.0	16.732685	8.473695	38.44868	1.9792098	153.46875	9356.835	0.103964835	28.275806	2.474507	29.277527	-9.958274	6.5352592	0.5633847	7.4303617	2.3880868	-2.4414062e-08	-0.005256714	3.051758e-08	0.008681756	1238.524	-144.84387	21.0242	-0.69705963	0	0	79.0	0.91322225	0.0025467635	90000	91.08605909347534
9	183.0	97.54524	515.0	34.0	18.307833	8.622713	42.962753	0.5351028	183.0	10358.877	0.10358877	31.156559	3.2160757	32.20915	-14.069477	6.400874	0.75594807	8.585749	1.791451	9.765625e-08	-0.0053924075	-2.4414062e-08	0.0030204651	1387.901	-145.67224	19.927752	-0.6740322	0	0	79.0	0.9193854	0.0035921752	100000	102.08548641204834
10	265.80554	193.23271	799.0	54.0	19.694485	9.471209	36.400036	1.7461028	265.80554	11075.245	0.10068405	34.30606	2.7470248	34.93515	-15.162678	6.4357586	0.50723785	7.4798455	3.0117702	-3.5476685e-08	-0.005504348	6.1035155e-09	0.0029571962	2053.645	-212.18787	20.54821	-2.966711	0	0	79.0	0.9306003	0.0026710716	110000	113.40569472312927
11	381.46155	304.2909	1000.0	58.0	18.651554	9.106021	39.467773	4.8118906	381.46155	11561.317	0.096344315	37.822693	0.4388258	37.90647	12.535059	4.7480874	0.49700484	5.8094454	2.3558362	-5.493164e-08	-0.004230774	-6.1035155e-09	-0.003207544	2328.184	-225.91016	14.941056	-2.0745592	0	0	79.0	0.9217181	0.0035502857	120000	122.51859164237976
12	777.0833	336.26315	1000.0	116.0	18.126242	10.57733	37.110905	1.7061121	777.0833	11792.371	0.09071055	40.679405	0.25033057	40.775726	28.76662	3.1959884	0.7356685	5.0355844	0.5171494	4.5776368e-08	-0.0060185515	0.0	0.0033470185	2824.118	-297.7256	7.3633094	-2.017095	0	0	79.0	0.9199613	0.0043569016	130000	133.64331674575806
13	867.9091	262.74823	1000.0	289.0	17.695871	6.237481	32.51429	11.40758	867.9091	11992.552	0.08566108	43.743526	0.028497659	43.772938	43.24805	2.0086298	0.16161704	2.405012	1.1678978	2.532959e-07	-0.0027892163	0.0	0.0006510269	2565.2483	-243.42505	3.7094035	-0.08434677	0	0	79.0	0.9285552	0.00319576	140000	144.81912302970886
