Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.279694	9.010122	49.0	4.0	3.243816	15.426511	128.74055	0.07401396	15.279694	847.08386	0.21177097	0.00025698423	0.10954983	0.38738245	-0.41121483	0.004620789	0.15013228	0.5090536	-0.5189087	-5.2213668e-08	-0.0209885	6.771088e-08	0.08056468	154.60446	-20.51236	379.63742	-13.727631	0	0	5.0	0.9189385	0.018727493	4000	4.047831058502197
1	20.065327	11.289732	59.0	5.0	6.8647447	22.574425	120.338936	0.047297727	20.065327	2213.4407	0.27668008	1.0122125	0.6947157	3.7927396	-2.1798177	0.69602025	0.8514905	4.2131643	-3.4099994	3.0755995e-08	-0.0111690825	5.2165984e-07	0.1541215	207.92807	-73.68387	652.911	-40.57556	0	0	7.0	0.91725147	0.01379513	8000	7.903537034988403
2	24.937107	15.293229	111.0	5.0	8.360408	23.115395	130.16144	0.0722054	24.937107	3543.319	0.29527658	4.822707	0.4828282	6.2207885	2.676132	3.4370148	0.89220154	7.064257	-0.6249263	9.1910366e-08	-0.017184535	2.4700165e-07	0.17316549	243.2848	-86.75569	581.4135	-54.386536	0	0	9.0	0.91496044	0.015586413	12000	11.833628416061401
3	34.61739	16.640749	99.0	10.0	25.875032	39.178135	125.50038	0.0078622075	34.61739	6519.4023	0.40746266	10.462339	0.7983447	12.406917	6.3028307	8.453258	1.965426	13.503749	-1.0203001	9.059906e-09	-0.013446696	2.07901e-07	0.34035063	219.13213	-53.80641	1311.0392	-202.08398	0	0	13.0	0.9121618	0.0123956725	16000	15.818540811538696
4	43.195652	18.503372	98.0	12.0	53.078636	45.605946	150.53532	0.064835764	43.195652	11402.797	0.5701398	14.769131	0.4482593	15.77321	12.480872	16.137537	0.6062487	17.502367	13.313487	1.4305115e-09	-0.01295764	9.19342e-07	0.23708725	229.87901	-35.42282	1862.0496	-287.42944	0	0	79.0	0.90849024	0.006522613	20000	20.168891668319702
5	58.367645	23.872149	147.0	21.0	70.15334	41.922577	187.81638	0.43909472	58.367645	16176.757	0.67403156	17.991922	0.3090366	18.83617	16.751379	21.904345	0.1390734	22.258284	21.223452	1.2040139e-08	-0.008747893	1.8310547e-07	0.0938137	349.02933	-64.27908	1544.8536	-137.07288	0	0	79.0	0.9058629	0.003775231	24000	24.456796646118164
6	67.72881	29.510601	138.0	12.0	68.80716	31.94982	128.99294	0.44268194	67.72881	20236.393	0.7227283	20.609941	2.2155788	22.65271	3.4467819	24.995201	0.060931344	25.138891	24.655972	-2.6106834e-08	-0.009211096	1.1720657e-06	0.03406317	406.0047	-68.56641	902.98987	-71.58142	0	0	79.0	0.9080025	0.0054677795	28000	28.831342935562134
7	92.0	55.93185	281.0	13.0	72.7934	27.129595	129.60411	0.46786866	92.0	23369.055	0.73028296	24.080652	2.9424393	25.472586	-4.799855	27.033762	0.07703387	27.216446	26.631557	5.00679e-09	-0.0046593235	-2.4223328e-07	-0.015707403	809.7875	-103.54169	622.6285	-21.923279	0	0	79.0	0.8913873	0.0028639655	32000	33.3485643863678
8	110.05556	59.00845	285.0	35.0	73.49655	30.256828	140.47218	5.4613686	110.05556	26022.209	0.7228391	27.534288	2.645477	28.61346	1.7442019	28.209005	0.040958557	28.312168	28.043745	-2.1457671e-09	-0.004791959	-2.002716e-07	-0.019308602	835.81085	-91.54431	573.1028	-7.5113525	0	0	79.0	0.8946871	0.0032180657	36000	37.761908531188965
9	133.86208	66.74126	279.0	40.0	63.568764	23.6397	109.13968	26.092915	133.86208	27881.553	0.6970388	30.26526	2.8588707	31.356989	-3.0696805	28.901	0.02923635	28.979214	28.768587	-4.529953e-09	-0.008610868	-1.8835069e-08	-0.08077123	965.8283	-104.31799	326.51312	-0.69299316	0	0	79.0	0.880373	0.0055519524	40000	42.153053522109985
