Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	14.964072	8.565976	59.0	5.0	1.2691652	7.879162	101.55653	0.017716752	14.964072	423.90546	0.08478109	-0.001124103	0.106386274	0.4121219	-0.35599077	0.0046293796	0.15075359	0.50169855	-0.48982665	5.3787232e-08	-0.017793937	-9.002686e-08	0.04607239	146.8198	-19.710243	110.42075	-7.5528564	0	0	5.0	0.9189385	0.017395087	5000	1.1525123119354248
1	19.142307	10.970894	55.0	4.0	3.4921665	14.6571045	112.51334	0.02519027	19.142307	1332.0962	0.13320962	1.0099812	0.73206866	3.9647624	-2.0357542	0.64655983	0.8943716	4.4523425	-2.947066	3.1661987e-08	-0.01813048	-4.0817262e-08	0.09658771	193.50978	-69.95873	317.32523	-19.061005	0	0	7.0	0.9172116	0.016501626	10000	4.318256139755249
2	27.694445	17.919292	126.0	5.0	8.912819	22.592054	115.62368	0.018705249	27.694445	2936.4822	0.19576548	4.7683744	0.65184605	6.5477586	1.7371013	2.4853663	0.56672555	4.1374526	0.19529834	-6.64711e-08	-0.0146898385	3.5476685e-07	0.22436136	316.68976	-115.06073	542.2908	-79.192566	0	0	9.0	0.91504574	0.015103331	15000	7.290583372116089
3	37.089554	20.671728	112.0	8.0	19.240135	32.740345	111.442986	0.025176115	37.089554	5515.701	0.27578506	10.945075	0.30628976	11.655114	8.8316765	7.808878	1.4302542	11.958282	0.57236826	-2.0599366e-08	-0.01599278	2.1438599e-07	0.13332695	284.94147	-70.46777	868.4035	-126.5365	0	0	11.0	0.91261774	0.013555694	20000	10.257882595062256
4	45.74312	22.472164	112.0	9.0	41.415886	41.92307	121.02261	0.055857938	45.74312	10030.044	0.40120175	15.124078	1.3644774	17.37096	8.874286	14.7717285	0.48212782	15.775344	11.52946	5.9700014e-08	-0.015296982	4.9743653e-07	0.21938893	278.55328	-52.31938	1348.3044	-211.55786	0	0	79.0	0.90948254	0.0063455873	25000	13.52049446105957
5	73.411766	35.9138	172.0	6.0	57.573536	40.048836	174.56842	0.096071534	73.411766	13945.092	0.4648364	17.507765	3.0849898	20.58023	1.4526765	20.920687	0.45050117	21.751892	18.042795	6.456375e-08	-0.009226242	-4.0740966e-07	0.06463773	602.721	-117.972015	916.4588	-70.359314	0	0	79.0	0.91302407	0.0042312937	30000	16.763030290603638
6	82.96667	42.765236	224.0	11.0	58.399643	35.847015	123.98461	0.11380938	82.96667	17449.402	0.49855435	22.762083	1.9352227	23.845566	3.4195447	23.710518	0.3286174	24.260145	22.163067	2.7656555e-09	-0.008275822	-1.5335083e-07	0.06278453	639.81616	-72.05896	755.2583	-27.596619	0	0	79.0	0.89518523	0.004289856	35000	20.0063157081604
7	103.145836	47.737556	312.0	35.0	68.516914	32.2601	168.3254	13.933565	103.145836	20741.266	0.5185316	24.811474	3.6999547	26.352413	-14.39036	25.395065	0.18802652	25.77044	24.168112	-1.3303756e-08	-0.00605747	4.5661926e-07	-0.053201813	736.54156	-83.507385	599.8364	-26.098938	0	0	79.0	0.8952659	0.004486733	40000	23.363547801971436
8	101.104164	38.975014	221.0	42.0	66.979546	27.429274	113.973724	2.3027065	101.104164	23977.016	0.53282255	28.206032	2.1553233	28.843489	-4.6276894	27.027294	0.14625765	27.302078	26.310778	-2.7370453e-08	-0.0027621177	1.6021728e-07	0.035770416	614.1299	-47.47351	450.3559	-22.305908	0	0	79.0	0.8806576	0.00226806	45000	26.54273271560669
9	116.0	40.989506	205.0	54.0	69.286644	20.022987	114.81837	33.118916	116.0	26956.373	0.53912747	30.0158	2.4703882	30.72221	1.9200959	28.491156	0.2031931	28.752268	27.415243	-2.3174286e-08	-0.0038735352	3.3950805e-08	0.0042674113	653.7081	-50.70392	309.01886	-12.956848	0	0	79.0	0.87772876	0.0033580756	50000	29.890433311462402
10	141.34285	66.18888	408.0	48.0	67.3856	22.723253	119.91975	24.2173	141.34285	29314.936	0.5329988	32.394608	0.97423244	32.618614	15.617247	29.689047	0.16722329	29.893526	28.348606	-2.9945372e-08	-0.0043474417	4.7111513e-08	-0.0014556464	921.3138	-77.23578	271.3938	-0.43066406	0	0	79.0	0.8953775	0.0033717477	55000	33.08135366439819
