Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch
0,19.004763,9.542635,75.0,8.0,280.13547,32.35136,396.67886,220.2423,19.004763,59057.906,14.764477,0.0037015418,0.1802783,0.47728595,-0.44323835,-0.0064188843,0.15002273,0.3477261,-0.43147168,1.66893e-08,-0.016003704,-9.155273e-07,0.4799141,196.60968,-23.40065,10611.414,-178.23926,0,0,8.0,0.6853539,0.015441758,4000,2.451200485229492,0
1,23.052023,12.163276,85.0,9.0,293.9598,36.207203,401.5411,229.13365,23.052023,110164.47,13.770558,1.0895407,0.24504317,2.3612983,-0.09854534,1.1545302,0.3230226,1.9090713,0.078593515,1.0883808e-07,-0.015063725,3.3569336e-07,0.68338424,252.07732,-84.30591,10301.252,-598.8115,0,0,11.0,0.6914524,0.014045251,8000,4.439917087554932,0
2,29.857143,16.487928,86.0,9.0,312.44397,40.851013,404.6487,229.05598,29.857143,152039.84,12.669987,4.949644,1.2101841,8.735137,-0.97482926,5.247747,0.97915226,7.665423,1.6112039,-1.5974045e-08,-0.011505629,-8.2397463e-07,0.19030295,293.52856,-107.82341,9424.58,-809.45605,0,0,79.0,0.67620957,0.005060466,12000,6.75199031829834,0
3,39.366337,22.0354,137.0,11.0,334.57724,38.018196,422.64172,243.97386,39.366337,186137.72,11.633608,10.360844,1.9150467,14.713789,-5.2600474,11.242689,1.1509465,13.961565,3.2509308,-1.37090685e-08,-0.01599154,1.2207032e-07,0.34439227,351.83768,-90.412476,8214.098,-565.76074,0,0,79.0,0.66512805,0.0054621957,16000,9.01063060760498,0
4,49.949368,31.302889,157.0,12.0,347.5481,46.440243,451.65906,251.1884,49.949368,213963.86,10.698193,15.341179,0.7064591,17.001669,9.445853,16.187721,0.5021995,16.967255,12.652141,3.8146974e-09,-0.013911714,-1.3122559e-06,0.26087552,463.89243,-77.48547,7064.043,-331.70752,0,0,79.0,0.6521923,0.0044348342,20000,11.526591300964355,1
5,65.933334,54.715588,403.0,14.0,363.27756,50.147987,530.30676,263.5605,65.933334,236114.27,9.838095,19.318829,0.38964906,20.121653,17.501188,18.8182,2.3697548,21.271446,4.5791783,-1.8119811e-08,-0.0130783245,-4.318237e-06,0.1761543,790.4432,-99.55066,5899.711,-198.25293,0,0,79.0,0.63647634,0.0037267038,24000,13.801223516464232,0
6,99.3,53.454277,269.0,18.0,395.0086,44.525955,498.9796,282.59665,99.3,252232.34,9.008298,22.95159,0.3115345,23.430008,20.798191,20.30682,4.7017365,23.20434,-10.901045,3.1471252e-08,-0.010161388,1.4495849e-07,0.21970429,892.67676,-113.59094,4998.899,-148.71289,0,0,79.0,0.6246124,0.0033820723,28000,16.13878846168518,5
7,156.76,77.88108,448.0,69.0,424.20535,39.289238,533.75775,366.52887,156.76,263239.4,8.226232,26.077984,0.7014777,26.599081,21.050772,19.774178,10.272939,24.763186,-22.644413,6.234646e-08,-0.006743525,-1.1138916e-06,0.045385543,1345.0907,-180.4314,3817.031,-75.424805,0,0,79.0,0.6174785,0.0046933824,32000,18.46662998199463,9
8,132.58621,35.242527,192.0,45.0,413.6275,29.867119,461.29236,345.76367,132.58621,275679.8,7.6577725,27.90889,4.5187206,29.897472,-4.3342905,17.00034,14.180916,25.93501,-25.081684,-4.9829485e-08,-0.0053233374,2.2125244e-07,-0.04649086,775.51733,-82.65497,4127.376,-86.15161,0,0,79.0,0.6101857,0.0032300267,36000,20.766425132751465,8
9,165.625,71.40426,341.0,21.0,424.12512,51.930046,506.3486,295.34598,165.625,286167.2,7.1541796,29.906605,5.6841235,32.0096,-14.095122,20.605755,12.475861,27.212385,-25.223467,6.556511e-08,-0.004994914,-1.0986328e-06,0.024754182,1129.4003,-111.87512,3496.3186,-61.113037,0,0,79.0,0.598825,0.0018537542,40000,23.070958137512207,9
10,180.63637,58.08422,333.0,98.0,430.13962,37.299435,491.0128,348.19467,180.63637,295942.7,6.7259703,31.352812,7.450888,34.326706,-15.882168,17.996557,16.533382,28.343622,-27.556095,2.0980835e-08,-0.0056382325,-6.790161e-07,-0.0017317581,1028.0568,-101.94,3319.8364,-46.71826,0,0,79.0,0.5908859,0.0044360133,44000,25.427764892578125,11
11,177.40909,67.924866,335.0,51.0,421.86142,36.538372,489.13693,337.05408,177.40909,305641.44,6.36753,33.91311,7.1363883,36.47773,-9.519629,21.291113,15.469165,29.378302,-27.98451,-1.0490417e-08,-0.0038092786,-2.3651123e-07,0.042001385,962.8175,-80.205444,3346.556,-36.66333,0,0,79.0,0.5994702,0.0041223224,48000,27.713563680648804,14
