Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	8.11359	3.8188279	27.0	3.0	0.3592401	0.3289383	6.878471	0.030237483	8.11359	177.1054	0.04427635	0.0010534632	0.07425664	0.15499713	-0.15450588	0.001273056	0.065609045	0.27382508	-0.26909932	4.2915346e-08	-0.01676785	-1.4305114e-08	-8.677548e-05	41.38921	-11.300312	0.29348108	-0.11839907	0	0	4.0	0.9189385	0.021352408	4000	3.9191999435424805
1	9.624096	4.5063167	30.0	3.0	0.35681581	0.26618195	2.6552486	0.04908913	9.624096	325.2755	0.04065944	1.1905737	0.20095862	1.8508728	0.44506374	0.30030286	0.17313138	1.5277992	-0.7426518	4.6491624e-09	-0.013460937	8.9406965e-10	0.0014586769	41.702366	-22.14873	0.12142612	-0.02273906	0	0	5.0	0.9174806	0.017129734	8000	7.510387182235718
2	10.578249	5.3324347	51.0	4.0	0.3607666	0.35056996	4.5632043	0.03168923	10.578249	461.34302	0.038445253	4.555258	0.309432	5.7893414	2.6893437	0.29193512	0.047791697	0.628683	-0.166345	-5.722046e-09	-0.020659052	-1.5497208e-09	0.0025669336	30.058155	-6.2306175	0.17921598	-0.0024255812	0	0	6.0	0.91575795	0.02166162	12000	11.13083791732788
3	12.858065	7.0394635	44.0	4.0	0.47118953	0.8866371	11.381589	0.033406924	12.858065	607.5161	0.037969757	6.713185	0.49931112	8.567019	4.19649	0.3116504	0.12556994	1.3023989	-0.6824807	-2.503395e-09	-0.022422021	7.748604e-10	0.0072631394	38.682384	-5.302044	1.1902603	-0.065261245	0	0	6.0	0.9138743	0.020017767	16000	14.697232246398926
4	17.887892	10.692648	66.0	4.0	1.3172241	4.679307	43.942955	0.015793484	17.887892	901.2721	0.045063604	8.375729	1.0067384	10.30637	2.9934933	0.51760083	0.46201244	2.9693491	-1.7917656	-1.2159347e-08	-0.018044088	2.2530555e-08	0.02002619	81.59139	-11.595047	32.02339	-2.8187733	0	0	7.0	0.91202265	0.016713783	20000	18.345327615737915
5	21.8306	13.638131	73.0	5.0	1.8163954	5.091946	38.49385	0.0172436	21.8306	1233.6842	0.051403508	11.401207	1.4594253	14.311782	4.341183	1.805535	1.147335	5.3270698	-4.0624185	6.7949295e-09	-0.019507587	-2.6464463e-08	0.038187385	111.68345	-8.484787	33.610485	-9.162184	0	0	9.0	0.9096605	0.015576372	24000	21.96079134941101
6	35.765766	20.658072	131.0	7.0	8.66693	15.337498	79.84762	0.01518449	35.765766	2201.0356	0.078608416	13.858342	2.120689	17.700878	1.8173183	2.3405917	1.9303603	8.143473	-5.3563013	3.886223e-08	-0.021025913	1.6212464e-08	0.060580492	226.49258	-46.489822	189.10686	-43.91942	0	0	9.0	0.9067564	0.016111912	28000	25.734850645065308
7	41.40625	22.20106	108.0	9.0	14.171288	19.76282	94.57661	0.02328659	41.40625	3561.5627	0.11129884	19.631866	2.6991587	22.234592	-2.0254376	8.791254	0.7885701	10.902212	4.3557196	-6.6757204e-09	-0.023312634	9.632111e-08	-0.039408416	207.23235	-11.263351	240.92215	-16.879211	0	0	8.0	0.9039291	0.015028946	32000	29.65879487991333
8	50.858974	23.207384	135.0	12.0	21.477169	26.866749	144.79227	0.032931387	50.858974	5245.094	0.14569706	21.934614	3.1882637	24.286203	-4.341736	12.411698	1.0297245	14.7600975	6.135069	2.384186e-10	-0.019913238	-1.17301944e-07	-0.050663557	234.12347	-15.186813	369.121	-13.382202	0	0	9.0	0.901394	0.015415288	36000	32.962605237960815
9	62.725807	27.535414	145.0	16.0	21.533667	19.961477	90.20618	0.044495404	62.725807	6605.814	0.16514535	24.239012	3.020794	26.377321	-1.1447701	15.9689045	0.7334935	17.409752	11.478118	-6.6757204e-09	-0.01654855	-9.536744e-10	0.025938349	330.31436	-35.677673	201.25447	-6.435318	0	0	79.0	0.8983587	0.0053781564	40000	37.0811231136322
10	78.46	34.51679	191.0	25.0	21.06039	26.386358	141.41644	0.1516278	78.46	7662.3975	0.1741454	28.21607	2.873823	29.452465	-0.9454872	14.021039	0.9330985	16.391006	8.026091	-2.3722649e-08	-0.016811986	1.2278556e-07	0.06834978	411.7358	-40.100983	278.1473	-19.033447	0	0	79.0	0.8900658	0.00467256	44000	41.18920612335205
11	97.48781	49.176697	227.0	35.0	14.451918	12.929438	55.115078	1.01918	97.48781	8254.927	0.17197764	30.400331	5.723569	32.63458	-8.660233	10.897787	1.9778458	15.826622	-0.029564045	1.3113022e-08	-0.008621999	3.71933e-08	0.06950893	586.462	-71.04382	70.48194	-19.042953	0	0	9.0	0.88374263	0.012164385	48000	44.8499858379364
12	142.10715	75.8388	358.0	43.0	41.538902	26.35116	105.40408	4.7161736	142.10715	9418.081	0.18111694	35.102585	1.9991792	36.320663	14.040125	7.3152223	1.5117741	11.145349	0.69404566	4.5895575e-08	-0.016483676	-5.2690506e-08	-0.030926405	899.5639	-130.58289	258.16083	-73.05945	0	0	6.0	0.88236845	0.015892433	52000	48.71024012565613
13	142.82143	68.86014	366.0	54.0	21.546415	14.877229	68.26985	4.211799	142.82143	10021.399	0.17895356	39.511368	2.9807415	40.56323	6.6393366	14.503681	1.5501041	17.559732	3.491196	6.0796737e-09	-0.011534736	-2.193451e-07	0.060605273	722.46655	-66.586914	105.033035	-43.596004	0	0	79.0	0.8801144	0.005346959	56000	52.637556314468384
14	259.6	141.07436	539.0	74.0	23.33634	16.691065	54.539883	3.426687	259.6	10381.966	0.17303276	42.300827	1.7081527	43.25253	25.045176	9.340039	1.287295	13.035588	4.2793994	5.1021576e-08	-0.018093705	-2.7179718e-08	0.05623648	1340.5608	-200.59424	46.597385	-13.212589	0	0	79.0	0.86954314	0.0060188677	60000	56.51686143875122
15	622.6667	337.36166	1000.0	238.0	25.804487	9.830821	38.73702	8.332841	622.6667	10555.208	0.16492513	46.797016	1.1703382	47.28664	37.88778	6.177374	0.67404693	8.679215	3.6182363	2.7656554e-08	-0.017160034	-1.3113022e-09	-0.003606335	1988.8597	-342.0343	13.590275	-5.296445	0	0	6.0	0.8653395	0.01838158	64000	60.095911741256714
16	617.2	237.301	1000.0	312.0	38.521564	22.219467	68.61607	10.181074	617.2	10795.199	0.15875293	51.61555	0.070301116	51.652493	50.50949	3.703507	0.5200821	5.233503	0.7776308	1.5497208e-09	-0.014763422	-5.3644182e-09	-0.0031527337	1714.1204	-223.69958	21.21118	-2.8266678	0	0	79.0	0.86420804	0.0043104608	68000	63.31145215034485
17	1000.0	0.0	1000.0	1000.0	38.868126	22.806847	77.71788	21.848501	1000.0	10950.672	0.15209267	54.860497	0.020010488	54.87448	54.49855	4.7404943	0.59651226	6.2888064	2.4685833	-1.7738343e-07	-0.003306532	-2.9325486e-08	-0.0103133945	1734.3976	-237.44739	15.146082	-1.9761486	0	0	79.0	0.8531387	0.004788142	72000	67.12670469284058
