Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.060377	7.8641853	51.0	4.0	0.29530805	0.28886473	3.886833	0.019029034	15.060377	78.51527	0.019628817	0.009334295	0.2206512	0.6409441	-0.64015007	-0.0042560142	0.068468764	0.22717917	-0.25285536	-1.3113022e-08	-0.01223919	2.0861626e-09	-0.00120895	133.62973	-21.599625	0.14415418	-0.05613643	0	0	6.0	0.9189385	0.01654939	4000	1.8242292404174805
1	18.451162	9.387086	71.0	5.0	0.3067549	0.37573737	4.216685	0.017357918	18.451162	144.65514	0.018081892	1.2503814	0.46806547	2.868556	-0.5839496	0.20241016	0.06281068	0.55647624	-0.13078165	-1.0228157e-07	-0.010490006	4.768372e-10	-0.00072579033	162.1	-63.2931	0.1687847	-0.016964987	0	0	9.0	0.916907	0.014105169	8000	4.203347682952881
2	22.022099	10.008812	80.0	7.0	0.34046957	0.5158785	4.3436446	0.010039866	22.022099	206.36122	0.017196769	5.2320185	0.42923623	6.673923	3.9033465	0.23164447	0.07023166	0.57425237	-0.13438791	-6.6757204e-09	-0.014620003	2.1457671e-09	0.0036939036	126.38797	-46.721985	0.22787869	-0.0029812604	0	0	79.0	0.91436076	0.0079660425	12000	6.916903972625732
3	24.447853	10.6357155	72.0	8.0	0.44878098	0.57063997	3.3068647	0.019955695	24.447853	279.599	0.017474938	10.0054655	0.14854482	10.199538	9.116515	0.27711734	0.07978142	0.6286947	-0.051819574	2.0980835e-08	-0.014197873	1.1473894e-09	0.0071785827	94.78152	-13.489807	0.23833005	-0.008280188	0	0	13.0	0.9255432	0.012393156	16000	9.327293157577515
4	29.77612	12.506501	84.0	10.0	1.0445962	1.515494	7.99659	0.016349303	29.77612	419.59653	0.020979827	12.591445	1.2951081	15.684769	5.8930283	0.36778456	0.09523126	0.7609886	0.007883184	-1.3232231e-08	-0.00982776	9.447336e-09	0.019465651	114.08711	-14.192833	1.8514426	-0.27474582	0	0	16.0	0.9259641	0.0121535435	20000	11.76507019996643
5	39.146027	16.492702	92.0	9.0	2.862315	3.4123838	17.697172	0.028379617	39.14706	711.60944	0.029650394	14.864973	3.2139404	18.989157	-4.55013	0.8897295	0.14560282	1.2826456	0.34664834	-6.7949295e-09	-0.010271772	1.0371208e-08	0.042941898	174.12697	-29.408813	8.940008	-2.330738	0	0	11.0	0.9290336	0.014865353	24000	14.162206172943115
6	46.817276	18.28319	97.0	8.0	8.86816	7.7241926	34.21938	0.056717485	46.941177	1465.4961	0.052339148	18.166613	4.518648	21.552137	-9.165517	2.4860947	0.40596238	3.3771896	1.2247083	-9.775162e-09	-0.00940782	-8.2492825e-08	0.06729406	200.4532	-24.109482	50.49417	-20.518644	0	0	79.0	0.9306654	0.006435602	28000	16.95144534111023
7	53.454544	21.701344	116.0	12.0	12.562553	10.973529	54.909306	0.09272497	53.743244	2395.2256	0.0748508	21.066458	4.1269493	23.487839	-9.497348	6.7103357	1.0852224	9.234809	2.3657637	-1.0490417e-08	-0.011212315	-7.1525574e-10	0.08863256	234.6542	-19.797638	61.79841	-5.010269	0	0	79.0	0.9498917	0.007335164	32000	19.827589988708496
8	56.35512	19.320158	150.7304	19.0	15.989136	10.584104	45.396206	0.09750341	56.785713	3514.6626	0.09762952	23.551281	4.8067665	25.584183	-12.965905	8.785158	1.000198	10.783741	4.623778	1.502037e-08	-0.008160895	1.07765196e-07	0.05750968	214.91136	-4.8723907	60.38028	-3.7914543	0	0	79.0	0.96548927	0.004844761	36000	22.849090337753296
9	60.808205	18.427094	107.0	20.0	19.710274	10.00838	54.762707	0.41745776	61.53846	4795.8306	0.11989576	25.101164	4.3393507	26.602833	-10.737801	10.456858	0.68589824	12.344971	6.2603106	-1.1563301e-08	-0.005302991	1.2409687e-07	0.02856239	221.31606	-3.5715485	57.84371	-6.1263695	0	0	79.0	0.979318	0.0035248958	40000	25.869410753250122
