Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	16.647394	11.728872	82.0	5.0	9.963224	14.747157	139.52437	2.0531485	16.677824	2387.801	0.59695023	-0.0057990416	0.11290394	0.41155055	-0.39622638	0.0045888834	0.14896956	0.50533175	-0.5097804	2.8133393e-08	-0.02008026	-1.1920929e-07	0.10860403	225.0715	-23.778412	337.29764	-19.566956	0	0	5.0	0.9189385	0.018021803	4000	2.6949303150177
1	19.56794	11.405021	57.84898	5.0	10.209803	10.649874	93.94357	1.7867763	19.583334	4473.8916	0.55923647	1.0219418	0.52080137	3.2315943	-1.204029	0.87915224	0.6496018	3.9097471	-1.9961331	-1.9311905e-08	-0.014547735	2.0980835e-08	0.05998321	206.1853	-69.4823	157.92987	-30.52015	0	0	7.0	0.91720885	0.01561133	8000	5.1316773891448975
2	24.258812	14.765211	95.0	6.0	14.525401	18.70234	112.533745	1.7034825	24.343557	6854.0557	0.5711713	4.7341456	0.60390604	6.796859	1.7124776	3.6156921	1.1478218	7.8440843	-2.357435	3.33786e-08	-0.015620738	-3.569126e-07	0.1763174	226.68813	-82.09213	350.85388	-68.94476	0	0	9.0	0.91487604	0.015925776	12000	7.7970194816589355
3	37.844925	18.890852	100.0	9.0	29.932049	30.01322	131.3914	2.8873956	38.307693	9971.873	0.6232421	10.055804	0.52538323	11.203881	7.294426	9.069227	1.3849636	12.709966	1.4016155	-7.724762e-08	-0.016644938	1.335144e-07	0.25674012	278.11618	-76.02101	666.79626	-144.06732	0	0	79.0	0.9124974	0.008567049	16000	10.828791856765747
4	45.84509	23.672258	113.0	11.0	42.740196	34.182053	125.185165	2.5032442	46.32558	13651.495	0.68257475	15.075045	0.44229227	16.061155	11.699205	16.145031	0.4248118	17.030756	13.764076	-1.6093255e-09	-0.01624614	-2.6369094e-07	0.25080502	305.0647	-53.96843	674.95764	-96.209656	0	0	79.0	0.9103051	0.0067806607	20000	14.011990308761597
5	62.410458	26.215302	159.0	14.0	54.644726	28.271154	114.977066	3.1523294	63.412697	17095.523	0.7123135	18.365187	1.7499382	20.281061	6.195953	20.63365	0.13120739	20.975676	19.89862	-7.152557e-09	-0.008874813	3.71933e-08	0.10087098	387.09616	-64.09372	474.5765	-47.895233	0	0	79.0	0.89759964	0.0041876067	24000	17.149375438690186
6	70.88369	23.333513	124.196236	18.0	68.50527	28.672312	137.17017	9.282499	72.0	20900.25	0.7464375	21.311945	3.3179996	23.196508	-5.120524	23.357206	0.086646184	23.577896	22.925676	-1.2874604e-08	-0.006824637	-2.2315979e-07	0.06286545	351.4845	-42.268524	582.24835	-67.645996	0	0	79.0	0.893705	0.0035170065	28000	20.2739737033844
7	93.94818	39.311302	238.69551	12.0	70.682	23.88303	131.28136	11.919189	95.14286	23870.46	0.7459519	23.378937	4.084415	25.34617	-9.14044	26.198605	0.06478972	26.351706	25.871157	-4.673004e-08	-0.006246292	-3.1137466e-07	0.06370358	612.64764	-84.017456	356.87125	-16.352417	0	0	79.0	0.8733132	0.004240923	32000	23.350529432296753
8	105.67285	52.982124	339.13486	37.040604	71.261696	23.369884	132.19337	27.406446	107.13513	26513.055	0.73647374	26.95251	3.8505335	28.200546	-9.668285	27.618635	0.048511498	27.739346	27.314785	4.768372e-10	-0.003656128	1.04904174e-07	0.02556716	729.8217	-73.454346	308.09628	-1.8962708	0	0	79.0	0.8684251	0.0017320013	36000	26.583484649658203
9	118.943115	67.99187	448.34396	51.34422	78.53258	23.60291	158.51414	33.6084	120.818184	29106.523	0.7276631	29.55812	4.1468654	30.751646	-10.094646	28.081484	0.12591125	28.364	27.176615	1.0609627e-08	-0.003911578	6.9618224e-08	0.028199958	815.9296	-69.541016	333.84653	-4.3314514	0	0	79.0	0.86177063	0.0037054764	40000	30.12480878829956
