Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.6705885	9.923695	59.0	5.0	9.549956	11.711434	108.27862	1.8486913	15.6705885	2436.4446	0.60911113	-0.00044487143	0.11292681	0.39256614	-0.44536194	0.005889313	0.15118185	0.52309877	-0.4804954	-1.988411e-07	-0.019157754	-6.2942505e-08	0.058618005	177.02994	-20.99797	235.90794	-18.748978	0	0	5.0	0.9189385	0.017540367	4000	3.8882408142089844
1	18.938389	10.10565	58.0	6.0	10.022572	12.050632	149.38173	2.6958947	18.938389	4554.0034	0.5692504	0.95148295	0.6730756	3.8897088	-2.0303137	0.7589413	0.7338451	3.9832363	-2.7142751	-7.939339e-08	-0.017519744	-9.298324e-08	0.082654454	180.62997	-63.178734	202.25352	-26.794464	0	0	7.0	0.91719055	0.017155575	8000	7.446197748184204
2	26.039215	15.463168	98.0	5.0	16.160683	18.4859	101.41504	1.6869501	26.039215	7031.6245	0.58596873	4.5128026	0.9412395	6.8684936	0.7907446	3.1393468	1.84502	8.190938	-4.4610653	-6.341934e-08	-0.02084474	2.3651123e-07	0.12759976	251.32593	-98.714325	343.11447	-91.461685	0	0	8.0	0.9148654	0.01652453	12000	11.095691204071045
3	36.95283	19.622082	98.0	7.0	32.639595	35.82417	184.12607	2.225485	36.95283	10514.493	0.6571558	10.39775	0.72008866	12.182091	6.9757257	9.076743	1.7513155	12.955952	0.51867145	-8.9496375e-08	-0.026675805	-4.835129e-07	0.10149847	294.27957	-79.258224	944.0589	-206.07867	0	0	8.0	0.91234547	0.016557958	16000	15.221953392028809
4	41.103092	18.922241	97.0	9.0	38.54954	37.787342	188.02997	2.841991	41.103092	14255.262	0.7127631	15.412843	0.35939553	16.008709	13.587129	16.551105	0.17629679	17.03029	15.226412	5.3882598e-08	-0.019000093	3.643036e-07	0.15641126	209.9092	-25.81842	895.6845	-82.69574	0	0	9.0	0.9101223	0.01501416	20000	19.342339754104614
5	52.61842	16.105707	99.0	15.0	49.827267	34.54045	147.03802	4.220996	52.61842	18042.799	0.7517833	17.974102	1.0953904	19.697872	8.324151	20.257483	0.41172656	20.995619	17.667856	7.152557e-09	-0.02076084	6.370544e-07	0.07351694	223.66661	-30.304611	705.65857	-55.927002	0	0	8.0	0.9079199	0.014834995	24000	24.06919503211975
6	66.566666	23.559406	141.0	13.0	55.169086	46.03826	223.48146	5.2507014	66.566666	21354.787	0.762671	19.787214	2.8481226	21.941227	5.2764187	22.955729	0.33250073	23.6014	20.380995	-4.220009e-08	-0.017002946	-1.4019012e-07	0.23306869	349.2353	-53.728973	939.2333	-20.054016	0	0	79.0	0.90604025	0.004408787	28000	28.627732038497925
7	62.390625	30.46546	156.0	11.0	45.298737	23.24693	120.91366	5.4426727	62.390625	24255.566	0.7579864	21.82986	4.5050507	24.599667	-2.4726622	24.51359	0.43400124	25.189566	20.961525	-3.683567e-08	-0.008637233	-5.4359436e-08	0.23610666	354.19608	-30.623688	284.12643	-1.8734436	0	0	10.0	0.9016051	0.01263666	32000	32.70502543449402
8	78.8	35.043404	165.0	30.0	47.92657	26.507305	168.63844	11.118031	78.8	26678.828	0.74107856	24.837217	3.3751998	26.58372	-3.9309661	25.028696	0.19127835	25.4529	23.874645	2.515316e-08	-0.010201978	-1.5640259e-07	0.113212235	459.63126	-42.816376	287.71756	-0.8943176	0	0	79.0	0.90006906	0.0032915832	36000	36.79918456077576
9	102.552635	42.974106	198.0	41.0	57.640553	36.233673	172.48889	21.636484	102.552635	28889.51	0.72223777	27.080074	3.7347887	28.826912	-3.113221	24.7349	0.43031678	25.388664	21.528862	3.194809e-08	-0.0068889493	9.536744e-10	0.1557298	644.42975	-74.78314	457.26184	-1.168457	0	0	8.0	0.89616376	0.013383743	40000	40.56259036064148
