Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.496124	7.9383516	48.0	5.0	0.30636013	0.2960432	3.7021306	0.013310278	15.496124	79.05209	0.019763023	0.0009637835	0.2158181	0.61961627	-0.6465393	0.0006471308	0.067772835	0.26103956	-0.316499	-8.177757e-08	-0.0118359355	-9.9390745e-09	-0.002235908	136.72926	-22.066528	0.15434095	-0.051546134	0	0	6.0	0.9189385	0.015684836	4000	3.773202419281006
1	18.924171	7.952104	45.0	5.0	0.2967979	0.29158992	2.4980526	0.017733553	18.924171	141.84744	0.01773093	1.2420546	0.2019848	1.9622664	0.45013082	0.21807098	0.04397416	0.48418295	-0.06164796	6.973743e-08	-0.011273471	-8.791685e-10	-0.00032688613	138.74664	-59.45047	0.07549823	-0.0016343072	0	0	9.0	0.91693896	0.013980817	8000	7.9002814292907715
2	20.699482	8.823711	54.0	5.0	0.29771858	0.546541	6.7040877	0.015368796	20.699482	199.30904	0.016609086	5.1196065	0.54114246	7.6651096	1.3327628	0.20954663	0.01632553	0.26910385	0.13974407	1.1062622e-07	-0.015384456	-1.4901161e-10	0.002192753	102.00665	-38.70891	0.28663006	-0.016782284	0	0	79.0	0.91427714	0.0077644605	12000	11.489055156707764
3	24.310976	10.212719	71.0	7.0	0.4916061	0.7681859	5.695822	0.015720198	24.310976	279.95654	0.017497284	9.592484	0.33725834	10.818455	6.56405	0.21932654	0.16418691	1.3227983	-0.55153173	-4.768372e-10	-0.013332544	-2.3543836e-09	0.0071479543	90.39766	-13.982788	0.57205373	-0.060260236	0	0	79.0	0.9243233	0.008277183	16000	15.50675892829895
4	29.614815	11.964753	84.0	9.0	0.75359946	0.97590834	7.1681776	0.031161427	29.614815	381.69553	0.019084776	12.529791	0.25886482	13.060935	11.246092	0.4251883	0.04564781	0.60891646	0.19593601	-3.3140182e-08	-0.011986897	-2.8312206e-09	0.009953704	110.28088	-12.420517	0.6986556	-0.048754215	0	0	79.0	0.9324735	0.006681418	20000	20.184648513793945
5	31.76	10.781763	70.0	9.0	1.1281376	1.0850677	6.600532	0.011519107	31.76	522.78625	0.021782761	14.815598	1.4402757	17.314499	6.23219	0.60832936	0.07245208	0.9242304	0.20378277	2.0980835e-08	-0.012805024	-1.6093255e-08	0.015002852	93.69697	-7.0996246	0.7886522	-0.07523161	0	0	79.0	0.9438596	0.009098026	24000	23.795511484146118
6	40.896908	15.350533	99.0	18.0	2.0709882	1.8428886	9.179523	0.014055548	40.896908	725.0616	0.025895057	15.241424	4.084872	19.798891	-8.51174	0.87276185	0.038456496	1.0219527	0.6954654	-6.6757204e-09	-0.0064208107	2.5629998e-09	0.02985311	157.66162	-27.253006	2.2776453	-0.3717383	0	0	12.0	0.9718199	0.012862415	28000	27.067710399627686
7	45.284092	15.079297	118.0	13.0	4.322824	3.3116186	17.898184	0.08068094	45.284092	1105.518	0.034547437	19.230421	5.122774	22.513805	-13.766164	1.4456109	0.07713022	1.6337386	0.93537503	-6.198883e-09	-0.0073451563	1.2457371e-08	0.027143857	160.20197	-8.69574	8.43265	-2.518303	0	0	79.0	0.96975446	0.0057599507	32000	31.23333740234375
8	49.209877	16.422445	102.0	6.0	6.541108	5.214665	29.739397	0.06503961	49.209877	1635.3943	0.04542762	21.441296	3.9198244	23.419655	-10.0758915	2.9827938	0.29573303	3.7077663	1.6858873	-4.172325e-09	-0.0060957177	-2.193451e-08	0.021963323	176.38332	-7.895035	17.246574	-2.3121777	0	0	79.0	0.9681741	0.0041929237	36000	35.179458141326904
9	52.18421	14.607776	91.0	26.0	8.402965	8.003673	57.847157	0.17364733	52.18421	2274.4321	0.056860805	22.553055	3.9161873	24.148386	-13.479842	4.4923186	0.37481964	5.344161	2.707519	-5.3644182e-09	-0.0030537662	7.152557e-09	0.013097168	167.83186	-5.2614594	41.757538	-2.018608	0	0	79.0	0.96987796	0.0026993377	40000	39.84264159202576
