Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.708661	8.69891	53.0	5.0	1.2602167	6.2360797	88.54847	0.04616424	15.708661	320.29547	0.08007387	0.00039253235	0.11248627	0.42760396	-0.42412785	0.0041751405	0.14984967	0.5029598	-0.5266247	1.5935386e-08	-0.0062624332	-5.984306e-08	-0.010256975	151.14146	-20.594147	67.317795	-4.7380905	0.84999996	-0.025278866	41.0	0.9189385	0.013194885	4000	2.761573076248169
1	16.17004	9.399987	63.0	5.0	0.5951018	1.6043926	21.086052	0.035965607	16.17004	467.4667	0.05843334	1.0766665	0.36407176	2.388582	-0.20590183	0.64901316	0.57704544	3.1244519	-1.999004	-2.6933627e-08	-0.0043015294	8.34465e-09	0.0038576296	149.59825	-54.43476	3.6786602	-0.13118792	0.8247211	-0.019366384	7.0	0.9211277	0.014409639	8000	5.035998344421387
2	19.845772	8.909221	64.0	4.0	0.49934343	0.77476543	5.8244033	0.018512627	19.845772	567.9025	0.04732521	4.6775165	0.17297362	5.5131636	3.069779	0.71216124	0.4746	2.6669745	-1.4107633	2.295395e-08	-0.0034646275	5.364418e-10	0.0046322057	103.4979	-39.91025	0.84409404	-0.22341156	0.8053547	-0.019714117	8.0	0.91917765	0.013001779	12000	7.331624507904053
3	22.460674	11.172354	76.0	5.0	0.72162294	1.6103864	13.161714	0.02663166	22.460674	696.3533	0.04352208	9.099162	0.41839433	11.170994	6.7521954	0.51815075	0.28961807	1.6382669	-0.764924	-1.9851743e-08	-0.007695843	4.6491624e-09	0.0026279555	100.539764	-15.670235	2.9365551	-0.24858236	0.7856406	-0.032810807	79.0	0.91567767	0.008102184	16000	9.907213687896729
4	26.651007	11.576953	65.0	8.0	1.1347368	1.8212278	10.513457	0.030557655	26.651007	865.72296	0.04328615	12.05391	1.3273897	15.460795	1.3025546	0.7080262	0.10664347	1.1681433	0.22386077	-1.8811972e-08	-0.008848179	-4.529953e-09	-0.01620171	97.99497	-7.344879	2.685037	-0.16297483	0.7528298	-0.014005899	63.0	0.9189032	0.012169993	20000	12.38936972618103
5	29.32353	11.270003	73.0	11.0	0.7142739	0.75317246	3.6641195	0.016944464	29.32353	963.0443	0.040126845	14.011521	1.1382496	16.45232	7.171936	1.0550905	0.09327768	1.3142725	0.7580768	-5.5049214e-09	-0.003429227	-1.1503697e-08	0.0032965376	95.035	-7.0863953	0.594019	-0.2465651	0.7388239	-0.0242064	79.0	0.9111591	0.003890152	24000	14.9656240940094
6	32.581966	10.60841	74.0	10.0	0.83806384	0.733605	3.4821782	0.031699505	32.581966	1065.4913	0.038053263	14.91976	3.026775	18.514397	-6.5374527	0.60209656	0.0704548	0.78251964	0.38916314	-4.397354e-09	-0.0030319209	6.2584876e-10	0.0028561584	92.51814	-5.581291	0.3183272	-0.0033590496	0.7146175	-0.026455343	79.0	0.9055022	0.0038315891	28000	17.514403343200684
7	37.074768	12.974238	92.0	17.0	0.9614091	0.7803036	5.1461883	0.029229442	37.074768	1170.8582	0.036589317	16.211082	3.4906082	19.503696	-6.194651	0.6194509	0.029838385	0.7161215	0.4898564	1.0505673e-08	-0.0030256188	-1.2516975e-09	-0.0033360298	121.446106	-8.093155	0.3923474	-0.007201463	0.68816215	-0.017533004	79.0	0.89698845	0.004763116	32000	19.987520933151245
8	36.522934	9.50673	68.0	22.0	0.86978614	0.5806353	2.7878404	0.058408618	36.522934	1265.7512	0.035159755	17.980524	4.172064	20.808205	-13.055937	0.6761025	0.04536866	0.8269651	0.43902	-5.2769455e-09	-0.0030796202	1.4305115e-09	-0.0006700291	90.7305	-1.1436691	0.21894085	-0.010965213	0.67062914	-0.019555628	79.0	0.8974487	0.003991627	36000	22.467339515686035
9	36.98148	11.7992325	93.0	19.0	0.7435512	0.41859952	3.0088723	0.15048891	36.98148	1346.1305	0.033653263	18.317245	4.1233287	20.437073	-13.19018	0.59245133	0.022146251	0.6772588	0.47926092	1.7107595e-10	-0.002428861	3.5464764e-09	0.0035448957	114.95031	-1.6885452	0.114532545	-0.01381509	0.6510735	-0.02464801	79.0	0.8883807	0.005070199	40000	24.97408890724182
